"","GSK3","Destcompl","RAS","SNAI2","RAF","PI3K","DELTA","SOSGRB2","AXIN2","cateninmemb","ZEB2","TGFR","CD44","NFB","TCFLEF","GLI","cateninnuc","Wnt","Frizzled","RKIP","Ecadherin","Csn","AKT","IKK","ZEB1","Csl","EGR1","KLF4","cfos","TrCP","ERK","Jagged","MEK","NOTCH","NOTCHic","FOXC2","miR200","SMO","Patched","HEY1","SMAD","ILK","SHH","SUFU","FUS","TWIST1","SRC","SNAI1","cMet","PAK1","DSH","STAT","TGF","CDC42","LIV1"
"ZEB2",-0.266899795273471,-0.21233561592232,-0.185772314765891,-0.181723025072927,-0.179134199134199,-0.179134199134199,-0.179134199134199,-0.17007326007326,-0.163497069426392,-0.144484667038491,-0.138360833298124,-0.127322201607916,-0.125633528265107,-0.125,-0.121408176152431,-0.120755971856889,-0.117641942386197,-0.117086247086247,-0.109393939393939,-0.109307568438003,-0.108314012567009,-0.1,-0.0900259605399792,-0.0872222222222222,-0.0465158291658834,-0.0435897435897436,-0.025,-0.01091286509125,-0.00131578947368421,0,0.0051358234295416,0.0101617666422136,0.0148919209905172,0.0257099621689786,0.0262564102564103,0.0468313908313908,0.0481219359835559,0.0542857142857143,0.0542857142857143,0.0704669524024363,0.07170810982216,0.0735373781148429,0.0833766233766234,0.1,0.114285714285714,0.115705454881099,0.116666666666667,0.118826259622181,0.121929824561404,0.122077922077922,0.122727272727273,0.13,0.130496804782519,0.134805194805195,0.15
"cMet",-0.161405529953917,-0.122017160672623,-0.0258400718778077,0.21763373690381,-0.039047619047619,-0.039047619047619,-0.039047619047619,-0.148571428571429,-0.00666666666666667,0.0488159112536337,-0.128715728715729,-0.236666666666667,0.0268992248062015,-0.1,0.0392069171138939,0.0284848484848485,0.0442916628766057,-0.00333333333333333,-0.05,-0.0870370370370371,0.109580877825302,-0.1,-0.158333333333333,-0.133333333333333,-0.227128427128427,-0.0857142857142857,0.025,-0.0317460317460317,-0.005,0.1,0.015,0.164377216985913,0.0131818181818182,0.154471284594465,0.122556390977444,-0.112674050632911,-0.134560688405797,0.14,0.158181818181818,0.156449948400413,0.148744588744589,0.152380952380952,0.136306818181818,0.1,0.1,0.178118286208174,0.15,0.217190639670568,0.00333333333333333,0.22,0.1,0.2,0.249432624113475,0.22,0.1
"ILK",-0.313816738816739,-0.151042013115371,-0.187629010259147,0.224929787272085,-0.205437229437229,-0.205437229437229,-0.205437229437229,-0.122692307692308,0.358952380952381,0.331062904120864,-0.0928323352321599,-0.318941176470588,0.332612411742847,-0.3,0.352386423042282,0.332612411742847,0.365376113763931,0.303381642512077,0.255555555555556,-0.331431803490627,0.34506303928181,-0.233333333333333,-0.293061840120664,-0.305882352941176,-0.328236444487723,-0.225,-0.0333333333333333,-0.0907894736842105,0.019047619047619,0.2,-0.0103641456582633,0.210964912280702,-0.0185608669697387,0.257754342431762,0.248076923076923,-0.293507549361208,-0.112895235026383,0.0333333333333333,0.0102564102564103,0.127736858036525,0.13496662665066,0.11656662665066,0.0102564102564103,0,0.05,-0.0178596884227675,-0.255555555555556,0.361469404186796,-0.303381642512077,0.25,-0.2,-0.2,0.323006217120995,0.302941176470588,-0.1
"Wnt",-0.311128526645768,-0.140439608337614,-0.160697197539303,0.174310344827586,-0.18796992481203,-0.18796992481203,-0.18796992481203,-0.124242424242424,0.341818181818182,0.338008474576271,-0.0838833094213295,-0.38,0.322368421052632,-0.133333333333333,0.347368421052632,0.322368421052632,0.362600209132102,0.275,0.3,-0.303333333333333,0.360048330898055,-0.1,-0.205833333333333,-0.193333333333333,-0.301339072214252,-0.15,0,-0.096078431372549,0.0333333333333333,0.1,0.0333333333333333,0.199509803921569,0.00392156862745098,0.254761904761905,0.221428571428571,-0.184372469635628,-0.11959595959596,0.05,0.0409090909090909,0.112307692307692,0.115046710395548,0.103418803418803,0.00757575757575757,0,0,0.0591176470588235,-0.2,0.322619047619048,-0.275,0.3,-0.2,-0.1,0.397391304347826,0.333333333333333,0
"Frizzled",-0.286280041797283,-0.114710165366792,-0.141012158169224,0.194184161862287,-0.160697197539303,-0.160697197539303,-0.160697197539303,-0.127272727272727,0.379027484143763,0.361817998385795,-0.0828932104114285,-0.397391304347826,0.347368421052632,-0.193333333333333,0.362600209132102,0.347368421052632,0.373076399608292,0.322368421052632,0.275,-0.303333333333333,0.379861850711575,-0.133333333333333,-0.187083333333333,-0.205833333333333,-0.302329171224153,-0.221428571428571,-0.0333333333333333,-0.0865546218487395,0.0333333333333333,0.1,0.00392156862745098,0.218701723113488,-0.0108932461873638,0.260644257703081,0.254761904761905,-0.191349213821674,-0.10709595959596,0.0409090909090909,0.00757575757575757,0.127201309328969,0.136542037498351,0.115046710395548,0.00112414467253177,0,0.05,0.0448319327731092,-0.275,0.325793650793651,-0.322368421052632,0.333333333333333,-0.3,-0.2,0.400248447204969,0.38,-0.1
"TGF",-0.267101543813873,-0.0556373298301692,-0.186904761904762,0.067969424533355,-0.183333333333333,-0.183333333333333,-0.183333333333333,-0.0907894736842105,0.0503968253968254,0.0698320752152117,-0.0789616993735987,-0.202857142857143,0.0527672955974843,-0.283333333333333,0.063293611386958,0.0622911051212938,0.0728629893773886,0.0528571428571429,0.0428571428571429,-0.0744588744588745,0.079825395521337,-0.233333333333333,-0.27280701754386,-0.283333333333333,-0.13708295772369,-0.273333333333333,-0.233333333333333,-0.066234426646326,0.219047619047619,0.2,0.203258145363408,0.191016200294551,0.209924812030075,0.279885057471264,0.283333333333333,-0.176164596273292,-0.0673157302467647,0.176666666666667,0.152528735632184,0.204642166344294,0.203098729227761,0.186969696969697,0.171278735632184,0.133333333333333,0.193333333333333,0.0248148148148148,-0.0333333333333333,0.138353464717101,-0.0433333333333333,0.16,0,0,0.106428571428571,0.193333333333333,0
"SMAD",-0.0554097183796432,0.0586066058820622,-0.0848352197484581,-0.0731423275604632,-0.0920720618537212,-0.0920720618537212,-0.0920720618537212,-0.201774622892635,0.112295955958063,0.141439874217745,-0.0734941210090991,-0.283454544773295,0.109785926491809,-0.187301587301587,0.113178056749611,0.117389604799677,0.11398859373036,0.11019536019536,0.106349206349206,-0.250851866253125,0.159215351249868,-0.211111111111111,-0.196007469654528,-0.185340802987862,-0.247739780496644,-0.192380952380952,0.0285714285714286,-0.0742706644162778,-0.0253456221198157,0.2,-0.0299967849105133,0.217188940092166,-0.0357660156797441,0.203765736179529,0.195829228243021,-0.0847267622618059,-0.0589360339531299,0.15,0.165596330275229,0.20537262468809,0.093502388022936,0.201121435641984,0.162250605368166,0.2,0.15,0.0855589510683612,-0.0996825396825397,0.235636801370672,-0.103604108309991,0.280952380952381,-0.0952380952380952,-0.0885714285714286,0.287040202143813,0.279543930248156,-0.06
"ERK",-0.142954886803806,-0.0584888908403416,-0.00803790269136804,0.465977617415937,-0.0198090798090798,-0.0198090798090798,-0.0198090798090798,0.000534442903374942,0.312246317017851,0.345604167001204,-0.0637903637224687,-0.178896046309922,0.271641422726196,-0.136634199134199,0.277031757298686,0.27364337416969,0.278698423965353,0.266876456876457,0.253589743589744,-0.116594215754034,0.336295199957166,-0.151785714285714,-0.110212180785575,-0.116634199134199,-0.157297280092499,-0.19032634032634,-0.116551724137931,-0.0627195177560531,0.0888921496698459,0.114285714285714,-0.0177745169968207,0.250213135496863,-0.0247383052976564,0.189521600855689,0.188136559304443,-0.163758931345138,-0.0662735009416176,0.0841311475409836,0.0834775527697418,0.182565945574353,0.169110662152442,0.174277835404722,0.0883084706441379,0.14,0.112,-0.0884515887057292,-0.251484480431849,0.150177850926799,-0.264771193718562,0.177142857142857,-0.226666666666667,-0.224561403508772,0.178071870485746,0.181815754339119,-0.166666666666667
"STAT",-0.105529595015576,-0.122079462264087,-0.137132961124897,-0.144434994907835,-0.137132961124897,-0.137132961124897,-0.137132961124897,-0.277380952380952,-0.0867034925858455,-0.0400302063605042,-0.0589295320064551,-0.230891148325359,-0.0409521034521034,-0.12,-0.0393748163858574,-0.0409377387318564,-0.0373485946933663,-0.0400974025974026,-0.0446428571428571,-0.177189510939511,0.0449206030323342,-0.1,-0.0944955609362389,-0.0961904761904762,-0.191993903532365,-0.0627450980392157,-0.0333333333333333,0.0560606060606061,0.0333333333333333,0,0.0333333333333333,0.0553130278777712,0.032258064516129,0.0556078637175153,0.0546369899311076,-0.00485480572597137,-0.0365864466030267,0.0533333333333333,0.0510077519379845,0.0806666666666667,0.0812399355877617,0.0812399355877617,0.0660519997255951,0.1,0.1,0.187208343880008,0.0446428571428571,0.165446385144167,0.0400974025974026,0.227272727272727,0.0571428571428571,0.0571428571428571,0.233306607262557,0.233522727272727,0.2
"MEK",-0.161211017593996,-0.0725813372890451,-0.0198090798090798,0.458313054746865,-0.0353646353646354,-0.0353646353646354,-0.0353646353646354,0.00247619047619048,0.299725991814599,0.338060468749134,-0.0589084739586892,-0.181815754339119,0.264771193718562,-0.151785714285714,0.271641422726196,0.266876456876457,0.277031757298686,0.253589743589744,0.226666666666667,-0.113530148901666,0.33076825179376,-0.114285714285714,-0.116634199134199,-0.136634199134199,-0.162809091116121,-0.178787878787879,-0.12,-0.0572931611669058,0.116551724137931,0.1,0.0888921496698459,0.240273376460718,-0.0177745169968207,0.188136559304443,0.19032634032634,-0.160169187755395,-0.0633323244710293,0.112,0.0841311475409836,0.165842396086299,0.174277835404722,0.159886691493283,0.0834775527697418,0.1,0.14,-0.0835972197736904,-0.224561403508772,0.153650073149022,-0.251484480431849,0.153333333333333,-0.166666666666667,-0.166666666666667,0.178896046309922,0.177142857142857,-0.1
