"","TGFR","CDC42","GSK3","PAK1","KLF4","SNAI1","Destcompl","AXIN2","cateninmemb","cateninnuc","Ecadherin","TCFLEF","GLI","Wnt","NOTCHic","Csl","ILK","SMAD","HEY1","NFB","TrCP","SUFU","AKT","Patched","IKK","Csn","SHH","FOXC2","FUS","SMO","Jagged","NOTCH","LIV1","Frizzled","RAF","PI3K","DELTA","SNAI2","DSH","RAS","ZEB2","RKIP","cMet","CD44","SRC","STAT","TWIST1","EGR1","ERK","MEK","cfos","miR200","TGF","SOSGRB2","ZEB1"
"Frizzled",-0.26463768115942,-0.273333333333333,-0.127377220480669,-0.266666666666667,0.243977591036415,-0.110593512767426,-0.0295947581030603,-0.0667653276955603,0.0729371805219263,-0.0100367640956696,0.160480602534104,-0.0138462879051935,-0.00921052631578947,-0.00921052631578947,-0.0678571428571429,-0.0928571428571429,0.076386404293381,0.056760236069082,-0.0762247681396618,0.18,-0.1,-0.1,0.155,-0.0852813852813853,-0.1925,0.2,-0.10141041753945,-0.0573580642124094,-0.1,-0.109090909090909,-0.0512930778371955,0.0776610644257703,0.1,0.025,0.168489405331511,0.168489405331511,0.168489405331511,0.0305969215707604,0.1,0.156678381709463,-0.240664611654853,0.128571428571429,0.00921052631578947,0.00921052631578947,0.025,0,0.127366946778711,0.2,0.209411764705882,0.176078431372549,0.18,-0.215956439393939,0.269399585921325,0.293939393939394,-0.0431187882059368
"DSH",-0.269399585921325,-0.26463768115942,-0.122968867812455,-0.273333333333333,0.241064969677191,-0.124216701173223,-0.0337932313855031,-0.0688750323369105,0.0690502547268733,-0.0133315103111639,0.165484992349731,-0.0100367640956696,-0.0150928792569659,-0.00921052631578947,-0.0776610644257703,-0.0678571428571429,0.056760236069082,0.0707225002200254,-0.0604352944554513,0.1925,-0.2,-0.1,0.174540229885057,-0.10141041753945,-0.155,0.18,-0.0885269819566277,-0.0352801421344873,-0.109090909090909,-0.0852813852813853,-0.0458667212480482,0.071367358132064,0,0.00921052631578947,0.156678381709463,0.156678381709463,0.156678381709463,0.0353699134217499,0.025,0.165922079188455,-0.240664611654853,0.101298701298701,0.00921052631578947,0.0138462879051935,0.00921052631578947,0.025,0.117437868764527,0.18,0.176078431372549,0.19186790505676,0.209411764705882,-0.196444244271988,0.26347624097359,0.29150036954915,-0.0698904417492439
"CDC42",-0.0789915966386555,-0.080952380952381,0.00776785714285714,0.0142857142857143,0.191174603174603,-0.00663378815277549,0.0962853537717045,0.131018062397373,0.174828251809801,0.0995924637508796,0.172166246540375,0.105518389676806,0.0953216374269006,0.111111111111111,0.058974358974359,0.0666666666666667,0.0330687830687831,0.0346816862945895,-0.0262618690654673,0.0416666666666667,-0.1,-0.0666666666666667,0.0146929824561404,-0.0351766513056836,-0.00416666666666667,0.0666666666666667,-0.0265346759970416,0.0503299856527977,-0.0523809523809524,-0.0190476190476191,-0.0366319444444444,-0.0635897435897436,-0.1,-0.1,-0.13458605664488,-0.13458605664488,-0.13458605664488,0.0186238822005245,-0.1,-0.12848849566927,-0.196360352050425,0.00375291375291375,-0.111111111111111,-0.0975975975975976,-0.1,-0.1,0.0058008658008658,0.18,0.129565217391304,0.127870302137067,0.16,-0.195734657499363,0.0759612936083524,0.131944444444444,-0.100968523002421
"Jagged",-0.0888888888888889,-0.1,0.039463601532567,-0.2,0.188888888888889,-0.0166666666666667,0.0797374517374517,0.124285714285714,0.18780318273276,0.0846953046953047,0.201017543859649,0.0967832167832168,0.0876923076923077,0.08,-0.06,0,0.0166666666666667,0.0404761904761905,-0.116666666666667,0.1,0,0,0.0333333333333333,-0.0416666666666667,-0.0666666666666667,0,-0.0185897435897436,0.0585714285714286,-0.1,-0.0666666666666667,-0.0252813852813853,0.0314285714285714,0,-0.1,-0.12,-0.12,-0.12,0.0317998994469583,0,-0.12,-0.193236714975845,-0.00512820512820513,-0.08,-0.0876923076923077,-0.1,0,0.005,0.1,0.18,0.146666666666667,0.2,-0.185454545454545,0.0768888888888889,0.14,-0.105797101449275
"DELTA",-0.0888888888888889,-0.1,0.039463601532567,-0.2,0.188888888888889,-0.0166666666666667,0.0797374517374517,0.124285714285714,0.18780318273276,0.0846953046953047,0.201017543859649,0.0967832167832168,0.0876923076923077,0.08,-0.06,0,0.0166666666666667,0.0404761904761905,-0.116666666666667,0.1,0,0,0.0333333333333333,-0.0416666666666667,-0.0666666666666667,0,-0.0185897435897436,0.0585714285714286,-0.1,-0.0666666666666667,-0.0252813852813853,0.0314285714285714,0,-0.1,-0.12,-0.12,-0.12,0.0317998994469583,0,-0.12,-0.193236714975845,-0.00512820512820513,-0.08,-0.0876923076923077,-0.1,0,0.005,0.1,0.18,0.146666666666667,0.2,-0.185454545454545,0.0768888888888889,0.14,-0.105797101449275
"TrCP",-0.0759612936083524,-0.0789915966386555,0.0161314935064935,-0.080952380952381,0.194453291699193,-0.0130777022339211,0.0895184364784714,0.134162716485423,0.171897848879398,0.102213153406052,0.172235450692624,0.0995924637508796,0.10361432035373,0.0953216374269006,0.0635897435897436,0.058974358974359,0.0346816862945895,0.0282300733913637,-0.0262618690654673,0.00416666666666667,-0.0666666666666667,-0.0523809523809524,0.0091374269005848,-0.0265346759970416,-0.0146929824561404,0.0416666666666667,-0.0335346759970416,0.0503299856527977,-0.0190476190476191,-0.0351766513056836,-0.0323374659168371,-0.067985347985348,-0.1,-0.111111111111111,-0.12848849566927,-0.12848849566927,-0.12848849566927,0.0227830142077578,-0.1,-0.12757940476018,-0.190894114108303,0.00872528944352149,-0.0975975975975976,-0.105518389676806,-0.111111111111111,-0.1,0.00145303971390928,0.16,0.127870302137067,0.1212036354704,0.129565217391304,-0.201826028057739,0.0737755012586257,0.121053355335534,-0.0942161114268586
"PAK1",-0.0759612936083524,-0.0789915966386555,0.0161314935064935,-0.080952380952381,0.194453291699193,-0.0130777022339211,0.0895184364784714,0.134162716485423,0.171897848879398,0.102213153406052,0.172235450692624,0.0995924637508796,0.10361432035373,0.0953216374269006,0.0635897435897436,0.058974358974359,0.0346816862945895,0.0282300733913637,-0.0262618690654673,0.00416666666666667,-0.0666666666666667,-0.0523809523809524,0.0091374269005848,-0.0265346759970416,-0.0146929824561404,0.0416666666666667,-0.0335346759970416,0.0503299856527977,-0.0190476190476191,-0.0351766513056836,-0.0323374659168371,-0.067985347985348,-0.1,-0.111111111111111,-0.12848849566927,-0.12848849566927,-0.12848849566927,0.0227830142077578,-0.1,-0.12757940476018,-0.190894114108303,0.00872528944352149,-0.0975975975975976,-0.105518389676806,-0.111111111111111,-0.1,0.00145303971390928,0.16,0.127870302137067,0.1212036354704,0.129565217391304,-0.201826028057739,0.0737755012586257,0.121053355335534,-0.0942161114268586
"NOTCH",-0.0768888888888889,-0.0888888888888889,0.0326454197143852,-0.1,0.193236714975845,0.00333333333333334,0.0797374517374517,0.133719676549865,0.189373863361032,0.0916340802055088,0.190533672891907,0.0846953046953047,0.0967832167832168,0.0876923076923077,-0.0314285714285714,-0.06,0.0404761904761905,0.0271428571428571,-0.129710144927536,0.0666666666666667,0,-0.1,1.11022302462516e-17,-0.0185897435897436,-0.0333333333333333,0.1,-0.0303544494720965,0.0402040816326531,-0.0666666666666667,-0.0416666666666667,-0.028985088985089,-0.0588940092165899,0,-0.08,-0.12,-0.12,-0.12,0.0291543968014556,-0.1,-0.130144927536232,-0.185829307568438,0.0121131741821397,-0.0876923076923077,-0.0967832167832168,-0.08,-0.1,0.0100847457627119,0.2,0.146666666666667,0.110952380952381,0.18,-0.205454545454545,0.0768888888888889,0.134736842105263,-0.0835748792270531
"cateninmemb",-0.0479660014781966,-0.0435757575757576,-0.0467590865837135,-0.0529090909090909,0.108673230192218,-0.0362672051360255,-0.0495025248393548,-0.130543700777287,0.104600812328203,-0.0298307807703587,0.16424194967517,-0.0306711169048125,-0.0288340330518735,-0.0315006997185402,0.0269205347013269,0.0238277511961722,0.0273623188405797,0.0426165561287153,-0.0172281725380817,0.122857142857143,-0.1,-0.0333333333333333,0.111409331409331,-0.0599462365591398,-0.0932275132275132,0.08,-0.0473478113622894,0.0514987876432154,-0.0666666666666667,-0.0416666666666667,-0.036952863281278,-0.0287792707608064,0.0333333333333333,0.0297765617875057,0.0959125188536953,0.0959125188536953,0.0959125188536953,0.0456160948809819,0.0274509803921569,0.0981471557252037,-0.0949762299531936,0.00993771700031732,0.030646127004897,0.0283049898811512,0.0297765617875057,0.0274509803921569,0.0336678229330218,0.114545454545455,0.132010584927504,0.145736075123583,0.15572192513369,-0.0863836081154517,0.0456151877349778,0.125360356293822,0.0166233817048895
"HEY1",-0.0435757575757576,-0.0529090909090909,-0.0494080932062301,-0.0409090909090909,0.107407407407407,-0.0280393570347596,-0.0450290858831573,-0.131574628612339,-0.237717594059057,-0.0306711169048125,-0.258866290513517,-0.0283049898811512,-0.0315006997185402,-0.0297765617875057,0.0238277511961722,0.0290909090909091,0.052,0.0273623188405797,-0.0407181054239878,0.08,-0.1,0,0.0932275132275132,-0.0416666666666667,-0.122857142857143,0.1,-0.0599462365591398,0.038912975286236,-0.0333333333333333,-0.0666666666666667,-0.0463350143110263,-0.0269205347013269,0.0333333333333333,0.0274509803921569,0.101794871794872,0.101794871794872,0.101794871794872,0.0398966487641848,0.0333333333333333,0.0959125188536953,-0.0930804953560372,0.027540713254999,0.0297765617875057,0.030646127004897,0.0274509803921569,0.0333333333333333,0.0413028322440087,0.16,0.15572192513369,0.132010584927504,0.114545454545455,-0.0996052096052096,0.0479660014781966,0.120097198399085,0.0341589267285862
