"","cateninmemb","ZEB2","ZEB1","Ecadherin","PAK1","cateninnuc","Wnt","DSH","STAT","miR200","GSK3","IKK","RAF","RKIP","SMAD","AKT","cfos","ILK","HEY1","ERK","Jagged","MEK","EGR1","NOTCHic","NOTCH","Csl","KLF4","PI3K","DELTA","RAS","SNAI1","TWIST1","Patched","SMO","SHH","SOSGRB2","NFB","TrCP","LIV1","AXIN2","FOXC2","FUS","SRC","CDC42","TGFR","Frizzled","TGF","cMet","CD44","TCFLEF","Csn","GLI","SUFU","SNAI2","Destcompl"
"TGFR",0.134784667111019,-0.165757641175801,-0.165757641175801,0.0931376668437878,-0.137777777777778,0.122644820529051,0.104851752021563,0.114285714285714,0.133333333333333,-0.0983551178768086,0.15255544246927,0.012218045112782,0.0410714285714286,0.0991774891774892,-0.0253801358783565,0.0354738590662703,0.0639097744360902,-0.0136363636363636,0.0138235322420778,0.0439097744360902,0.0628052229408124,-0.0658275826552683,0.142857142857143,0.000344827586206893,0.0183304390969983,0.01,0.153685845047401,-0.0410714285714286,-0.0410714285714286,-0.037562656641604,-0.113151991478621,0.099180176617899,0.0172772988505747,0.0454022988505747,0.0201021576076369,0.0122319688109162,0.00357142857142857,-0.1,-0.1,-0.0933979759444709,0.0210346768287721,0.0833333333333333,-0.133333333333333,0.123492063492064,0.0145634920634921,-0.114285714285714,0.0152727119216481,-0.123899371069182,-0.11995200264813,-0.120430471547651,-0.025,-0.102916268150596,0.1,0.0584448337549497,-0.0735412446207388
"TGF",0.132475198288848,-0.155568961930518,-0.155568961930518,0.0907526583259002,-0.16,0.120430471547651,0.114285714285714,0.1,0.1,-0.0927832703694773,0.155244929021837,-0.00357142857142857,0.0535714285714286,0.0748917748917749,-0.0136363636363636,0.012218045112782,0.142857142857143,-0.0136363636363636,0.0197936814958092,0.0639097744360902,0.0649791359842906,-0.0439097744360902,0.2,-0.01,0.000344827586206893,-0.02,0.150114416475973,-0.0535714285714286,-0.0535714285714286,-0.0410714285714286,-0.111087094723458,0.0881481481481481,0.0454022988505747,0.0833333333333333,0.0172772988505747,0.0381578947368421,-0.025,-0.2,0,-0.0938271604938272,0.0223447204968944,0.1,-0.133333333333333,0.137777777777778,0.123492063492064,-0.114285714285714,0.0145634920634921,-0.133333333333333,-0.123899371069182,-0.11995200264813,-0.1,-0.104851752021563,0,0.0554355744956904,-0.0727347930078356
"Destcompl",0.280201143153037,-0.155409747000866,-0.155409747000866,0.147461794508931,0.138163265306122,0.231547078992772,0.228073580352164,0.218253968253968,0.218253968253968,-0.101189810373976,-0.0743104446719407,-0.0384981254546472,0.0141459792560098,0.114175134532186,-0.162510442773601,-0.0291021523002848,0.0783216783216783,-0.158650793650794,-0.169393341701034,0.0712178531850663,0.272752355013631,-0.0758592033960368,0.102564102564103,-0.127064238151195,-0.122855821317527,0.125977281629456,0.144055188801367,-0.0141459792560098,-0.0141459792560098,-0.0147739227410962,-0.119277058147201,-0.0540838897021613,-0.0400832645606632,-0.0219485495347564,-0.0456925488933518,-0.123952903379951,0.0412008281573499,-0.0333333333333333,-0.211111111111111,-0.113738596046599,-0.114318202528054,-0.00766283524904215,-0.225103283322461,-0.144370161857847,-0.150685951331531,-0.225103283322461,-0.154331271528575,-0.228585870387138,-0.229705273372213,-0.230527191180432,0.0238095238095238,-0.229372281650866,-0.0111111111111111,-0.279225750005348,-0.0253318886738232
"ZEB2",-0.157216153827245,-0.151875821932166,-0.151875821932166,-0.142391091335228,-0.133766233766234,-0.131267598502587,-0.13011655011655,-0.109090909090909,-0.1,-0.0992167962443573,-0.0682566621550459,-0.0580555555555555,-0.0533333333333333,-0.0451207729468599,-0.0421574097493026,-0.0365602284527518,-0.0346491228070175,-0.0238647268224733,-0.0213771712158809,-0.0152942840973401,-0.0129725913699377,-0.00909595980509891,-0.00833333333333333,-0.00533333333333333,0.0116065573770492,0.0333333333333333,0.043907217732047,0.0533333333333333,0.0533333333333333,0.0556887937187723,0.0579051464161511,0.0579424336178725,0.0659581881533101,0.0757142857142857,0.0777763699714919,0.0846703296703297,0.0958333333333333,0.1,0.1,0.100136187883693,0.101973581973582,0.107142857142857,0.113333333333333,0.117402597402597,0.119443413729128,0.122424242424242,0.123676217961932,0.123859649122807,0.130341130604288,0.131397468632458,0.133333333333333,0.135621137272513,0.15,0.15379489134371,0.15610244033097
"SHH",0.187240143369176,-0.15,-0.15,0.0994444444444444,0.2,0.167777777777778,0.2,0.2,0.1,-0.0666666666666667,0.241025641025641,-0.1,0.25,0,-0.2,-0.2,0.1,-0.2,-0.2,0.1,0.231428571428571,-0.12,0,-0.2,-0.266666666666667,0.1,0.2,-0.25,-0.25,-0.288461538461538,0.05,-0.075,0,-0.1,-0.04,-0.2,0,0,0,-0.0476190476190476,-0.05,0,-0.1,-0.233333333333333,-0.233333333333333,-0.2,-0.193333333333333,-0.1,-0.15,-0.156666666666667,0,-0.25,0,-0.270574712643678,-0.231948051948052
"STAT",-0.198290204281173,-0.12258382642998,-0.12258382642998,-0.1246218477144,-0.109090909090909,-0.157183599052628,-0.140422077922078,-0.114285714285714,-0.114285714285714,-0.0622200709279299,-0.15033155318202,-0.0966666666666667,-0.157955955334988,-0.00943693693693693,-0.0723055139097118,-0.0610734463276836,0.0933333333333334,-0.0596618357487923,-0.0713333333333333,0.0874509803921569,0.00815206374724775,-0.107881087919039,0.133333333333333,-0.0246952835188129,0.00151830871419679,0.0490196078431372,0.0126064567241038,0.157955955334988,0.157955955334988,0.165418641902152,0.00908157965708067,0.178134525810688,0.124767441860465,0.155,0.129192220621527,0.1561986863711,0.13,0.1,0,0.0989814107461166,0.0918309475119291,0.175,0.126785714285714,0.102840909090909,0.100209330143541,0.126785714285714,0.102624789080739,0.140422077922078,0.151533189033189,0.155634135405429,0.15,0.14966577540107,0.2,0.208556628660766,0.174114535790487
"TWIST1",0.182511879760736,-0.12183148060341,-0.12183148060341,0.149733714292283,0.0109090909090909,0.145017857959036,0.142046783625731,0.133333333333333,0.133333333333333,-0.0979167103378402,0.164922574693066,-0.0122710622710623,0.0881127022999256,0.100377276464233,-0.0426133604351426,-0.0173558080337741,-0.0423188405797102,-0.0515242515242515,-0.0467436518283976,-0.0528451563691838,0.0708648897272081,0.0613028678119699,-0.0466666666666667,-0.0739031339031339,-0.0786201150352094,0.0585185185185185,0.115832812174276,-0.0881127022999256,-0.0881127022999256,-0.0884551680533502,-0.0898168291208003,-0.114378291743852,-0.173369863013699,-0.172,-0.182729468925029,-0.0606700698233879,-0.0115384615384615,-0.1,-0.133333333333333,-0.105376451505484,0.00336671018403952,-0.2,-0.138888888888889,-0.00401253918495298,-0.00651253918495298,-0.138888888888889,-0.00901823394577302,-0.143144208037825,-0.145152240166339,-0.145305379523154,-0.05,-0.143646783625731,-0.233333333333333,0.146274291339774,-0.170695462944013
"SMAD",0.15872557015128,-0.118369385507005,-0.118369385507005,0.11021081677217,-0.0357142857142857,0.135138570161939,0.108730158730159,0.114285714285714,0.134285714285714,-0.0595234838863743,0.143197061918866,-0.0618113912231559,0.20878080871094,0.00926595360112276,-0.0975859756681675,-0.0658113912231559,0.0188940092165899,0.0157473576651659,0.0484703715302683,0.0514521487514736,0.0613061024996509,-0.0677983025976274,0.0285714285714286,-0.0884729064039409,-0.0900602079912425,0.105714285714286,0.113484633987,-0.20878080871094,-0.20878080871094,-0.212399229763571,0.00927959450943322,-0.0122859542173011,-0.0155733944954128,-0.0275,-0.00553621977422325,-0.0561446317657498,0.0873015873015873,0.1,-0.12,-0.0940365216144439,0.0328670958768816,0.0125,-0.128730158730159,0.0202213279678068,0.0207799871856839,-0.108730158730159,0.0267560828032138,-0.126769374416433,-0.129314828961888,-0.13270695921969,0.111111111111111,-0.112327281032317,0.05,-0.0232769868009303,-0.0791402341972
"SUFU",0.196972612642984,-0.108492873680313,-0.108492873680313,0.114559274390938,0.201666666666667,0.171625889415848,0.261111111111111,0.25,0.156666666666667,-0.05239363503564,0.237773682020981,-0.27989010989011,0.295727076188765,-0.0186630666012109,-0.124251007214577,-0.264453868279372,0.0328205128205128,-0.117091653865847,-0.145129011027387,0.0247745358090186,0.21234393820806,-0.0345617698515718,0.0661538461538461,-0.343030303030303,-0.334300144300144,0.34530303030303,0.0942963799177601,-0.295727076188765,-0.295727076188765,-0.296676443277373,0.0318701689569892,-0.0950697351201385,-0.104015151515152,-0.0747222222222222,-0.105945653445653,-0.218126610231873,0.291428571428571,0.2,-0.15,-0.0533548214183306,-0.0714653708799251,-0.0525,-0.167777777777778,-0.209774774774775,-0.218285413072647,-0.261111111111111,-0.22084951563675,-0.168748651564186,-0.168748651564186,-0.169835608085925,0.271428571428571,-0.262226352746799,-0.04,-0.306234918605588,-0.243159273062515
"Patched",0.190017921146953,-0.108333333333333,-0.108333333333333,0.102357065803668,0.233333333333333,0.168748651564186,0.25,0.2,0.1,-0.0452380952380952,0.236263736263736,-0.2,0.288461538461538,-0.0428571428571429,-0.16,-0.271428571428571,0.1,-0.2,-0.207692307692308,0.12,0.235132275132275,-0.0661538461538461,0.1,-0.266666666666667,-0.33030303030303,0.2,0.144444444444444,-0.288461538461538,-0.288461538461538,-0.294711538461538,0.0532258064516129,-0.100925925925926,-0.04,0,-0.0525,-0.2,0.1,0,-0.1,-0.0476190476190476,-0.05,-0.1,-0.1,-0.233333333333333,-0.193333333333333,-0.2,-0.201666666666667,-0.15,-0.156666666666667,-0.167777777777778,0,-0.25,0,-0.290574712643678,-0.237442557442557
