"","GSK3","ZEB2","STAT","LIV1","Frizzled","Wnt","SRC","GLI","cMet","cateninnuc","TCFLEF","CD44","cateninmemb","RAS","RAF","PI3K","DELTA","miR200","Ecadherin","Csn","NOTCHic","SNAI1","Jagged","Csl","SUFU","NOTCH","TWIST1","NFB","RKIP","SMAD","FUS","SHH","TrCP","Patched","PAK1","AKT","SMO","CDC42","IKK","SNAI2","ILK","HEY1","TGFR","TGF","cfos","FOXC2","KLF4","ERK","SOSGRB2","MEK","ZEB1","EGR1","AXIN2","Destcompl","DSH"
"Ecadherin",0.300321760310881,-0.267299923211989,0.419607843137255,0.366666666666667,0.445189238486092,0.465878893658506,0.445189238486092,0.478545560325173,0.466928368920875,0.497435536684112,0.490806218290088,0.479971847181744,0.506771656527754,0.438984154469695,0.426134992458522,0.426134992458522,0.426134992458522,-0.081775658647167,0.201203512366482,0.3,0.107816307403936,0.339364572275153,0.435645622164994,0.110909090909091,0.3,0.105957571344457,0.493182385803483,0.342857142857143,0.35670879860286,-0.0506464540127031,-0.35,-0.407241131148929,0.2,-0.395430107526882,0.368,0.388263588263588,0.375,0.414666666666667,0.368783068783069,-0.237259400372574,0.0470144927536232,0.0258286206489917,0.437593495934959,0.455495846748703,0.364705882352941,0.452633332456579,0.210032817627754,0.41728320194057,0.505457253769071,0.450616535273903,-0.20369795411305,0.3,-0.217220801403436,-0.319589782201956,-0.419607843137255
"cateninmemb",0.300321760310881,-0.267299923211989,0.419607843137255,0.366666666666667,0.445189238486092,0.465878893658506,0.445189238486092,0.478545560325173,0.466928368920875,0.497435536684112,0.490806218290088,0.479971847181744,0.411428452346592,0.438984154469695,0.426134992458522,0.426134992458522,0.426134992458522,-0.081775658647167,0.229790741444625,0.3,0.107816307403936,0.339364572275153,0.435645622164994,0.110909090909091,0.3,0.105957571344457,0.493182385803483,0.342857142857143,0.35670879860286,-0.0506464540127031,-0.35,-0.407241131148929,0.2,-0.395430107526882,0.368,0.388263588263588,0.375,0.414666666666667,0.368783068783069,-0.237259400372574,0.0470144927536232,0.0258286206489917,0.437593495934959,0.455495846748703,0.364705882352941,0.452633332456579,0.210032817627754,0.41728320194057,0.505457253769071,0.450616535273903,-0.20369795411305,0.3,-0.217220801403436,-0.319589782201956,-0.419607843137255
"KLF4",0.294361495410219,-0.260190918472652,0.366666666666667,0.3,0.419607843137255,0.445189238486092,0.419607843137255,0.465878893658506,0.445189238486092,0.490806218290088,0.479971847181744,0.466928368920875,0.499720374476472,0.426134992458522,0.406282051282051,0.406282051282051,0.406282051282051,-0.0804721204721205,0.296919189094817,0.2,0.110909090909091,0.328605078604267,0.428094134750806,0.110909090909091,0.2,0.107816307403936,0.479960784313726,0.3,0.334611420325706,-0.0470144927536232,-0.3,-0.395430107526882,0.1,-0.375,0.3,0.368783068783069,0.35,0.368,0.342857142857143,-0.23214200121544,0.0426666666666667,0.0211306340718105,0.414666666666667,0.437593495934959,0.3,0.435470861060698,0.203703703703704,0.364705882352941,0.460720411663808,0.41728320194057,-0.193271413828689,0.2,-0.213715646764261,-0.315489129825441,-0.366666666666667
"HEY1",0.294361495410219,-0.260190918472652,0.366666666666667,0.3,0.419607843137255,0.445189238486092,0.419607843137255,0.465878893658506,0.445189238486092,0.490806218290088,0.479971847181744,0.466928368920875,0.499720374476472,0.426134992458522,0.406282051282051,0.406282051282051,0.406282051282051,-0.0804721204721205,0.296919189094817,0.2,0.110909090909091,0.328605078604267,0.428094134750806,0.110909090909091,0.2,0.107816307403936,0.479960784313726,0.3,0.334611420325706,-0.0470144927536232,-0.3,-0.395430107526882,0.1,-0.375,0.3,0.368783068783069,0.35,0.368,0.342857142857143,-0.23214200121544,0.0426666666666667,0.0211306340718105,0.414666666666667,0.437593495934959,0.3,0.435470861060698,0.203703703703704,0.364705882352941,0.460720411663808,0.41728320194057,-0.193271413828689,0.2,-0.213715646764261,-0.315489129825441,-0.366666666666667
"FOXC2",0.294361495410219,-0.260190918472652,0.366666666666667,0.3,0.419607843137255,0.445189238486092,0.419607843137255,0.465878893658506,0.445189238486092,0.490806218290088,0.479971847181744,0.466928368920875,0.499720374476472,0.426134992458522,0.406282051282051,0.406282051282051,0.406282051282051,-0.0804721204721205,0.296919189094817,0.2,0.110909090909091,0.328605078604267,0.428094134750806,0.110909090909091,0.2,0.107816307403936,0.479960784313726,0.3,0.334611420325706,-0.0470144927536232,-0.3,-0.395430107526882,0.1,-0.375,0.3,0.368783068783069,0.35,0.368,0.342857142857143,-0.23214200121544,0.0426666666666667,0.0211306340718105,0.414666666666667,0.437593495934959,0.3,0.435470861060698,0.203703703703704,0.364705882352941,0.460720411663808,0.41728320194057,-0.193271413828689,0.2,-0.213715646764261,-0.315489129825441,-0.366666666666667
"TWIST1",0.2117676336307,-0.25994239853889,0.228571428571429,0.2,0.261904761904762,0.273483709273183,0.261904761904762,0.287883709273183,0.27467071935157,0.303992007438134,0.297033985586495,0.289530157102574,0.299335332652729,0.290214827646226,0.27651619750924,0.27651619750924,0.27651619750924,-0.100255738392202,0.23891576468118,0.25,-0.00113960113960114,0.312851492835619,0.168215767710365,-0.0037037037037037,0.233333333333333,-0.00491318604526152,0.317112255275871,0.288461538461538,0.323517401778271,-0.0905614885812906,-0.266666666666667,-0.315804935105833,0.2,-0.304474885844749,0.323636363636364,0.329220214813435,0.286666666666667,0.354670846394984,0.312271062271062,-0.161340292741969,0.0895713895713896,0.0875954553920656,0.379670846394984,0.392199320199085,0.336521739130435,0.401118096082462,0.236376902230561,0.378627002288329,0.428361595180817,0.409970285870419,-0.209732539557101,0.28,-0.169181141439206,-0.227388075285248,-0.228571428571429
"cateninnuc",0.258264877677791,-0.2325673781647,0.286480186480187,0.278787878787879,0.304288405658269,0.311897101310443,0.305924630924631,0.320988010401352,0.313533326576805,0.231224331072935,0.327164679043109,0.323057136100614,0.27011886229685,0.400631300631301,0.391708741708742,0.391708741708742,0.391708741708742,-0.0432699127542173,0.128594877706437,0.325,-0.00254383275668258,0.30272788953688,0.280827775065253,-0.00138104205900816,0.233333333333333,-0.00618019639304622,0.338193693541708,0.340151515151515,0.334642672464012,-0.0260321574741766,-0.243333333333333,-0.273209311601413,0.3,-0.268198418355225,0.378857142857143,0.367870265151515,0.261366120218579,0.388087912087912,0.356151515151515,-0.115845837853186,0.0267142857142857,0.0179873524871782,0.403030440823544,0.411545724666339,0.393857832988268,0.411328250983989,0.166948778781519,0.41537682033004,0.492620843685968,0.437395168953893,-0.146028007714544,0.347826086956522,-0.117664977671919,-0.273990496747138,-0.286480186480187
"SNAI2",0.172840308333951,-0.165393119362282,0.169090909090909,0.16,0.197662337662338,0.201887689775014,0.197662337662338,0.213117636299078,0.201887689775014,0.222655584012132,0.217220801403436,0.213715646764261,0.218332576906891,0.231801408789879,0.221755746689422,0.221755746689422,0.221755746689422,-0.0716961044325593,0.106847493325115,0.133333333333333,0.081140350877193,0.18079400211148,0.197539862686897,0.0758771929824561,0.1,0.0772442469810891,0.230257560771391,0.183333333333333,0.187397435897436,-0.0321482322964903,-0.16,-0.19771029538576,0.1,-0.187851140456183,0.186274509803922,0.211418086137654,0.177647058823529,0.205322128851541,0.200574712643678,-0.118820032152692,0.0345405767940979,0.0173447860156721,0.228399051928464,0.234610232052687,0.207843137254902,0.250701868134566,0.140192307692308,0.237254901960784,0.267613252197431,0.261579226285109,-0.128774491294315,0.166666666666667,-0.127370208337287,-0.181632076784014,-0.169090909090909
"TGFR",-0.0169163033133674,-0.151591141325609,0,0,0.00571428571428572,0.018921832884097,0.02,0.0273089296582906,0.0332075471698113,0.0441676210803304,0.0430161596100027,0.0411022840119166,0.0478673286312325,0.221313700918964,0.214880952380952,0.214880952380952,0.214880952380952,-0.0215073426141279,0.0477810289976868,0.166666666666667,-0.183563218390805,0.211948543545486,-0.0449315382809332,-0.176666666666667,0.0466666666666667,-0.188599189613826,0.203127059443785,0.180952380952381,0.288744588744589,-0.0602197500200026,-0.0633333333333333,-0.071336693941165,0.166666666666667,-0.0730316091954023,0.357777777777778,0.21828408229877,0.0667816091954023,0.357777777777778,0.202005012531328,-0.00758612973786913,0.0676930596285435,0.0934399568886708,0.279206349206349,0.294099966227626,0.469172932330827,0.294880116086685,0.144096654680179,0.493617376775272,0.516374269005848,0.516905048008148,-0.155664245756211,0.442857142857143,-0.021852078933624,-0.0225935641644254,0.0142857142857143
"TGF",-0.0176497996458858,-0.144421330004854,0,0,-0.0142857142857143,0.00571428571428572,0,0.018921832884097,0.02,0.0430161596100027,0.0411022840119166,0.0332075471698113,0.0467125942201471,0.214880952380952,0.204166666666667,0.204166666666667,0.204166666666667,-0.0241466388018112,0.0464181669874654,0.166666666666667,-0.176666666666667,0.210473617291799,-0.0529025527736868,-0.166666666666667,0.0666666666666667,-0.183563218390805,0.193518518518519,0.166666666666667,0.274458874458874,-0.0676930596285435,-0.0466666666666667,-0.0730316091954023,0.2,-0.0667816091954023,0.38,0.202005012531328,0.0633333333333333,0.357777777777778,0.180952380952381,-0.00642872233046173,0.0757575757575758,0.100902643455835,0.357777777777778,0.279206349206349,0.442857142857143,0.279596273291925,0.126239511823036,0.469172932330827,0.505263157894737,0.493617376775272,-0.151513302359984,0.4,-0.017989417989418,-0.0221903383579738,0
