"","ZEB1","miR200","GSK3","ZEB2","CDC42","Destcompl","DELTA","FOXC2","RKIP","SNAI1","AXIN2","SRC","cateninmemb","ERK","cMet","Csn","TCFLEF","cateninnuc","MEK","Csl","NOTCH","TrCP","STAT","LIV1","EGR1","NOTCHic","KLF4","DSH","CD44","NFB","AKT","IKK","SHH","Jagged","cfos","GLI","Wnt","Patched","SMO","HEY1","TWIST1","SOSGRB2","SUFU","FUS","SMAD","ILK","Frizzled","RAS","RAF","PI3K","Ecadherin","SNAI2","PAK1","TGF","TGFR"
"NOTCH",-0.259742351046699,-0.162337662337662,0.196185997910136,-0.109339774557166,-0.0111111111111111,0.234654061270884,-0.0242424242424242,-0.192244897959184,0.0137046861184792,0.0524358974358975,0.187385444743935,0.12,0.11488583093037,-0.0133333333333333,0.127692307692308,0,0.169250749250749,0.177822177822178,-0.0204761904761905,0.04,-0.0917972350230415,0,0.1,0,0,0.0114285714285714,-0.124154589371981,-0.1,-0.154965034965035,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0506410256410256,0.128734968734969,-0.02,-0.154965034965035,-0.127692307692308,0.0506410256410256,0.0583333333333333,0.00434782608695651,0.15664406779661,0.0357894736842105,0,0.0333333333333333,0.101428571428571,0.104761904761905,-0.12,0.0285902503293808,0.0242424242424242,0.0242424242424242,0.253611771363894,0.324139912375206,0,0.0134336917562724,0.0231111111111111
"STAT",-0.251568943876636,-0.15997211145216,-0.0334423676012461,-0.106508875739645,-0.0215909090909091,-0.0499172247986509,0.0494313482216708,-0.148738922972052,0.0183204633204633,0.0458209607346892,-0.0372090654443596,0.00178571428571429,0.026116064822204,-0.0184313725490196,0.0108766233766234,-0.05,0.0118634388744799,0.0131745234990329,-0.0130550284629981,-0.0509803921568627,-0.0516101481264245,0,0.0142857142857143,0.1,-0.0333333333333333,-0.0428722840487546,-0.0158447217270747,-0.0142857142857143,-0.0134407259407259,0.07,0.0737126715092817,0.0652380952380952,0.0691153872538931,0.0638371253159986,0.00666666666666667,-0.0133976317799847,-0.0108766233766234,0.0753100775193798,0.0683333333333333,0.101333333333333,0.0341059989485777,-0.072495894909688,0.05,0.075,0.0959076017546782,0.0993558776167472,-0.00178571428571429,-0.0509238855351036,-0.0494313482216708,-0.0494313482216708,0.0982134428223888,0.0901777938732625,0.00909090909090909,0.0139122922589742,0.0163277511961723
"cfos",-0.253180368192475,-0.162944571768101,0.222123917748918,-0.100941619585687,-0.0285714285714286,0.267128037937167,-0.0110566448801743,-0.187416820386691,0.0160606060606061,0.0519118855827717,0.221050903119869,0.15,0.139834966628949,-0.0217391304347826,0.175925925925926,-0.0333333333333333,0.196370132508746,0.206740502879117,-0.00987472365512159,-0.1,-0.109230769230769,0,0.15,0.1,0.08,-0.0923076923076923,-0.109396825396825,-0.15,-0.189439439439439,0.0833333333333333,0.081359649122807,0.0708333333333333,0.0516385048643113,0.132916666666667,0,-0.189083820662768,-0.175925925925926,0.0627496159754224,0.0595238095238095,0.104347826086957,0.15574025974026,0.0305555555555556,0.0333333333333333,0.0761904761904762,0.0946065881549753,0.101058201058201,-0.15,0.00617859609968649,0.0110566448801743,0.0110566448801743,0.267437187947909,0.348027617151705,0.0142857142857143,0.0157372039724981,0.0187675070028011
"NOTCHic",-0.26048309178744,-0.168696043840553,0.215194262372946,-0.0997101449275362,-0.0231111111111111,0.25332072793755,-0.0285902503293808,-0.206761026991442,0.0263807424565074,0.0624888074888075,0.205441000299491,0.127692307692308,0.112248914094671,-0.0204761904761905,0.154965034965035,-0.0333333333333333,0.177822177822178,0.189272559501567,-0.0119047619047619,0.0114285714285714,-0.107586708707252,0,0.12,0.1,-0.02,-0.0917972350230415,-0.106297446514838,-0.12,-0.169250749250749,0.0666666666666667,0.0736434108527132,0.0666666666666667,0.0388130686517783,0.136019736946889,0.0133333333333333,-0.168943529588691,-0.154965034965035,0.0506410256410256,0.0506410256410256,0.00588628762541805,0.169851614966421,0.0403349282296651,0.0333333333333333,0.0583333333333333,0.0963926002055498,0.101428571428571,-0.127692307692308,0.0231715311175581,0.0285902503293808,0.0285902503293808,0.262646993415961,0.335562758066589,0.0111111111111111,0.0102489783804762,0.0134336917562724
"SNAI1",-0.267984021052154,-0.17610304395172,0.249904295786722,-0.0975276433237383,-0.0157372039724981,0.294200406358219,-0.00208768700877739,-0.207146040909848,0.0329518887994581,-0.0338150188414208,0.24223223750875,0.189439439439439,0.13686034194448,-0.00587472365512159,0.196370132508746,-0.0708333333333333,0.216257744258427,0.223898425724612,0.000403303250708006,-0.109230769230769,-0.115384615384615,-0.0833333333333333,0.175925925925926,0.15,0.0217391304347826,-0.112527472527473,-0.0944946242835013,-0.175925925925926,-0.206740502879117,0.081359649122807,0.0776559454191033,0.0776559454191033,0.0370074369031463,0.139698333934801,0.00987472365512159,-0.207186999866407,-0.1964008938335,0.0426385048643113,0.0516385048643113,0.0981153330897576,0.173830560743604,0.0324909189032111,0.0595238095238095,0.0627496159754224,0.0904594628127541,0.0900904591227172,-0.189083820662768,0.000281447271503175,0.00208768700877739,0.00208768700877739,0.279631737310777,0.367480769099542,0.0187675070028011,0.0118536767382305,0.0124585154479079
"Csl",-0.268770384605119,-0.175885586324213,0.231541832328763,-0.097500200176155,-0.0134336917562724,0.269103787047849,-0.0231715311175581,-0.218255279865005,0.0360581618113461,0.0699986889117324,0.217523262510288,0.154965034965035,0.111025672504457,-0.0119047619047619,0.169250749250749,-0.0666666666666667,0.189272559501567,0.199735681285444,-0.00755693581780538,-0.0917972350230415,-0.111223072343616,-0.0333333333333333,0.127692307692308,0.12,0.0133333333333333,-0.107586708707252,-0.0962974465148378,-0.127692307692308,-0.177822177822178,0.0666666666666667,0.0697674418604651,0.0736434108527132,0.0301923789966059,0.139665570280223,0.0204761904761905,-0.177814497330626,-0.168943529588691,0.0388130686517783,0.0506410256410256,0.00392550331169256,0.179558161241817,0.0411479363597464,0.0583333333333333,0.0506410256410256,0.0919481557611054,0.0963926002055498,-0.154965034965035,0.0191274134704993,0.0231715311175581,0.0231715311175581,0.26950745853224,0.346823011608722,0.0231111111111111,0.00775464731471659,0.0102489783804762
"TrCP",-0.261218953401478,-0.170051170752873,0.237033008658009,-0.097404642093726,-0.0187675070028011,0.28186488004243,-0.00617859609968649,-0.199140958317726,0.0287677883810481,0.0583557996639173,0.23174272701924,0.175925925925926,0.138552915346898,-0.00987472365512159,0.189439439439439,-0.0833333333333333,0.206740502879117,0.216257744258427,-0.00587472365512159,-0.0923076923076923,-0.112527472527473,-0.0333333333333333,0.15,0.15,0,-0.109230769230769,-0.0979214155607598,-0.15,-0.196370132508746,0.0708333333333333,0.0776559454191033,0.081359649122807,0.0426385048643113,0.134757157464213,0.0217391304347826,-0.1964008938335,-0.189083820662768,0.0516385048643113,0.0627496159754224,0.102877237851662,0.165522868435912,0.0275852585258526,0.0761904761904762,0.0595238095238095,0.0900904591227172,0.0946065881549753,-0.175925925925926,0.00208768700877739,0.00617859609968649,0.00617859609968649,0.273596357498082,0.357792535777383,0.0285714285714286,0.0124585154479079,0.0157372039724981
"PAK1",-0.261218953401478,-0.170051170752873,0.237033008658009,-0.097404642093726,-0.0187675070028011,0.28186488004243,-0.00617859609968649,-0.199140958317726,0.0287677883810481,0.0583557996639173,0.23174272701924,0.175925925925926,0.138552915346898,-0.00987472365512159,0.189439439439439,-0.0833333333333333,0.206740502879117,0.216257744258427,-0.00587472365512159,-0.0923076923076923,-0.112527472527473,-0.0333333333333333,0.15,0.15,0,-0.109230769230769,-0.0979214155607598,-0.15,-0.196370132508746,0.0708333333333333,0.0776559454191033,0.081359649122807,0.0426385048643113,0.134757157464213,0.0217391304347826,-0.1964008938335,-0.189083820662768,0.0516385048643113,0.0627496159754224,0.102877237851662,0.165522868435912,0.0275852585258526,0.0761904761904762,0.0595238095238095,0.0900904591227172,0.0946065881549753,-0.175925925925926,0.00208768700877739,0.00617859609968649,0.00617859609968649,0.273596357498082,0.357792535777383,0.0285714285714286,0.0124585154479079,0.0157372039724981
"LIV1",-0.261218953401478,-0.170051170752873,0.237033008658009,-0.097404642093726,-0.0187675070028011,0.28186488004243,-0.00617859609968649,-0.199140958317726,0.0287677883810481,0.0583557996639173,0.23174272701924,0.175925925925926,0.138552915346898,-0.00987472365512159,0.189439439439439,-0.0833333333333333,0.206740502879117,0.216257744258427,-0.00587472365512159,-0.0923076923076923,-0.112527472527473,-0.0333333333333333,0.15,0.15,0,-0.109230769230769,-0.0979214155607598,-0.15,-0.196370132508746,0.0708333333333333,0.0776559454191033,0.081359649122807,0.0426385048643113,0.134757157464213,0.0217391304347826,-0.1964008938335,-0.189083820662768,0.0516385048643113,0.0627496159754224,0.102877237851662,0.165522868435912,0.0275852585258526,0.0761904761904762,0.0595238095238095,0.0900904591227172,0.0946065881549753,-0.175925925925926,0.00208768700877739,0.00617859609968649,0.00617859609968649,0.273596357498082,0.357792535777383,0.0285714285714286,0.0124585154479079,0.0157372039724981
"EGR1",-0.261218953401478,-0.170051170752873,0.237033008658009,-0.097404642093726,-0.0187675070028011,0.28186488004243,-0.00617859609968649,-0.199140958317726,0.0287677883810481,0.0583557996639173,0.23174272701924,0.175925925925926,0.138552915346898,-0.00987472365512159,0.189439439439439,-0.0833333333333333,0.206740502879117,0.216257744258427,-0.00587472365512159,-0.0923076923076923,-0.112527472527473,-0.0333333333333333,0.15,0.15,0,-0.109230769230769,-0.0979214155607598,-0.15,-0.196370132508746,0.0708333333333333,0.0776559454191033,0.081359649122807,0.0426385048643113,0.134757157464213,0.0217391304347826,-0.1964008938335,-0.189083820662768,0.0516385048643113,0.0627496159754224,0.102877237851662,0.165522868435912,0.0275852585258526,0.0761904761904762,0.0595238095238095,0.0900904591227172,0.0946065881549753,-0.175925925925926,0.00208768700877739,0.00617859609968649,0.00617859609968649,0.273596357498082,0.357792535777383,0.0285714285714286,0.0124585154479079,0.0157372039724981
