"","KLF4","PAK1","SMO","Patched","IKK","SHH","AKT","NFB","NOTCHic","NOTCH","Csl","Jagged","EGR1","AXIN2","MEK","ERK","Ecadherin","cateninnuc","DSH","TWIST1","Destcompl","DELTA","SOSGRB2","cateninmemb","GSK3","SNAI2","RAF","PI3K","RAS","LIV1","Frizzled","Wnt","STAT","SRC","GLI","miR200","cMet","CD44","TCFLEF","cfos","SNAI1","Csn","RKIP","TrCP","SUFU","FUS","TGF","CDC42","TGFR","ZEB2","ZEB1","HEY1","ILK","FOXC2","SMAD"
"TGFR",0.316990392648287,0.333333333333333,0.284137931034483,0.287262931034483,0.155075187969925,0.277658411260471,0.159726350760622,0.139285714285714,0.333793103448276,0.333073678987844,0.32,0.239264103220849,0.0761904761904762,0.0542594863410314,0.102756205582449,0.0986466165413534,0.0832223720191492,0.0546108205867833,0.0142857142857143,0.252491103202847,-0.00417916586658896,0.101190476190476,0.183625730994152,0.0302497612951749,-0.025232011059216,0.0178998063583813,-0.101190476190476,-0.101190476190476,-0.0970969089390142,0,-0.0242857142857143,-0.0337196765498652,-0.0333333333333333,-0.0433333333333333,-0.0317841926788975,-0.181643043336592,-0.0527672955974843,-0.0527672955974843,-0.056116577894135,-0.0919799498746867,-0.295294019469402,-0.125,-0.203116883116883,-0.1,-0.26,-0.26,-0.422023809523809,-0.323809523809524,-0.422023809523809,-0.319664369614717,-0.319664369614717,-0.250793421673066,-0.295777126099707,-0.431111977542109,-0.297556485530312
"TGF",0.315204678362573,0.3,0.26,0.284137931034483,0.139285714285714,0.287262931034483,0.155075187969925,0.125,0.32,0.333793103448276,0.34,0.243611929307806,0.0333333333333333,0.0503968253968254,0.0986466165413534,0.0919799498746867,0.0827112987653162,0.056116577894135,0,0.25,-0.00982432715691154,0.0958333333333333,0.194736842105263,0.0316354425884775,-0.0200975367315876,0.0190572137657887,-0.0958333333333333,-0.0958333333333333,-0.101190476190476,0,-0.0142857142857143,-0.0242857142857143,0,-0.0333333333333333,-0.0337196765498652,-0.180176767676768,-0.0433333333333333,-0.0527672955974843,-0.0527672955974843,-0.0761904761904762,-0.307978385251113,-0.1,-0.197402597402597,0,-0.2,-0.26,-0.422023809523809,-0.333333333333333,-0.323809523809524,-0.317022860180755,-0.317022860180755,-0.262733720180529,-0.305454545454545,-0.428928571428571,-0.295777126099707
"Patched",0.283333333333333,0.3,0.333333333333333,0.253333333333333,0.1,0.253333333333333,0.142857142857143,0.1,0.0333333333333333,0.0242424242424242,0,0.145396825396825,0.1,-0.265800865800866,0.298461538461538,0.26,-0.0256850053937433,-0.119568500539374,-0.2,0.175925925925926,-0.0454745254745255,-0.0423076923076923,0.25,0.0924551971326165,-0.0673992673992674,0.333701149425287,0.0423076923076923,0.0423076923076923,0.0673076923076923,0.1,0.2,0.2,0.1,0.1,0.225,-0.164285714285714,0.1,0.12,0.108888888888889,-0.2,-0.217204301075269,0,-0.262857142857143,0,-0.2,-0.3,-0.436666666666667,-0.4,-0.42,-0.291666666666667,-0.291666666666667,-0.058974358974359,-0.0666666666666667,-0.345,-0.0666666666666667
"SMO",0.3,0.4,0.253333333333333,0.253333333333333,0.142857142857143,0.264444444444444,0.138857142857143,0.1,0.0242424242424242,0.0342424242424242,0.0333333333333333,0.138253968253968,0.2,-0.265800865800866,0.313613053613054,0.298461538461538,-0.0238399869435588,-0.118064741140878,-0.2,0.164161220043573,-0.0617535952419673,-0.0673076923076923,0.244736842105263,0.094396944705432,-0.0508944130303354,0.347034482758621,0.0673076923076923,0.0673076923076923,0.0510286225402504,0.1,0.2,0.225,0.1,0.1,0.213888888888889,-0.157956600361664,0.12,0.108888888888889,0.119568500539374,-0.26,-0.231490015360983,-0.1,-0.257301587301587,0,-0.3,-0.333333333333333,-0.444774774774775,-0.42,-0.436666666666667,-0.289971751412429,-0.289971751412429,-0.0637362637362637,-0.0666666666666667,-0.348448275862069,-0.0714285714285714
"Frizzled",0.286554621848739,0.366666666666667,0.140909090909091,0.155194805194805,-0.0191666666666667,0.158420611646418,0.0120833333333333,-0.00666666666666668,0.173809523809524,0.160084033613445,0.157142857142857,0.0990136660724896,0.0333333333333333,-0.0488935870331219,0.0909803921568628,0.0909803921568628,0.121882150107957,0.00922056797623197,-0.1,0.187647058823529,-0.0137249602084854,0.128742310321258,0.233333333333333,0.0693079096045198,-0.108207941483804,0.110126998803437,-0.128742310321258,-0.128742310321258,-0.109057270951179,0.1,0,-0.0157894736842105,0,0,-0.00150375939849624,-0.157455808080808,-0.0157894736842105,-0.00150375939849624,-0.0154110441667082,-0.0733333333333333,-0.250690131124914,0.0666666666666667,-0.265238095238095,0.1,-0.1,-0.15,-0.357432712215321,-0.373333333333333,-0.360289855072464,-0.286853606451032,-0.286853606451032,-0.158537915984724,-0.179149274498112,-0.367287449392713,-0.165130582909327
"Wnt",0.296078431372549,0.3,0.15,0.140909090909091,-0.00666666666666668,0.155194805194805,-0.0191666666666667,-0.0666666666666667,0.157142857142857,0.173809523809524,0.2,0.0858823529411765,0,-0.0442424242424242,0.0909803921568628,0.0733333333333333,0.125844854070661,0.0154110441667082,-0.2,0.167647058823529,-0.0346798673702891,0.106015037593985,0.242424242424242,0.0759745762711865,-0.0894200626959248,0.116120689655172,-0.106015037593985,-0.106015037593985,-0.128742310321258,0,0.1,0,0.1,0,-0.0157894736842105,-0.148080808080808,0,-0.0157894736842105,-0.00150375939849624,-0.0333333333333333,-0.26656314699793,0.1,-0.236666666666667,0.1,0,-0.1,-0.360289855072464,-0.366666666666667,-0.373333333333333,-0.283883309421329,-0.283883309421329,-0.156410256410256,-0.167521367521368,-0.367287449392713,-0.179149274498112
"SHH",0.25,0.2,0.3,0.333333333333333,0.1,0.253333333333333,0.1,0,0,0.0333333333333333,0.1,0.134285714285714,0,-0.247619047619048,0.26,0.2,-0.0188888888888889,-0.108888888888889,-0.2,0.15,-0.0641558441558442,-0.05,0.25,0.10078853046595,-0.0435897435897436,0.324367816091954,0.05,0.05,0.0423076923076923,0,0.2,0.2,0.1,0.1,0.2,-0.15,0.1,0.1,0.12,-0.1,-0.233333333333333,0,-0.22,0,-0.2,-0.2,-0.42,-0.3,-0.4,-0.275,-0.275,-0.0666666666666667,-0.0666666666666667,-0.325,-0.0666666666666667
"PI3K",0.276315789473684,0.35,0.133333333333333,0.141025641025641,0.0490196078431372,0.146581196581197,0.0720965309200603,0.0666666666666667,0.182692307692308,0.176240694789082,0.175,0.0937719298245614,0.0333333333333333,-0.0494285714285714,0.0779124764659962,0.0795518207282913,0.114151522199223,0.00576516891265161,0,0.191479709013565,-0.0412476859841235,0.194251082251082,0.247692307692308,0.0795563425801799,-0.21979316979317,0.138593912736408,-0.194251082251082,-0.194251082251082,-0.177812726086699,0.1,-0.0111111111111111,-0.0154589371980676,0,-0.0111111111111111,0.00146413972500929,-0.149742216135659,-0.0154589371980676,0.00146413972500929,-0.00927032355182687,-0.0619047619047619,-0.235962157809984,-0.0333333333333333,-0.251163542340013,0,-0.1,-0.15,-0.337443328550933,-0.355882352941176,-0.339882352941176,-0.273141259717286,-0.273141259717286,-0.143776275518784,-0.161184473789516,-0.343783972125436,-0.149184473789516
"AKT",0.273751686909582,0.355882352941176,0.141025641025641,0.146581196581197,0.0720965309200603,0.144475933423302,-0.0289135700900407,0.0490196078431372,0.176240694789082,0.189655328935423,0.182692307692308,0.0825136516788661,0.0619047619047619,-0.0454574522949974,0.0791782992508064,0.0779124764659962,0.116727279774981,0.00699593814342084,0.0111111111111111,0.181999586689406,-0.0509251053389622,0.177812726086699,0.234358974358974,0.0784350377891503,-0.20729316979317,0.141508485600729,-0.177812726086699,-0.177812726086699,-0.189619955002361,0,-0.0154589371980676,0.00146413972500929,-0.0111111111111111,-0.0154589371980676,-0.00803306697890132,-0.145998900627637,0.00146413972500929,-0.00927032355182687,-0.00576516891265161,-0.0795518207282913,-0.240724062571889,-0.0666666666666667,-0.244331244203367,-0.0333333333333333,-0.15,-0.133333333333333,-0.342579280212564,-0.339882352941176,-0.337443328550933,-0.271086465196738,-0.271086465196738,-0.134001839428558,-0.149184473789516,-0.34603961122318,-0.150194574799617
"CDC42",0.25152380952381,0.214285714285714,0.107142857142857,0.116820276497696,0.133333333333333,0.100770893781646,0.13859649122807,0.108333333333333,0.0820512820512821,0.0897435897435898,0.0666666666666667,0.0733680555555556,0.26,0.193382594417077,0.259955784819455,0.258260869565217,0.132005529974645,0.156615724635527,0.15,0.094987012987013,0.136445245201524,0.00217864923747277,0.0472222222222222,0.0714328155032539,0.105727813852814,0.0798224160267956,-0.00217864923747277,-0.00217864923747277,-0.00827621021308252,-0.1,-0.15,-0.146296296296296,-0.15,-0.15,-0.154191033138402,-0.125103980986334,-0.146296296296296,-0.157107107107107,-0.158097206117008,-0.28,-0.174408460737575,-0.133333333333333,-0.210955710955711,-0.1,-0.133333333333333,-0.0904761904761905,-0.27009167303285,-0.271428571428571,-0.265546218487395,-0.255096275798455,-0.255096275798455,-0.130209895052474,-0.138359788359788,-0.289601694336271,-0.139972691585595
