"","cMet","CD44","TCFLEF","cateninnuc","Frizzled","NOTCH","Destcompl","DSH","cateninmemb","Jagged","SOSGRB2","SMO","RAS","PI3K","DELTA","SNAI2","SUFU","FUS","HEY1","cfos","ERK","FOXC2","CDC42","TGF","TGFR","PAK1","TWIST1","ZEB2","ZEB1","IKK","NFB","AKT","RKIP","MEK","Csn","EGR1","SMAD","ILK","GSK3","TrCP","SNAI1","Ecadherin","miR200","RAF","KLF4","SHH","Patched","LIV1","Csl","NOTCHic","STAT","GLI","Wnt","SRC","AXIN2"
"AXIN2",0.256073242448543,0.24124674402583,0.232454246956663,0.229730511548102,0.275038759689922,0.0342592968908758,0.289132544036517,0.286666666666667,0.130617600228406,0.23441070093244,-0.00858146684233641,0.182600732600733,-0.150930238274597,-0.150667771082996,-0.150667771082996,0.331817293110987,0.15,0.173076923076923,-0.00249085654765168,-0.177560975609756,-0.176626396170504,-0.061681799855102,0.118765432098765,-0.115450498835528,-0.116110564842128,0.12,0.238030401471916,-0.127285302293744,-0.127285302293744,-0.141545893719807,-0.140096618357488,-0.14487922705314,0.217653314427508,0.174557430653262,-0.144444444444444,0.18,0.00464688290775247,0.00464688290775247,-0.284900946625203,-0.133333333333333,0.238090291044069,0.23944395173893,0.169523890578697,0.150667771082996,-0.136884057411142,-0.174585510118297,-0.180815018315018,-0.266666666666667,-0.0452631578947368,-0.0416917293233083,-0.286666666666667,-0.240978902825902,-0.256073242448543,-0.275038759689922,0.170874307650683
"CD44",0.25,0.156666666666667,0.163643410852713,0.139028026237329,0.1,0.15187969924812,0.087067554294445,0,0.129725274725275,0.0874592074592075,0.14047619047619,0.05,0.0342857142857143,0.0142857142857143,0.0142857142857143,-0.0488977688977689,0.1,0.1,0.0929824561403509,-0.025,-0.105,-0.0816666666666667,0.1,-0.0958333333333333,-0.1125,0,0.172087912087912,-0.0793650793650794,-0.0793650793650794,0,0,0.02,0.156296296296296,0.145,0,0,-0.032766439909297,-0.0388888888888889,-0.0809523809523809,0.1,0.160313662945242,-0.0380208446422755,0.115586297760211,-0.0142857142857143,-0.193650793650794,-0.0572727272727273,-0.03,-0.1,-0.2,-0.157142857142857,-0.1,-0.156666666666667,-0.15,-0.2,-0.18
"Destcompl",0.17459197813931,0.169368097542295,0.170190015350514,0.173045701225068,0.187029789084584,0.0264855720057428,0.110344320153618,0.21031746031746,0.103357311414308,0.182073205584989,-0.00970207603600192,0.139321291735085,-0.0929524794458,-0.0923245359607137,-0.0923245359607137,0.270186259521843,0.144444444444444,0.147892720306513,-0.00388739465662543,-0.117948717948718,-0.115216477511559,-0.0326613917291766,0.0802251935256861,-0.0806529871476721,-0.0807515093151598,0.0836734693877551,0.171588151038874,-0.0791131815044858,-0.0791131815044858,-0.0945666163057467,-0.0900621118012422,-0.0938954753661494,0.161466125249432,0.113950654726749,-0.0857142857142857,0.117948717948718,0.00560568086883876,0.00619047619047619,-0.202911246434135,-0.1,0.180665448149994,0.186569225472322,0.12530884073731,0.0923245359607137,-0.0886729470074747,-0.124903717246956,-0.130513001579644,-0.238888888888889,-0.0408773991382687,-0.0310947904426165,-0.21031746031746,-0.168778168004108,-0.174158501955871,-0.187029789084584,-0.232454246956663
"RAS",-0.276470588235294,-0.312640801001252,-0.309563877924328,-0.300215435997983,-0.2,-0.0335650446871897,-0.318662308778588,-0.1,-0.19578107134314,-0.195024640252316,-0.0155844155844156,-0.1,-0.00205128205128205,0.101794871794872,0.101794871794872,0.123382050262177,-0.1,-0.1,0.0229249011857708,-0.06,-0.0126315789473684,-0.0544444444444444,0.02,-0.0151077460687245,-0.0141176470588235,0.02,-0.0248663393344244,-0.0746023564064801,-0.0746023564064801,0.14,0.133333333333333,0.128888888888889,0.131433962264151,0.00674922600619196,0.1,0.16,0.0752628324056896,0.0670995670995671,0.119198966408269,0.1,0.0338053097345133,0.093961263029586,0.119907692307692,-0.101794871794872,-0.0735714285714286,0.120474576271186,0.112,0,0,0.00526315789473684,0.1,0.309803921568627,0.276470588235294,0.2,0.332542819499341
"cMet",0.156666666666667,0.163643410852713,0.139028026237329,0.123773788949193,0.15,0.166773316269397,0.0769324191593099,0.1,0.108728833444136,0.0874592074592075,0.113809523809524,0.03,0.0361725067385445,0.0342857142857143,0.0342857142857143,-0.0554671119634623,0.1,0.05,0.0871001031991744,-0.105,-0.145,-0.0677426160337553,0.1125,-0.0851950354609929,-0.0958333333333333,0.1,0.164222743548586,-0.0682539682539683,-0.0682539682539683,0.02,0,0.01375,0.122962962962963,0.128636363636364,0,0.025,-0.0382209853638425,-0.032766439909297,-0.0793394777265745,0,0.162008578199479,-0.0484534146168302,0.107773797760211,-0.0342857142857143,-0.179365079365079,-0.0541477272727273,-0.0572727272727273,-0.1,-0.157142857142857,-0.15187969924812,-0.2,-0.161212121212121,-0.156666666666667,-0.25,-0.191111111111111
"Wnt",0.275,0.280263157894737,0.269548872180451,0.254317084100981,0.1,0.15952380952381,0.276448886190632,0,0.159745762711864,0.110980392156863,0.124242424242424,0.05,0.0255297334244703,0.0300751879699248,0.0300751879699248,0.177068965517241,0,0,0.00564102564102564,0,-0.04,-0.0569230769230769,0.1,-0.106376811594203,-0.0933333333333333,0.1,0.121176470588235,-0.0445241511238642,-0.0445241511238642,0.0466666666666667,0.0666666666666667,0.0716666666666667,0.0766666666666667,0.0341176470588235,0.1,-0.1,0.000715563506261181,0.00769230769230769,-0.207836990595611,0.1,0.0579710144927536,-0.0422885991532726,-0.0428282828282828,-0.0300751879699248,-0.0274509803921569,-0.0647186147186147,-0.0409090909090909,0,-0.1,-0.142857142857143,-0.1,-0.280263157894737,-0.275,-0.2,-0.315151515151515
"ZEB1",0.27227311187139,0.267412000760279,0.260497107143258,0.255996128669677,0.264343786295006,0.223102009398801,0.219617665625016,0.261904761904762,0.229492075527348,0.199926107797675,0.170604288499025,0.167424242424242,0.15388764102628,0.152470318191634,0.152470318191634,0.23509140847943,0.158333333333333,0.158333333333333,0.113163822360714,0.096,0.0901176470588235,0.0596498429107125,0.00358154256205231,-0.000649770708660885,-0.00104347149606246,-0.000766283524904214,0.0629940607239294,-0.0365212367959524,-0.0365212367959524,-0.0459591601955709,-0.0508771929824561,-0.0488163030527138,-0.0774498229043683,-0.0879150038870174,-0.0666666666666667,-0.1,-0.0937493740630028,-0.0942301432937721,-0.134827000341577,-0.0666666666666667,-0.0960840584645187,-0.072945011069573,-0.132179353155845,-0.152470318191634,-0.0430909952669911,-0.167605667307363,-0.169385026737968,-0.233333333333333,-0.220833333333333,-0.224754901960784,-0.271794871794872,-0.257266070196671,-0.262420709371929,-0.274233896185116,-0.312536790267377
"GSK3",0.254317084100981,0.240983750767648,0.232346172851352,0.230701436009247,0.269548872180451,0.157494074552898,0.251111689995502,0.280263157894737,0.139250658395632,0.0917762646485424,0.130780865948194,0.0711702276218405,0.0256168548872286,0.027717695223363,0.027717695223363,0.158511844565053,0.0409090909090909,0.0647186147186147,0.018003485940342,-0.0341176470588235,-0.0318620079610792,-0.0470707505468827,0.0959006211180124,-0.0941584608392668,-0.0941584608392668,0.106376811594203,0.0905769612173744,-0.0311222688804398,-0.0311222688804398,0.0784195402298851,0.0841666666666667,0.0767101385204833,0.0533303538566696,0.0278847352338064,0.0716666666666667,0.0341176470588235,-0.00296499966833209,-0.00131582425603824,-0.280118373086042,0.0466666666666667,0.0469568427303513,-0.055149662325092,-0.050291629552899,-0.027717695223363,-0.037760735362106,-0.0633796971965022,-0.0705567306893252,-0.275,-0.165406162464986,-0.161909658968483,-0.280263157894737,-0.24083694715887,-0.254516192441889,-0.269548872180451,-0.300370275190927
"Csn",0.135708350643955,0.126375017310622,0.120265692551779,0.117559739454966,0.146551724137931,0.104907592407592,0.222376830514663,0.15,0.00978299078161652,0.0213896976176769,0.00790268649832815,0.0173160173160173,-0.00651248791261214,-0.00632054933295763,-0.00632054933295763,0.100734207550675,0.0142857142857143,0.0142857142857143,0.000420819490586933,-0.0457575757575758,-0.0444588744588745,-0.0758864143178275,0.101492537313433,-0.0964530660448446,-0.097646383467279,0.1,0.129366526414212,-0.0176129032258065,-0.0176129032258065,0.0841666666666667,0.08,0.0833666666666667,0.124212259565498,0.0402922077922078,0.08,0.0366666666666667,0.00618314798256399,0.00644021739130435,-0.143490694801501,0.18,0.127529076401323,0.0487686765502731,0.0300651484502307,0.00632054933295763,-0.0214939309056956,-0.015932269739779,-0.0183912861332216,-0.133333333333333,-0.109090909090909,-0.107792207792208,-0.15,-0.126538044967099,-0.135708350643955,-0.146551724137931,-0.169330441454202
"cateninnuc",0.0932316475794737,0.0900570444048705,0.0902810922017338,-0.00659822290459039,0.106258581601047,0.202652347944031,0.137718026942891,0.126806526806527,-0.00702124772596073,0.112171420317914,0.119636272296041,0.167413479052823,0.0356343906343906,0.0363077913077913,0.0363077913077913,0.314598489615074,0.188888888888889,0.178888888888889,0.0216765317549192,0.0448930296756384,0.0474246752452586,0.111181856394971,0.000923076923076923,0.00115743304028201,0.00137577365163572,0.004,0.10019736345653,-0.01701736604088,-0.01701736604088,0.0383636363636364,0.0363636363636364,0.0368011363636364,0.084648985423179,-0.0529292624012219,0.0333333333333333,-0.0369565217391304,0.00575403026562645,0.00561760461760462,-0.1549057508079,0.0333333333333333,0.0778333340238354,0.210521717908127,0.00929797417730407,-0.0363077913077913,-0.0373954436232016,-0.153892321797651,-0.159338944891333,-0.157575757575758,-0.214375392341494,-0.208561438853122,-0.126806526806527,-0.0885708345654743,-0.0921281468184387,-0.107362082362082,-0.281111104318244
