"","SMAD","CDC42","PAK1","TGFR","TGF","GSK3","FOXC2","HEY1","RKIP","Jagged","ZEB1","SNAI1","LIV1","SNAI2","TWIST1","Destcompl","SOSGRB2","RAS","AXIN2","RAF","Wnt","GLI","miR200","STAT","SRC","Frizzled","DSH","Ecadherin","TCFLEF","cateninmemb","cateninnuc","CD44","PI3K","DELTA","cMet","ZEB2","NOTCH","NOTCHic","Csl","EGR1","cfos","ERK","KLF4","MEK","TrCP","SMO","Csn","Patched","SHH","NFB","SUFU","FUS","ILK","IKK","AKT"
"AKT",0.224124843472743,0.374411764705882,0.354411764705882,0.381728837876614,0.386864789538245,-0.258976283573058,0.403300446237545,0.198227583892634,0.307987409010427,0.140473451841524,0.0803989592358095,0.310121892896493,0,0.134259156681073,0.195002937909684,-0.0561802168060714,0.187521367521368,-0.204972389111686,0.0114485129791989,-0.208586846943011,-0.0113786696395392,-0.0141719657289247,-0.102409240572211,-0.0111111111111111,-0.00676328502415459,-0.00676328502415459,-0.0111111111111111,0.138695401934314,0.014104512728828,0.0801410052204386,0.0147198973442127,0.0130735848937765,0.208586846943011,0.208586846943011,0.0113786696395392,-0.291195129168454,-0.222701688555347,-0.215384615384615,-0.215384615384615,-0.0476190476190476,-0.07703081232493,-0.0950635992101759,-0.288174763832659,-0.101392713134226,0.166666666666667,-0.174358974358974,0.166666666666667,-0.188247863247863,-0.1935110211426,0.137254901960784,-0.15,-0.166666666666667,-0.219747739095638,0.124434389140271,0.0153434800493624
"PI3K",0.219747739095638,0.354411764705882,0.325,0.374411764705882,0.381728837876614,-0.259379509379509,0.395781649245064,0.191460666599401,0.296186166774402,0.135175438596491,0.0728647126604671,0.308868760064412,0.1,0.134158654168511,0.189804161151274,-0.0569246336795206,0.183076923076923,-0.208586846943011,0.0118095238095238,-0.20995670995671,-0.00676328502415459,-0.0113786696395392,-0.100270203139056,0,-0.0111111111111111,-0.0111111111111111,0,0.138543886782799,0.0130735848937765,0.0796313212245161,0.014104512728828,0.0113786696395392,0.20995670995671,0.20995670995671,0.00676328502415459,-0.289140334647906,-0.215384615384615,-0.215384615384615,-0.2,-0.0333333333333333,-0.0476190476190476,-0.07703081232493,-0.280482456140351,-0.0950635992101759,0.2,-0.166666666666667,0.166666666666667,-0.174358974358974,-0.188247863247863,0.166666666666667,-0.1,-0.15,-0.209347739095638,0.137254901960784,0.124434389140271
"ILK",0.219747739095638,0.354411764705882,0.325,0.374411764705882,0.381728837876614,-0.259379509379509,0.395781649245064,0.191460666599401,0.296186166774402,0.135175438596491,0.0728647126604671,0.308868760064412,0.1,0.134158654168511,0.189804161151274,-0.0569246336795206,0.183076923076923,-0.208586846943011,0.0118095238095238,-0.20995670995671,-0.00676328502415459,-0.0113786696395392,-0.100270203139056,0,-0.0111111111111111,-0.0111111111111111,0,0.138543886782799,0.0130735848937765,0.0796313212245161,0.014104512728828,0.0113786696395392,0.20995670995671,0.20995670995671,0.00676328502415459,-0.289140334647906,-0.215384615384615,-0.215384615384615,-0.2,-0.0333333333333333,-0.0476190476190476,-0.07703081232493,-0.280482456140351,-0.0950635992101759,0.2,-0.166666666666667,0.166666666666667,-0.174358974358974,-0.188247863247863,0.166666666666667,-0.1,-0.15,-0.209347739095638,0.137254901960784,0.124434389140271
"MEK",0.259133743760575,0.339047619047619,0.32,0.343720516243881,0.34445044325118,-0.159261098622801,0.367655984897364,0.235571745327843,0.203777826920242,0.230767691306532,0.100738903691558,0.360358598284062,0,0.339234910396004,0.283438293732411,-0.0576332972213276,0.24984126984127,-0.030985125985126,-0.0430576145766019,-0.0319375069375069,-0.0866666666666667,-0.0803729603729604,-0.0937752221971442,-0.0666666666666667,-0.0824561403508772,-0.0866666666666667,-0.0666666666666667,0.185816035342452,0.0769257928357968,0.123855335146583,0.0795280233190682,0.0761624340571709,0.0319375069375069,0.0319375069375069,0.0824561403508772,-0.257317801917515,-0.185944509667137,-0.186674436674437,-0.182828282828283,-0.02,-0.0441379310344828,-0.0717975055025679,-0.256288857006217,-0.181797505502568,-0.1,-0.202666666666667,-0.142857142857143,-0.204306010928962,-0.214109932497589,-0.180357142857143,-0.166666666666667,-0.206666666666667,-0.259502747450612,-0.201569264069264,-0.214510440539852
"GLI",0.18651776462092,0.436551724137931,0.44,0.435922793320321,0.433805146261497,0.17921798292142,0.359886695906433,0.175142340210252,0.26057859055873,0.190361975263579,0.0745468509984639,0.209823720091393,-0.15,0.0667653407103277,0.215926365654719,-0.0872166328971438,0.141391027851205,0.24762074226756,-0.106354166666667,0.244254405633896,-0.0409108159392789,-0.146442730832896,-0.0549411991517255,-0.13,-0.120322580645161,-0.0303225806451613,-0.04,0.113550824917092,0.129889989686919,0.0745783339880867,0.129232488192597,0.132812067608996,-0.244254405633896,-0.244254405633896,0.127639653815893,-0.256990954087728,-0.116708349122142,-0.115755968169761,-0.115755968169761,-0.411428571428571,-0.436428571428571,-0.442922077922078,-0.258168168168168,-0.445684508861304,-0.15,-0.24733709273183,-0.183333333333333,-0.24937790905836,-0.242382024284698,-0.220175438596491,-0.219047619047619,-0.231547619047619,-0.18651776462092,-0.230379520229144,-0.231942020229144
"ERK",0.258829792392793,0.343720516243881,0.339047619047619,0.34445044325118,0.345824069624806,-0.157172088631883,0.367826925068304,0.233182666829549,0.210184512157011,0.231068896125809,0.105935754085259,0.359664153839617,-0.0666666666666667,0.337251141234597,0.284409167518819,-0.0575205576497379,0.245957774695639,-0.0282348509576232,-0.0451714357148133,-0.030985125985126,-0.0803729603729604,-0.0821273463378727,-0.0952458104324383,-0.0824561403508772,-0.0824561403508772,-0.0866666666666667,-0.0866666666666667,0.185919021954192,0.0795280233190682,0.122199401383934,0.0795974677635127,0.0769257928357968,0.030985125985126,0.030985125985126,0.0761624340571709,-0.255270557823027,-0.187329551218384,-0.185944509667137,-0.186674436674437,-0.0441379310344828,-0.0717975055025679,-0.181797505502568,-0.258614438401566,-0.185975778483069,-0.142857142857143,-0.204306010928962,-0.180357142857143,-0.214109932497589,-0.216042299647348,-0.201569264069264,-0.206666666666667,-0.202666666666667,-0.259133743760575,-0.214510440539852,-0.221849890081137
"Jagged",0.197619047619048,0.3,0.2,0.333333333333333,0.337333333333333,-0.00498084291187739,0.391428571428571,0.0833333333333333,0.241025641025641,0.182510822510823,0.0671497584541063,0.233333333333333,0,0.0470839617898441,0.23,-0.0968803088803089,0.16,0.101818181818182,-0.0842857142857143,0.12,-0.16,-0.121538461538462,-0.0654545454545455,0,-0.1,-0.1,0,0.0985964912280702,0.10032634032634,0.061507225169197,0.11021645021645,0.121538461538462,-0.12,-0.12,0.16,-0.255072463768116,-0.26,-0.26,-0.2,-0.1,-0.2,-0.26,-0.233333333333333,-0.326666666666667,0,-0.133333333333333,0,-0.108333333333333,-0.116025641025641,-0.1,0,-0.1,-0.183333333333333,-0.133333333333333,-0.166666666666667
"DELTA",0.197619047619048,0.3,0.2,0.333333333333333,0.337333333333333,-0.00498084291187739,0.391428571428571,0.0833333333333333,0.241025641025641,0.182510822510823,0.0671497584541063,0.233333333333333,0,0.0470839617898441,0.23,-0.0968803088803089,0.16,0.101818181818182,-0.0842857142857143,0.12,-0.16,-0.121538461538462,-0.0654545454545455,0,-0.1,-0.1,0,0.0985964912280702,0.10032634032634,0.061507225169197,0.11021645021645,0.121538461538462,-0.12,-0.12,0.16,-0.255072463768116,-0.26,-0.26,-0.2,-0.1,-0.2,-0.26,-0.233333333333333,-0.326666666666667,0,-0.133333333333333,0,-0.108333333333333,-0.116025641025641,-0.1,0,-0.1,-0.183333333333333,-0.133333333333333,-0.166666666666667
"SNAI1",0.197895205219333,0.351094983447925,0.349579831932773,0.351094983447925,0.349482080222118,0.0504078050662209,0.381394984523316,0.184828121653459,0.26889764858072,0.184371749568948,0.0781029226150991,0.13902367070697,-0.13,0.0757410493185165,0.226660781247738,-0.104119152046784,0.143610073271478,0.131088327065668,-0.101760806965752,0.131745141515586,-0.128349260685589,-0.1263382917642,-0.0586123688417547,-0.111481481481481,-0.11958958958959,-0.122007797270955,-0.111481481481481,0.113928369580149,0.123264538693695,0.0790911626417928,0.123987305859416,0.123678331797144,-0.131745141515586,-0.131745141515586,0.125530183648996,-0.250087646042576,-0.151350078492936,-0.151758241758242,-0.148461538461538,-0.341739130434783,-0.350213706705969,-0.351547040039302,-0.252667906936024,-0.35378919250567,-0.158333333333333,-0.158016157478523,-0.195833333333333,-0.154016157478523,-0.151880235148426,-0.20109649122807,-0.135714285714286,-0.15184331797235,-0.19826420890937,-0.20109649122807,-0.205957602339181
"PAK1",0.19826420890937,0.349579831932773,0.347619047619048,0.351094983447925,0.351094983447925,0.0491536796536797,0.381776178932464,0.184232883558221,0.270571288748084,0.185312926039536,0.0819159607454805,0.240447158251454,-0.15,0.0757075260198239,0.229635140222097,-0.10406432748538,0.14247799779978,0.131745141515586,-0.103392508597453,0.127654232424677,-0.122007797270955,-0.128349260685589,-0.0619745206188921,-0.13,-0.111481481481481,-0.111481481481481,-0.13,0.115281127124374,0.123678331797144,0.0789184510701175,0.123264538693695,0.125530183648996,-0.127654232424677,-0.127654232424677,0.11958958958959,-0.249472639892515,-0.151758241758242,-0.148461538461538,-0.15,-0.32,-0.341739130434783,-0.350213706705969,-0.249864168618267,-0.351547040039302,-0.133333333333333,-0.15184331797235,-0.158333333333333,-0.158016157478523,-0.154016157478523,-0.195833333333333,-0.119047619047619,-0.135714285714286,-0.197619047619048,-0.20109649122807,-0.20109649122807
