"","HEY1","AKT","FUS","Csl","TrCP","SUFU","SOSGRB2","MEK","ERK","LIV1","FOXC2","TGFR","TGF","Wnt","GLI","cMet","ZEB1","STAT","SRC","GSK3","SNAI2","RAF","PI3K","DELTA","RAS","cateninmemb","Ecadherin","TCFLEF","cateninnuc","CD44","Frizzled","DSH","PAK1","CDC42","AXIN2","Destcompl","cfos","EGR1","Csn","TWIST1","NOTCHic","NOTCH","Jagged","NFB","IKK","SMO","SHH","Patched","SNAI1","ILK","SMAD","RKIP","miR200","ZEB2","KLF4"
"TCFLEF",0.0967452659625083,0.0501473197209523,0.14,0.0631755141080823,0.0571428571428571,0.133333333333333,0.00203469983110701,0.0907748465239754,0.103019744483159,-0.0666666666666667,0.0235190319717871,0.108862064545612,0.112835574479386,-0.0550754147812971,-0.0581810048434089,-0.0594871794871795,0.0357185894027999,-0.0416666666666667,-0.0466666666666667,-0.204408936723294,-0.254900851038651,-0.0517410827537181,-0.0517410827537181,-0.0517410827537181,-0.048981555815479,0.0938365449408298,0.0434788311175598,-0.0409191400788366,-0.0439260129310703,0.0626318335752298,0.0422549019607843,0.0372549019607843,-0.125641025641026,-0.11633870005963,0.408600244200244,0.206076966046658,-0.109686411149826,-0.0828571428571429,-0.048051948051948,-0.260499109974528,-0.0651362984218078,-0.0674618798171566,-0.116565992109225,-0.036051948051948,-0.0392777545035609,-0.13047619047619,-0.147357251232177,-0.136927803379416,-0.270816835419346,-0.1035670995671,-0.107199986756392,-0.192116912338706,-0.310125610667779,-0.394333599149389,-0.395916093710211
"cfos",0.107796101949025,0.105043859649123,0.104761904761905,0.0833333333333333,0,0.0333333333333333,0.0722222222222222,0.0403831982313928,0.0217391304347826,-0.1,0.0248479879756781,0.0322128851540616,0.0291825821237586,-0.0766666666666667,-0.0819298245614035,-0.0766666666666667,0.0888427687459164,-0.15,-0.11,-0.0441504329004329,-0.23741586880273,0.0578976034858388,0.0578976034858388,0.0578976034858388,0.0615561400712046,0.066698789655228,0.0673390417899575,0.091973062171082,0.0923434325414524,0.0820720720720721,0.11,0.15,-0.0142857142857143,-0.0380952380952381,0.124351395730706,0.140693434831893,0,0.08,-0.0333333333333333,-0.177220779220779,-0.0602564102564102,-0.0587179487179487,-0.0742361111111111,-0.108333333333333,-0.120833333333333,-0.121428571428571,-0.100640040962622,-0.111751152073733,-0.199471751876815,-0.104761904761905,-0.114439324116743,-0.224172494172494,-0.264739835328071,-0.378757830815942,-0.368444444444444
"TrCP",0.119560807831378,0.0920808966861598,0.121428571428571,0.0602564102564102,0.0333333333333333,0.104761904761905,0.0831133113311331,0.0430498648980594,0.0403831982313928,-0.15,0.0200204017687815,0.0291825821237586,0.0264503416866001,-0.0819298245614035,-0.0911981172443303,-0.0820720720720721,0.0936659198713184,-0.11,-0.0766666666666667,-0.0437867965367965,-0.238862523413942,0.0615561400712046,0.0615561400712046,0.0615561400712046,0.0697379582530228,0.0659661889226272,0.0679618791601997,0.0923434325414524,0.0899986049552454,0.091973062171082,0.0766666666666667,0.11,-0.0380952380952381,-0.0322128851540616,0.128753911453977,0.141144562651442,-0.0217391304347826,0,-0.108333333333333,-0.181568605307736,-0.0587179487179487,-0.0686080586080586,-0.0840520620313565,-0.120833333333333,-0.105043859649123,-0.111751152073733,-0.108640040962622,-0.100640040962622,-0.203529031113092,-0.114439324116743,-0.12347158218126,-0.221410063233268,-0.261694150048883,-0.377150113774142,-0.381559198542805
"EGR1",0.119560807831378,0.0920808966861598,0.121428571428571,0.0602564102564102,0.0333333333333333,0.104761904761905,0.0831133113311331,0.0430498648980594,0.0403831982313928,-0.15,0.0200204017687815,0.0291825821237586,0.0264503416866001,-0.0819298245614035,-0.0911981172443303,-0.0820720720720721,0.0936659198713184,-0.11,-0.0766666666666667,-0.0437867965367965,-0.238862523413942,0.0615561400712046,0.0615561400712046,0.0615561400712046,0.0697379582530228,0.0659661889226272,0.0679618791601997,0.0923434325414524,0.0899986049552454,0.091973062171082,0.0766666666666667,0.11,-0.0380952380952381,-0.0322128851540616,0.128753911453977,0.141144562651442,-0.0217391304347826,0,-0.108333333333333,-0.181568605307736,-0.0587179487179487,-0.0686080586080586,-0.0840520620313565,-0.120833333333333,-0.105043859649123,-0.111751152073733,-0.108640040962622,-0.100640040962622,-0.203529031113092,-0.114439324116743,-0.12347158218126,-0.221410063233268,-0.261694150048883,-0.377150113774142,-0.381559198542805
"Csl",0.214383019651562,0.0906976744186046,0.091025641025641,0.0388940092165899,0.0333333333333333,0.0833333333333333,0.0967930913758898,0.0343478260869565,0.03,-0.02,0.0228907402783138,0.018570326233363,0.0169830246460614,0.00391909166102714,-0.000113166403488984,0.00394272394272394,0.09231768400637,-0.0123076923076923,0.00284382284382284,0.0147985596940126,-0.143094739685434,0.0307063351441162,0.0307063351441162,0.0307063351441162,0.0347504527911751,-0.00251995154924212,-0.00573114028890071,0.00192111777717012,0.000949133786318206,0.000547071975643404,-0.00284382284382284,0.0123076923076923,-0.0231111111111111,-0.0166594982078853,0.00197043239859847,0.00923522695510941,-0.0271428571428571,-0.02,-0.0888888888888889,-0.133346753427693,-0.0362624302692214,-0.0398987939055851,-0.0578313149629375,-0.1,-0.0976744186046512,-0.091025641025641,-0.0890975728016885,-0.0856492969396195,-0.170880520445738,-0.11123672490579,-0.11623672490579,-0.196956388225247,-0.242907179336965,-0.352109500805153,-0.352135955831608
"SOSGRB2",0.174147727272727,0.133845029239766,0.2,0.209090909090909,0.1,0.2,-0.0655555555555556,-0.107320307320307,-0.104290004290004,0,0.0591941391941392,0.0571428571428571,0.0635258358662614,-0.030952380952381,-0.0295031055900621,-0.0360248447204969,-0.0308020050125313,0,-0.0142857142857143,-0.146055309814076,-0.412605975157399,-0.0668549905838041,-0.0668549905838041,-0.0668549905838041,-0.070701144429958,-0.104190164190164,-0.0967809172110247,0.0208913588318623,0.0161112441091089,0.0345755693581781,0.0142857142857143,0,-0.0571428571428571,-0.0571428571428571,0.0348116061606161,-0.213164687661332,0.101587301587302,0.0904761904761905,-0.1,-0.223797101449275,-0.216783216783217,-0.226642371712794,-0.247518872160704,-0.0888888888888889,-0.104678362573099,-0.216666666666667,-0.254944479363084,-0.240990990990991,-0.226956645344705,-0.259569892473118,-0.260269193172419,-0.0285818713450292,-0.24078054441333,-0.285563909774436,-0.278421052631579
"AKT",0.076281891288609,-0.0139128845011198,0.1,0.132692307692308,0.0333333333333333,0.05,0.00192307692307692,0.0475803934356478,0.0349221655875465,-0.2,-0.0725559019499969,-0.0588087039693926,-0.0627361964165225,-0.148903753251579,-0.156166323083982,-0.148903753251579,0.0684114184374931,-0.211111111111111,-0.171980676328502,-0.0298437524243976,-0.211142347684928,0.0251219830397913,0.0251219830397913,0.0251219830397913,0.0316280071361768,-0.0181159538670247,0.0825356864220971,0.163877251999322,0.163415713537784,0.156248386019941,0.171980676328502,0.211111111111111,0.0691176470588235,0.0531176470588235,0.196520543235345,-0.117255724385621,-0.0201680672268908,-0.0142857142857143,-0.0666666666666667,-0.145661240382251,-0.116563275434243,-0.117782787629365,-0.0865742999883815,-0.107843137254902,-0.105279034690799,-0.1,-0.0808479532163743,-0.0861111111111111,-0.0771302955456274,-0.0694101640656263,-0.075134069789532,-0.0912263567634412,-0.207463135090908,-0.282724201491271,-0.282293072424651
"PI3K",0.0710187333938721,0.105279034690799,0.05,0.125,0,0,-0.0180769230769231,0.0349221655875465,0.0201680672268908,-0.1,-0.0733077816492451,-0.0531176470588235,-0.0588087039693926,-0.171980676328502,-0.148903753251579,-0.171980676328502,0.0581374458347534,-0.2,-0.211111111111111,-0.0322631072631073,-0.208830789895983,0.0401904761904762,0.0401904761904762,0.0401904761904762,0.0251219830397913,-0.0139365451004599,0.0829902318766426,0.156248386019941,0.163877251999322,0.148903753251579,0.211111111111111,0.2,0.075,0.0691176470588235,0.199047619047619,-0.11866184514658,-0.0142857142857143,0,-0.0333333333333333,-0.144132188394483,-0.132692307692308,-0.116563275434243,-0.0806140350877193,-0.0666666666666667,-0.107843137254902,-0.1,-0.0861111111111111,-0.1,-0.080889694041868,-0.0654101640656262,-0.0694101640656263,-0.0968164188752424,-0.209067413165774,-0.279299543957025,-0.267763157894737
"RKIP",0.183507549361208,0.0601190476190476,0.1,0.188888888888889,0,0.1,0.0197460317460317,-0.0786793837123991,-0.076551724137931,0,-0.019893899204244,-0.0266666666666667,-0.0201246105919003,-0.01,-0.00615384615384615,-0.0157894736842105,0.0258986131037781,0,0,0.0366430260047281,-0.372109634551495,0.0512987012987013,0.0512987012987013,0.0512987012987013,0.0436063936063936,-0.0963625810684634,-0.0981955210460936,-0.00134339344865661,-0.00363346978453447,0.0119433198380567,0,0,0.0333333333333333,0.0266666666666667,0.0123769338959212,-0.18629570295017,0.08,-0.02,0,-0.182599524658348,-0.197979797979798,-0.20951825951826,-0.141676772576603,-0.0142857142857143,-0.0267857142857143,-0.12,-0.156196721311475,-0.148,-0.125847831826583,-0.16915917843389,-0.168169079423989,0.0238795518207283,-0.214058341833682,-0.278109995217599,-0.270109995217599
"RAF",0.183507549361208,0.0601190476190476,0.1,0.188888888888889,0,0.1,0.0197460317460317,-0.0786793837123991,-0.076551724137931,0,-0.019893899204244,-0.0266666666666667,-0.0201246105919003,-0.01,-0.00615384615384615,-0.0157894736842105,0.0258986131037781,0,0,0.0366430260047281,-0.372109634551495,0.0512987012987013,0.0512987012987013,0.0512987012987013,0.0436063936063936,-0.0963625810684634,-0.0981955210460936,-0.00134339344865661,-0.00363346978453447,0.0119433198380567,0,0,0.0333333333333333,0.0266666666666667,0.0123769338959212,-0.18629570295017,0.08,-0.02,0,-0.182599524658348,-0.197979797979798,-0.20951825951826,-0.141676772576603,-0.0142857142857143,-0.0267857142857143,-0.12,-0.156196721311475,-0.148,-0.125847831826583,-0.16915917843389,-0.168169079423989,0.0238795518207283,-0.214058341833682,-0.278109995217599,-0.270109995217599
