"","TGF","SOSGRB2","FOXC2","TGFR","CDC42","GSK3","Destcompl","TWIST1","SNAI1","RKIP","cateninnuc","TCFLEF","GLI","Wnt","STAT","SRC","Frizzled","DSH","AXIN2","ZEB2","ZEB1","TrCP","Csn","SMAD","SUFU","HEY1","Jagged","FUS","KLF4","RAF","PI3K","DELTA","RAS","miR200","SMO","SHH","Patched","IKK","NFB","NOTCH","ILK","Csl","NOTCHic","AKT","cateninmemb","LIV1","cMet","CD44","Ecadherin","EGR1","SNAI2","cfos","MEK","ERK","PAK1"
"cMet",-0.336743498817967,-0.502857142857143,-0.326007383966245,-0.319722222222222,-0.2975,-0.520353302611367,-0.417296427170377,-0.283765897024324,-0.313671955955631,-0.0637037037037037,-0.246428852975956,-0.228914728682171,-0.206060606060606,-0.183333333333333,-0.2,-0.25,-0.15,-0.1,-0.151111111111111,-0.292784992784993,-0.292784992784993,-0.2,-0.2,-0.0172294372294372,-0.1,-0.0482628138974888,0.0146234924495794,-0.1,0.185714285714286,-0.0228571428571429,0.0228571428571429,0.0228571428571429,0.024743935309973,-0.187282059727712,0.04,0.00306818181818182,0.0218181818181818,0.133333333333333,0.166666666666667,-0.033194688849784,0.019047619047619,0.0142857142857143,-0.0225563909774436,0.120833333333333,0.11101977500554,0.1,0.183333333333333,0.208914728682171,0.252239620842764,0.325,0.470799111675024,0.325,0.366818181818182,0.365,0.26
"CD44",-0.319722222222222,-0.476190476190476,-0.312083333333333,-0.2975,-0.26,-0.488095238095238,-0.38553967041362,-0.262417582417582,-0.30180754917597,-0.0488888888888889,-0.228914728682171,-0.208914728682171,-0.183333333333333,-0.15,-0.1,-0.2,-0.1,0,-0.14,-0.285714285714286,-0.285714285714286,-0.1,-0.2,-0.019047619047619,-0.1,-0.0619883040935672,-0.00494172494172495,-0.1,0.176190476190476,-0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0228571428571429,-0.181032059727712,0.1,0.0218181818181818,0.04,0.166666666666667,0.2,-0.0225563909774436,0.0333333333333333,0,0.0142857142857143,0.133333333333333,0.117069597069597,0.1,0.25,0.183333333333333,0.245878297687547,0.3,0.447441447441448,0.325,0.365,0.325,0.2
"AKT",-0.327755905398045,-0.277350427350427,-0.307048963873097,-0.30449306551889,-0.274411764705882,-0.555822433241788,-0.589417784379384,-0.219403043323607,-0.286203764241522,-0.266727326382058,-0.33335832379961,-0.317358323799609,-0.304351895102442,-0.27586027499071,-0.211111111111111,-0.258937198067633,-0.258937198067633,-0.211111111111111,-0.182451435447825,-0.284341805688299,-0.284341805688299,0.1,0.133333333333333,0.159260669116131,0.15,0.155830247599627,0.229428953177646,0.183333333333333,0.262207602339181,-0.241169661388839,0.241169661388839,0.241169661388839,0.239482914400888,-0.158759182168054,-0.183333333333333,-0.208801169590643,-0.197222222222222,-0.152036199095023,-0.13921568627451,-0.0065923258488168,-0.154210164065626,0.00961538461538461,0.00316377171215881,-0.244965492024316,-0.112321327203536,0.2,0.27586027499071,0.303543890809919,0.0765278433801936,0.019047619047619,0.235082338480295,0.0484593837535014,0.067301467173298,0.0533774165403866,0.254411764705882
"ILK",-0.30449306551889,-0.248461538461538,-0.282236933797909,-0.274411764705882,-0.254411764705882,-0.528403078403078,-0.568656824908747,-0.19096267635113,-0.274424315619968,-0.24374595992243,-0.317358323799609,-0.303543890809919,-0.27586027499071,-0.258937198067633,-0.2,-0.211111111111111,-0.211111111111111,-0.2,-0.164761904761905,-0.266533586510216,-0.266533586510216,0,0.1,0.154210164065626,0.1,0.149063330306394,0.209561403508772,0.15,0.25109649122807,-0.234320346320346,0.234320346320346,0.234320346320346,0.241169661388839,-0.14752923564399,-0.183333333333333,-0.197222222222222,-0.183333333333333,-0.13921568627451,-0.133333333333333,0.00316377171215881,-0.145410164065626,0.025,0.00961538461538461,-0.152036199095023,-0.109365160027186,0.1,0.258937198067633,0.27586027499071,0.0706187524711026,0.0333333333333333,0.215685353555672,0.019047619047619,0.0533774165403866,0.0484593837535014,0.225
"SNAI2",-0.269764449815601,-0.268627450980392,-0.289980491228273,-0.249888673418085,-0.21484593837535,-0.308342372498706,-0.326425374981549,-0.273654295311379,-0.239282918629432,-0.204205128205128,-0.278642764547763,-0.262183137218571,-0.25082731684223,-0.22462410828608,-0.169090909090909,-0.211948051948052,-0.211948051948052,-0.169090909090909,-0.145470498731502,-0.227895322005454,-0.227895322005454,-0.1,-0.0666666666666667,0.0684290752489418,0.1,0.0314798071127185,0.245489846266862,0.16,0.180961538461538,0.0810716920979852,-0.0810716920979852,-0.0810716920979852,-0.0842680391299487,-0.164437150895519,-0.177647058823529,-0.220935360059517,-0.208259303721489,0.0744252873563218,0.0916666666666667,-0.205109364319891,-0.0602951039570758,-0.174122807017544,-0.193421052631579,0.0780397451876471,0.140675442027076,0.16,0.22462410828608,0.250430559898983,0.480265954134504,0.133333333333333,0.553037135182929,0.162745098039216,0.200529941706412,0.184313725490196,0.186274509803922
"Ecadherin",-0.247041529839924,-0.263734163883121,-0.274810791485349,-0.225522542498152,-0.21430303030303,-0.278439659652403,-0.29792263943444,-0.16808534462823,-0.201064677740745,-0.153693435154109,-0.185756884437993,-0.180621496949664,-0.161545230120918,-0.158878563454251,-0.131372549019608,-0.124395804833561,-0.124395804833561,-0.131372549019608,-0.0928144864592215,-0.20364354222607,-0.20364354222607,0,-0.06,0.0638503702144085,0.1,0.0339569628949811,0.150903017390826,0.1,0.172105016408814,0.0419947209653092,-0.0419947209653092,-0.0419947209653092,-0.0341734919150299,-0.141881478752987,-0.1375,-0.159623444246889,-0.140725806451613,0.0414814814814815,0.0266666666666667,-0.167397210236407,-0.0577971014492754,-0.150143540669856,-0.157360035515217,0.0258970658970659,0.0464994073225781,0.0666666666666667,0.158308848311822,0.161318881756638,0.211116277456145,0.147272727272727,0.298083838131018,0.164919786096257,0.188910083246044,0.178321847951927,0.175636363636364
"HEY1",-0.225522542498152,-0.242681532304174,-0.256732988281688,-0.21430303030303,-0.175636363636364,-0.266519129851078,-0.279003720515521,-0.165664488017429,-0.182077335968593,-0.153318903318903,-0.180621496949664,-0.161318881756638,-0.158878563454251,-0.124395804833561,-0.0666666666666667,-0.131372549019608,-0.131372549019608,-0.0666666666666667,-0.103329950376747,-0.194638802889577,-0.194638802889577,-0.1,0,0.0577971014492754,0,0.0292589763177998,0.14701285720776,0.1,0.151851851851852,0.0324358974358974,-0.0324358974358974,-0.0324358974358974,-0.0419947209653092,-0.140577940577941,-0.1,-0.140725806451613,-0.1375,0.0266666666666667,0.06,-0.157360035515217,-0.052,-0.129090909090909,-0.150143540669856,0.0414814814814815,0.054448125271296,0.1,0.124395804833561,0.158308848311822,0.305176647465882,0.12,0.279360177685504,0.147272727272727,0.178321847951927,0.164919786096257,0.163636363636364
"FOXC2",-0.225522542498152,-0.242681532304174,-0.256732988281688,-0.21430303030303,-0.175636363636364,-0.266519129851078,-0.279003720515521,-0.165664488017429,-0.182077335968593,-0.153318903318903,-0.180621496949664,-0.161318881756638,-0.158878563454251,-0.124395804833561,-0.0666666666666667,-0.131372549019608,-0.131372549019608,-0.0666666666666667,-0.103329950376747,-0.194638802889577,-0.194638802889577,-0.1,0,0.0577971014492754,0,0.0292589763177998,0.14701285720776,0.1,0.151851851851852,0.0324358974358974,-0.0324358974358974,-0.0324358974358974,-0.0419947209653092,-0.140577940577941,-0.1,-0.140725806451613,-0.1375,0.0266666666666667,0.06,-0.157360035515217,-0.052,-0.129090909090909,-0.150143540669856,0.0414814814814815,0.054448125271296,0.1,0.124395804833561,0.158308848311822,0.305176647465882,0.12,0.279360177685504,0.147272727272727,0.178321847951927,0.164919786096257,0.163636363636364
"ZEB1",-0.191796841097418,-0.177699805068226,-0.165665906055489,-0.186285030073796,-0.171564217891054,-0.156401667979992,-0.182566904083777,-0.133094646746846,-0.0393949540667014,-0.0135984325152604,-0.0495960652749365,-0.044116613220142,-0.0406636926061115,-0.0286362011971768,-0.0102564102564103,-0.0322076297686054,-0.0267131242740999,-0.00476190476190476,-0.043336489745143,-0.190409586738628,-0.190409586738628,0.0333333333333333,0.0733333333333333,0.058781202704862,0.1,0.0530051209584888,0.0366330065064303,0.075,0.180876120668362,0.0269372743305346,-0.0269372743305346,-0.0269372743305346,-0.0286695577951015,-0.125933428795632,-0.0613636363636364,-0.0752565956825953,-0.0692067736185383,-0.0276042565429968,-0.0259649122807018,-0.0376509074704262,-0.054454279627939,-0.03125,-0.035171568627451,-0.0218899708287111,-0.0121737614961781,0.0333333333333333,0.0322076297686054,0.0433187408797165,0.0836011682603052,0.1,0.197971066342363,0.096,0.105556880020731,0.104235294117647,0.170114942528736
"ERK",-0.224215040479451,-0.311245492371706,-0.209755856652408,-0.206632622897034,-0.189114374721851,-0.461936498132799,-0.490749023829882,-0.171625942431197,-0.170767456221666,-0.106764730522029,-0.227037989659361,-0.217940767437139,-0.201582102108418,-0.185291375291375,-0.149122807017544,-0.172199730094467,-0.166410256410256,-0.143333333333333,-0.13760349420121,-0.173158004818982,-0.173158004818982,-0.0285714285714286,-0.0285714285714286,-0.0363970556967125,-0.0133333333333333,-0.0326857136130423,0.0264445027977742,-0.0173333333333333,0.158981459855638,-0.108114108114108,0.108114108114108,0.108114108114108,0.10954425112841,-0.115219702731474,0.0156939890710383,-0.00681240479085433,0.00719725704489446,0.0341329258976318,0.0376623376623377,0.0216567886847119,0.0391326180067429,0.0353535353535353,0.0302440463024405,0.0350503570902923,0.0602192238062752,0.133333333333333,0.191080848975586,0.206602477474314,0.18150086401384,0.176551724137931,0.522702924530613,0.191445341159208,0.109518693062643,0.103112007825874,0.167619047619048
