"","ZEB2","FOXC2","LIV1","TGFR","AXIN2","NFB","FUS","GLI","Csn","SMAD","TWIST1","SUFU","miR200","cMet","ILK","Destcompl","IKK","TCFLEF","cateninmemb","SHH","SMO","Csl","ERK","SRC","STAT","Patched","cfos","Jagged","SNAI2","MEK","SNAI1","EGR1","NOTCH","DELTA","ZEB1","RKIP","KLF4","TrCP","GSK3","RAF","PI3K","RAS","NOTCHic","SOSGRB2","Ecadherin","HEY1","AKT","DSH","cateninnuc","Frizzled","CD44","Wnt","TGF","PAK1","CDC42"
"ZEB2",-0.115265220657978,-0.100338772338772,-0.1,-0.0969449598021027,-0.0940078966083822,-0.0902777777777778,-0.0892857142857143,-0.0782434079681786,-0.0777777777777778,-0.0761801389953228,-0.0760072829966967,-0.075,-0.0718188676935804,-0.067719298245614,-0.0676435536294691,-0.0632920648333098,-0.0613888888888889,-0.060455344150674,-0.0596846449833039,-0.0581295533734558,-0.0521428571428571,-0.0512820512820513,-0.0490237691001698,-0.0466666666666667,-0.04,-0.0399477351916376,-0.0328947368421053,-0.0301584513665519,-0.0289366237276066,-0.0282920617830966,-0.0267398935349922,-0.025,-0.0176208490962589,-0.0148484848484848,-0.0121806035132925,-0.0105475040257649,-0.00209414932195165,0,0.0068322705860406,0.0148484848484848,0.0148484848484848,0.0176322107585491,0.0312820512820513,0.0361538461538462,0.0434806037673869,0.051056846379427,0.0529776739356179,0.0545454545454545,0.0598059935013234,0.0612121212121212,0.0667933723196881,0.0791608391608392,0.0890084518655947,0.0935064935064935,0.10987012987013
"TrCP",-0.0632118267765987,-0.247227738866783,0.15,-0.253208556149733,0.153228304984974,-0.1375,-0.126190476190476,0.112264536680455,-0.15,-0.107233316265574,-0.10203933747412,-0.142857142857143,0.0469208787960654,0.108778778778779,-0.119491380781703,0.11208026983087,-0.132236842105263,0.115951496050506,0.129464462932713,-0.136093303749218,-0.116513056835637,-0.134615384615385,-0.0743994104642594,0.111481481481481,0.13,-0.130093303749218,-0.0930434782608696,-0.112466129856851,-0.280369987276575,-0.0677327437975927,-0.19939526813579,0.08,-0.13043956043956,-0.120291992135608,-0.200050587568397,-0.165755515203029,-0.05335987509758,0.1,0.0292359307359307,0.120291992135608,0.120291992135608,0.120746537590153,0.123846153846154,0.171053355335534,-0.173331272411537,0.105557515359967,0.145199805068226,-0.13,-0.112503220188437,-0.111481481481481,-0.113729273828284,-0.108849902534113,0.255394348499459,0.266666666666667,0.26078431372549
"LIV1",-0.0632118267765987,-0.247227738866783,0.15,-0.253208556149733,0.153228304984974,-0.1375,-0.126190476190476,0.112264536680455,-0.15,-0.107233316265574,-0.10203933747412,-0.142857142857143,0.0469208787960654,0.108778778778779,-0.119491380781703,0.11208026983087,-0.132236842105263,0.115951496050506,0.129464462932713,-0.136093303749218,-0.116513056835637,-0.134615384615385,-0.0743994104642594,0.111481481481481,0.13,-0.130093303749218,-0.0930434782608696,-0.112466129856851,-0.280369987276575,-0.0677327437975927,-0.19939526813579,0.08,-0.13043956043956,-0.120291992135608,-0.200050587568397,-0.165755515203029,-0.05335987509758,0.1,0.0292359307359307,0.120291992135608,0.120291992135608,0.120746537590153,0.123846153846154,0.171053355335534,-0.173331272411537,0.105557515359967,0.145199805068226,-0.13,-0.112503220188437,-0.111481481481481,-0.113729273828284,-0.108849902534113,0.255394348499459,0.266666666666667,0.26078431372549
"GLI",-0.0624142345110087,-0.276291924664603,0.15,-0.373994795055303,0.15651268115942,-0.150877192982456,-0.251190476190476,0.0856732205579555,-0.166666666666667,-0.14880350547647,-0.131298996231085,-0.276190476190476,0.0442996631851121,0.113870967741935,-0.161776478449443,0.0985475165026241,-0.156999641962048,0.118181312569522,0.133613593891449,-0.268356848912404,-0.251190476190476,-0.154553492484527,0.0542640692640693,0.113870967741935,0.13,-0.26547619047619,0.0373809523809524,-0.152282316705022,-0.28128110128546,0.0559215278276052,-0.192661594868184,-0.0457142857142857,-0.161577302008337,-0.167926071719235,-0.223467144563919,-0.166934144967909,-0.0545431145431145,0.133333333333333,-0.0595640859447637,0.167926071719235,0.167926071719235,0.169312210333097,0.152053492484527,0.367759644485308,-0.186522346556191,0.145636758073091,0.172624641962048,-0.2,-0.115132896550394,-0.183870967741935,-0.118181312569522,-0.1826944971537,0.377994795055303,0.39,0.379655172413793
"NOTCHic",-0.0571497584541063,-0.228262014483213,0.1,-0.25010752688172,0.130252321054208,-0.155555555555556,-0.15,0.0803052861117377,-0.1,-0.11602946214457,-0.0939340155633728,-0.1,0.0370742937216926,0.0878321678321678,-0.105238095238095,0.090011583011583,-0.144444444444444,0.0870786356500642,0.107855741127832,-0.12913686566438,-0.126923076923077,-0.242857142857143,-0.0871428571428571,0.0969230769230769,0.12,-0.115158371040724,-0.08,-0.0924922514326488,-0.253375690066719,-0.07,-0.194090354090354,-0.02,-0.116201794809605,-0.106166007905138,-0.198760064412238,-0.158272001594003,-0.0473084886128364,0,0.0398768246730629,0.106166007905138,0.106166007905138,0.106658618742577,0.126728110599078,0.177224880382775,-0.162769595034368,-0.00409141583054627,0.1328165374677,-0.12,-0.0887580249630413,-0.0969230769230769,-0.0801398601398601,-0.0878321678321678,0.24182727210465,0.233333333333333,0.253333333333333
"cfos",-0.0571025020177562,-0.243779463004714,0.1,-0.26078431372549,0.151970443349754,-0.15,-0.142857142857143,0.108849902534113,-0.1,-0.119491380781703,-0.100952380952381,-0.1,0.0347381376793141,0.111481481481481,-0.108201058201058,0.113132901409818,-0.1375,0.113729273828284,0.132578016046266,-0.130093303749218,-0.126190476190476,-0.15,-0.0930434782608696,0.13,0.15,-0.116513056835637,-0.08,-0.105104166666667,-0.277838341706955,-0.0743994104642594,-0.193428681023618,-0.12,-0.123846153846154,-0.11541394335512,-0.199729044160037,-0.161888111888112,-0.0435238095238095,0,0.0277813852813853,0.11541394335512,0.11541394335512,0.120291992135608,0.134615384615385,0.181944444444444,-0.17782954230773,0.0996751624187906,0.132236842105263,-0.15,-0.115951496050506,-0.13,-0.108778778778779,-0.111481481481481,0.253208556149733,0.242857142857143,0.266666666666667
"STAT",-0.054124081047158,-0.248362644853442,0.1,-0.239772727272727,-0.0314795008912656,-0.09,-0.1,0.0102941176470588,-0.05,-0.10826531178855,-0.166425769799083,-0.05,0.0331264203907069,0.0178571428571429,-0.101368760064412,-0.0117839670012199,-0.0947619047619048,0.0136348667105765,0.0184940001203418,-0.094979762639775,-0.0933333333333333,-0.0745098039215686,-0.0384313725490196,0.0178571428571429,0.0428571428571429,-0.0817054263565891,-0.0266666666666667,-0.0736122275422594,-0.105945105649581,-0.0244528779253637,-0.157328390182318,-0.0333333333333333,-0.0596055793086061,0.02491211745244,-0.193249058633674,-0.126988416988417,0.0471281441869677,0,-0.0516688918558077,-0.02491211745244,-0.02491211745244,-0.0234195801390072,0.0664016958134605,0.0658456486042693,-0.0853524121944444,0.098,0.0828974979822437,-0.0428571428571429,-0.0161378464483596,-0.0178571428571429,-0.0101648351648352,-0.0178571428571429,0.234458717610892,0.227272727272727,0.239772727272727
"SHH",-0.05,-0.125,0,-0.233333333333333,0.276190476190476,0,0,0.25,0,-0.15,0,0,0.0666666666666667,0.1,-0.133333333333333,0.0537662337662338,-0.1,0.13,-0.0814336917562724,-0.293333333333333,-0.1,-0.1,-0.1,0.1,0.1,-0.133333333333333,-0.1,-0.191428571428571,-0.256781609195402,-0.08,-0.15,0,-0.233333333333333,-0.2,-0.2,-0.12,0,0,0.0256410256410256,0.2,0.2,0.238461538461538,0.2,0.2,-0.0477777777777778,0.133333333333333,0.15,-0.2,-0.135555555555556,-0.2,-0.15,-0.2,0.253333333333333,0.2,0.233333333333333
"ILK",-0.0493798789295162,-0.216608594657375,0.1,-0.233411764705882,0.175238095238095,0.166666666666667,-0.1,0.124370122630992,0.233333333333333,-0.104795198079232,0.00424374073696953,0,0.0798102871873364,0.128985507246377,-0.0879951980792317,-0.0124993463231987,0.172549019607843,0.12380515087958,0.0263558248482241,-0.102136752136752,-0.1,0.05,0.0156862745098039,0.133333333333333,0.1,-0.107692307692308,0.0333333333333333,-0.098859649122807,-0.078913596885295,0.0140469302475088,-0.23871578099839,-0.0333333333333333,0.0390818858560794,0.162770562770563,-0.246156985896749,-0.255963154492566,-0.0451754385964912,-0.2,-0.233357383357383,-0.162770562770563,-0.162770562770563,-0.161400699756864,-0.0423076923076923,0.227692307692308,-0.160520292113403,0.097548178791242,-0.164856711915535,-0.1,-0.125248449848652,-0.133333333333333,-0.124370122630992,-0.128985507246377,0.232598756575801,0.2,0.229411764705882
"SMO",-0.043361581920904,-0.138793103448276,0.1,-0.261666666666667,0.279638752052545,-0.15,-0.133333333333333,0.230555555555556,-0.1,-0.137936507936508,-0.0169934640522876,-0.1,0.0822182037371911,0.13,-0.13,0.0539621618691386,-0.192857142857143,0.128759439050701,-0.0860183735254202,-0.296111111111111,-0.293333333333333,-0.233333333333333,-0.0876923076923077,0.15,0.1,-0.318333333333333,-0.08,-0.184153439153439,-0.259829228243021,-0.102843822843823,-0.154224270353303,0.1,-0.288787878787879,-0.225961538461538,-0.223587570621469,-0.136666666666667,-0.025,0,0.0371990469077848,0.225961538461538,0.225961538461538,0.230612701252236,0.278787878787879,0.226315789473684,-0.0477204568162186,0.117216117216117,0.220857142857143,-0.2,-0.127255679652205,-0.25,-0.135555555555556,-0.225,0.267072072072072,0.233333333333333,0.253333333333333
