"","ZEB2","RAS","PI3K","Destcompl","CDC42","miR200","TGF","Frizzled","cateninmemb","cfos","STAT","RKIP","SRC","EGR1","ERK","ILK","AKT","HEY1","KLF4","SNAI2","TrCP","SUFU","FUS","TWIST1","GSK3","SHH","IKK","SMO","MEK","NOTCHic","ZEB1","SMAD","Patched","SNAI1","NFB","Csn","Csl","NOTCH","Jagged","Ecadherin","PAK1","SOSGRB2","DSH","cMet","cateninnuc","FOXC2","TCFLEF","TGFR","AXIN2","Wnt","CD44","RAF","DELTA","GLI","LIV1"
"SRC",-0.278968253968254,0.247215837979292,0.250246141009595,-0.122453017996496,0.108333333333333,-0.0935734153125457,0.0747402597402597,-0.025,0.0159238886394252,-0.0121212121212121,0,0.337178233952428,-0.025,0.0333333333333333,-0.00101010101010101,0.0780701754385965,0.163247863247863,0.0617179741807349,-0.181072351421189,-0.0408337746795525,-0.1,0.0333333333333333,-0.0666666666666667,-0.244625489453076,-0.287012987012987,-0.0407407407407408,-0.141025641025641,-0.0666666666666667,-0.0159710310653707,-0.138333333333333,-0.0715333932315064,-0.0807728781412992,-0.0407407407407408,-0.263569318446543,-0.133333333333333,-0.1,-0.105,-0.166904761904762,-0.0773753234533051,-0.113986928104575,-0.133333333333333,-0.12,0.1,-0.015,-0.0128486010517493,-0.0816573295985061,-0.0170991603358657,-0.0892857142857143,0.00936078881380425,-0.015,-0.0231967213114754,-0.250246141009595,-0.250246141009595,-0.0231967213114754,0
"RAS",-0.270835787923417,0.31025641025641,0.406410256410256,-0.194293685572755,0.08,-0.144,0.0258357600465929,0.2,0.050344991653924,0.04,0.1,0.357339622641509,0.2,0.04,0.0452631578947368,-0.0346320346320346,0.2,-0.0377470355731225,-0.273928571428571,-0.123326249339493,-0.1,0.1,0.1,-0.396715766503001,-0.317144702842377,0.0865875706214689,-0.166666666666667,0.0833333333333333,-0.0550670794633643,-0.197368421052632,-0.155121502209131,0.0448361162646877,0.0713333333333333,-0.325781710914454,-0.133333333333333,-0.1,-0.15,-0.240764647467726,-0.0419751626256653,-0.221597614012667,-0.1,-0.129437229437229,-0.1,-0.264705882352941,-0.275846027844241,-0.0522222222222222,-0.283494753056705,-0.0505882352941176,-0.200711462450593,-0.264705882352941,-0.28811013767209,-0.406410256410256,-0.406410256410256,-0.285539215686274,0
"Frizzled",-0.263219550075524,0.370139288808995,0.364627477785373,-0.234866306415494,0.0333333333333333,-0.0932323232323232,0.0255900621118013,0.25,0.000692090395480228,0.0333333333333333,0.2,0.252142857142857,0.25,0.0333333333333333,0.0627450980392157,0.0788709998012324,0.258333333333333,0.0659247135842881,-0.253501400560224,-0.132819264657892,-0.1,0,-0.05,-0.304173669467787,-0.364587251828631,0.00108225108225108,-0.245833333333333,-0.0227272727272727,-0.0627450980392157,-0.275,-0.0690914859061229,-0.07793642036198,0.00108225108225108,-0.273775017253278,-0.233333333333333,-0.133333333333333,-0.25,-0.280882352941176,-0.143720291146762,-0.203233921860987,-0.0666666666666667,-0.172727272727273,-0.3,-0.244736842105263,-0.247407923782967,-0.0569230769230769,-0.244074590449634,-0.0246376811594203,-0.151923890063425,-0.244736842105263,-0.244736842105263,-0.364627477785373,-0.364627477785373,-0.244736842105263,-0.1
"AKT",-0.259207797350002,0.295001741175697,0.292833066476902,-0.208351626551608,0.0335882352941176,-0.087657590526443,0.03874629291699,0.242512077294686,0.00748942415004102,0.0484593837535014,0.255555555555556,0.244194935499283,0.242512077294686,0.019047619047619,0.0500987280157965,0.0728768307322929,0.211632158690982,0.0574251439313651,-0.253660593792173,-0.115528156173356,-0.233333333333333,-0.05,-0.0166666666666667,-0.282678975060307,-0.242487470713277,0.0015272154745839,-0.318702865761689,0.00641025641025641,-0.045035436876556,-0.251302729528536,-0.0613233149720067,-0.0711933290487912,0.00363247863247863,-0.251363886770065,-0.305882352941176,-0.3,-0.248076923076923,-0.245205168552926,-0.13495178343209,-0.192661372075994,-0.0455882352941176,-0.148247863247863,-0.255555555555556,-0.237896692679301,-0.242790199312455,-0.0655309004217862,-0.240944045466301,-0.0360272596843616,-0.148139590854392,-0.237896692679301,-0.236201777425064,-0.292833066476902,-0.292833066476902,-0.23622071502567,-0.2
"PI3K",-0.257837934336303,0.292833066476902,0.291463203463203,-0.209096043425057,0.0455882352941176,-0.087657590526443,0.0360272596843616,0.255555555555556,0.0112610857198677,0.019047619047619,0.2,0.237362637362637,0.255555555555556,0.0333333333333333,0.0484593837535014,0.0720768307322929,0.318702865761689,0.0611845424276057,-0.25109649122807,-0.11281458833416,-0.2,0,-0.05,-0.280538302277433,-0.239261664261664,0.00363247863247863,-0.305882352941176,-0.0166666666666667,-0.0500987280157965,-0.248076923076923,-0.0585835889446094,-0.0728768307322929,0.00641025641025641,-0.249609500805153,-0.3,-0.233333333333333,-0.225,-0.251302729528536,-0.135614035087719,-0.18841894783357,-0.075,-0.152692307692308,-0.2,-0.242512077294686,-0.240944045466301,-0.0632752613240418,-0.236201777425064,-0.0335882352941176,-0.150666666666667,-0.242512077294686,-0.237896692679301,-0.291463203463203,-0.291463203463203,-0.237896692679301,-0.1
"ILK",-0.257837934336303,0.292833066476902,0.291463203463203,-0.209096043425057,0.0455882352941176,-0.087657590526443,0.0360272596843616,0.255555555555556,0.0112610857198677,0.019047619047619,0.2,0.237362637362637,0.255555555555556,0.0333333333333333,0.0484593837535014,0.0720768307322929,0.318702865761689,0.0611845424276057,-0.25109649122807,-0.11281458833416,-0.2,0,-0.05,-0.280538302277433,-0.239261664261664,0.00363247863247863,-0.305882352941176,-0.0166666666666667,-0.0500987280157965,-0.248076923076923,-0.0585835889446094,-0.0728768307322929,0.00641025641025641,-0.249609500805153,-0.3,-0.233333333333333,-0.225,-0.251302729528536,-0.135614035087719,-0.18841894783357,-0.075,-0.152692307692308,-0.2,-0.242512077294686,-0.240944045466301,-0.0632752613240418,-0.236201777425064,-0.0335882352941176,-0.150666666666667,-0.242512077294686,-0.237896692679301,-0.291463203463203,-0.291463203463203,-0.237896692679301,-0.1
"ERK",-0.1974005053529,0.137523197374682,0.139393384393384,-0.135923278295247,-0.00925678682688027,-0.0705204358512155,-0.00239667613465279,0.202820512820513,0.113863667818797,0.102597212032282,0.214035087719298,0.296822210778462,0.210188933873144,0.083448275862069,0.0092638786989484,-0.0363557779663258,-0.0294780430938013,-0.040708731966536,-0.193141147553746,0.00845135584490582,0.0857142857142857,0.06,0.064,-0.315476812672701,-0.150064611963853,0.0907107365635729,0.0193862999745353,0.0853114754098361,-0.00564270878251386,-0.0140719377945655,-0.0739352849903805,0.0396992430119185,0.0911938283510125,-0.270672696607303,0.0205627705627706,0.0357142857142857,-0.0148018648018648,-0.00437664693583976,-0.0040180654786955,-0.23687520133206,-0.00476190476190477,-0.166148250886115,-0.206666666666667,-0.201098024782235,-0.192094407420159,-0.0187130897475725,-0.191399962975714,0.00706700580498246,-0.133016271906361,-0.193729603729604,-0.19270107821735,-0.139393384393384,-0.139393384393384,-0.185458927037874,-0.166666666666667
"STAT",-0.135888470503855,-0.0675950273446662,-0.0601323407775021,-0.0870194964990445,0.00397727272727273,-0.00991940744123788,-0.000535821602755239,-0.00357142857142857,0.00165463104445865,-0.0133333333333333,-0.0285714285714286,0.0236550836550837,-0.00357142857142857,-0.0333333333333333,0.0101960784313726,0.0551529790660225,0.0659806295399516,0.0553333333333333,-0.0397207367795603,-0.025616169488953,0,-0.1,-0.1,-0.0198670145446757,-0.0646372941700045,-0.0392179460794402,-0.0642857142857143,-0.04,-0.00912080961416825,-0.0483306836248013,-0.0239824278285817,-0.0517047032039536,-0.0330232558139535,-0.0521870027946547,-0.05,-0.05,-0.0294117647058824,-0.0434763146927624,-0.0473332634350354,-0.0499411682029082,-0.0227272727272727,0.0571428571428571,0.0285714285714286,0.0172077922077922,0.0348474446097988,0.00671983640081799,0.0392574565287499,0.00391746411483253,0.0432594856124268,0.0172077922077922,0.0351565101565102,0.0601323407775021,0.0601323407775021,0.0348548510313216,0
"cfos",-0.121774472500865,-0.00524735639513258,0.00206971677559913,0.226645711789848,-0.0952380952380952,-0.00685001273236567,-0.0841864018334606,0.2,0.108132538722492,0.04,0.2,-0.0209090909090909,0.2,0.08,0.0617391304347826,0.0415343915343915,0.0842105263157895,0.0353073463268366,-0.121428571428571,-0.136965273169653,0,-0.1,-0.0857142857142857,-0.125012987012987,0.176084956709957,-0.021994652102179,-0.1,-0.0190476190476191,-0.0498747236551216,-0.133333333333333,-0.0139455782312925,-0.0350827786311657,-0.0158218125960062,-0.00167790015891282,-0.1,-0.1,-0.133333333333333,-0.113333333333333,-0.0870486111111111,-0.165432538233838,0.0714285714285714,-0.0319444444444444,-0.2,-0.174074074074074,-0.152566130486923,0.0653480904556945,-0.148492056412848,0.0932773109243697,-0.120131362889984,-0.174074074074074,-0.152452452452452,-0.00206971677559913,-0.00206971677559913,-0.153021442495127,-0.1
"CDC42",-0.121774472500865,-0.00524735639513258,0.00206971677559913,0.226645711789848,-0.0952380952380952,-0.00685001273236567,-0.0841864018334606,0.2,0.108132538722492,0.04,0.2,-0.0209090909090909,0.2,-0.02,0.0617391304347826,0.0415343915343915,0.0842105263157895,0.0353073463268366,-0.121428571428571,-0.136965273169653,0,-0.1,-0.0857142857142857,-0.125012987012987,0.176084956709957,-0.021994652102179,-0.1,-0.0190476190476191,-0.0498747236551216,-0.133333333333333,-0.0139455782312925,-0.0350827786311657,-0.0158218125960062,-0.00167790015891282,-0.1,-0.1,-0.133333333333333,-0.113333333333333,-0.0870486111111111,-0.165432538233838,-0.0285714285714286,-0.0319444444444444,-0.2,-0.174074074074074,-0.152566130486923,0.0653480904556945,-0.148492056412848,0.0932773109243697,-0.120131362889984,-0.174074074074074,-0.152452452452452,-0.00206971677559913,-0.00206971677559913,-0.153021442495127,-0.1
