"","FOXC2","GSK3","SNAI2","cateninmemb","AXIN2","Ecadherin","TWIST1","GLI","cateninnuc","TCFLEF","Wnt","CD44","Frizzled","SNAI1","cMet","SRC","Destcompl","DSH","STAT","RKIP","NFB","TrCP","LIV1","FUS","IKK","AKT","Csn","Csl","NOTCHic","NOTCH","ZEB2","ZEB1","MEK","cfos","RAF","PI3K","DELTA","RAS","Jagged","ERK","EGR1","KLF4","miR200","ILK","SMAD","HEY1","SUFU","SMO","SHH","Patched","SOSGRB2","CDC42","TGFR","TGF","PAK1"
"KLF4",-0.343473146467702,-0.177446483756249,-0.46497114187574,-0.548937648846185,-0.422543786669184,-0.542515099166027,-0.389908496732026,-0.373958677296099,-0.396726209613856,-0.387635300522947,-0.35499316005472,-0.373254029619937,-0.329411764705882,-0.215853793994599,-0.35499316005472,-0.329411764705882,-0.202425681925325,-0.3,-0.3,-0.179880437023294,0.12,0.1,-0.233333333333333,-0.233333333333333,0.134285714285714,0.145396825396825,0.1,0.265454545454545,0.286507177033493,0.304032950229369,-0.222822497420021,-0.222822497420021,-0.206253928000441,-0.187272727272727,0.156666666666667,0.156666666666667,0.156666666666667,-0.162549019607843,-0.355156058334469,0.19903743315508,0.16,-0.222222222222222,-0.150875050875051,-0.00666666666666667,-0.00811594202898551,-0.0337509549274255,0.2,0.266666666666667,0.290994623655914,0.279166666666667,-0.0935820468839337,0.0972727272727273,0.111939393939394,0.121207686622321,0.0772727272727273
"HEY1",-0.343473146467702,-0.177446483756249,-0.46497114187574,-0.548937648846185,-0.422543786669184,-0.542515099166027,-0.389908496732026,-0.373958677296099,-0.396726209613856,-0.387635300522947,-0.35499316005472,-0.373254029619937,-0.329411764705882,-0.215853793994599,-0.35499316005472,-0.329411764705882,-0.202425681925325,-0.3,-0.3,-0.179880437023294,0.12,0.1,-0.233333333333333,-0.233333333333333,0.134285714285714,0.145396825396825,0.1,0.265454545454545,0.286507177033493,0.304032950229369,-0.222822497420021,-0.222822497420021,-0.206253928000441,-0.187272727272727,0.156666666666667,0.156666666666667,0.156666666666667,-0.162549019607843,-0.355156058334469,0.19903743315508,0.16,-0.222222222222222,-0.150875050875051,-0.00666666666666667,-0.00811594202898551,-0.0337509549274255,0.2,0.266666666666667,0.290994623655914,0.279166666666667,-0.0935820468839337,0.0972727272727273,0.111939393939394,0.121207686622321,0.0772727272727273
"FOXC2",-0.343473146467702,-0.177446483756249,-0.46497114187574,-0.548937648846185,-0.422543786669184,-0.542515099166027,-0.389908496732026,-0.373958677296099,-0.396726209613856,-0.387635300522947,-0.35499316005472,-0.373254029619937,-0.329411764705882,-0.215853793994599,-0.35499316005472,-0.329411764705882,-0.202425681925325,-0.3,-0.3,-0.179880437023294,0.12,0.1,-0.233333333333333,-0.233333333333333,0.134285714285714,0.145396825396825,0.1,0.265454545454545,0.286507177033493,0.304032950229369,-0.222822497420021,-0.222822497420021,-0.206253928000441,-0.187272727272727,0.156666666666667,0.156666666666667,0.156666666666667,-0.162549019607843,-0.355156058334469,0.19903743315508,0.16,-0.222222222222222,-0.150875050875051,-0.00666666666666667,-0.00811594202898551,-0.0337509549274255,0.2,0.266666666666667,0.290994623655914,0.279166666666667,-0.0935820468839337,0.0972727272727273,0.111939393939394,0.121207686622321,0.0772727272727273
"SRC",-0.290457516339869,-0.268658008658009,-0.200327371764404,-0.171750860649603,-0.16724892685622,-0.0958641032170444,-0.128322596943287,-0.124918032786885,-0.135590810655604,-0.132235105957617,-0.12,-0.124918032786885,-0.1,-0.176142354089084,-0.12,-0.1,-0.107904921165791,-0.1,0,-0.247051156728576,-0.0666666666666667,-0.1,0,0.0333333333333333,-0.0897435897435898,-0.0897435897435898,-0.1,-0.055,-0.0692857142857143,-0.0621428571428571,-0.221922731356694,-0.221922731356694,-0.00417381360777588,-0.0393939393939394,-0.218656654151022,-0.218656654151022,-0.218656654151022,0.212596048090416,-0.0804446012702893,0.00606060606060607,0.0666666666666667,-0.126356589147287,-0.121721563460694,-0.0614035087719298,-0.0641062114746325,-0.0299569678914267,-0.0333333333333333,-0.0333333333333333,-0.0237472766884532,-0.0296296296296296,0.127142857142857,0.288888888888889,0.279365079365079,0.277546897546898,0.288888888888889
"Wnt",-0.251255060728745,-0.123746081504702,0.0328448275862069,0.131059322033898,0.173939393939394,0.129253306357948,-0.0473529411764706,0.130263157894737,0.144288701887168,0.140977443609023,0.125,0.130263157894737,0.2,-0.138509316770186,0.125,0.1,0.00639019910023506,0.2,0.1,-0.163333333333333,-0.133333333333333,-0.1,0,0,-0.113333333333333,-0.125833333333333,-0.1,-0.15,-0.135714285714286,-0.152380952380952,-0.215255858440937,-0.215255858440937,0.0827450980392157,0.0333333333333333,-0.24812030075188,-0.24812030075188,-0.24812030075188,0.261756664388243,0.0192156862745098,-0.0533333333333333,0,-0.227450980392157,-0.113131313131313,-0.0521367521367521,-0.054462333532101,-0.041025641025641,0,-0.05,-0.0733766233766234,-0.0590909090909091,0.224242424242424,0.3,0.293333333333333,0.280289855072464,0.3
"STAT",-0.255965916837083,-0.0851290609701825,-0.225796519832546,-0.192441559565873,-0.197999255646314,-0.117165556106673,-0.236452228431239,-0.15307486631016,-0.162136372327922,-0.157964739431616,-0.143831168831169,-0.153232878232878,-0.139285714285714,-0.119867486494858,-0.143831168831169,-0.139285714285714,-0.111635622057395,-0.114285714285714,-0.114285714285714,-0.0933832046332047,0.03,0,0,0,0.0347619047619048,0.0398466505246166,0.05,0.0607843137254902,0.0742978272390037,0.0791521961710425,-0.208570916263224,-0.208570916263224,0.021505376344086,0.0333333333333333,0.0693186517783292,0.0693186517783292,0.0693186517783292,-0.0700649204350456,-0.0894445415254139,-0.0333333333333333,-0.0333333333333333,-0.108328381857794,-0.106062406699082,-0.0413848631239936,-0.0402354378366372,-0.0466666666666667,0,0.00666666666666667,0.0127584551005008,0.0136434108527132,0.0670361247947455,0.202840909090909,0.205472488038278,0.208854130550355,0.209090909090909
"Frizzled",-0.24195273514735,-0.125564263322884,0.0394694332644403,0.133281544256121,0.185567300916138,0.136013213117855,-0.038781512605042,0.140977443609023,0.148098225696692,0.144288701887168,0.130263157894737,0.140977443609023,0.125,-0.128985507246377,0.130263157894737,0.125,0.00983847496230402,0.2,0.1,-0.163333333333333,-0.113333333333333,-0.1,0.1,0.05,-0.125833333333333,-0.125833333333333,-0.133333333333333,-0.135714285714286,-0.152380952380952,-0.154341736694678,-0.20832516537163,-0.20832516537163,0.0901525054466231,0.0533333333333333,-0.261756664388243,-0.261756664388243,-0.261756664388243,0.26096926281344,0.0242661913250149,-0.0827450980392157,-0.0333333333333333,-0.213165266106443,-0.111568813131313,-0.054462333532101,-0.0553969129713533,-0.0388979814511729,0,-0.0590909090909091,-0.0766024298282363,-0.0733766233766234,0.221212121212121,0.293333333333333,0.280289855072464,0.273623188405797,0.3
"DSH",-0.23286182605644,-0.12347609626952,0.0442424251154299,0.138581897613011,0.191896414840189,0.137505750431288,-0.0331077537397938,0.144245417465232,0.150146311181999,0.148098225696692,0.140977443609023,0.144288701887168,0.130263157894737,-0.128115942028986,0.140977443609023,0.130263157894737,0.0107926734355865,0.125,0.125,-0.158438228438228,-0.125833333333333,-0.133333333333333,0.1,0.0590909090909091,-0.125833333333333,-0.131580459770115,-0.113333333333333,-0.152380952380952,-0.154341736694678,-0.162034044386986,-0.202813354348008,-0.202813354348008,0.0939119039428637,0.0827450980392157,-0.26096926281344,-0.26096926281344,-0.26096926281344,0.263490271216802,0.0258165789219141,-0.0901525054466231,-0.0533333333333333,-0.206369149601588,-0.107910276545947,-0.0553969129713533,-0.0550195544807873,-0.0406523674160852,-0.05,-0.0733766233766234,-0.0808969083558436,-0.0766024298282363,0.209016999260902,0.280289855072464,0.273623188405797,0.26839670756956,0.293333333333333
"NFB",-0.341156470797905,-0.241181857358328,-0.430835558933081,-0.200771891208377,-0.169468085106383,-0.186643525074906,-0.321914098972922,-0.141759339287429,-0.151786287788156,-0.14825687602345,-0.137264957264957,-0.142349703027669,-0.126495726495726,-0.101811456965697,-0.137264957264957,-0.126495726495726,-0.138039348337571,-0.111111111111111,-0.111111111111111,-0.106052963430013,0.00238095238095238,0.1,-0.1,0.1,-0.000321750321750322,0.00412269412269412,0.0857142857142857,0.00519480519480519,0.00995670995670996,0.0170534841502583,-0.198681992337165,-0.198681992337165,0.0489486461251167,0.0468571428571429,-0.142226255293406,-0.142226255293406,-0.142226255293406,0.13924118066654,-0.145169405244314,-0.0535238095238095,-0.0428571428571429,-0.198717948717949,-0.100246339762956,-0.147414741474147,-0.147786488686043,-0.146264558454961,-0.08,-0.103703703703704,-0.0943975134253489,-0.0968071519795658,0.197257850508624,0.3,0.296,0.29853164556962,0.3
"SMAD",-0.202793762703839,-0.101724730296159,-0.156674339618698,-0.0391786144259164,-0.0262508065660194,-0.0479281424165543,-0.0878406477407371,-0.0386183361003505,-0.0271599773025062,-0.026146806076569,-0.0371794871794872,-0.0257397504456328,-0.0333333333333333,-0.0771990773563354,-0.023921568627451,-0.02,-0.0372165029105302,-0.0333333333333333,-0.02,-0.0613535841112552,-0.115873015873016,-0.1,-0.02,-0.0791666666666667,-0.109990662931839,-0.109990662931839,-0.111111111111111,-0.102857142857143,-0.0994088669950739,-0.0978215654077723,-0.197630587441908,-0.197630587441908,0.0734660313430006,0.0889400921658986,-0.136666175163992,-0.136666175163992,-0.136666175163992,0.136337227795571,0.0639170506912442,-0.0773121851891544,-0.0857142857142857,-0.198305442484547,-0.0968419681526588,0.058210556566721,-0.041789443433279,0.0921499792902098,0.0666666666666667,0.0741666666666667,0.0751079715334857,0.0732492354740061,0.159265010351967,0.200972501676727,0.20041384245885,0.20041384245885,0.202380952380952
