"","AXIN2","ZEB2","ZEB1","FOXC2","Wnt","cMet","CD44","Frizzled","TCFLEF","DSH","SRC","TGF","CDC42","NOTCH","Jagged","TWIST1","MEK","RKIP","NOTCHic","HEY1","SHH","Csl","ILK","ERK","SMAD","PAK1","AKT","Patched","FUS","SOSGRB2","IKK","SMO","RAS","miR200","RAF","PI3K","DELTA","GSK3","cfos","KLF4","NFB","EGR1","STAT","SNAI1","Ecadherin","SUFU","TGFR","cateninnuc","Csn","GLI","cateninmemb","TrCP","LIV1","SNAI2","Destcompl"
"AXIN2",0.172289114864899,-0.19781390295566,-0.19781390295566,0.0566106804982683,-0.247559476075916,-0.247559476075916,-0.246613103836168,-0.251007751937985,-0.245792470776379,-0.253333333333333,-0.251007751937985,-0.193554795376293,-0.19587962962963,0.0283533157217368,-0.280903291772857,-0.238888484365158,-0.242414290916999,0.192384004884005,0.0249749373433584,-0.169743722279219,0.0839195640425149,0.0214035087719298,-0.167632850241546,-0.249310842641137,-0.169220151828847,-0.199583333333333,-0.334202898550725,0.0822802197802198,-0.0769230769230769,-0.0400881182087353,0.338647342995169,0.0769230769230769,-0.316407418906874,0.0647719087991705,-0.318507156439682,-0.318507156439682,-0.318507156439682,0.306435731189736,0.253983739837398,0.20356241645999,0.325603864734299,0.246666666666667,0.253333333333333,-0.222701384109168,0.0289242147600573,-0.1,0.193224762372992,0.245316897927265,0.277777777777778,0.246930545258305,0.239374509521611,0.2,0.233333333333333,0.329650006100296,0.296499655439418
"TCFLEF",0.338412698412698,-0.169372009569378,-0.169372009569378,0.171293875182998,-0.00478883861236802,-0.00993589743589744,-0.0143384131591679,-0.00735294117647059,-0.111016534579557,0.0176470588235294,-0.0125,-0.315248628645371,-0.311627906976744,-0.00356392131441345,0.0258548826441432,-0.111953475206582,-0.0848763895802223,0.183662120585939,-0.00057388809182209,-0.0294073016779269,-0.115516760434631,0.0013868962219034,-0.0442791828054986,-0.0767131242740999,-0.0440879782165885,-0.3,0.014504070964099,-0.106927803379416,0.11,0.127533855366191,-0.0275475492249686,-0.10047619047619,-0.0129473020543244,-0.0244943410003651,-0.0109762113841536,-0.0109762113841536,-0.0109762113841536,0.215059427991143,0.0833797909407666,0.0802218614718615,-0.0178701298701299,0.0614285714285714,-0.0125,-0.214533771667663,-0.0166664030759881,0.116666666666667,0.317235383612258,0.110071517397427,-0.0298701298701299,0.00851554668690218,0.0875845755770666,-0.0571428571428571,0,-0.0989108650135862,0.282336459790495
"Destcompl",-0.245792470776379,-0.150758960691893,-0.150758960691893,0.0214394177078829,-0.193705906794202,-0.193213320222112,-0.192467051565396,-0.192715807784301,-0.192193078962656,-0.196825396825397,-0.192715807784301,-0.145004629801104,-0.14201266713582,0.0298552255313604,-0.239316502170017,-0.184258058006943,-0.185141333039237,0.140008697402223,0.0316588327457893,-0.133512641204949,0.0488301008107591,0.0283979631805719,-0.129920634920635,-0.184297451182697,-0.132142857142857,-0.144081632653061,-0.271548108198239,0.0517314547759429,-0.0436781609195402,-0.0356624186242674,0.275574953835823,0.0522495894909688,-0.244291123594358,0.0317364046852028,-0.244291123594358,-0.244291123594358,-0.244291123594358,0.230115397102247,0.192494172494173,0.162333800271803,0.290890269151139,0.204615384615385,0.196825396825397,-0.163452047142956,0.0159437402638297,-0.0333333333333333,0.144117930293715,0.191887112618954,0.295238095238095,0.192778263009415,0.203236519095533,0.266666666666667,0.211111111111111,0.280136667486234,0.118130774723656
"FUS",-0.268962921136834,-0.150463588783751,-0.150463588783751,-0.00015426497277677,-0.0180555555555556,-0.122222222222222,-0.125134843581446,-0.0125,-0.120623565385957,-0.05,-0.116666666666667,-0.240866398313207,-0.233333333333333,-0.00909090909090909,-0.13675272518646,-0.117922811940367,-0.195170806205289,0.0723007691048928,-0.00227272727272727,-0.036486701704093,-0.0340151515151515,-0.0272727272727273,-0.0376190476190476,-0.203216783216783,-0.0460061443932412,-0.233333333333333,-0.136901098901099,-0.0269444444444444,0.0533333333333333,0.0624156545209177,0.152285714285714,-0.0158333333333333,-0.182981101233488,-0.0156407593743099,-0.18429114490161,-0.18429114490161,-0.18429114490161,0.168136197557894,0.212307692307692,0.167030965391621,0.164285714285714,0.22,0.15,-0.102130249543518,0.00287407816557219,0.133333333333333,0.238738738738739,0.121167043646826,0.15,0.0219017094017094,0.111931663829338,0.1,0.1,0.311231499578927,0.145688350013592
"SUFU",-0.266855192799598,-0.143217211972157,-0.143217211972157,-0.00536518308692069,-0.0219017094017094,-0.125134843581446,-0.120623565385957,-0.0180555555555556,-0.121167043646826,-0.0125,-0.122222222222222,-0.23790781843155,-0.238738738738739,-0.0154401154401154,-0.136990254877672,-0.112355801631088,-0.19644740194997,0.0669946466559132,-0.00909090909090909,-0.0425107980896352,-0.037490054990055,-0.00227272727272727,-0.0460061443932412,-0.195170806205289,-0.0420800473955506,-0.233333333333333,-0.140256803599085,-0.0340151515151515,0.0158333333333333,0.0659121580174212,0.136901098901099,-0.0269444444444444,-0.181715278448678,-0.0167560010099977,-0.182981101233488,-0.182981101233488,-0.182981101233488,0.167622058740414,0.203216783216783,0.165234558205992,0.152285714285714,0.212307692307692,0.116666666666667,-0.100937745284574,0.00153525221294603,0.0533333333333333,0.240866398313207,0.119990573058591,0.164285714285714,0.0170689956470626,0.110021704757032,0.15,0.15,0.311561097469501,0.145528860380418
"SRC",-0.0759573292532619,-0.141501946690626,-0.141501946690626,0.0794211017740429,-0.045,-0.045,-0.0335245901639344,-0.025,-0.0469392243102759,-0.1,-0.025,-0.264145021645022,-0.229166666666667,0.0840476190476191,-0.0335379910609268,-0.12222306429203,-0.148675433581094,0.0653633105246008,0.0733333333333333,-0.0199520026481297,-0.037843137254902,0.04,-0.025219298245614,-0.165656565656566,-0.0549490279753438,-0.266666666666667,-0.154700854700855,-0.0466666666666667,0.1,0.0214285714285714,0.21025641025641,-0.08,-0.181503773656465,0.00418972332015811,-0.186049228201919,-0.186049228201919,-0.186049228201919,0.00216450216450216,0.154545454545455,0.00897932816537468,0.233333333333333,0.2,0,-0.153311320510526,0.0979279489573607,0.1,0.238690476190476,0.0471629379568083,0.2,0.0335245901639344,0.108215087561742,0.1,0,0.0211531976853843,-0.0248403408186017
"TGFR",-0.070961729152001,-0.11895425041835,-0.11895425041835,-0.0410526458542407,-0.0565768194070081,-0.0327672955974843,-0.0459251903343264,-0.0471428571428571,-0.048317534831934,-0.0571428571428571,-0.0233333333333333,-0.194115163796015,-0.249206349206349,-0.0833589679980154,0.00868284561695588,-0.1479418742586,-0.146713358739314,0.0874025974025974,-0.0855172413793104,0.0602654041205962,0.0325719608416131,-0.12,0.0487683284457478,-0.126165413533835,0.0142487554920111,-0.244444444444444,0.170768490994929,0.0579956896551724,0.01,0.100909681611436,-0.161466165413534,0.0486206896551724,0.135829156223893,-0.00779922092491613,0.142261904761905,0.142261904761905,0.142261904761905,-0.12642505998168,0.132832080200501,0.124079219788602,-0.103571428571429,0.138095238095238,0.0333333333333333,-0.131164225959077,0.00227835592613603,0.06,0.181349206349206,0.0434459670728552,-0.075,0.067544561342492,0.0585827998253984,-0.1,0.1,0.0425318171385458,0.099565598525322
"NFB",0.0902482269503546,-0.111032178146516,-0.111032178146516,-0.0838890901042296,0.0711965811965812,0.0711965811965812,0.0683717224395191,0.085042735042735,0.0666839587264389,0.0388888888888889,0.085042735042735,-0.277002173635085,-0.264141414141414,0.132119350183866,0.0488090389918618,-0.107670401493931,-0.0384724556489262,0.0542104525711083,0.134054834054834,0.0359446410143005,0.0340272969271723,0.103896103896104,0.0430693069306931,-0.0430476190476191,0.0293146600905444,-0.277777777777778,0.0114500214500214,0.0328224776500639,0,0.164739053516143,0.0174388674388674,0.0259259259259259,0.00949065922655326,-0.0198293741811409,0.011978221415608,0.011978221415608,0.011978221415608,-0.0834335272570567,0.0497142857142857,0.0999084249084249,0.030952380952381,0.0857142857142857,-0.0388888888888889,-0.0667353341001778,0.0406034549079946,0,0.268141414141414,-0.0659780763734977,0.114285714285714,-0.0678257946797273,-0.0313226939006968,0.1,-0.05,0.249781348928182,-0.171437241872323
"IKK",0.0916666666666667,-0.101453634085213,-0.101453634085213,-0.0874747474747475,0.085042735042735,0.085042735042735,0.0711965811965812,0.0388888888888889,0.0683717224395191,0.05,0.0388888888888889,-0.268141414141414,-0.277777777777778,0.134054834054834,0.0531255857544517,-0.0984640522875817,-0.0430476190476191,0.0336976320582878,0.103896103896104,0.0341589267285862,0.0328224776500639,0.118181818181818,0.05,-0.0497142857142857,0.0430693069306931,-0.3,-0.0174388674388674,0.0259259259259259,0,0.148949579831933,0.030952380952381,0,0.011978221415608,-0.0146934225195095,0.011978221415608,0.011978221415608,0.011978221415608,-0.0877472527472527,0.0857142857142857,0.0787545787545788,0.114285714285714,0.1,-0.05,-0.0675572519083969,0.0449373232868068,-0.1,0.264141414141414,-0.0666839587264389,0.1,-0.0711965811965812,-0.0337514161815838,0.2,-0.1,0.247748828602978,-0.173762823267672
"ZEB2",-0.0967994484908432,-0.0938156920640772,-0.0938156920640772,-0.0897047397047397,-0.0806993006993007,-0.0691228070175438,-0.0691228070175438,-0.0678787878787879,-0.0656016802569805,-0.0545454545454545,-0.0533333333333333,-0.0526406926406926,-0.0431168831168831,-0.0429239176124422,-0.0367792978669375,-0.0356272820381741,-0.033276050077988,-0.0314653784219002,-0.0270769230769231,-0.02564741709903,-0.0255147291732658,-0.0230769230769231,-0.0218521384718568,-0.0210809281267685,-0.0206326262767348,-0.0194805194805195,-0.0188681204569055,-0.012787456445993,-0.00714285714285714,0.00104395604395605,0.00111111111111112,0.00428571428571428,0.00535016732018873,0.00561817422079279,0.0077056277056277,0.0077056277056277,0.0077056277056277,0.00880760340972235,0.0114035087719298,0.0133861718835604,0.0166666666666667,0.0166666666666667,0.04,0.0461566993250777,0.0473745402142024,0.05,0.0574025974025974,0.0627445373998376,0.0666666666666667,0.0797818695066402,0.0903253212093371,0.1,0.1,0.10294173968645,0.103071461361798
"ZEB1",-0.0907984296188136,-0.0899917946650463,-0.0899917946650463,-0.0696270697303844,0.00223130528008577,0.00887319280432624,0.00887319280432624,0.0118466898954704,0.0125965970596454,0.0142857142857143,0.0206378986866792,-0.112645859744628,-0.106938197567883,0.0305268595041322,0.0148829633731147,-0.0879978821041071,-0.0653086291785437,-0.0128356234352366,0.04375,-0.023194016691426,0.0191309684663254,0.04375,-0.0157498776115058,-0.0551764705882353,-0.0138268006884289,-0.0909961685823755,-0.0168704548255886,0.0266042780748663,-0.0416666666666667,0.0418323586744639,0.00115616911130285,0.0462121212121212,-0.0524239427643787,0.00125422676810438,-0.051006619929733,-0.051006619929733,-0.051006619929733,-0.00641323003716768,0.054,0.104826227144373,0.0126315789473684,0.05,-0.0230769230769231,0.0143739463601797,0.049172398864304,0.00833333333333333,0.116582867618644,-0.013379375924616,0.06,-0.00257494789176962,0.150774909140091,0.1,0,0.131520291738514,0.0809612965643704
"cfos",-0.0432676518883415,-0.0805449863561244,-0.0805449863561244,-0.0537951766072283,-0.0311111111111111,-0.0311111111111111,-0.0365165165165165,-0.02,-0.0384967145363185,0,-0.02,-0.110822510822511,-0.0714285714285714,-0.0864102564102564,-0.0736458333333333,-0.0597229437229437,-0.1338540899042,0.0454778554778555,-0.0756410256410256,-0.0141929035482259,-0.0617056380497241,-0.0833333333333333,-0.0312169312169312,-0.0982608695652174,-0.0521846731524151,-0.0571428571428571,-0.0241228070175439,-0.0382488479262673,0.0619047619047619,0.0305555555555556,0.00833333333333333,-0.0285714285714286,0.0318321908709283,-0.0343561667091079,0.0367102396514161,0.0367102396514161,0.0367102396514161,-0.016620670995671,0.12,0.0954920634920635,0.0833333333333333,0.24,0,-0.0431859279960546,0.00468689692226376,0.133333333333333,0.104761904761905,0.0340522700918741,0.133333333333333,0.0337426900584795,0.0323214007079637,0.1,0.1,0.150789332322179,0.0468783646529879
"cMet",-0.104285714285714,-0.0773448773448774,-0.0773448773448774,0.0725158227848101,-0.0533333333333333,-0.0533333333333333,-0.0882170542635659,-0.1,-0.0836016696481813,-0.1,0,-0.0837825059101655,-0.0466666666666667,-0.0783554631258998,-0.107770345596433,-0.0555607688191958,-0.148636363636364,0.027037037037037,-0.106015037593985,-0.05734434124527,-0.0874431818181818,-0.142857142857143,-0.0783446712018141,-0.125,-0.109253762110905,-0.0466666666666667,-0.107083333333333,-0.0718181818181818,0.15,0.03,0.113333333333333,-0.09,-0.0389937106918239,0.045413372859025,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0167434715821813,0.135,-0.0317460317460317,0.133333333333333,0.075,0,-0.0752917218572883,0.0407513612858616,0.1,0.0688888888888889,0.0830366978967688,0.1,0.0851515151515152,0.086243140015382,0.1,-0.1,-0.174752368474996,0.129215986148759
"CD44",-0.09,-0.0682539682539683,-0.0682539682539683,0.07125,-0.1,0,-0.0533333333333333,-0.1,-0.0882170542635659,0,0,-0.0688888888888889,-0.0466666666666667,-0.106015037593985,-0.0882051282051282,-0.0342124542124542,-0.125,0.0307407407407407,-0.142857142857143,-0.0514619883040936,-0.0718181818181818,-0.1,-0.0722222222222222,-0.135,-0.0783446712018141,-0.0666666666666667,-0.113333333333333,-0.09,0.1,0.05,0.133333333333333,-0.15,-0.0333333333333333,0.064163372859025,-0.0476190476190476,-0.0476190476190476,-0.0476190476190476,-0.0119047619047619,0.075,-0.0650793650793651,0.1,0.1,-0.1,-0.0786815523657629,0.0481304961459125,0.1,0.0466666666666667,0.0836016696481813,0.1,0.0533333333333333,0.083040293040293,0,-0.1,-0.175482295482295,0.125837607770381
