"","NOTCHic","NOTCH","Csl","GSK3","Csn","NFB","SNAI2","RAF","PI3K","DELTA","RAS","AXIN2","TWIST1","Destcompl","TCFLEF","CD44","Frizzled","Wnt","DSH","PAK1","ZEB1","ERK","CDC42","MEK","cfos","TGF","TGFR","EGR1","cateninmemb","GLI","STAT","LIV1","cateninnuc","cMet","SRC","Ecadherin","miR200","SOSGRB2","RKIP","AKT","IKK","HEY1","TrCP","SUFU","FUS","Jagged","SNAI1","ILK","SMAD","SHH","SMO","Patched","FOXC2","ZEB2","KLF4"
"ZEB1",-0.245098039215686,-0.245924485496678,-0.233333333333333,-0.190153342047503,-0.0933333333333333,-0.0880701754385965,-0.215284591695869,-0.214157112194149,-0.214157112194149,-0.214157112194149,-0.214629553139031,-0.209566928363709,-0.0282228921720641,-0.197925197273677,-0.180691355321419,-0.176170078725674,-0.16945412311266,-0.167531046189583,-0.152380952380952,-0.0967432950191571,0.435016129621033,0.0344705882352941,0.0836998167582875,0.0375542886758228,0.038,0.0945875420870377,0.0953749436618408,0.05,0.015346131055326,0.168561974024634,0.158974358974359,0.166666666666667,0.177462392503415,0.174086745392341,0.176047529706066,0.149016741938698,-0.371470186764992,0.186900584795322,0.17474725145905,0.0989601051809852,0.106102962323842,0.184924755727865,0.133333333333333,0.2,0.1875,0.225043128887462,0.199300902758365,0.206897947842655,0.211705640150347,0.203990316605452,0.201136363636364,0.205057932263815,0.248184647896228,-0.157197807043472,-0.154629737181156
"TWIST1",0.0740740740740741,0.0816212438853948,0.0740740740740741,0.119802457694454,0.05,0.0730769230769231,0.341256386444972,0.0129721172542172,0.0129721172542172,0.0129721172542172,0.0184515693090117,0.106973349231414,-0.0172922342087102,0.119004967692459,0.063972883797541,0.0619820721589499,0.0349206349206349,0.0507101086048454,0.0238095238095238,0.00363636363636364,-0.238238238238238,-0.11768115942029,0.030846394984326,-0.121163746484966,-0.11768115942029,0.0219625681050549,0.030846394984326,-0.113333333333333,-0.048280916570618,-0.0603101086048454,-0.0238095238095238,-0.0666666666666667,-0.0585099740793121,-0.0519419115163796,-0.0349206349206349,-0.000740267365346445,0.193539810641792,-0.0243267030452385,-0.153851247329508,-0.0985813621406842,-0.0968864468864469,-0.142720556279878,-0.1,-0.233333333333333,-0.2,-0.0721284193391503,-0.206332713240268,-0.163308763308763,-0.161658598292262,-0.202238477630069,-0.188,-0.194849315068493,-0.189016694108592,-0.111355214863987,-0.107786116322702
"AXIN2",0.0149561403508772,0.0230642484589853,0.00245614035087719,0.205202174890962,-0.1,-0.0782608695652174,-0.158675682958999,0.129177911228084,0.129177911228084,0.129177911228084,0.130490247186089,0.277716674068742,0.165552828460198,0.208329076609485,-0.147095412833068,-0.137365049409856,-0.141085271317829,-0.130740443731623,-0.166666666666667,0.02375,-0.233722831770329,-0.0349183192766507,-0.0373302469135803,-0.0314700434145817,-0.0339837398373984,-0.058525375275974,-0.0506045831967661,-0.0266666666666667,-0.212871347316031,0.137029751907723,0.166666666666667,0.2,0.148868002543401,0.130740443731623,0.141085271317829,-0.10988435398127,0.185394510866456,0.033469335713375,-0.195398696285793,0.0852657004830918,0.0797101449275362,-0.148027729265052,0.133333333333333,0.1,0.0769230769230769,0.118814305553436,-0.20645426611469,-0.147481021394065,-0.147084195997239,0.0483165195460277,0.0626373626373626,0.0519230769230769,-0.220851139492826,-0.0989977501680178,-0.102375201848117
"CD44",0.114285714285714,0.109022556390977,0.1,0.0279761904761905,0.1,0.1,0.264864024864025,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0133333333333333,-0.09,0.181978021978022,-0.115153334060897,-0.0277519379844961,-0.0533333333333333,-0.1,-0.1,0,0.133333333333333,-0.23015873015873,-0.065,-0.0733333333333333,-0.065,-0.125,-0.0622222222222222,-0.0733333333333333,-0.1,0.0496520146520147,0.0533333333333333,-0.1,-0.1,0.0369827072152654,0,0,0.0308782976875475,0.181032059727712,-0.135714285714286,-0.171481481481481,-0.153333333333333,-0.133333333333333,-0.11812865497076,0,-0.1,-0.1,-0.136783216783217,-0.148351940457204,-0.138888888888889,-0.145011337868481,-0.131818181818182,-0.15,-0.15,-0.220416666666667,-0.0714285714285714,0.00952380952380952
"HEY1",0.134545454545455,0.143823805060918,0.134545454545455,0.161985938641927,-0.2,-0.18,0.148162836934285,0.151794871794872,0.151794871794872,0.151794871794872,0.157677224736048,0.144122270278563,-0.077677559912854,0.167840123467693,0.0862561174426993,0.0785638097503916,0.0509803921568628,0.0672594619243046,0.0333333333333333,0.154545454545455,-0.17515479876161,0.105026737967914,-0.0945454545454545,0.10193395446276,0.110909090909091,-0.108073909830007,-0.0958787878787879,0.12,0.022324962751792,-0.0776042895105115,-0.0333333333333333,-0.1,-0.0799049343791874,-0.0672594619243046,-0.0509803921568628,-0.00978400279958018,0.138770858770859,-0.133790737564322,-0.150505050505051,0.139259259259259,0.146666666666667,-0.0183498854087089,0.1,-0.2,-0.1,-0.0789805097451274,-0.136838197265759,-0.0493333333333333,-0.0464347826086957,-0.107459677419355,-0.0833333333333333,-0.102083333333333,-0.0116600569111156,-0.0638080495356037,-0.0444444444444444
"Destcompl",0.0246513905209557,0.020042172084082,0.0192166079122601,0.121190455531762,-0.0190476190476191,-0.0320910973084886,-0.122117207658346,0.0713101411917604,0.0713101411917604,0.0713101411917604,0.0653446780834401,-0.147095412833068,0.126005878377852,0.0284579212500348,-0.0967543723002729,-0.0996310846290401,-0.0716460100021744,-0.0874875941605902,-0.073015873015873,0.0251020408163265,-0.196620890415988,-0.0319844090335894,-0.0382054890921886,-0.0294527634639691,-0.037995337995338,-0.0357502129708508,-0.0429423311974518,-0.041025641025641,-0.184898730365441,0.0991759058489019,0.073015873015873,0.0944444444444444,0.0908390229886972,0.0880639204499356,0.0716460100021744,-0.0964708207012251,0.148857241739022,0.00733955638235687,-0.154372578190462,0.0448971919937779,0.0401992054165967,-0.108279242125396,0.0333333333333333,0.0333333333333333,0.0229885057471264,0.0995797739458853,-0.15238490125969,-0.108015873015873,-0.11140768588137,0.021318190614128,0.0144170771756979,0.0149352118907238,-0.167518052097334,-0.0561248036063022,-0.0621573995801292
"DELTA",0.02,-0.00857142857142857,0,-0.0532567049808429,0,-0.1,-0.202187028657617,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.0987878787878788,-0.0828571428571429,-0.072,-0.0761544401544401,-0.0711888111888112,-0.0984615384615385,0,-0.06,0,0,0.315458937198068,0.02,0.1,-0.0133333333333333,0,0.0866666666666667,0.0666666666666667,0.1,0.0363215657581855,0.0984615384615385,0,0,0.0569030969030969,0.06,0,0.111789473684211,-0.267272727272727,0.12,0.0923076923076923,0.0555555555555556,0.0666666666666667,0.216666666666667,0,0,0.1,0.15012987012987,0.208333333333333,0.116666666666667,0.102380952380952,0.120512820512821,0.0666666666666667,0.0666666666666667,0.284285714285714,-0.0550724637681159,-0.0333333333333333
"SNAI1",-0.17,-0.175714285714286,-0.177692307692308,-0.116386052891003,-0.0416666666666667,-0.0100877192982456,-0.297919965575048,-0.185611374384689,-0.185611374384689,-0.185611374384689,-0.188731243021799,-0.222409813131999,-0.111108369890979,-0.226911062233731,-0.17598645487413,-0.171572661770682,-0.156062378167641,-0.166306280606666,-0.171851851851852,-0.169747899159664,0.389647735954793,-0.0539877180054041,0.139444868856634,-0.0548845789919512,-0.0566543846720707,0.131688831486635,0.12523721858341,-0.0617391304347826,0.12027320682964,0.169414141666995,0.171851851851852,0.22,0.178671018632519,0.168239328437348,0.158338338338338,0.202938842711229,-0.326989876624117,0.182456670195321,0.170686853850589,0.030458089668616,0.0137914230019493,0.106342102058215,0.0416666666666667,0.147619047619048,0.144393241167435,0.14832319108625,0.139238879028051,0.123026113671275,0.12118109522109,0.139256479810609,0.128343858451385,0.136343858451385,0.331539330789762,-0.0519578963386378,-0.0544244201740754
"Csl",-0.141423720591802,-0.135060084228166,-0.144055299539171,-0.0421897494434094,-0.0555555555555556,-0.0666666666666667,-0.196929377244567,-0.0908775482388676,-0.0908775482388676,-0.0908775482388676,-0.0912451952976911,-0.0709910587733501,-0.120582685862087,-0.068982496901238,-0.0629725781307025,-0.0622092193520765,-0.0711888111888112,-0.0550597789307467,-0.0984615384615385,-0.0866666666666667,0.365465075933488,-0.0247619047619048,0.128602150537634,-0.0236749482401656,-0.0276190476190476,0.100660443069084,0.112678583658654,-0.0133333333333333,0.0397914467482742,0.0607049402210693,0.0984615384615385,0.06,0.0653167748145218,0.0569030969030969,0.0711888111888112,0.120869419780995,-0.308369499957395,0.154014081767612,0.146637452850929,0.034108527131783,0.0364341085271318,0.207114564889501,0.0666666666666667,0.0666666666666667,0.120512820512821,0.127869706406544,0.21199900743379,0.11703323055841,0.115922119447299,0.118877561292336,0.126395173453997,0.11456721646475,0.327140208697495,-0.0492856825117214,-0.0436438923395445
"GLI",-0.128213969938108,-0.119642541366679,-0.138213969938108,-0.165966842178089,0.05,0.0552631578947368,-0.290069505770309,-0.260155795837693,-0.260155795837693,-0.260155795837693,-0.260749855243634,-0.218449577294686,-0.079259151525705,-0.184072269519478,-0.172711605792943,-0.16946485254619,-0.238064516129032,-0.222770398481973,-0.28,-0.166666666666667,0.310240314046766,-0.144458874458874,0.197701149425287,-0.141696443519648,-0.150952380952381,0.162430709173715,0.174430709173715,-0.134285714285714,0.114092374871581,0.129153377205378,0.22,0.2,0.176596841895752,0.163430369787569,0.178064516129032,0.198373724690283,-0.273380963721521,0.153352488219745,0.150408826526006,-0.0673805048335124,-0.0736305048335123,0.02636723774245,-0.0166666666666667,0.114285714285714,0.151785714285714,0.0735673472244966,0.153402175495518,0.0355464580762144,0.0339248364545927,0.143244520030234,0.151785714285714,0.139540816326531,0.24296525627795,-0.0488885475337088,-0.0447198627198627
