"","IKK","NFB","SMO","Patched","SUFU","Csn","TrCP","Jagged","NOTCHic","RKIP","KLF4","MEK","RAS","PI3K","DELTA","Destcompl","FOXC2","DSH","TGFR","PAK1","TGF","CDC42","cateninmemb","cateninnuc","LIV1","CD44","TCFLEF","GLI","SRC","cMet","Wnt","Frizzled","SOSGRB2","AXIN2","ZEB2","STAT","RAF","Ecadherin","ERK","cfos","SNAI2","TWIST1","EGR1","miR200","NOTCH","Csl","FUS","GSK3","SNAI1","SHH","ZEB1","ILK","SMAD","AKT","HEY1"
"Destcompl",0.243847574282357,0.221325051759834,0.371176792556103,0.403819279602735,0.277777777777778,0.195238095238095,0.166666666666667,0.484650087046471,0.147657657657658,0.558823546125039,0.407770649689434,0.0873528007580716,0.203619646347356,0.198439112595393,0.198439112595393,0.625099036706032,0.127232514958575,0.405555555555556,0.208282528982555,0.18530612244898,0.21488351420423,0.195650950035186,0.431176455981566,0.488867149110974,-0.355555555555556,-0.471262977350689,-0.482084895158909,-0.472122785384493,-0.434322678843227,-0.456710738544719,-0.45709495607095,-0.434322678843227,-0.208525537091105,-0.226940932551705,-0.419857972482857,-0.405555555555556,-0.198439112595393,-0.180170529160918,-0.0789139821926707,-0.0685314685314685,0.338166994114188,-0.531142154104743,-0.0564102564102564,0.0958265233901906,-0.161886114571485,-0.128092440266353,-0.322605363984674,-0.692404068125967,-0.639729677598767,-0.428770923703315,-0.317988891825617,-0.308968253968254,-0.330605680868839,-0.263310661530679,-0.30504213734983
"Frizzled",0.245,0.22,0.159090909090909,0.211471861471861,0.1,0.2,0.1,0.201873885918004,-0.0273809523809524,0.399285714285714,0.288795518207283,0.0162527233115468,0.27181392995732,0.266302118933698,0.266302118933698,0.508256761481277,0.153480839845589,0,0.153333333333333,0.133333333333333,0.173333333333333,0.153333333333333,0.219585014796879,0.199056581851981,-0.1,-0.180075187969925,-0.190008962804362,-0.180075187969925,-0.15,-0.165789473684211,-0.165789473684211,-0.15,-0.203030303030303,-0.11708245243129,-0.305516807060907,-0.1,-0.266302118933698,-0.255563077101236,-0.0125490196078431,-0.00666666666666667,0.0208014249972805,-0.362464985994398,0.0333333333333333,0.0442171717171717,0.00973389355742297,0.0357142857142857,-0.15,-0.57073145245559,-0.479140786749482,-0.237278313084765,-0.207613487317168,-0.228523156430133,-0.244411006897423,-0.27,-0.219094380796508
"cateninnuc",0.0188181818181818,0.00681818181818182,0.326867030965392,0.352332869474708,0.255555555555556,-0.00833333333333333,-0.0333333333333333,0.362476101102325,0.328044934962554,0.354350177531319,0.291300149040363,0.162883143593357,-0.0192526392526392,-0.0222829422829423,-0.0222829422829423,0.44833642397883,-0.0239527685429325,0.294172494172494,0.134964759378553,0.122285714285714,0.14129663710781,0.131516483516484,0.271001791351596,0.243574044583476,-0.278787878787879,-0.334510658423702,-0.33951439255365,-0.335938426274936,-0.316394716394716,-0.326177325090369,-0.327242774101023,-0.317460165405371,-0.196821163552752,-0.122408603092304,-0.29666183273182,-0.294172494172494,0.0222829422829423,-0.103395946720141,-0.158295987630055,-0.151966873706004,0.333830138340031,-0.392756704815755,-0.13768115942029,0.0635076308052672,-0.336681298598918,-0.315254237288136,-0.305555555555556,-0.418910697189717,-0.411860332912577,-0.366929819365776,-0.197911527037419,-0.193027417027417,-0.204623597109272,-0.0297556818181818,-0.204609233383586
"Wnt",0.22,0.2,0.15,0.159090909090909,0,0.1,0.1,0.180661764705882,-0.0357142857142857,0.36,0.274509803921569,0.0125490196078431,0.266302118933698,0.24812030075188,0.24812030075188,0.489423870234593,0.132550607287449,0,0.153333333333333,0.1,0.153333333333333,0.133333333333333,0.207838983050847,0.190008962804362,0,-0.165789473684211,-0.180075187969925,-0.165789473684211,-0.1,-0.15,-0.15,0,-0.193939393939394,-0.105454545454545,-0.286704925872788,-0.1,-0.24812030075188,-0.240411561949721,-0.00666666666666667,0.0333333333333333,0.0192241379310345,-0.332941176470588,0,0.0317171717171717,0.0273809523809524,0.05,-0.1,-0.544670846394984,-0.455331262939959,-0.211471861471861,-0.174940219990435,-0.198290598290598,-0.228523156430133,-0.245,-0.187179487179487
"PI3K",0.329411764705882,0.3,0.166666666666667,0.197435897435897,0.1,0.3,0.2,0.191140350877193,-0.00961538461538461,0.34177440206852,0.238815789473684,-0.001689856270377,0.219172626460298,0.2164329004329,0.2164329004329,0.467269670442304,0.2208524970964,0.1,0.229411764705882,0.2,0.243232902917264,0.229411764705882,0.167916310738937,0.202450295258111,-0.1,-0.185522110739502,-0.193996687010688,-0.185522110739502,-0.155555555555556,-0.168599033816425,-0.168599033816425,-0.155555555555556,-0.227692307692308,-0.122095238095238,-0.250174870571433,-0.1,-0.2164329004329,-0.15421959671605,0.0131652661064426,0.019047619047619,0.0975297479359715,-0.211822738123522,0.0333333333333333,0.0375417891811334,-0.003287841191067,0.025,-0.15,-0.438660413660414,-0.375535426731079,-0.216880341880342,-0.164187156141974,-0.193429371748699,-0.207029371748699,-0.331975867269985,-0.184599603134564
"MEK",0.324080086580087,0.308928571428571,0.202666666666667,0.227256830601093,0.166666666666667,0.271428571428571,0.2,0.185475189825436,0.0294871794871795,0.221546513342179,0.218986131037781,-0.00970897529958425,0.275699300699301,0.270937395937396,0.270937395937396,0.294430162542179,0.123104802415147,-0.0333333333333333,0.101958166444148,0.1,0.111447217539038,0.104761904761905,0.234498866564864,-0.0375260779930546,0,0.0368114341798552,0.0380836988108985,0.0320745920745921,0.0280701754385965,0.0319163292847503,0.0271794871794872,0.0233333333333333,0.00761904761904762,0.0211189037138404,-0.224463255220788,0.0333333333333333,-0.270937395937396,-0.357103482386831,-0.0936243580337491,-0.0872413793103448,-0.422774741555978,-0.270464796641267,-0.07,0.0321245603326034,-0.0360565225528729,-0.0333333333333333,-0.206666666666667,-0.362961123599421,-0.427972266401103,-0.23706075216972,-0.203699892965316,-0.270468824802891,-0.273789858013223,-0.341727145403616,-0.267349452715306
"AXIN2",0.136714975845411,0.117874396135266,0.207509157509157,0.230723443223443,0.15,0.122222222222222,0.0666666666666667,0.237057167274559,0.0630263157894737,0.259303832368348,0.216455972000093,0.0375479800560171,0.117603311807805,0.116290975849799,0.116290975849799,0.304540481450517,0.0921958057555247,0.173333333333333,0.128683491751338,0.113333333333333,0.135944217823946,0.126913580246914,0.213510299318406,0.23199929831046,-0.166666666666667,-0.222134367487227,-0.226940932551705,-0.222412128731597,-0.203565891472868,-0.210462443197006,-0.210462443197006,-0.203565891472868,-0.132852508252228,-0.156163621605893,-0.222626047552481,-0.173333333333333,-0.116290975849799,-0.0957289136299824,-0.031341083504293,-0.0304065040650407,0.193953246611272,-0.245424960435102,-0.0133333333333333,0.078663228641209,-0.0704587482219061,-0.0505263157894737,-0.188461538461538,-0.292577509828082,-0.288145203979856,-0.242854590764427,-0.173806275391549,-0.1743961352657,-0.185110420979986,-0.143381642512077,-0.17302883874892
"RKIP",0.308928571428571,0.271428571428571,0.206666666666667,0.202666666666667,0.1,0.2,0.2,0.181376829169698,0.0333333333333333,0.207072829131653,0.222907699665232,0.0936243580337491,0.270937395937396,0.258116883116883,0.258116883116883,0.292128907312054,0.110492189802535,0,0.104761904761905,0.0666666666666667,0.101958166444148,0.1,0.231328134857547,-0.0380836988108985,0,0.0319163292847503,0.0368114341798552,0.0271794871794872,0.0333333333333333,0.0280701754385965,0.0233333333333333,0.0333333333333333,0.00539682539682539,0.0202180028129395,-0.218907699665232,0,-0.258116883116883,-0.349088910437833,-0.0872413793103448,-0.07,-0.418881797517049,-0.264970291146762,-0.12,0.024384622252108,-0.0294871794871795,-0.0333333333333333,-0.166666666666667,-0.357801418439716,-0.420920984349821,-0.227256830601093,-0.1878268770923,-0.253637141634574,-0.270468824802891,-0.324080086580087,-0.249167634533488
"RAF",0.308928571428571,0.271428571428571,0.206666666666667,0.202666666666667,0.1,0.2,0.2,0.181376829169698,0.0333333333333333,0.207072829131653,0.222907699665232,0.0936243580337491,0.270937395937396,0.258116883116883,0.258116883116883,0.292128907312054,0.110492189802535,0,0.104761904761905,0.0666666666666667,0.101958166444148,0.1,0.231328134857547,-0.0380836988108985,0,0.0319163292847503,0.0368114341798552,0.0271794871794872,0.0333333333333333,0.0280701754385965,0.0233333333333333,0.0333333333333333,0.00539682539682539,0.0202180028129395,-0.218907699665232,0,-0.258116883116883,-0.349088910437833,-0.0872413793103448,-0.07,-0.418881797517049,-0.264970291146762,-0.12,0.024384622252108,-0.0294871794871795,-0.0333333333333333,-0.166666666666667,-0.357801418439716,-0.420920984349821,-0.227256830601093,-0.1878268770923,-0.253637141634574,-0.270468824802891,-0.324080086580087,-0.249167634533488
"SOSGRB2",0.380701754385965,0.333333333333333,0.116666666666667,0.113963963963964,0,0.3,0.3,0.0942756563953538,-0.146853146853147,0.10734649122807,0.211140350877193,0.0203736203736204,0.321324062002028,0.316195856873823,0.316195856873823,0.287176619055814,0.123150183150183,0,0.11956043956044,0.0857142857142857,0.118851219702284,0.115714285714286,0.216840918840919,-0.00412856482381446,0,0.00269151138716356,0.00584940612400567,-0.00129399585921325,0.0142857142857143,0.00993788819875776,0.00595238095238095,0.0142857142857143,-0.104166666666667,0.00189081408140814,-0.209711779448622,0,-0.316195856873823,-0.294696871932644,-0.0112827112827113,-0.00317460317460317,-0.258413610339203,-0.171130434782609,-0.0142857142857143,0.0391566701985419,0.148261597557372,0.154545454545455,-0.0666666666666667,-0.337563203509908,-0.297953802416489,-0.130243033731406,-0.169135338345865,-0.146021505376344,-0.159308218663057,-0.384868421052632,-0.13967803030303
