"","EGR1","RKIP","ERK","MEK","TWIST1","SNAI1","NOTCH","Csl","NOTCHic","FUS","SMO","RAF","STAT","AXIN2","Destcompl","cMet","RAS","LIV1","cateninmemb","SRC","ZEB2","ZEB1","TGF","SOSGRB2","miR200","CDC42","TGFR","PAK1","GSK3","Ecadherin","CD44","cateninnuc","Frizzled","GLI","TCFLEF","Wnt","PI3K","DELTA","KLF4","SUFU","HEY1","DSH","SHH","SMAD","ILK","Patched","AKT","SNAI2","NFB","TrCP","Jagged","IKK","Csn","cfos","FOXC2"
"SMAD",-0.228571428571429,-0.169427441378661,-0.220694459329118,-0.221655997790656,-0.116354889974502,-0.143861470518729,-0.0517077175697866,-0.0552380952380953,-0.0540886699507389,-0.0666666666666667,-0.0666666666666667,-0.0994291763549405,0.0342857142857143,0.0413382817970062,0.0451160351693816,0.0401680672268908,-0.100744965828625,0.02,0.0203304652832133,0.0342857142857143,-0.463424714359169,-0.463424714359169,0.0309839733870889,0.0158089322685596,-0.479394857099439,-0.0280348759221999,-0.028593535140077,-0.0238095238095238,0.11302764486975,-0.0674749805154981,-0.0398044308632544,-0.0402476417224703,-0.0142857142857143,-0.0200549450549451,-0.0407542273354389,-0.0200549450549451,0.0994291763549405,0.0994291763549405,-0.456334967194086,0.0666666666666667,0.0460959519936961,-0.0142857142857143,0.068699339495015,-0.0419501503063147,0.0585260401698758,0.0675840978593272,0.0922763772175537,0.106142938261864,0.0968253968253968,0.1,0.0560382628124564,0.0909430438842204,0.111111111111111,0.225345622119816,0.251273222942094
"cfos",-0.28,-0.122913752913753,-0.155652173913043,-0.150567428150332,-0.0548658008658009,-0.0810301934352567,0.0423076923076923,0.05,0.05,0.019047619047619,0.019047619047619,0.035239651416122,0.1,0.143448275862069,0.0928263258422682,0.108888888888889,0.0401177001966098,0.1,0.0948757708799977,0.12,-0.431598062953995,-0.431598062953995,0.0290170613700025,0.0319444444444444,-0.447907647907648,-0.0285714285714286,-0.0305322128851541,-0.0142857142857143,-0.0064745670995671,-0.131375674220125,-0.114294294294294,-0.112677132578123,-0.12,-0.114152046783626,-0.109343799244789,-0.108888888888889,-0.035239651416122,-0.035239651416122,-0.419142857142857,-0.0333333333333333,-0.0342328835582209,-0.1,-0.0195255162997098,-0.0397081413210445,-0.0380952380952381,-0.0158218125960061,-0.056359649122807,0.058066799380668,-0.0333333333333333,0,-0.0600694444444445,-0.0458333333333333,-0.0333333333333333,0.16,0.174871899979504
"GSK3",-0.212941176470588,-0.274134023870866,-0.203723688305732,-0.182132779214823,-0.0803323670166026,-0.199474055884572,0.155201954907837,0.14796918767507,0.171046110751993,-0.00519480519480519,0.00448261416003352,-0.13656311712795,0.134210526315789,0.205324929789546,0.076378134704921,0.141731812976149,-0.117445470069126,0.15,-0.00291889296405387,0.155639097744361,-0.426327670237761,-0.426327670237761,0.141346338355882,0.0117581945375479,-0.443773126967788,-0.142732919254658,-0.132628389637934,-0.12463768115942,0.0725884239044473,-0.136264572184191,-0.153636574880911,-0.152394659428879,-0.155639097744361,-0.153706060378471,-0.145355185744669,-0.141913607548282,0.13656311712795,0.13656311712795,-0.407559620602113,-0.00909090909090909,-0.043177582758793,-0.134210526315789,-0.00395424359614471,-0.0617849431773999,-0.0619348682148812,0.0022658520976352,0.0538759946949602,-0.0657044258265626,0.0545833333333333,0.0733333333333333,-0.0919238722865267,0.0718247126436782,0.0983333333333333,0.175904139433551,0.300969116562752
"Frizzled",-0.2,-0.278333333333333,-0.212941176470588,-0.175904139433551,-0.0825490196078431,-0.195479641131815,0.14796918767507,0.135714285714286,0.177380952380952,0,0.00909090909090909,-0.143916609706083,0.1,0.201733615221987,0.070848959557237,0.134210526315789,-0.111633145139154,0.1,-0.000447269303201506,0.15,-0.417426405481294,-0.417426405481294,0.142732919254658,0.0121212121212121,-0.431180555555556,-0.133333333333333,-0.12463768115942,-0.1,0.179566353187043,-0.138075136245868,-0.155639097744361,-0.153636574880911,-0.15,-0.155639097744361,-0.141731812976149,-0.134210526315789,0.143916609706083,0.143916609706083,-0.386274509803922,0,-0.0431533006001091,0,-0.00448261416003352,-0.060048075762051,-0.0591134963227986,0.00519480519480519,0.0545833333333333,-0.0620708691395627,0.0733333333333333,0.1,-0.0916466131907308,0.0983333333333333,0.133333333333333,0.16,0.303566519160154
"Jagged",-0.1,-0.138461538461538,-0.18,-0.146666666666667,-0.054,-0.0833333333333333,-0.0542857142857143,-0.1,-0.04,0,0.0333333333333333,0.0333333333333333,0,0.134285714285714,0.0715212355212355,0.08,0.0606060606060606,0,0.0762136455094202,0.1,-0.413768115942029,-0.413768115942029,0.0453333333333333,0.06,-0.427272727272727,0,-0.0333333333333333,0,0.0241379310344828,-0.114140350877193,-0.103076923076923,-0.0978155178155178,-0.1,-0.103076923076923,-0.0879254079254079,-0.08,-0.0333333333333333,-0.0333333333333333,-0.383333333333333,0,-0.133333333333333,0,-0.016025641025641,-0.0380952380952381,-0.0333333333333333,-0.00833333333333333,-0.0444444444444444,0.0295374560080442,0,0,-0.0651948051948052,-0.0333333333333333,0,0.2,0.177142857142857
"DSH",-0.16,-0.260850815850816,-0.175904139433551,-0.203723688305732,-0.0768752607425949,-0.21663906142167,0.171046110751993,0.177380952380952,0.14796918767507,0.00909090909090909,-0.00519480519480519,-0.111633145139154,0.15,0.198780028724097,0.0918413259694507,0.155639097744361,-0.13656311712795,0.1,-0.00504090887917324,0.134210526315789,-0.411914594457672,-0.411914594457672,0.132628389637934,0.0243163340724316,-0.438497628726287,-0.12463768115942,-0.142732919254658,-0.133333333333333,0.151956144370337,-0.134124302180899,-0.141731812976149,-0.145355185744669,-0.134210526315789,-0.141913607548282,-0.153636574880911,-0.155639097744361,0.111633145139154,0.111633145139154,-0.414429849609747,0,-0.0449076865650214,-0.15,0.0022658520976352,-0.0619348682148812,-0.060048075762051,-0.00448261416003352,0.0718247126436782,-0.0677751764736721,0.0983333333333333,0.133333333333333,-0.0838946752062347,0.0545833333333333,0.0733333333333333,0.212941176470588,0.291878207471843
"PI3K",-0.2,-0.277181641887524,-0.22436974789916,-0.193222206915553,-0.083576010589553,-0.222149758454106,0.165880893300248,0.15,0.188461538461538,0,0,-0.206458874458874,0.1,0.213619047619048,0.0990344932174495,0.151207729468599,-0.181801340212299,0.1,0.0160252952901149,0.155555555555556,-0.405707921515166,-0.405707921515166,0.14648493543759,0.0130769230769231,-0.416315570413931,-0.129411764705882,-0.129411764705882,-0.1,0.299603174603175,-0.170874619159476,-0.168130806391676,-0.168217008267149,-0.155555555555556,-0.168130806391676,-0.158526286617665,-0.151207729468599,0.206458874458874,0.206458874458874,-0.376535087719298,0,-0.0320115696364309,-0.1,0.00982905982905983,-0.0461381352541016,-0.0453381352541016,0.0153846153846154,0.190950226244344,-0.00823399847125558,0.2,0.2,-0.0919298245614035,0.229411764705882,0.233333333333333,0.171428571428571,0.307519163763066
"ILK",-0.2,-0.277181641887524,-0.22436974789916,-0.193222206915553,-0.083576010589553,-0.222149758454106,0.165880893300248,0.15,0.188461538461538,0,0,-0.206458874458874,0.1,0.213619047619048,0.0990344932174495,0.151207729468599,-0.181801340212299,0.1,0.0160252952901149,0.155555555555556,-0.405707921515166,-0.405707921515166,0.14648493543759,0.0130769230769231,-0.416315570413931,-0.129411764705882,-0.129411764705882,-0.1,0.299603174603175,-0.170874619159476,-0.168130806391676,-0.168217008267149,-0.155555555555556,-0.168130806391676,-0.158526286617665,-0.151207729468599,0.206458874458874,0.206458874458874,-0.376535087719298,0,-0.0320115696364309,-0.1,0.00982905982905983,-0.0461381352541016,-0.0453381352541016,0.0153846153846154,0.190950226244344,-0.00823399847125558,0.2,0.2,-0.0919298245614035,0.229411764705882,0.233333333333333,0.171428571428571,0.307519163763066
"AKT",-0.171428571428571,-0.265380399651499,-0.193222206915553,-0.214741194257325,-0.0796004754213573,-0.239442991536813,0.184173576227077,0.188461538461538,0.165880893300248,0,-0.0153846153846154,-0.181801340212299,0.155555555555556,0.213258036788723,0.115825229363024,0.168130806391676,-0.201801340212299,0.1,0.0120497601219192,0.151207729468599,-0.404338058501468,-0.404338058501468,0.138932065346955,0.021965811965812,-0.42540647950484,-0.129411764705882,-0.14648493543759,-0.129411764705882,0.278232206861239,-0.167844316129173,-0.158526286617665,-0.162217008267149,-0.151207729468599,-0.158633599687765,-0.168217008267149,-0.168130806391676,0.181801340212299,0.181801340212299,-0.403030814215025,0,-0.032763449335679,-0.155555555555556,0.0150922177237967,-0.0491684382844047,-0.0461381352541016,0.00982905982905983,0.104081539375657,-0.0133596266119591,0.229411764705882,0.233333333333333,-0.0866318113163704,0.190950226244344,0.2,0.22436974789916,0.300000366770585
"Wnt",-0.1,-0.253333333333333,-0.16,-0.212941176470588,-0.0758823529411765,-0.222463768115942,0.177380952380952,0.15,0.135714285714286,0,0,-0.103007518796993,0.1,0.185454545454545,0.0965784025280593,0.15,-0.143916609706083,0,-0.00266949152542373,0.1,-0.388713534194165,-0.388713534194165,0.12463768115942,0.0272727272727273,-0.415555555555556,-0.1,-0.133333333333333,-0.1,0.143808777429467,-0.135511033681765,-0.134210526315789,-0.141731812976149,0,-0.134210526315789,-0.155639097744361,-0.15,0.103007518796993,0.103007518796993,-0.386274509803922,0,-0.041025641025641,0,0.00519480519480519,-0.0591134963227986,-0.0521367521367521,-0.00909090909090909,0.0983333333333333,-0.0630172413793103,0.133333333333333,0.1,-0.0764950980392157,0.0733333333333333,0.1,0.2,0.287287449392713
