"","FOXC2","NFB","FUS","TWIST1","SNAI1","EGR1","AKT","SMO","IKK","SUFU","SNAI2","Csn","cfos","RKIP","SOSGRB2","cateninmemb","Destcompl","TCFLEF","cateninnuc","STAT","AXIN2","TGFR","ZEB1","RAF","DELTA","RAS","PI3K","GSK3","PAK1","TGF","CDC42","SRC","cMet","CD44","Frizzled","DSH","Wnt","LIV1","GLI","Ecadherin","NOTCH","NOTCHic","Csl","Jagged","miR200","MEK","SMAD","ERK","Patched","ILK","TrCP","SHH","HEY1","ZEB2","KLF4"
"cateninmemb",0.0409022340681511,-0.224761904761905,-0.166666666666667,-0.130372390793686,0.265170288446994,0.245454545454545,-0.26997594997595,-0.210416666666667,-0.254391534391534,-0.166666666666667,-0.308204513369849,-0.22,0.257219251336898,0.219227473079801,0.215571303902982,-0.255992172161349,-0.365489047801447,-0.245656129697588,-0.250231293096281,-0.207843137254902,-0.118912884954516,0.0598388765705839,0.218189465858681,-0.280003770739065,-0.280003770739065,-0.287824999789344,0.280003770739065,-0.339691411185916,-0.0550909090909091,-0.064721335883423,-0.0564242424242424,0.228773369813041,0.233121195899998,0.238806814629095,0.228773369813041,0.207843137254902,0.233945783606145,0.166666666666667,0.239945783606145,0.177240117562769,-0.269290438305238,-0.261483746855423,-0.250143540669856,-0.205961277734339,0.068928861331096,-0.284346803388647,0.052494508193845,-0.270621313192568,0.224395161290323,0.051768115942029,0.2,0.225182562865126,0.0172248911767269,-0.165534434776654,-0.132255039849977
"RAS",0.202698412698413,0.0666666666666667,0.1,0.130485542825968,0.218210422812193,0.02,0.0411111111111111,0.0666666666666667,0.0466666666666667,0.1,-0.208657875347619,0.1,0.07,0.234993710691824,-0.016017316017316,-0.13491262642351,-0.217294380666474,-0.159548474054106,-0.163231193600848,-0.1,-0.121449275362319,0.0658823529411765,0.148125920471281,-0.132820512820513,-0.132820512820513,-0.236666666666667,0.132820512820513,-0.1521834625323,-0.1,-0.0728130460104834,-0.06,0.15,0.155882352941176,0.158010012515645,0.15,0.1,0.155882352941176,0,0.155882352941176,0.123602143536378,-0.0541708043694141,-0.0447368421052632,-0.05,-0.130806229055786,0.0632923076923077,-0.0640144478844169,-0.0849721706864564,-0.0542105263157895,-0.0626666666666667,-0.0727272727272727,-0.1,-0.0575819209039548,0.0187747035573122,-0.148449926362298,-0.145357142857143
"Jagged",0.168571428571429,0,0,0.077,0.075,0.1,-0.0666666666666667,-0.1,-0.1,0,0.0854700854700855,0,0.2,0.0358974358974359,0.16,-0.115524053411377,-0.128988416988417,-0.0599533799533799,-0.072041292041292,0,-0.0571428571428571,-0.0333333333333333,0.0971014492753623,-0.0533333333333333,-0.0533333333333333,-0.0442424242424242,0.0533333333333333,-0.11455938697318,0,-0.0186666666666667,0,0.1,0.08,0.0569230769230769,0.1,0,0.08,0,0.0569230769230769,0.0892631578947368,0.0914285714285714,0.12,0.1,0.00701298701298702,0.0260606060606061,-0.146666666666667,0.0380952380952381,-0.18,0.075,0.0333333333333333,0,0.0673076923076923,0.133333333333333,-0.123188405797101,-0.0666666666666667
"DELTA",0.168571428571429,0,0,0.077,0.075,0.1,-0.0666666666666667,-0.1,-0.1,0,0.0854700854700855,0,0.2,0.0358974358974359,0.16,-0.115524053411377,-0.128988416988417,-0.0599533799533799,-0.072041292041292,0,-0.0571428571428571,-0.0333333333333333,0.0971014492753623,-0.0533333333333333,-0.0533333333333333,-0.0442424242424242,0.0533333333333333,-0.11455938697318,0,-0.0186666666666667,0,0.1,0.08,0.0569230769230769,0.1,0,0.08,0,0.0569230769230769,0.0892631578947368,0.0914285714285714,0.12,0.1,0.00701298701298702,0.0260606060606061,-0.146666666666667,0.0380952380952381,-0.18,0.075,0.0333333333333333,0,0.0673076923076923,0.133333333333333,-0.123188405797101,-0.0666666666666667
"AKT",0.312814230698698,-0.0941176470588235,-0.0833333333333333,0.064381895667411,0.26743931083748,0.185714285714286,-0.225353078294255,-0.0987179487179487,-0.122322775263952,-0.1,-0.0204520047300374,-0.1,0.215126050420168,0.215772462831286,0.247521367521368,-0.162476437852846,-0.502483803932618,-0.253287149397429,-0.258671764782044,-0.211111111111111,-0.151319924359636,0.0999392635102822,0.197205427874046,-0.343622605704798,-0.343622605704798,-0.355911762331304,0.343622605704798,-0.422987362100265,-0.0808823529411765,-0.108096363208167,-0.108882352941176,0.224154589371981,0.234923820141211,0.245658283418048,0.224154589371981,0.211111111111111,0.234923820141211,0.2,0.245538345280876,0.109947292658191,-0.205867578526902,-0.193672456575682,-0.180769230769231,-0.0554734518415243,0.0259063108870245,-0.257147216637226,0.0849944923423915,-0.249552279928365,0.0959401709401709,0.0698429771908764,0.0333333333333333,0.101203328834908,0.061240605296917,-0.122436730790137,-0.100511695906433
"GLI",0.212452055383557,-0.016374269005848,-0.123809523809524,0.0952648464533015,0.0993504190844617,0.0542857142857143,-0.000621717985439796,-0.129072681704261,-0.0224967179854398,-0.123809523809524,0.130192984528474,-0.0111111111111111,0.104285714285714,0.0952545600708461,-0.0538336589664023,-0.115327873043474,-0.0997250851936594,-0.0762754167073329,-0.0752592780342905,-0.08,-0.0731174516908213,-0.0961201474734331,0.106206861239119,-0.0785336422675104,-0.0785336422675104,-0.0767514640496886,0.0785336422675104,0.00726011618225028,0.0766666666666667,0.0883554415910801,0.0904597701149425,0.0703225806451613,0.0752006294256491,0.0769247673566836,0.190322580645161,0.2,0.193851992409867,0.1,0.0968307158141225,0.0897775790478135,-0.036525198938992,-0.0298585322723254,-0.0398585322723254,-0.0123996736589161,0.0033999024711099,-0.0913274018798881,-0.00414869284697359,-0.0951948051948052,0.106623702112424,0.00341887472059398,0.0666666666666667,0.125142220630942,-0.00160647219221072,-0.113930704898447,-0.105246675246675
"Csl",0.185606985842168,-0.0777777777777778,-0.0673076923076923,0.0646094348525898,0.0719970126491866,0.146666666666667,-0.065374677002584,-0.0614253393665158,-0.0754521963824289,-0.075,0.0839252394483662,-0.0666666666666667,0.196666666666667,0.0315015388242291,0.154305053098378,-0.123680165424962,-0.141573739364219,-0.0731131100814852,-0.0738563919568426,-0.0569230769230769,-0.0641746081789493,-0.00132511471816998,0.108928746185532,-0.0502394257416746,-0.0502394257416746,-0.0513423669181452,0.0502394257416746,-0.128448918247903,-0.0186666666666667,-0.00343679004373478,0.000688172043010749,0.0599533799533799,0.072041292041292,0.0732657818372104,0.0599533799533799,0.0569230769230769,0.0717813369426273,0.08,0.0742006917813369,0.0897339723824323,-0.0108958613542654,-0.00271404317244724,-0.00534562211981567,0.00352236891144176,-0.000214767287191631,-0.187412008281574,0.0406971565604659,-0.185238095238095,0.0517479200116771,0.0523638232271326,0.1,0.0750237820806426,0.149325201652567,-0.107796549852759,-0.10175983436853
"TrCP",0.182528829866682,-0.0625,-0.0571428571428571,0.0679794842838321,0.0698137603512063,0.12,-0.049537037037037,-0.0539170506912442,-0.0625,-0.0571428571428571,0.126942258209929,-0.05,0.167826086956522,0.0319604888665662,0.142656765676568,-0.121289678868411,-0.141410563060487,-0.0873747014341074,-0.0873747014341074,-0.08,-0.0785057471264368,-0.0096384008148714,0.104237714487397,-0.0202468250172698,-0.0202468250172698,-0.0207013704718152,0.0202468250172698,-0.125454545454545,-0.00952380952380953,0.00417391994055446,0.00812324929971988,0.0762962962962963,0.0844044044044044,0.0873747014341074,0.0762962962962963,0.08,0.0841910331384016,0.1,0.0885812770408406,0.0919371113232649,0.0146886446886447,0.0212820512820513,0.0166666666666667,0.0219802317655078,0.000165693103883612,-0.160684844018669,0.0382863969960744,-0.159351510685335,0.040336803777664,0.0486089776412357,0.1,0.061336803777664,0.0474174677367199,-0.105122932054723,-0.0985230288836846
"NOTCHic",0.186181698485846,-0.0666666666666667,-0.075,0.0612234303379171,0.0783211233211233,0.18,-0.0754521963824289,-0.0673076923076923,-0.0777777777777778,-0.1,0.0845963803879636,-0.1,0.146666666666667,0.0310407093311416,0.151866028708134,-0.123985975822515,-0.13919713972985,-0.0732657818372104,-0.0731131100814852,-0.08,-0.0659740940401318,-0.000688172043010749,0.10450885668277,-0.0398945981554677,-0.0398945981554677,-0.0502394257416746,0.0398945981554677,-0.122410626642602,0.0333333333333333,0.00132511471816998,-0.0186666666666667,0.0569230769230769,0.0599533799533799,0.072041292041292,0.0569230769230769,0.08,0.0599533799533799,0.1,0.0717813369426273,0.0888037398242927,-0.00271404317244724,-0.00534562211981567,0.0914285714285714,-0.0068942977552249,-0.00478993068588444,-0.185238095238095,0.0523638232271326,-0.196666666666667,0.0614253393665158,0.0214285714285714,0,0.0517479200116771,0.123835005574136,-0.103929146537842,-0.0874741200828157
"SNAI1",0.179352209790443,-0.0625,-0.0539170506912442,0.0639794842838321,-0.0223570581541317,0.167826086956522,-0.0668981481481481,-0.040336803777664,-0.049537037037037,-0.0571428571428571,0.126975781508621,-0.0625,0.159351510685335,0.0252659281971102,0.142279407186002,-0.121531475068756,-0.142836001656978,-0.0873747014341074,-0.0883039735043191,-0.0762962962962963,-0.0785057471264368,-0.00417391994055446,0.102146693577188,-0.0207013704718152,-0.0207013704718152,-0.0231644246590074,0.0207013704718152,-0.127368736873687,0.00812324929971988,0.0100206941341028,0.0096384008148714,0.0844044044044044,0.0873747014341074,0.0873747014341074,0.0841910331384016,0.0762962962962963,0.0885812770408406,0.08,0.0880328309713708,0.0917810239143159,0.0179539508110937,0.0146886446886447,0.0212820512820513,0.0182155258831549,-0.00607830305365721,-0.164720718458131,0.0371793859259637,-0.160684844018669,0.061336803777664,0.0382863969960744,0.05,0.0568707843601883,0.0378936582129104,-0.0981118619440217,-0.103818979039448
