"","KLF4","Jagged","SHH","TrCP","AKT","FUS","TWIST1","SNAI2","ERK","MEK","RKIP","GSK3","DSH","AXIN2","RAF","DELTA","cMet","TCFLEF","RAS","CD44","Frizzled","cateninmemb","Ecadherin","FOXC2","LIV1","SRC","cateninnuc","STAT","GLI","EGR1","Destcompl","PI3K","Wnt","cfos","SNAI1","IKK","NFB","Patched","SMO","Csn","SOSGRB2","SMAD","ILK","SUFU","HEY1","NOTCHic","Csl","NOTCH","TGF","TGFR","CDC42","PAK1","ZEB2","ZEB1","miR200"
"PAK1",0.440759302628155,0.0139581203135651,0.0309596063036923,0.0333333333333333,0.0332115009746589,0.019047619047619,0.129247506117071,0.253573902459609,-0.000736919675755343,-0.00207025300908868,0.0969255238316012,0.0825919913419913,-0.08,-0.109885057471264,0.00247489239598278,0.00247489239598278,-0.0782982982982983,-0.0787970148366188,0.00292943785052824,-0.0802784963181003,-0.0837037037037037,-0.0881743548863027,-0.0949709592208293,0.00486080386738379,0.1,0.0837037037037037,0.0804521872504119,0.08,0.0799039604431132,0,0.076982757724186,-0.00247489239598278,0.0784405458089669,-0.00434782608695652,-0.117615384424242,-0.031359649122807,-0.0208333333333333,-0.0299596063036923,-0.0287250384024578,-0.0333333333333333,-0.109529702970297,-0.0395408772828128,-0.0401860385731353,-0.019047619047619,-0.0396588470470647,-0.0107692307692308,-0.0153846153846154,-0.0140659340659341,-0.208109473297516,-0.207563025210084,-0.207563025210084,-0.20952380952381,-0.45004577411832,-0.45004577411832,-0.466975776620447
"CDC42",0.43584126984127,0.0157986111111111,0.0299596063036923,0,0.031359649122807,0.019047619047619,0.127073593073593,0.254658893418018,0.00434782608695652,-0.000736919675755343,0.0952680652680653,0.0807738095238095,-0.1,-0.109885057471264,0.00735294117647059,0.00735294117647059,-0.0837037037037037,-0.0802784963181003,0.00247489239598278,-0.0782982982982983,-0.08,-0.0857934025053503,-0.095316979982075,0.00830907972945276,0.1,0.08,0.0787970148366188,0.1,0.0784405458089669,0.02,0.0778850133632837,-0.00735294117647059,0.0837037037037037,0,-0.118808701846677,-0.0208333333333333,-0.0333333333333333,-0.0287250384024578,-0.019047619047619,-0.0333333333333333,-0.1125,-0.0401860385731353,-0.0417989417989418,-0.0333333333333333,-0.0411294352823588,-0.0153846153846154,0,-0.0107692307692308,-0.207563025210084,-0.207563025210084,-0.20952380952381,-0.114285714285714,-0.443293362542757,-0.443293362542757,-0.462914862914863
"ILK",0.414035087719298,0.00517543859649123,0.0277777777777778,0,0.0535444947209653,0,0.215632035660546,0.201583356800901,-0.0274509803921569,-0.0323690131790421,0.239285714285714,-0.19018759018759,-0.1,-0.143428571428571,-0.192952380952381,-0.192952380952381,-0.0893719806763285,-0.0919795426059243,-0.19432224396608,-0.0970642883686362,-0.111111111111111,0.0240401902160923,-0.0432000953554899,-0.0910638792102207,0.1,0.111111111111111,0.0946599549770584,0.1,0.0970642883686362,0.0333333333333333,-0.0304018282032778,0.192952380952381,0.0893719806763285,0.0333333333333333,-0.239263285024155,-0.0509803921568627,-0.0333333333333333,-0.0166666666666667,-0.0166666666666667,-0.0333333333333333,-0.178076923076923,-0.0677381352541016,-0.0653381352541016,0,-0.0501933878182491,0.125,0.125,0.115322580645161,-0.341834050693448,-0.342647058823529,-0.342647058823529,-0.325,-0.431299965918497,-0.431299965918497,-0.445334044924209
"Jagged",0.405555555555556,-0.00614718614718615,0.016025641025641,0,0.0222222222222222,0,0.138,0.251659125188537,-0.02,0.0133333333333333,0.0923076923076923,0.0770114942528736,0,-0.114285714285714,0.0533333333333333,0.0533333333333333,-0.08,-0.0692773892773893,0.0351515151515151,-0.0723076923076923,-0.1,-0.0805396012438266,-0.102070175438596,0.0242857142857143,0,0.1,0.065980685980686,0,0.0723076923076923,-0.1,0.0583320463320463,-0.0533333333333333,0.08,0,-0.125,-0.0333333333333333,0,-0.00833333333333333,-0.0333333333333333,0,-0.08,-0.0380952380952381,-0.0333333333333333,0,-0.133333333333333,-0.08,-0.1,-0.0942857142857143,-0.207111111111111,-0.211111111111111,-0.2,-0.2,-0.418599033816425,-0.418599033816425,-0.438787878787879
"DELTA",0.405555555555556,-0.00614718614718615,0.016025641025641,0,0.0222222222222222,0,0.138,0.251659125188537,-0.02,0.0133333333333333,0.0923076923076923,0.0770114942528736,0,-0.114285714285714,0.0533333333333333,0.0533333333333333,-0.08,-0.0692773892773893,0.0351515151515151,-0.0723076923076923,-0.1,-0.0805396012438266,-0.102070175438596,0.0242857142857143,0,0.1,0.065980685980686,0,0.0723076923076923,-0.1,0.0583320463320463,-0.0533333333333333,0.08,0,-0.125,-0.0333333333333333,0,-0.00833333333333333,-0.0333333333333333,0,-0.08,-0.0380952380952381,-0.0333333333333333,0,-0.133333333333333,-0.08,-0.1,-0.0942857142857143,-0.207111111111111,-0.211111111111111,-0.2,-0.2,-0.418599033816425,-0.418599033816425,-0.438787878787879
"GLI",0.403514371514372,-0.0289619211789613,-0.119893262698192,-0.0333333333333333,-0.0303267469268409,-0.126785714285714,0.120183670319494,0.260349423403146,0.110151515151515,0.108494056587979,0.0803808835983612,-0.0233628765424007,-0.2,-0.112881944444444,0.0747649774943113,0.0747649774943113,-0.080786782061369,-0.0811002616851935,0.0761511161081727,-0.0833729889579207,-0.203225806451613,-0.0801633352402935,-0.084181722337598,0.0149738777089783,0.1,0.0832258064516129,0.0827141289894373,0.08,0.104176995437846,-0.105714285714286,0.0676448130388906,-0.0747649774943113,0.202049335863378,-0.114047619047619,-0.113824862508802,0.0318892469268409,0.0380116959064327,0.119481740064447,0.121522556390977,0.0222222222222222,0.108369152970923,0.00641966047596125,0.00587911993542071,0.114285714285714,0.00851554595187872,0.0156808134394341,0.0106808134394341,0.0128236705822913,-0.088472068072512,-0.0872955974842767,-0.0866666666666667,-0.0866666666666667,-0.413458013312852,-0.413458013312852,-0.431639279193459
"Csn",0.407815844286433,0.00602980351610996,0.0201131584791024,0.02,0.1288,0.0142857142857143,0.196351877824529,0.21114702397614,-0.0129437229437229,-0.0160687229437229,0.195131071619718,-0.070542466634242,-0.15,-0.166213113786591,-0.107899177141094,-0.107899177141094,-0.131886165351059,-0.128434932767994,-0.110778255835911,-0.125219498684393,-0.125862068965517,-0.0228429941891607,-0.0921244386454037,-0.06480828951405,0.133333333333333,0.125862068965517,0.126811360909906,0.15,0.125335947010448,0.0233333333333333,-0.00262053365850355,0.107899177141094,0.131886165351059,0.0142424242424242,-0.193852911801023,-0.12,-0.128333333333333,-0.02093283061025,-0.0112554112554113,-0.12,-0.130402398247435,-0.04846491175547,-0.0497502587991718,-0.0142857142857143,-0.0415836101882614,0.0947330447330447,0.111616161616162,0.100502275502276,-0.302615255415099,-0.303331245868559,-0.304613297150611,-0.309090909090909,-0.413186104218362,-0.413186104218362,-0.434336948482272
"Wnt",0.374509803921569,-0.000465686274509802,0.00432900432900433,0.1,0.125833333333333,0,0.177647058823529,0.192672413793103,-0.0333333333333333,-0.0274509803921569,0.196666666666667,-0.0818965517241379,-0.2,-0.153939393939394,-0.0984962406015037,-0.0984962406015037,-0.125,-0.105827067669173,-0.112132604237867,-0.0986842105263158,-0.2,0.00686440677966102,-0.0911009328987299,-0.0472874493927126,0,0.1,0.0985422994572524,0.1,0.0986842105263158,0,-0.008487056149691,0.0984962406015037,0.125,0.0333333333333333,-0.181728778467909,-0.113333333333333,-0.133333333333333,-0.00909090909090909,0,-0.1,-0.142424242424242,-0.054462333532101,-0.0521367521367521,0,-0.041025641025641,0.107142857142857,0.15,0.11547619047619,-0.30231884057971,-0.306666666666667,-0.3,-0.3,-0.3818268770923,-0.3818268770923,-0.405555555555556
"NFB",0.367673992673993,0.111821305841924,0.147318161535029,0.1,0.265409695409695,0.14,0.127768440709617,0.247826901113491,-0.0650793650793651,-0.0644257703081233,0.196651254028303,-0.177226890756303,0.0888888888888889,0.115243161094225,-0.199775056874824,-0.199775056874824,0.0858119658119658,0.0870706370556188,-0.199277544437013,0.0841170505577285,0.0811965811965812,0.135283610417376,0.194353636645799,0.0234850497001891,-0.1,-0.0811965811965812,-0.0858941664673835,-0.0888888888888889,-0.0846883703063478,0.0428571428571429,-0.0983607123838213,0.199775056874824,-0.0858119658119658,0.0628571428571429,-0.177549254263152,-0.267631917631918,-0.259523809523809,-0.143703703703704,-0.143703703703704,-0.142857142857143,-0.276897390535161,-0.155523477533627,-0.153664741474147,-0.12,-0.150361197110423,0.0240981240981241,0.0225108225108225,0.0182916724852209,-0.34633417721519,-0.3476,-0.35,-0.35,-0.374196352951344,-0.374196352951344,-0.391051238266528
"IKK",0.361904761904762,0.111821305841924,0.143703703703704,0,0.267631917631918,0.12,0.127450980392157,0.250062673471215,-0.0628571428571429,-0.0650793650793651,0.192805100182149,-0.177619047619048,0.1,0.115952380952381,-0.198366606170599,-0.198366606170599,0.0811965811965812,0.0841170505577285,-0.199775056874824,0.0858119658119658,0.0888888888888889,0.137501139456447,0.192909013852862,0.0270707070707071,-0.1,-0.0888888888888889,-0.0870706370556188,-0.1,-0.0858119658119658,0,-0.0971979216861469,0.198366606170599,-0.0811965811965812,0.0428571428571429,-0.17946706248233,-0.259523809523809,-0.142857142857143,-0.143703703703704,-0.14,-0.1,-0.273739495798319,-0.153664741474147,-0.150694444444444,-0.1,-0.150361197110423,0.0225108225108225,0.0272727272727273,0.0240981240981241,-0.3476,-0.35,-0.35,-0.35,-0.36615037593985,-0.36615037593985,-0.387123745819398
"SUFU",0.304173347294482,-0.103452930978902,-0.217492687492687,-0.15,-0.128539272807729,-0.213333333333333,0.1056705628822,0.312876218058746,0.211889719475926,0.209762059901458,0.0801935619608668,-0.0263613631114372,-0.2,-0.244252229856968,0.17849764863957,0.17849764863957,-0.0887486515641855,-0.0902524109626818,0.17976347142438,-0.0902524109626818,-0.194444444444444,0.154444181260207,0.108759564352586,-0.00942862739976492,0.1,0.0877777777777778,0.0900989582772598,0.0933333333333333,0.198226257427001,-0.212307692307692,-0.00923156655844342,-0.17849764863957,0.196367521367521,-0.215337995337995,-0.119568670941435,0.127868131868132,0.131714285714286,0.217878787878788,0.218888888888889,0.135714285714286,0.12880628143786,0.00942087083411676,0.00965181771633385,0.213333333333333,0.0114938492623144,-0.00454545454545455,-0.00909090909090909,-0.00375180375180375,-0.0449610853457007,-0.0443693693693694,-0.0443693693693694,-0.0416666666666667,-0.322477607336847,-0.322477607336847,-0.331990908778489
"SMO",0.286111111111111,-0.102010582010582,-0.218888888888889,0,-0.131714285714286,-0.333333333333333,0.103703703703704,0.310535303776683,0.212307692307692,0.215337995337995,0.08,-0.0279312920089619,-0.2,-0.244170771756979,0.179807692307692,0.179807692307692,-0.0933333333333333,-0.0887486515641855,0.179807692307692,-0.0877777777777778,-0.2,0.152930542506177,0.106429809686446,-0.01,0.1,0.1,0.0902524109626818,0.1,0.194444444444444,-0.2,-0.00900711691409366,-0.179807692307692,0.2,-0.22,-0.117511520737327,0.135714285714286,0.15,0.213333333333333,0.213333333333333,0.1,0.13859649122807,0.0115873015873016,0.01,0.3,0.0124542124542125,-0.00909090909090909,0,-0.00909090909090909,-0.0443693693693694,-0.0416666666666667,-0.0333333333333333,-0.0333333333333333,-0.311864406779661,-0.311864406779661,-0.321217600964436
"cMet",0.39047619047619,0.0999533799533799,0.110909090909091,0.1,0.21375,0.1,0.201147466765444,-0.156141636141636,-0.04,-0.0381818181818182,0.23,-0.0767089093701997,0.1,0.0120634920634921,-0.0904761904761905,-0.0904761904761905,-0.00666666666666667,-0.00283840190816935,-0.0904761904761905,-0.0089922480620155,0,-0.00529330100504478,-0.0563064214349311,-0.0758491561181435,-0.1,-0.1,0.00283840190816935,-0.2,0.00666666666666667,0,-0.0740510454796169,0.0904761904761905,0.00666666666666667,0.02,-0.170819704628804,-0.22,-0.2,-0.110909090909091,-0.12,-0.2,-0.290952380952381,-0.126081220366935,-0.124263038548753,-0.1,-0.124939800481596,0.0120300751879699,-0.0142857142857143,0.0013917773156295,-0.217872340425532,-0.22,-0.22,-0.22,-0.301587301587302,-0.301587301587302,-0.315365338164251
