"","HEY1","SMO","TGFR","AKT","Jagged","NOTCHic","NOTCH","Csn","Csl","GSK3","cfos","ERK","EGR1","RAF","PI3K","cMet","TCFLEF","CD44","cateninmemb","GLI","LIV1","Frizzled","Wnt","SRC","Destcompl","cateninnuc","DSH","AXIN2","STAT","Ecadherin","DELTA","RAS","SOSGRB2","SNAI2","TWIST1","ZEB1","MEK","TrCP","RKIP","SNAI1","NFB","IKK","FUS","SUFU","CDC42","PAK1","TGF","Patched","FOXC2","SHH","miR200","SMAD","ILK","ZEB2","KLF4"
"SMO",0.18974358974359,-0.146666666666667,0.53,0.241428571428571,0.238968253968254,0.0424242424242424,0.0424242424242424,0.1,0.0333333333333333,-0.308005263345069,0.3,0.338461538461538,0.2,-0.279326923076923,-0.279326923076923,-0.206666666666667,-0.222362459546926,-0.223333333333333,0.2467540105091,-0.316666666666667,0.1,0.3,0.3,0.2,0.308835040928064,0.226121858043166,0.3,0.378280340349306,0.2,-0.185356733421703,0.279326923076923,0.290954830053667,-0.299122807017544,0.233377120963328,-0.280446623093682,0.0362994350282486,-0.377855477855478,0,-0.277142857142857,-0.366129032258064,-0.15,-0.221428571428571,0.0666666666666667,0.1,-0.48,-0.4,-0.551621621621622,0.134166666666667,-0.462586206896552,0.111944444444444,-0.292344786015672,-0.201111111111111,-0.19,-0.413983050847458,-0.377777777777778
"AXIN2",0.101361793552463,-0.152930402930403,0.395739784770021,0.344685990338164,0.326796740275001,-0.0248809523809524,-0.0201512226512226,0.255555555555556,-0.0266666666666667,-0.37170329949735,0.31479674796748,0.340030392827293,0.273333333333333,-0.365600325980949,-0.365600325980949,-0.320248596631917,-0.329714537956098,-0.325611372657153,0.351315288227301,-0.325280043172797,0.266666666666667,0.311627906976744,0.320248596631917,0.311627906976744,0.386499914711439,0.331314192084935,0.3,0.682670015467786,0.3,-0.172996839747715,0.365600325980949,0.371112137004571,-0.224343859350872,0.280399009498318,-0.349192336724453,0.157230057010464,-0.353133841103155,-0.2,-0.330857654889913,-0.395368958360096,-0.303381642512077,-0.328019323671498,0.157692307692308,0.15,-0.375385802469136,-0.339583333333333,-0.409931203911935,0.142216117216117,-0.408124365876122,0.136642346724314,-0.29012737317935,-0.120008051529791,-0.107706464228203,-0.381551590488053,-0.369298276790106
"Destcompl",0.11652501344809,-0.097591680350301,0.356128004740916,0.308328216498628,0.29480549075226,-0.0197610654132393,-0.0187590614052233,0.276190476190476,-0.0262828045436741,-0.302634372907159,0.298228438228438,0.304239367190187,0.283076923076923,-0.305709120484572,-0.305709120484572,-0.271443013244281,-0.274938208500875,-0.274801222199505,0.314264194284425,-0.274084712077582,0.261111111111111,0.267960426179604,0.270930723209307,0.267960426179604,0.214768821895363,0.275550141188279,0.261111111111111,0.329714537956098,0.261111111111111,-0.157814887502308,0.305709120484572,0.307906922682374,-0.188200600165594,0.235954457395877,-0.300282993637541,0.103139692818231,-0.310990422042508,-0.233333333333333,-0.283585679014294,-0.346356891046839,-0.289233954451346,-0.300945666163058,0.111877394636015,0.122222222222222,-0.345601688951443,-0.333877551020408,-0.362137856957665,0.0950010067751715,-0.361862300313056,0.0893917224424829,-0.259763174763622,-0.128517126148705,-0.123253968253968,-0.348346878992115,-0.345087922077048
"cateninnuc",0.124418069267858,-0.177249544626594,0.425438171024378,0.394053977272727,0.31382861426216,0.0110154892772157,0.0160154892772157,0.3375,0.0121782799748901,-0.343662399641489,0.362111801242236,0.379833320229578,0.347826086956522,-0.388679833679834,-0.388679833679834,-0.290241883720145,-0.294690536469768,-0.292226010704272,0.291753040486741,-0.290376944873669,0.260606060606061,0.280100265031772,0.288795917205685,0.281546231546232,0.359242176599668,0.194662919789293,0.275990675990676,0.461941756892256,0.275990675990676,-0.208382913065148,0.388679833679834,0.391710136710137,-0.323225332184553,0.322480207222705,-0.343014946013655,0.094878279701346,-0.387631485367192,-0.3,-0.28722302180863,-0.359493927644309,-0.364772727272727,-0.380772727272727,0.178888888888889,0.188888888888889,-0.41221978021978,-0.389142857142857,-0.435700179758002,0.166690538415414,-0.448261798310979,0.166036943644172,-0.25641048178955,-0.145498552076997,-0.132810966810967,-0.347986063194082,-0.341152629497825
"cateninmemb",0.108170282145805,-0.220833333333333,0.347376201034738,0.327243867243867,0.324525727566839,0.0781255857544517,0.0792408273901395,0.26,0.0709090909090909,-0.303620791130001,0.317112299465241,0.328452505650808,0.281818181818182,-0.323122171945701,-0.323122171945701,-0.300289458553897,-0.307921373988076,-0.305306180961924,0.23109393829939,-0.304056574995676,0.266666666666667,0.29594163246694,0.299389908329009,0.29594163246694,0.313574366631157,0.309228563530559,0.284313725490196,0.368817376247083,0.284313725490196,-0.0642327725870435,0.323122171945701,0.327870775297657,-0.28419472781439,0.277598014957963,-0.375312350141795,0.127395003399215,-0.338256427219435,-0.2,-0.250897533000262,-0.305861296762474,-0.293333333333333,-0.315555555555556,0.233333333333333,0.233333333333333,-0.33030303030303,-0.307636363636364,-0.358045278792423,0.21760752688172,-0.377610682962612,0.212095715858098,-0.232362625993911,-0.116549531529635,-0.10904347826087,-0.307754610948894,-0.295593061415846
"DELTA",0.05,0.1,0.188888888888889,0.0666666666666667,0.0347186147186147,-0.08,-0.0657142857142857,0,-0.1,0.0839080459770115,0.2,0.18,0.1,0.12,0.12,0.12,0.121398601398601,0.112307692307692,0.0757252606548381,0.112307692307692,0,-0.1,-0.12,-0.1,-0.162965250965251,-0.122497502497502,0,-0.152857142857143,0,-0.144140350877193,-0.12,-0.129090909090909,-0.04,-0.23921568627451,-0.071,-0.0557971014492754,-0.18,0,-0.143589743589744,-0.183333333333333,0,-0.1,0,0,-0.2,-0.2,-0.184888888888889,-0.125,-0.214285714285714,-0.163461538461538,-0.256969696969697,-0.145238095238095,-0.15,-0.305072463768116,-0.283333333333333
"TGFR",0.212888170366735,0.191034482758621,0.283571428571429,0.0359357696566999,0.127851059742588,0.20735632183908,0.212392293062102,0.0166666666666667,0.186666666666667,-0.0504718523374115,0.207268170426065,0.196157059314954,0.180952380952381,0.128571428571429,0.128571428571429,0.0685534591194969,0.0697496313683007,0.0659218801721284,0.0497006489935494,0.0428084514390053,0,-0.0428571428571429,-0.044743935309973,-0.0666666666666667,-0.0620100128887667,-0.0703696490830925,-0.0428571428571429,-0.0708877383412433,-0.0666666666666667,-0.112472853387165,-0.128571428571429,-0.128571428571429,-0.153037686809617,-0.0719096833217981,-0.176553973902728,0.0223790253469456,-0.185198155205365,0.0333333333333333,-0.117099567099567,-0.220572783344304,-0.0452380952380952,-0.0452380952380952,-0.16,-0.126666666666667,-0.38,-0.38,-0.28144376899696,-0.191034482758621,-0.290735848544848,-0.197249172024157,-0.236232112344459,-0.204495013271273,-0.202003910068426,-0.290069103451945,-0.28733019142058
"cMet",0.137942896456828,0.1,0.195,0.0325,0.14376608898348,0.209022556390977,0.202639577667573,0,0.214285714285714,0.00781490015360984,0.055,0.065,0.075,0.0238095238095238,0.0238095238095238,-0.106666666666667,-0.11056648777579,-0.113643410852713,-0.0383829337921865,-0.115757575757576,-0.1,0.1,0.106666666666667,0,0.159090909090909,0.111131459527203,0.1,0.137936507936508,0,0.0588596290584081,-0.0238095238095238,-0.025696316262354,-0.0152380952380952,-0.212090083476945,-0.163176523850681,0.0702741702741703,-0.0922727272727273,-0.1,-0.213333333333333,-0.180390434226295,0,-0.02,-0.1,-0.1,-0.178333333333333,-0.153333333333333,-0.203510638297872,-0.1,-0.200944092827004,-0.1125,-0.16080615942029,-0.136751185322614,-0.129478458049887,-0.197258297258297,-0.0841269841269841
"CD44",0.116374269005848,0.1,0.178333333333333,0.02,0.130722610722611,0.214285714285714,0.209022556390977,0.1,0.2,0.00297619047619049,0.075,0.055,0.1,0.0380952380952381,0.0380952380952381,0,-0.113643410852713,-0.106666666666667,-0.0394505494505495,-0.106666666666667,-0.1,0.1,0.1,0,0.159090909090909,0.11056648777579,0,0.13,-0.1,0.0621675170991206,-0.0380952380952381,-0.0238095238095238,0.00476190476190476,-0.208440448440448,-0.155311355311355,0.0793650793650794,-0.065,0,-0.205925925925926,-0.175305688463583,0,0,-0.1,-0.1,-0.153333333333333,-0.133333333333333,-0.195,-0.1,-0.192083333333333,-0.1,-0.15768115942029,-0.129478458049887,-0.111111111111111,-0.184126984126984,-0.0698412698412698
"Wnt",0.0876923076923077,0.1,5.55111512312578e-18,0.0491666666666667,-0.0364950980392157,-0.0571428571428571,-0.0571428571428571,0.1,-0.1,0.185423197492163,0.0666666666666667,0.00666666666666668,0.1,0.187218045112782,0.187218045112782,0.25,0.248308270676692,0.244736842105263,-0.0476694915254237,0.244736842105263,0,-0.1,-0.25,-0.2,-0.315963822599978,-0.251619528954837,0,-0.283636363636364,-0.1,-0.117233337079915,-0.187218045112782,-0.191763499658237,0.0787878787878788,-0.223275862068966,0.0894117647058823,-0.0681013868962219,0.0345098039215686,-0.1,0.06,0.0554865424430642,-0.0666666666666667,-0.0866666666666667,0,0,-0.0333333333333333,-0.1,0.0217391304347826,-0.109090909090909,-0.0011336032388664,-0.132900432900433,-0.126767676767677,-0.0849532896044524,-0.0965811965811966,-0.163223338115734,-0.16078431372549
"Ecadherin",0.054303864315708,-0.0104166666666667,0.144280857354028,0.140586820586821,0.0567183393948959,0.0213268879790855,0.0179811630720223,0.12,0.0161722488038278,-0.126977251599304,0.174973262032086,0.171880478526931,0.169090909090909,-0.131342383107089,-0.131342383107089,-0.0406717024524673,-0.043727967212127,-0.0443506322183536,0.0448668280680476,-0.0438171297388242,0.0333333333333333,0.0415412676698586,0.0398171297388242,0.0415412676698586,0.1298346217116,0.0442881913017628,0.0392156862745098,0.144214799534781,0.0392156862745098,-0.144140457048936,0.131342383107089,0.132739031151782,-0.137851704733532,0.109408703197787,-0.0686561507284478,0.0509985376041162,-0.178547145193598,-0.1,-0.0807806336698793,-0.10540598340828,-0.134285714285714,-0.137989417989418,0.0166666666666667,0.0333333333333333,-0.137939393939394,-0.131272727272727,-0.146270007444444,0.0136424731182796,-0.180875278734902,0.00813066209465752,-0.126531356084429,-0.0582711162578517,-0.0580289855072464,-0.152347927946434,-0.154477262072199
"Frizzled",0.0770540098199673,0.109090909090909,-0.0217391304347826,0.0429166666666667,-0.0435658051099228,-0.0571428571428571,-0.0473389355742297,0.0666666666666667,-0.0571428571428571,0.193301985370951,0.00666666666666668,-0.0345098039215686,0.0666666666666667,0.191763499658237,0.191763499658237,0.244736842105263,0.251619528954837,0.248308270676692,-0.0486218724778047,0.248308270676692,-0.1,-0.25,-0.244736842105263,-0.25,-0.319412098462047,-0.257810005145314,-0.1,-0.292938689217759,-0.2,-0.116067835914413,-0.191763499658237,-0.198850113831465,0.0878787878787879,-0.226114978788208,0.0979831932773109,-0.0730518819457268,0.0493246187363834,-0.1,0.0635714285714286,0.0665976535541753,-0.0866666666666667,-0.0491666666666667,-0.1,0,-5.55111512312578e-18,-0.0333333333333333,0.0284057971014493,-0.132900432900433,0.00816872234252895,-0.123223013545594,-0.123642676767677,-0.0896261868007141,-0.0849532896044524,-0.152332249006823,-0.16078431372549
"PI3K",0.0873574815861164,0.116666666666667,-0.00341176470588235,-0.0422322775263952,-0.0416666666666667,-0.075,-0.0620967741935484,-0.0333333333333333,-0.075,0.111171236171236,0.0380952380952381,-0.00308123249299719,0.0666666666666667,0.140034632034632,0.140034632034632,0.251207729468599,0.259777916343871,0.255823114083984,-0.0363943897476187,0.255823114083984,-0.1,-0.255555555555556,-0.251207729468599,-0.255555555555556,-0.335538054448663,-0.265344926653149,-0.2,-0.296666666666667,-0.2,-0.119318603623509,-0.140034632034632,-0.148253810116824,0.0534615384615385,-0.240464959568733,0.0860265417642467,-0.0655401106837399,0.0211140193782431,0,0.0516806722689076,0.0539774557165861,0,0.0294117647058824,-0.1,0,-0.0205882352941176,-0.05,0.0107288378766141,-0.13974358974359,-0.0100696864111498,-0.131410256410256,-0.123603670734818,-0.0980782713085234,-0.0956782713085234,-0.152226820520311,-0.16140350877193
"ILK",0.0873574815861164,0.116666666666667,-0.00341176470588235,-0.0422322775263952,-0.0416666666666667,-0.075,-0.0620967741935484,-0.0333333333333333,-0.075,0.111171236171236,0.0380952380952381,-0.00308123249299719,0.0666666666666667,0.140034632034632,0.140034632034632,0.251207729468599,0.259777916343871,0.255823114083984,-0.0363943897476187,0.255823114083984,-0.1,-0.255555555555556,-0.251207729468599,-0.255555555555556,-0.335538054448663,-0.265344926653149,-0.2,-0.296666666666667,-0.2,-0.119318603623509,-0.140034632034632,-0.148253810116824,0.0534615384615385,-0.240464959568733,0.0860265417642467,-0.0655401106837399,0.0211140193782431,0,0.0516806722689076,0.0539774557165861,0,0.0294117647058824,-0.1,0,-0.0205882352941176,-0.05,0.0107288378766141,-0.13974358974359,-0.0100696864111498,-0.131410256410256,-0.123603670734818,-0.0980782713085234,-0.0956782713085234,-0.152226820520311,-0.16140350877193
"KLF4",0.0469213139801375,-0.0166666666666667,0.137939393939394,0.137989417989418,0.051455181500159,0.0161722488038278,0.0213268879790855,0.1,0.0109090909090909,-0.125873498839922,0.169090909090909,0.174973262032086,0.16,-0.129871794871795,-0.129871794871795,-0.0415412676698586,-0.0443506322183536,-0.0406717024524673,0.0443540075552271,-0.0398171297388242,0.0333333333333333,0.0392156862745098,0.0415412676698586,0.0392156862745098,0.129461835131917,0.043727967212127,0.0333333333333333,0.141534387163647,0.0333333333333333,-0.0419982954131037,0.129871794871795,0.131342383107089,-0.135220125786164,0.109468907893753,-0.0662352941176471,0.0557378740970072,-0.171880478526931,-0.1,-0.0804061018346733,-0.103823704927268,-0.12,-0.134285714285714,0.0333333333333333,0,-0.131272727272727,-0.127272727272727,-0.144280857354028,0.0104166666666667,-0.177900450359615,0.0136424731182796,-0.126345136345136,-0.0580289855072464,-0.0493333333333333,-0.146186790505676,-0.148148148148148
"HEY1",0.0469213139801375,-0.0166666666666667,0.137939393939394,0.137989417989418,0.051455181500159,0.0161722488038278,0.0213268879790855,0.1,0.0109090909090909,-0.125873498839922,0.169090909090909,0.174973262032086,0.16,-0.129871794871795,-0.129871794871795,-0.0415412676698586,-0.0443506322183536,-0.0406717024524673,0.0443540075552271,-0.0398171297388242,0.0333333333333333,0.0392156862745098,0.0415412676698586,0.0392156862745098,0.129461835131917,0.043727967212127,0.0333333333333333,0.141534387163647,0.0333333333333333,-0.0419982954131037,0.129871794871795,0.131342383107089,-0.135220125786164,0.109468907893753,-0.0662352941176471,0.0557378740970072,-0.171880478526931,-0.1,-0.0804061018346733,-0.103823704927268,-0.12,-0.134285714285714,0.0333333333333333,0,-0.131272727272727,-0.127272727272727,-0.144280857354028,0.0104166666666667,-0.177900450359615,0.0136424731182796,-0.126345136345136,-0.0580289855072464,-0.0493333333333333,-0.146186790505676,-0.148148148148148
"FOXC2",0.0469213139801375,-0.0166666666666667,0.137939393939394,0.137989417989418,0.051455181500159,0.0161722488038278,0.0213268879790855,0.1,0.0109090909090909,-0.125873498839922,0.169090909090909,0.174973262032086,0.16,-0.129871794871795,-0.129871794871795,-0.0415412676698586,-0.0443506322183536,-0.0406717024524673,0.0443540075552271,-0.0398171297388242,0.0333333333333333,0.0392156862745098,0.0415412676698586,0.0392156862745098,0.129461835131917,0.043727967212127,0.0333333333333333,0.141534387163647,0.0333333333333333,-0.0419982954131037,0.129871794871795,0.131342383107089,-0.135220125786164,0.109468907893753,-0.0662352941176471,0.0557378740970072,-0.171880478526931,-0.1,-0.0804061018346733,-0.103823704927268,-0.12,-0.134285714285714,0.0333333333333333,0,-0.131272727272727,-0.127272727272727,-0.144280857354028,0.0104166666666667,-0.177900450359615,0.0136424731182796,-0.126345136345136,-0.0580289855072464,-0.0493333333333333,-0.146186790505676,-0.148148148148148
"DSH",0.0840715536796164,0.132900432900433,-0.0284057971014493,0.0348706896551724,-0.0435658051099228,-0.0473389355742297,-0.0508354390707332,0.0866666666666667,-0.0571428571428571,0.197710338039164,-0.0345098039215686,-0.0493246187363834,0.00666666666666668,0.198850113831465,0.198850113831465,0.248308270676692,0.257810005145314,0.251619528954837,-0.0522732270125515,0.251576244532901,-0.2,-0.244736842105263,-0.248308270676692,-0.244736842105263,-0.322656373271207,-0.258789524290461,-0.25,-0.29842392128527,-0.25,-0.112819372349883,-0.198850113831465,-0.204172242683005,0.0903178122690318,-0.229956655156078,0.105075391858871,-0.0769888898197426,0.0545877766311203,-0.0666666666666667,0.0684665334665335,0.0709454796411318,-0.0491666666666667,-0.0429166666666667,-0.109090909090909,-0.1,0.0217391304347826,-5.55111512312578e-18,0.0371165984951775,-0.123223013545594,0.0181254322992389,-0.127517492073202,-0.117545115792067,-0.0862299603856197,-0.0896261868007141,-0.145245634833595,-0.148162954502189
