"","SNAI1","AKT","NFB","RKIP","Jagged","NOTCH","NOTCHic","Csn","Csl","TWIST1","TrCP","cfos","MEK","EGR1","FOXC2","STAT","cateninmemb","RAS","RAF","PI3K","DELTA","CD44","Destcompl","Wnt","Frizzled","GLI","Ecadherin","LIV1","SRC","cateninnuc","TCFLEF","cMet","AXIN2","DSH","ZEB1","TGFR","CDC42","PAK1","TGF","SNAI2","ERK","GSK3","SOSGRB2","SUFU","IKK","FUS","SMO","HEY1","Patched","SHH","ILK","SMAD","miR200","ZEB2","KLF4"
"SNAI1",0.147721190348343,0.153179824561403,0.130263157894737,0.216317508824039,0.147041145394763,0.128942961800105,0.125677655677656,0.125,0.113589743589744,0.147767782941696,0.15,0.0460427413411938,0.0585150881274419,0.0443478260869565,0.0589779475439597,-0.0737037037037037,-0.0726000607126458,-0.0179633971317541,-0.0174707862943157,-0.0174707862943157,-0.0174707862943157,-0.0788597508399489,-0.0811858462719732,-0.0794546664764893,-0.0789668615984405,-0.0811000046848988,0.0915082150766091,-0.07,0.0791091091091091,0.0804116708014962,0.080514923253742,0.0781190100992081,0.0691931230773131,0.0737037037037037,-0.0852406817085307,-0.0417728045018305,-0.0406799083269671,-0.0361344537815126,-0.0401599012760241,-0.148385979395568,-0.0553760746745271,0.0648454416870259,-0.0751419764617971,-0.154761904761905,-0.146929824561404,-0.157987711213518,-0.169098822324629,-0.18455152675763,-0.180098822324629,-0.182234744654726,-0.194461512203448,-0.197536542953755,-0.279939644525056,-0.397134234589745,-0.393127740448102
"TrCP",0.247543254405283,0.146929824561404,0.125,0.215480688740357,0.145394086571234,0.125677655677656,0.113589743589744,0.15,0.108974358974359,0.148075475249388,0.1,0.0443478260869565,0.0553760746745271,0.04,0.060883919589703,-0.07,-0.0729109415416614,-0.0174707862943157,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0781190100992081,-0.0808020743421486,-0.0789668615984405,-0.0737037037037037,-0.0794546664764893,0.0916643024855581,-0.05,0.0737037037037037,0.080514923253742,0.0788597508399489,0.0791091091091091,0.0675614214456114,0.07,-0.0824116534182478,-0.0406799083269671,-0.0361344537815126,-0.0380952380952381,-0.0417728045018305,-0.148285409499491,-0.0460427413411938,0.0660995670995671,-0.074009900990099,-0.171428571428571,-0.130263157894737,-0.154761904761905,-0.157987711213518,-0.180980098186201,-0.169098822324629,-0.180098822324629,-0.191235705751835,-0.194461512203448,-0.276769615706612,-0.393075193999339,-0.385339578454333
"PAK1",0.247543254405283,0.146929824561404,0.125,0.215480688740357,0.145394086571234,0.125677655677656,0.113589743589744,0.15,0.108974358974359,0.148075475249388,0.1,0.0443478260869565,0.0553760746745271,0.04,0.060883919589703,-0.07,-0.0729109415416614,-0.0174707862943157,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0781190100992081,-0.0808020743421486,-0.0789668615984405,-0.0737037037037037,-0.0794546664764893,0.0916643024855581,-0.05,0.0737037037037037,0.080514923253742,0.0788597508399489,0.0791091091091091,0.0675614214456114,0.07,-0.0824116534182478,-0.0406799083269671,-0.0361344537815126,-0.0380952380952381,-0.0417728045018305,-0.148285409499491,-0.0460427413411938,0.0660995670995671,-0.074009900990099,-0.171428571428571,-0.130263157894737,-0.154761904761905,-0.157987711213518,-0.180980098186201,-0.169098822324629,-0.180098822324629,-0.191235705751835,-0.194461512203448,-0.276769615706612,-0.393075193999339,-0.385339578454333
"EGR1",0.247543254405283,0.146929824561404,0.125,0.215480688740357,0.145394086571234,0.125677655677656,0.113589743589744,0.15,0.108974358974359,0.148075475249388,0.1,0.0443478260869565,0.0553760746745271,0.04,0.060883919589703,-0.07,-0.0729109415416614,-0.0174707862943157,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0781190100992081,-0.0808020743421486,-0.0789668615984405,-0.0737037037037037,-0.0794546664764893,0.0916643024855581,-0.05,0.0737037037037037,0.080514923253742,0.0788597508399489,0.0791091091091091,0.0675614214456114,0.07,-0.0824116534182478,-0.0406799083269671,-0.0361344537815126,-0.0380952380952381,-0.0417728045018305,-0.148285409499491,-0.0460427413411938,0.0660995670995671,-0.074009900990099,-0.171428571428571,-0.130263157894737,-0.154761904761905,-0.157987711213518,-0.180980098186201,-0.169098822324629,-0.180098822324629,-0.191235705751835,-0.194461512203448,-0.276769615706612,-0.393075193999339,-0.385339578454333
"SRC",0.295320767117614,0.177350427350427,0.15,0.177549690452916,0.129907668783816,0.159285714285714,0.159285714285714,0.15,0.145,0.223380068207654,0.1,0.106060606060606,0.137507146941109,0.133333333333333,0.104355742296919,-0.1,0.0145094297260889,0.108512155345697,0.105481852315394,0.105481852315394,0.105481852315394,0.00663934426229508,-0.0209635292243988,0.005,0.025,0.00663934426229508,0.030452352658235,0,-0.025,-0.00186223944426704,-0.00298080767692923,-0.005,-0.0272918526074206,0,-0.0418688230008985,-0.101388888888889,-0.101388888888889,-0.0888888888888889,-0.103207070707071,-0.165891514836023,-0.139393939393939,0.021038961038961,-0.188571428571429,-0.0333333333333333,-0.188461538461538,-0.0833333333333333,-0.143333333333333,-0.164697120158888,-0.13962962962963,-0.154335511982571,-0.20109649122807,-0.209204599336178,-0.306856975552628,-0.390588499550764,-0.474612403100775
"Csl",0.240756385321603,0.136175710594315,0.122222222222222,0.209382893866436,0.103486066913219,0.081873304963288,0.0736914867814698,0.133333333333333,0.0710599078341014,0.162677041125583,0.1,0.0204761904761905,0.028768115942029,0.0133333333333333,0.040422616209999,0.0123076923076923,-0.00229684547446879,-0.0358107682216951,-0.0336048858687539,-0.0336048858687539,-0.0336048858687539,0.0063888492459921,0.0102389656114989,0.00605158282577638,0.00927738927738928,0.00524513121287315,0.00484544518091319,0.02,-0.00927738927738928,-0.00465350647651423,-0.00562549046736615,-0.00598068598068598,-0.0046800760044685,-0.0123076923076923,-0.0817613722297844,-0.031244161358811,-0.0293333333333333,-0.0293333333333333,-0.0323779482068836,-0.182294430345843,-0.0233333333333333,0.00958137359019626,-0.0966024818142918,-0.15,-0.124547803617571,-0.142307692307692,-0.142307692307692,-0.0798150698406453,-0.151985111662531,-0.160605801317703,-0.187468311065433,-0.191357199954322,-0.272724027895738,-0.387816478501081,-0.380072463768116
"cfos",0.246349936982848,0.130263157894737,0.15,0.208298368298368,0.140486111111111,0.113589743589744,0.108974358974359,0.1,0.116666666666667,0.142640692640693,0,0.04,0.0460427413411938,0.08,0.0581252989000478,-0.05,-0.0723614909922108,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0791091091091091,-0.0814035781015471,-0.0737037037037037,-0.07,-0.0789668615984405,0.0906262402018211,-0.1,0.07,0.0788597508399489,0.0781190100992081,0.0737037037037037,0.0707060755336617,0.05,-0.0840193704600484,-0.0361344537815126,-0.0380952380952381,-0.0428571428571429,-0.0406799083269671,-0.147742914020286,-0.0443478260869565,0.0639177489177489,-0.075,-0.1,-0.125,-0.171428571428571,-0.154761904761905,-0.169215392303848,-0.157987711213518,-0.169098822324629,-0.176719576719577,-0.191235705751835,-0.26966301672184,-0.385679695607056,-0.377142857142857
"CDC42",0.246349936982848,0.130263157894737,0.15,0.208298368298368,0.140486111111111,0.113589743589744,0.108974358974359,0.1,0.116666666666667,0.142640692640693,0,0.04,0.0460427413411938,-0.02,0.0581252989000478,-0.05,-0.0723614909922108,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0138344226579521,-0.0791091091091091,-0.0814035781015471,-0.0737037037037037,-0.07,-0.0789668615984405,0.0906262402018211,-0.1,0.07,0.0788597508399489,0.0781190100992081,0.0737037037037037,0.0707060755336617,0.05,-0.0840193704600484,-0.0361344537815126,-0.0380952380952381,0.0571428571428571,-0.0406799083269671,-0.147742914020286,-0.0443478260869565,0.0639177489177489,-0.075,-0.1,-0.125,-0.171428571428571,-0.154761904761905,-0.169215392303848,-0.157987711213518,-0.169098822324629,-0.176719576719577,-0.191235705751835,-0.26966301672184,-0.385679695607056,-0.377142857142857
"NOTCHic",0.239570614570615,0.124547803617571,0.133333333333333,0.204313769442473,0.0993194002465526,0.0736914867814698,0.0710599078341014,0.1,0.174285714285714,0.158839569342288,0,0.0133333333333333,0.0233333333333333,-0.02,0.0381237656352864,0.02,-0.00214394027569203,-0.0336048858687539,-0.0340974967061924,-0.0340974967061924,-0.0340974967061924,0.00598068598068598,0.0101780271593356,0.00927738927738928,0.0123076923076923,0.00605158282577638,0.00391521262277365,0,-0.0123076923076923,-0.00562549046736615,-0.0063888492459921,-0.00927738927738928,-0.0033947289607667,-0.02,-0.0828663446054751,-0.0293333333333333,-0.0293333333333333,-0.0333333333333333,-0.031244161358811,-0.181772431837267,-0.0204761904761905,0.00766679332510053,-0.0957894736842105,-0.1,-0.122222222222222,-0.15,-0.142307692307692,-0.0700111482720178,-0.142307692307692,-0.151985111662531,-0.175238095238095,-0.187468311065433,-0.267713134649551,-0.381739130434783,-0.372929606625259
"TCFLEF",0.272652375518484,0.193503834174241,0.192311688311688,0.137440418790467,0.160862106051265,0.258450629259077,0.253467240554758,0.188311688311688,0.255428024868484,0.085936044200422,0.142857142857143,0.21184668989547,0.206812676290028,0.214285714285714,0.211048955641649,-0.075,-0.109289150278401,0.174402558478969,0.175322400791715,0.175322400791715,0.175322400791715,-0.0813554265441058,0.101541347382622,-0.0880794369029663,-0.0923529411764706,-0.0887005549153887,0.0839750448936886,-0.1,0.085,-0.0185013890343593,-0.0194464062164899,0.0807264957264957,0.0171980463980464,0.0823529411764706,-0.030421407052986,-0.110278144661974,-0.105605247465713,-0.11025641025641,-0.111933773801047,0.144836075242227,-0.20137049941928,-0.104281104632854,-0.0623030861354215,-0.166666666666667,-0.18263426895685,-0.2,-0.2,-0.12039217178926,-0.211290322580645,-0.214971304175737,-0.187594288752183,-0.190079948408015,-0.303186251499505,-0.381586213007266,-0.373764960529666
