"","KLF4","FOXC2","ILK","RKIP","SHH","AKT","SMO","TWIST1","Patched","NFB","SNAI2","NOTCH","AXIN2","TrCP","CD44","TCFLEF","MEK","GLI","cateninmemb","STAT","PAK1","RAS","PI3K","DELTA","CDC42","GSK3","TGF","RAF","TGFR","EGR1","DSH","ZEB1","Wnt","cfos","Destcompl","Frizzled","LIV1","cMet","SRC","ERK","cateninnuc","Csl","NOTCHic","Ecadherin","SOSGRB2","Jagged","FUS","SUFU","Csn","SNAI1","IKK","HEY1","SMAD","miR200","ZEB2"
"Csn",0.41747037276449,0.532481472112637,0.196334109730849,0.454416676679082,0.101186489050053,-0.0541333333333333,0.0936507936507937,0.384585476079165,0.0839733742959549,-0.0533333333333333,0.320821501256432,0.148823398823399,0.303721081208687,-0.22,0.278038129529613,0.284147454288455,0.21534632034632,0.277611152334077,-0.0522260518079027,0.2,0.145454545454545,-0.289390724054838,-0.287279399678639,-0.287279399678639,0.155902306648575,-0.608048431429584,-0.163328412762032,0.287279399678639,-0.159748460494729,-0.12,-0.2,0.00714971050454922,-0.253593685085168,-0.174545454545455,-0.537309568297277,-0.237931034482759,-0.2,-0.253593685085168,-0.237931034482759,-0.207012987012987,-0.294309811474264,-0.138383838383838,-0.152669552669553,-0.0835504363995151,-0.291954341058457,-0.00955404383975812,-0.0603174603174603,-0.0714285714285714,0.045,-0.454062337154742,0.0533333333333333,-0.18547065337763,-0.210987066029049,-0.346924097620679,-0.442863523573201
"GLI",0.386624624624625,0.381023069315445,0.21645475564803,0.285480038002382,0.0714180734022004,0.0999947786131997,0.044047619047619,0.233762550409409,0.0685374149659864,0.0669590643274854,0.237601467781809,0.135318302387268,0.102507548309179,0.0833333333333333,0.0826875389999729,0.0872329935454274,0.0204236923297697,0.109784004198797,0.0685066170048265,0.07,0.173333333333333,-0.168614175484019,-0.160099323998871,-0.160099323998871,0.166436781609195,-0.198709485304054,-0.17514710347379,0.160099323998871,-0.168323574062026,-0.00285714285714286,-0.2,-0.0207753029527223,-0.216166982922201,-0.0278571428571429,-0.132001289578344,-0.203225806451613,-0.05,-0.0878599527930763,-0.0732258064516129,-0.0187662337662338,-0.0882491322184698,-0.133651635720601,-0.128651635720601,-0.0914682332254396,-0.164646209247979,-0.126207293256548,-0.044047619047619,-0.019047619047619,-0.0722222222222222,-0.310236423951249,-0.0812447786131996,-0.20315935243779,-0.2267250259183,-0.338556799237914,-0.40071181088923
"MEK",0.355188904830225,0.451387992767303,0.23111535479607,0.494696299572461,0.157457623486553,0.0352151769798829,0.144,0.416248816542934,0.162032786885246,0.0357142857142857,-0.123694535949448,0.215222409382993,0.238661129483914,0,0.204447307078886,0.220477841430031,0.182721936903888,0.199184149184149,0.0767678910720518,0.166666666666667,0.06,-0.246573981573982,-0.243081918081918,-0.243081918081918,0.0933333333333333,-0.422418162843695,-0.104343634172408,0.243081918081918,-0.103613707165109,-0.22,-0.166666666666667,0.0681685682403043,-0.185897435897436,-0.216551724137931,-0.442225618834999,-0.166666666666667,-0.1,-0.191160593792173,-0.171929824561403,-0.252721936903889,-0.22512468157873,-0.188888888888889,-0.204273504273504,-0.192201194420225,-0.303746031746032,-0.094329921843212,-0.14,-0.1,0.0142857142857143,-0.466269564474437,-0.0387445887445887,-0.200306901770316,-0.254362587268395,-0.2940089212832,-0.376430734895584
"PAK1",0.357550351288056,0.32392335908291,0.188248847926267,0.286548828703525,0.149493656482904,0.121929824561404,0.126036866359447,0.190942499529456,0.149493656482904,0.1,0.219113980048102,0.0884249084249084,0.0976404250704836,0.1,0.0775620174630076,0.0816360915370816,0.102683370179317,0.0757443065658727,0.0652352256195362,0.07,0.0476190476190476,-0.0335281074735881,-0.0262553802008608,-0.0262553802008608,0.0417366946778711,-0.0871358225108225,-0.0451395759496049,0.0262553802008608,-0.0402215431627196,-0.08,-0.07,-0.0464540876571894,-0.0820857699805068,-0.110434782608696,-0.101187703005786,-0.0662962962962963,-0.05,-0.0825125125125125,-0.0662962962962963,-0.105350036845984,-0.0812222984336333,-0.0897435897435897,-0.0851282051282051,-0.0835636152317982,-0.13213696369637,-0.0925470773687798,-0.135714285714286,-0.0857142857142857,-0.1,-0.26586448062476,-0.105263157894737,-0.180591321986066,-0.199216589861751,-0.318997120460244,-0.366464446152323
"LIV1",0.357550351288056,0.32392335908291,0.188248847926267,0.286548828703525,0.149493656482904,0.121929824561404,0.126036866359447,0.190942499529456,0.149493656482904,0.1,0.219113980048102,0.0884249084249084,0.0976404250704836,0.1,0.0775620174630076,0.0816360915370816,0.102683370179317,0.0757443065658727,0.0652352256195362,0.07,0.0476190476190476,-0.0335281074735881,-0.0262553802008608,-0.0262553802008608,0.0417366946778711,-0.0871358225108225,-0.0451395759496049,0.0262553802008608,-0.0402215431627196,-0.08,-0.07,-0.0464540876571894,-0.0820857699805068,-0.110434782608696,-0.101187703005786,-0.0662962962962963,-0.05,-0.0825125125125125,-0.0662962962962963,-0.105350036845984,-0.0812222984336333,-0.0897435897435897,-0.0851282051282051,-0.0835636152317982,-0.13213696369637,-0.0925470773687798,-0.135714285714286,-0.0857142857142857,-0.1,-0.26586448062476,-0.105263157894737,-0.180591321986066,-0.199216589861751,-0.318997120460244,-0.366464446152323
"IKK",0.314652014652015,0.254054834054834,0.24375,0.330145719489982,0.15698595146871,0.0215572715572716,0.14,0.0636601307189542,0.136296296296296,-0.142857142857143,-0.178014295520339,0.203607503607504,0.0197619047619048,-0.2,0.0357264957264957,0.0464609590033319,0.126634920634921,0.0357264957264957,-0.0289502676094855,0,0.15,-0.186931145250207,-0.177071990320629,-0.177071990320629,0.138888888888889,-0.342399267399267,-0.172852525252525,0.177071990320629,-0.175252525252525,-0.05,0,0.0165814536340852,-0.0188034188034188,-0.0928571428571429,-0.25814586808668,-0.0111111111111111,0.1,-0.0188034188034188,-0.0111111111111111,-0.0888571428571429,-0.0570094822100829,-0.190909090909091,-0.195670995670996,-0.0864109771305132,-0.266596638655462,-0.0818806622930334,-0.12,-0.1,0.1,-0.336301950805768,-0.0404761904761905,-0.230030959752322,-0.244740099009901,-0.270100334448161,-0.358295739348371
"CDC42",0.347714285714286,0.312199221151875,0.178571428571429,0.271631701631702,0.149493656482904,0.105263157894737,0.135714285714286,0.188225108225108,0.126036866359447,0.1,0.215859007172876,0.0851282051282051,0.0970114942528736,0,0.0825125125125125,0.0775620174630076,0.105350036845984,0.0820857699805068,0.0674330278173384,0.05,0.142857142857143,-0.0262553802008608,-0.0323529411764706,-0.0323529411764706,0.0476190476190476,-0.0867721861471862,-0.0402215431627196,0.0323529411764706,-0.0417366946778711,-0.02,-0.05,-0.0506341519658711,-0.0662962962962963,-0.08,-0.0992328157877405,-0.07,-0.1,-0.0662962962962963,-0.07,-0.110434782608696,-0.0816360915370816,-0.0666666666666667,-0.0897435897435897,-0.0796189785535975,-0.129166666666667,-0.0857986111111111,-0.0857142857142857,-0.1,-0.1,-0.255601950791824,-0.1,-0.173238380809595,-0.188248847926267,-0.306306765130295,-0.3577827741266
"RKIP",0.304208512673362,0.423460064839375,0.228145057766367,0.477591036414566,0.162032786885246,0.0387445887445887,0.14,0.399765300059418,0.144,-0.0142857142857143,-0.142429329136795,0.204273504273504,0.222444913267698,0,0.191160593792173,0.204447307078886,0.252721936903889,0.185897435897436,0.0843288666818079,0.1,0.0666666666666667,-0.243081918081918,-0.23538961038961,-0.23538961038961,0.06,-0.408904649330181,-0.103613707165109,0.23538961038961,-0.0933333333333333,-0.22,-0.1,0.0689622190339551,-0.166666666666667,-0.22,-0.429254907537928,-0.166666666666667,0,-0.171929824561403,-0.166666666666667,-0.216551724137931,-0.220477841430031,-0.188888888888889,-0.188888888888889,-0.193111941232611,-0.288190476190476,-0.100887298892392,-0.1,-0.1,0,-0.45409007729495,-0.0357142857142857,-0.196670538133953,-0.23111535479607,-0.270169911995274,-0.354208512673362
"RAF",0.304208512673362,0.423460064839375,0.228145057766367,0.477591036414566,0.162032786885246,0.0387445887445887,0.14,0.399765300059418,0.144,-0.0142857142857143,-0.142429329136795,0.204273504273504,0.222444913267698,0,0.191160593792173,0.204447307078886,0.252721936903889,0.185897435897436,0.0843288666818079,0.1,0.0666666666666667,-0.243081918081918,-0.23538961038961,-0.23538961038961,0.06,-0.408904649330181,-0.103613707165109,0.23538961038961,-0.0933333333333333,-0.22,-0.1,0.0689622190339551,-0.166666666666667,-0.22,-0.429254907537928,-0.166666666666667,0,-0.171929824561403,-0.166666666666667,-0.216551724137931,-0.220477841430031,-0.188888888888889,-0.188888888888889,-0.193111941232611,-0.288190476190476,-0.100887298892392,-0.1,-0.1,0,-0.45409007729495,-0.0357142857142857,-0.196670538133953,-0.23111535479607,-0.270169911995274,-0.354208512673362
"NOTCH",0.322463768115942,0.273061224489796,0.145238095238095,0.251370468611848,0.132579185520362,0.1,0.1,0.138694915254237,0.138461538461538,0.1,0.132041705571117,0.0904147465437788,-0.0161725067385445,0,-0.0153379953379953,-0.00544788544788545,0.100952380952381,-0.0153379953379953,-0.0029450764558795,0,0,-0.0398945981554677,-0.0442424242424242,-0.0442424242424242,0.0333333333333333,-0.0141501219087426,-0.0293333333333333,0.0442424242424242,-0.0293333333333333,0,0,-0.0384057971014493,0.0123076923076923,-0.02,0.00748197596795727,0.02,0,0.0123076923076923,0.02,-0.0866666666666667,0.00912135483564055,-0.16,-0.174285714285714,0.00480758347481607,-0.0957894736842105,-0.0833766233766234,-0.1,0,0,-0.220384615384615,-0.0888888888888889,-0.0456521739130435,-0.175238095238095,-0.293160173160173,-0.329871175523349
