"","FOXC2","TGF","TGFR","CDC42","PAK1","RKIP","SHH","ILK","Patched","FUS","SNAI1","AKT","HEY1","TWIST1","EGR1","MEK","ERK","AXIN2","cMet","cateninnuc","TCFLEF","CD44","ZEB2","GSK3","RAS","RAF","PI3K","DELTA","SNAI2","KLF4","SRC","STAT","GLI","Frizzled","Wnt","DSH","LIV1","miR200","Destcompl","Ecadherin","cateninmemb","cfos","TrCP","Csl","NOTCH","NOTCHic","SOSGRB2","Jagged","NFB","IKK","Csn","SMAD","SUFU","SMO","ZEB1"
"FUS",-0.271896551724138,-0.379802568525973,-0.378738738738739,-0.373333333333333,-0.373333333333333,-0.24912616593029,0.173308080808081,0.0215873015873016,0.170277777777778,0.146666666666667,-0.246587253282323,-0.107296703296703,0.0205287466157031,-0.0964194869338078,-0.02,-0.0285764809902741,-0.0251282051282051,0.191232954951096,0.0488888888888889,0.0581702312274284,0.0576267529665588,0.0576267529665588,-0.346711552459187,-0.224512127804656,-0.162926769965081,-0.161616726296959,-0.161616726296959,-0.161616726296959,0.0169655054493784,-0.342531876138433,-0.0433333333333333,-0.05,-0.16517094017094,-0.15,-0.155555555555556,-0.15,0,-0.253448039198133,-0.190133450547642,-0.159006092860503,-0.172936746914757,0.0584615384615385,0.1,-0.00606060606060606,-0.0156060606060606,-0.0110606060606061,0.197570850202429,0.0918298591190158,0.107142857142857,0.111142857142857,0.15,-0.0325550435227855,-0.266666666666667,-0.159166666666667,-0.00133704204360334
"SHH",-0.275,-0.373333333333333,-0.333333333333333,-0.233333333333333,-0.2,-0.26,0.146666666666667,0,0.266666666666667,0.2,-0.233333333333333,-0.15,0,-0.1,0,-0.02,0,0.180952380952381,0,0.0488888888888889,0.0433333333333333,0.05,-0.325,-0.223076923076923,-0.157692307692308,-0.15,-0.15,-0.15,0.00988505747126437,-0.25,-0.1,-0.1,-0.15,-0.2,-0.1,-0.2,0,-0.216666666666667,-0.186233766233766,-0.132777777777778,-0.14078853046595,0.1,0,0.1,-0.0333333333333333,0,0.1,0.0942857142857143,0,0.1,0,0,-0.2,-0.3,0.025
"Patched",-0.265,-0.373333333333333,-0.373333333333333,-0.333333333333333,-0.233333333333333,-0.231428571428571,0.159166666666667,0,0.146666666666667,0.3,-0.249462365591398,-0.107142857142857,0.00769230769230769,-0.0962962962962963,-0.1,-0.0584615384615385,-0.02,0.180952380952381,0.05,0.0576267529665588,0.0488888888888889,0.0433333333333333,-0.325,-0.223076923076923,-0.163942307692308,-0.157692307692308,-0.157692307692308,-0.157692307692308,0.016551724137931,-0.327777777777778,0,-0.1,-0.15,-0.1,-0.15,-0.2,-0.1,-0.238095238095238,-0.185134865134865,-0.143457389428263,-0.157455197132616,0,0,0,-0.00606060606060606,-0.0333333333333333,0.2,0.0905820105820106,0.1,0.15,0,-0.02,-0.2,-0.266666666666667,0.00833333333333333
"SRC",-0.328095238095238,-0.332867965367965,-0.325595238095238,-0.320833333333333,-0.333333333333333,-0.108862821766048,0.00518518518518519,0.0116228070175439,0.00518518518518519,-0.0333333333333333,-0.2146845110081,-0.0811965811965812,-0.00653757034094671,-0.168693949728432,0.133333333333333,0.137983609681723,0.132323232323232,-0.0232649071358749,0.035,0.0291413591163087,0.0280227908836465,0.0268032786885246,-0.300703803533992,0.0401731601731602,-0.108218985853529,-0.115794743429287,-0.115794743429287,-0.115794743429287,0.0664352594134999,-0.188501291989664,-0.025,0.1,-0.0268032786885246,-0.025,-0.035,0,0.2,-0.241528326745718,0.0461944577161969,-0.104891633421045,-0.0021643466546924,-0.0878787878787879,0.1,-0.07,-0.0664285714285714,-0.0557142857142857,0.288571428571429,0.0271836038579158,0.0833333333333333,0.0756410256410256,0.15,-0.0233345187292556,0.0333333333333333,0.0133333333333333,-0.0129005690326445
"TCFLEF",-0.237520291562264,-0.320776333110896,-0.319120703971823,-0.320989862850328,-0.325641025641026,-0.121186113789778,0.0909438994279683,0.0339933166248956,0.0854224270353303,0.06,-0.209908348276549,-0.103411686490228,0.0292745900339392,-0.104731634300284,0.0228571428571429,0.0394458271113323,0.0414866434378629,0.354419047619048,0.00764957264957265,-0.0939265366244553,-0.0929815194423247,0.00827850346718272,-0.283435052277158,-0.193767780444333,-0.136533633048939,-0.135088166557481,-0.135088166557481,-0.135088166557481,-0.0249089276172583,-0.276508785332315,-0.00166666666666667,0.00833333333333333,-0.0126824553678774,-0.00607843137254902,-0.012061337355455,0.00392156862745098,0.0333333333333333,-0.229925242093917,-0.179899031219306,0.0812916367423477,0.131005285161574,-0.0252961672473868,0.114285714285714,-0.0339072214251554,-0.0361676604845001,-0.0378287900526064,0.043910947336097,0.0598980371823556,0.103376623376623,0.10015081692501,0.123376623376623,-0.0349493395694462,-0.0666666666666667,-0.0838095238095238,0.00198378522062732
"LIV1",-0.182662878439854,-0.199774991963999,-0.201960784313725,-0.201960784313725,-0.2,-0.117941377223145,0.0913510269101667,0.0966120498378563,0.0903510269101667,0.080952380952381,-0.0888810855820916,0.0464181286549708,0.0957197871652409,-0.0599764728025598,0,-0.00192974699091132,0.000736919675755343,0.140791585339406,0.106186186186186,0.110206923892141,0.10965519975421,0.111136681235691,-0.279669327719825,-0.115789502164502,-0.0361487423252129,-0.035239651416122,-0.035239651416122,-0.035239651416122,0.0898389512794022,-0.281140255009107,-0.108888888888889,-0.12,-0.111623163600057,-0.108888888888889,-0.10625730994152,-0.12,-0.1,-0.25249466037761,-0.131581789882729,-0.291779449255993,-0.240783336770322,0.00434782608695652,-0.0333333333333333,-0.0153846153846154,-0.0263736263736264,-0.0230769230769231,0.0960258525852585,-0.0212497869802318,-0.0458333333333333,-0.0353070175438596,-0.0333333333333333,-0.098547533708824,-0.0476190476190476,-0.0841781874039939,-0.0773873322104833
"EGR1",-0.182662878439854,-0.199774991963999,-0.201960784313725,-0.201960784313725,-0.2,-0.117941377223145,0.0913510269101667,0.0966120498378563,0.0903510269101667,0.080952380952381,-0.0888810855820916,0.0464181286549708,0.0957197871652409,-0.0599764728025598,0,-0.00192974699091132,0.000736919675755343,0.140791585339406,0.106186186186186,0.110206923892141,0.10965519975421,0.111136681235691,-0.279669327719825,-0.115789502164502,-0.0361487423252129,-0.035239651416122,-0.035239651416122,-0.035239651416122,0.0898389512794022,-0.281140255009107,-0.108888888888889,-0.12,-0.111623163600057,-0.108888888888889,-0.10625730994152,-0.12,-0.1,-0.25249466037761,-0.131581789882729,-0.291779449255993,-0.240783336770322,0.00434782608695652,-0.0333333333333333,-0.0153846153846154,-0.0263736263736264,-0.0230769230769231,0.0960258525852585,-0.0212497869802318,-0.0458333333333333,-0.0353070175438596,-0.0333333333333333,-0.098547533708824,-0.0476190476190476,-0.0841781874039939,-0.0773873322104833
"SMAD",-0.217359339945957,-0.224039508105933,-0.223641101731431,-0.2219651240778,-0.226190476190476,-0.0959831586110107,-0.0281470049907347,-0.0155749273557493,-0.0307492354740061,-0.0416666666666667,-0.0826381602268699,-0.0790737628384687,-0.00117459868467576,-0.0897622802277581,0,0.00992339431011599,0.0166541635408852,0.0427827023431982,0.0374603174603175,0.0381840324031496,0.0370695440546187,0.0407330447330447,-0.266779990802167,-0.119283182704235,-0.0936139425578635,-0.0922981530841793,-0.0922981530841793,-0.0922981530841793,0.0828802820135102,-0.265405713487257,-0.0374603174603175,-0.0485714285714286,-0.0210574397624757,-0.0174603174603175,-0.0174603174603175,-0.0285714285714286,-0.02,-0.242549741118239,0.0170651832520731,-0.149550552937273,-0.10008891084367,-0.00967741935483871,0.1,0.0780952380952381,0.0669567597153804,0.0677504105090312,0.117694469091985,0.0802366987850859,0.0746031746031746,0.0844070961718021,0.0888888888888889,-0.0844250726442507,0.0666666666666667,0.0316666666666667,-0.0616085488659932
"STAT",-0.187830947511929,-0.18375733883457,-0.18424043062201,-0.178977272727273,-0.172727272727273,-0.100440797940798,0.0622024422034712,0.0897745571658615,0.0560077519379845,0.025,-0.073194915683395,0.0496771589991929,0.0886666666666667,-0.134058620040629,-0.0333333333333333,-0.0045920303605313,0.0007843137254902,-0.0377214941920824,0.0142857142857143,0.0110777717632806,0.0109585822519576,0.01001221001221,-0.252456517841133,0.0399821984868714,0.0731526147179734,0.0738988833746898,0.0738988833746898,0.0738988833746898,0.0379839596248265,-0.150069320657556,-0.0142857142857143,-0.0142857142857143,-0.0100840336134454,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.1,-0.227769997218433,0.0457936731420736,-0.0874881480807006,0.017060943626771,-0.00666666666666667,0,0.00588235294117647,-0.0140074397641502,-0.0130365659777424,0.171059113300493,-0.0273508545066928,-0.05,-0.0547619047619048,-0.05,-0.0920734077405742,0,-0.0583333333333333,-0.0715707369553523
"AXIN2",-0.211774564233581,-0.160594932895453,-0.15729460286245,-0.155524691358025,-0.164166666666667,-0.176447083382567,-0.122690205968895,0.0239245456636761,-0.125641025641026,-0.142307692307692,-0.175447959394818,-0.107729468599034,0.0127982227373708,-0.170865859655582,-0.0133333333333333,0.00378495502647582,0.00654357571613099,0.250343272534215,-0.163199679230152,-0.16793795098137,-0.167635313713753,-0.165407881122897,-0.215450965364689,-0.197726701089401,-0.112626975793134,-0.112364508601533,-0.112364508601533,-0.112364508601533,-0.0944387889869841,-0.205592873312782,0.168372093023256,0.18,0.165715402500593,0.168372093023256,0.163199679230152,0.18,0.2,-0.172553426031165,-0.194587742160687,-0.0182002086147614,0.168930736012598,-0.00373983739837398,0.133333333333333,-0.14280701754386,-0.139235588972431,-0.139235588972431,0.14719565925737,-0.185549468158164,0.109178743961353,0.107729468599034,0.122222222222222,-0.0243213710605015,0.15,0.132783882783883,0.0900133816080086
