"","GSK3","ZEB2","TGF","AXIN2","TGFR","FOXC2","miR200","PAK1","cMet","CD44","Wnt","GLI","SRC","TCFLEF","TWIST1","SHH","ILK","Csn","SMAD","PI3K","HEY1","NOTCHic","NFB","NOTCH","SOSGRB2","Csl","SNAI1","Jagged","TrCP","EGR1","IKK","ZEB1","SMO","DSH","KLF4","AKT","RAF","DELTA","STAT","MEK","RKIP","SNAI2","FUS","Patched","RAS","ERK","cfos","Frizzled","SUFU","LIV1","Destcompl","cateninnuc","CDC42","Ecadherin","cateninmemb"
"SHH",0.128205128205128,-0.2,-0.226666666666667,0.152380952380952,-0.166666666666667,-0.15,-0.0666666666666667,-0.2,0,0,-0.1,-0.1,0.1,0.02,-0.075,-0.0533333333333333,0,0,0.0166666666666667,0.05,0,0,0,0,-0.15,0.1,-0.15,-0.0657142857142857,0,0,-0.1,-0.05,-0.1,0,0.2,-0.05,-0.05,-0.05,-0.1,0.04,0.16,0.186130268199234,0,-0.0666666666666667,-0.0115384615384615,0.1,0.1,0,0,0,-0.0974025974025974,-0.0366666666666667,0.166666666666667,-0.03,-0.0785663082437276
"CDC42",-0.00260281385281385,-0.165073600061493,-0.182416603004838,0.0952380952380952,-0.177871148459384,-0.189402199904352,-0.0276462099991512,-0.257142857142857,0.0637037037037037,0.0664064064064064,0.0637037037037037,0.0663352826510721,0.06,0.0693767034361094,-0.0818961038961039,0.01173692894123,-0.00291005291005291,0.0333333333333333,-0.00129714968424646,-0.0816993464052288,-0.00377311344327836,-0.0166666666666667,0.0583333333333333,-0.0058974358974359,-0.108333333333333,-0.0166666666666667,-0.0870699764370651,0.00208333333333333,0,0.02,-0.0333333333333333,-0.0381970867443022,-0.0142857142857143,-0.1,0.165174603174603,-0.0175438596491228,0.0816993464052288,0.0816993464052288,-0.1,0.0354310980103169,0.120652680652681,0.233649635036496,-0.0476190476190476,0.00184331797235023,0.0829188586003507,0.0269565217391304,0.04,-0.06,-0.0333333333333333,-0.1,-0.0931008884590453,-0.0708581849175909,0.152380952380952,-0.106972435793602,-0.122181774402822
"STAT",-0.0813039608366711,-0.16301775147929,-0.219645251138386,-0.064886094297859,-0.210466507177033,-0.215096114519427,-0.0260117554601914,-0.204545454545455,-0.0152597402597403,-0.0195332445332445,-0.0152597402597403,-0.0194614209320092,-0.0107142857142857,-0.0148013833345064,-0.161646665844567,-0.00331446799753036,-0.0118357487922705,0,-0.00838747293020157,0.0181813482216708,-0.0126666666666667,-0.0203497615262321,0.04,-0.00967014987574668,-0.034072249589491,-0.0176470588235294,-0.0997008671320106,0.0128347254744347,0,0,-0.0257142857142857,-0.0417876994800072,-0.005,-0.0142857142857143,0.0563775004951475,-0.00368038740920097,-0.0181813482216708,-0.0181813482216708,-0.0142857142857143,0.0234282099936749,0.130466537966538,0.0785547588728,-0.025,0.0112790697674419,-0.0196738855351036,0.0223529411764706,0.04,0.0107142857142857,0,0.1,0.0477370070112391,0.0113448875061393,0.192045454545455,0.0182583951004273,0.0835276774275587
"LIV1",-0.000784632034632035,-0.161536622569532,-0.178591466392816,0.0971248876909254,-0.182416603004838,-0.185264268869869,-0.0246005247199634,-0.152380952380952,0.0664064064064064,0.0693767034361094,0.0663352826510721,0.068774307041316,0.0637037037037037,0.0708581849175909,-0.0770047995482778,0.01373692894123,-0.00129714968424646,0.0583333333333333,-0.00710360129714969,-0.0829188586003507,-0.00377311344327836,-0.0058974358974359,0.0333333333333333,-0.0135897435897436,-0.12516501650165,-0.0166666666666667,-0.0844446781077094,0.000856339468302659,0.0333333333333333,0.04,-0.0175438596491228,-0.0327308488021801,0.00184331797235023,-0.06,0.166813947436898,-0.0323586744639376,0.0829188586003507,0.0829188586003507,-0.06,0.0460977646769835,0.11126041545931,0.235638785126912,-0.0142857142857143,-0.01173692894123,0.0829188586003507,0.0354310980103169,0.0269565217391304,-0.0637037037037037,-0.0476190476190476,-0.1,-0.0950557756770904,-0.069065081469315,0.177871148459384,-0.105657556900868,-0.123097525318573
"Jagged",0.0272030651340996,-0.151932367149758,-0.148444444444444,0.0942857142857143,-0.144444444444444,-0.157142857142857,-0.0272727272727273,-0.2,0.08,0.0415384615384615,0.08,0.0415384615384615,0.1,0.0445687645687646,-0.07,0.0198717948717949,-0.0166666666666667,0,-0.0214285714285714,-0.08,-0.116666666666667,-0.08,0,-0.108571428571429,-0.16,-0.1,-0.0916666666666667,-0.00614718614718615,0,0.1,-0.0333333333333333,-0.0258454106280193,-0.0333333333333333,0,0.138888888888889,-0.0666666666666667,0.08,0.08,0,0.0533333333333333,0.0923076923076923,0.212066365007542,0,-0.0583333333333333,0.0527272727272727,0.02,0,-0.1,0,0,-0.0754749034749035,-0.0500632700632701,0.2,-0.124210526315789,-0.12958112310225
"DELTA",0.0272030651340996,-0.151932367149758,-0.148444444444444,0.0942857142857143,-0.144444444444444,-0.157142857142857,-0.0272727272727273,-0.2,0.08,0.0415384615384615,0.08,0.0415384615384615,0.1,0.0445687645687646,-0.07,0.0198717948717949,-0.0166666666666667,0,-0.0214285714285714,-0.08,-0.116666666666667,-0.08,0,-0.108571428571429,-0.16,-0.1,-0.0916666666666667,-0.00614718614718615,0,0.1,-0.0333333333333333,-0.0258454106280193,-0.0333333333333333,0,0.138888888888889,-0.0666666666666667,0.08,0.08,0,0.0533333333333333,0.0923076923076923,0.212066365007542,0,-0.0583333333333333,0.0527272727272727,0.02,0,-0.1,0,0,-0.0754749034749035,-0.0500632700632701,0.2,-0.124210526315789,-0.12958112310225
"ZEB2",-0.15413445306725,-0.128363540839377,-0.0901284958427816,-0.0827451204791372,-0.0827210884353742,-0.0806309246309246,-0.0697415067521795,-0.0675324675324675,-0.0671929824561403,-0.0625633528265107,-0.0622144522144522,-0.0576272962511495,-0.0566666666666667,-0.0548168739532713,-0.045375217220746,-0.0369718086791258,-0.0365823143992158,-0.0333333333333333,-0.031094509521167,-0.0297402597402597,-0.0257038123167155,-0.0145641025641026,-0.00833333333333333,-0.00636738125262715,-0.00626373626373626,-0.00256410256410256,-0.00115689750334113,-0.0010363528205707,0,0,0.00611111111111111,0.00948685510663916,0.0214285714285714,0.0227272727272727,0.0259977667972847,0.0276064382139148,0.0297402597402597,0.0297402597402597,0.03,0.0303739285270612,0.0313204508856683,0.0340577499850942,0.0357142857142857,0.0360627177700348,0.0363783753719514,0.0376910016977929,0.0473684210526316,0.0493939393939394,0.05,0.05,0.0520322749761749,0.0541675233039206,0.0657142857142857,0.0727174634722216,0.0863292365481565
"Frizzled",-0.068453500522466,-0.114277597056693,-0.0248861283643892,0.173121916842847,0.00463768115942029,-0.0323830147820356,-0.019542297979798,-0.0333333333333333,0.127631578947368,0.127631578947368,0.127631578947368,0.127631578947368,0.175,0.14153886371558,0.025406162464986,0.0128543499511241,-0.0139137348439674,-0.0666666666666667,0.000104956744817639,-0.0938140806561859,-0.00300054555373705,0.0690476190476191,-0.00666666666666668,0.0710084033613445,-0.096969696969697,0.0857142857142857,0.023895790200138,-0.0339408793820559,-0.1,-0.0333333333333333,-0.00583333333333332,0.00337088228191542,-0.0590909090909091,-0.1,0.10140056022409,0.0254166666666667,0.0938140806561859,0.0938140806561859,-0.2,-0.0311546840958606,-0.0188095238095238,0.163924725334494,-0.05,-0.0257575757575758,0.102475497979021,-0.0274509803921569,-0.0333333333333333,-0.175,0,-0.1,0.132822273486904,-0.147729339906057,-0.0133333333333333,-0.0923496186478091,-0.107216841538875
"DSH",-0.0668293705920716,-0.114277597056693,-0.0280220168661314,0.178607148910358,-0.0248861283643892,-0.0362791186781395,-0.0158837613944321,0.0133333333333333,0.127631578947368,0.14153886371558,0.127631578947368,0.141357069143447,0.127631578947368,0.147729339906057,0.0324983610465463,0.0220568039388542,0.000104956744817639,-0.00666666666666668,0.0027464661787799,-0.102475497979021,0.00928015620064892,0.0710084033613445,0.00583333333333332,0.0773021096550508,-0.0896526237989653,0.0690476190476191,0.0340407177363699,-0.0362664607774047,-0.0666666666666667,-0.0333333333333333,0.0254166666666667,0.00494568543152172,-0.0257575757575758,-0.175,0.117905414593022,0.0357614942528736,0.102475497979021,0.102475497979021,-0.175,-0.0243877668026275,-0.0195088245088245,0.170560348151723,-0.0590909090909091,-0.0128543499511241,0.110038523189105,-0.0311546840958606,-0.0274509803921569,-0.127631578947368,-0.05,-0.2,0.12595204447927,-0.146393631980856,-0.00463768115942029,-0.0926130075854737,-0.113695051197297
"IKK",-0.0530952380952381,-0.107734335839599,-0.0132606060606061,-0.00833333333333334,-0.00606060606060607,0.0111399711399711,-0.0150836120401338,-0.1,0.0179487179487179,-0.0112820512820513,0.0179487179487179,-0.0112820512820513,0.0333333333333333,-0.0118470230334637,0.00996732026143791,0.123524904214559,0.0958333333333333,-0.1,0.0988036303630363,0.0416817906836056,0.0974200206398349,0.0216450216450216,-0.114285714285714,0.0105339105339105,-0.0239495798319328,0.0454545454545455,0.0231340118744699,0.0596407372696032,-0.2,0.05,-0.0523809523809524,0.0120250626566416,-0.14,0,0.0915750915750916,-0.0604890604890605,-0.0416817906836056,-0.0416817906836056,0,-0.00453968253968254,-0.0205828779599271,-0.231695765064016,-0.08,-0.151111111111111,-0.0487240442047323,0.00657142857142857,-0.0214285714285714,-0.0333333333333333,-0.1,0.1,0.138172007701066,0.000876558898442618,0.0333333333333333,-0.0736584897437771,-0.0148632652263937
