"","GLI","STAT","Wnt","Frizzled","DSH","LIV1","RAS","RAF","DELTA","Csl","ZEB2","EGR1","PAK1","cfos","NFB","miR200","HEY1","KLF4","ILK","TWIST1","FUS","SMO","Csn","RKIP","TrCP","SUFU","ZEB1","SNAI1","Patched","SHH","SMAD","MEK","cateninmemb","TGF","ERK","IKK","AKT","TGFR","FOXC2","CDC42","Jagged","GSK3","NOTCHic","NOTCH","PI3K","Ecadherin","SOSGRB2","SRC","cMet","CD44","TCFLEF","cateninnuc","SNAI2","AXIN2","Destcompl"
"HEY1",0.334250043241033,0.266666666666667,0.317008663930689,0.296078431372549,0.266666666666667,0.233333333333333,0.384117647058824,0.365,0.365,0.305454545454545,-0.294246646026832,-0.16,-0.263636363636364,-0.223636363636364,0.26,-0.16964183964184,0.0695951107715814,-0.22962962962963,0.044,0.400531590413943,0.233333333333333,0.233333333333333,0.2,-0.282529375386518,0.1,0.2,-0.167162022703818,0.341955152840304,-0.245833333333333,-0.253360215053763,-0.0425507246376812,0.298530238712167,0.0742978712795786,0.374823355506282,0.270695187165775,-0.302857142857143,-0.328783068783069,0.348969696969697,0.394537989289955,0.315636363636364,-0.32707010131298,-0.428236768674809,-0.342296650717703,-0.366007990923889,-0.365,-0.211447869425452,0.0479988564894225,-0.296078431372549,-0.317008663930689,-0.333530403061123,-0.345904985000923,-0.355494026096813,-0.289512343067594,-0.388359502075995,-0.485263574798783
"FOXC2",0.334250043241033,0.266666666666667,0.317008663930689,0.296078431372549,0.266666666666667,0.233333333333333,0.384117647058824,0.365,0.365,0.305454545454545,-0.294246646026832,-0.16,-0.263636363636364,-0.223636363636364,0.26,-0.16964183964184,0.0695951107715814,-0.22962962962963,0.044,0.400531590413943,0.233333333333333,0.233333333333333,0.2,-0.282529375386518,0.1,0.2,-0.167162022703818,0.341955152840304,-0.245833333333333,-0.253360215053763,-0.0425507246376812,0.298530238712167,0.0742978712795786,0.374823355506282,0.270695187165775,-0.302857142857143,-0.328783068783069,0.348969696969697,0.394537989289955,0.315636363636364,-0.32707010131298,-0.428236768674809,-0.342296650717703,-0.366007990923889,-0.365,-0.211447869425452,0.0479988564894225,-0.296078431372549,-0.317008663930689,-0.333530403061123,-0.345904985000923,-0.355494026096813,-0.289512343067594,-0.388359502075995,-0.485263574798783
"AKT",0.14079403930752,0.111111111111111,0.138000743218135,0.124154589371981,0.111111111111111,0.1,0.347344634899677,0.339874755381605,0.339874755381605,0.225,-0.264364465552893,-0.228571428571429,-0.342647058823529,-0.257983193277311,0.127450980392157,-0.0910955379856055,0.0568956444182801,-0.259486054880792,0.0375420568227291,0.24241810155089,-0.0333333333333333,-0.017948717948718,0.133333333333333,-0.225522048284197,0.1,-0.05,-0.0635548164189699,0.284585134333418,0.017948717948718,0.0147908232118758,-0.0392255585062308,0.282116830961478,0.135601888719266,0.389690018074874,0.269458603113376,-0.119758672699849,-0.23086978381096,0.379720229555237,0.383259490188887,0.362647058823529,-0.0885744161728826,-0.449967610048255,-0.225,-0.23719512195122,-0.339874755381605,0.127675965765053,0.266794871794872,-0.124154589371981,-0.138000743218135,-0.141955545478022,-0.144223586715135,-0.145762048253596,0.0761781762423665,-0.185866941722537,-0.485701070737523
"PI3K",0.138000743218135,0.1,0.124154589371981,0.111111111111111,0.1,0.1,0.339874755381605,0.330285714285714,0.330285714285714,0.225,-0.262309671032345,-0.2,-0.325,-0.228571428571429,0.133333333333333,-0.0926998160604718,0.0531362459220395,-0.244956140350877,0.0351420568227291,0.238442566382695,-0.05,-0.0333333333333333,0.1,-0.22365869424693,0,-0.1,-0.0601301588847234,0.275813204508857,0.017948717948718,0.017948717948718,-0.0375420568227291,0.269458603113376,0.13183022714944,0.379720229555237,0.257983193277311,-0.127450980392157,-0.119758672699849,0.362647058823529,0.374236933797909,0.342647058823529,-0.0852631578947368,-0.439886964886965,-0.225,-0.225,-0.330285714285714,0.127675965765053,0.253461538461538,-0.111111111111111,-0.124154589371981,-0.138000743218135,-0.141955545478022,-0.144223586715135,0.0748716435790499,-0.178285714285714,-0.476519929298317
"DSH",0.163221779940046,0.125,0.158646616541353,0.140789473684211,0.125,0.1,0.35990585964258,0.349541713984317,0.349541713984317,0.222619047619048,-0.256811968208649,-0.22,-0.353333333333333,-0.249411764705882,0.22,-0.0924742085489037,0.0602377465759325,-0.251257784667265,0.0403899561039313,0.246275999761607,-0.0409090909090909,-0.0170995670995671,0.22,-0.206383616383616,0.2,-0.05,-0.0643155277920047,0.270924775707384,0.0170995670995671,0.0115780947069291,-0.0422767485567615,0.274808590102708,0.122541241606942,0.405362823814574,0.260522875816993,-0.21375,-0.22639367816092,0.393167701863354,0.393556716641172,0.375072463768116,-0.102889635064738,-0.451811090341773,-0.224579831932773,-0.239265146618088,-0.349541713984317,0.0845781954829845,0.269179600886918,-0.140789473684211,-0.158646616541353,-0.164606881442016,-0.16889259572773,-0.171474964383117,0.00235802263629499,-0.209759234975602,-0.496957781914042
"Frizzled",0.158646616541353,0.1,0.140789473684211,0.125,0.2,0.1,0.349541713984317,0.337730690362269,0.337730690362269,0.214285714285714,-0.254449763484239,-0.2,-0.333333333333333,-0.22,0.22,-0.0930839646464647,0.0584833606110202,-0.236694677871148,0.039455376664679,0.240602240896359,-0.05,-0.0409090909090909,0.2,-0.204285714285714,0.1,-0.1,-0.0603785199179889,0.25904071773637,0.0170995670995671,0.0170995670995671,-0.0403899561039313,0.260522875816993,0.117476459510358,0.393167701863354,0.249411764705882,-0.22,-0.21375,0.375072463768116,0.382734205818661,0.353333333333333,-0.0990136660724896,-0.439514106583072,-0.222619047619048,-0.224579831932773,-0.337730690362269,0.0853683622959784,0.254545454545455,-0.125,-0.140789473684211,-0.158646616541353,-0.164606881442016,-0.16889259572773,0.00247443707168498,-0.199210711768851,-0.484934881150683
"Wnt",0.140789473684211,0.1,0.125,0.2,0.2,0,0.337730690362269,0.319548872180451,0.319548872180451,0.2,-0.239598278335725,-0.1,-0.3,-0.2,0.2,-0.0946464646464647,0.0435897435897436,-0.217647058823529,0.0324786324786325,0.224411764705882,-0.1,-0.05,0.1,-0.19,0.1,0,-0.055428024868484,0.252691511387164,0.0409090909090909,0.0170995670995671,-0.039455376664679,0.249411764705882,0.115254237288136,0.375072463768116,0.22,-0.22,-0.22,0.353333333333333,0.36412955465587,0.333333333333333,-0.0858823529411765,-0.419514106583072,-0.214285714285714,-0.222619047619048,-0.319548872180451,0.0795408564684725,0.245454545454545,-0.1,-0.125,-0.140789473684211,-0.158646616541353,-0.164606881442016,0.00405172413793103,-0.180606060606061,-0.469285013776678
"TGF",-0.129946091644205,-0.1,-0.124285714285714,-0.114285714285714,-0.1,0,-0.250595238095238,-0.239880952380952,-0.239880952380952,-0.186666666666667,-0.198360723944248,-0.233333333333333,-0.38,-0.233333333333333,-0.166666666666667,-0.0762344934758728,-0.109993552546744,-0.192906178489703,-0.0848484848484849,0.15962962962963,0.0466666666666667,0.0466666666666667,-0.166666666666667,-0.0718614718614719,-0.2,0.0666666666666667,-0.0794170538335298,0.169256198347107,-0.0570114942528736,-0.0538864942528736,0.081622678396872,0.216959064327485,0.0605243314773664,0.249444444444444,0.228070175438596,0.195238095238095,0.221553884711779,0.353015873015873,0.262468944099379,0.357777777777778,0.12333087874325,-0.0151181933960799,0.216666666666667,0.23735632183908,0.239880952380952,0.131821000187785,0.419736842105263,0.133333333333333,0.143333333333333,0.148993710691824,0.155572658060245,0.162749691553068,0.287718598154973,0.182539682539683,0.130267102603839
"TGFR",-0.137042865837753,-0.133333333333333,-0.129946091644205,-0.124285714285714,-0.114285714285714,-0.1,-0.25702798663325,-0.250595238095238,-0.250595238095238,-0.216666666666667,-0.190436195642361,-0.233333333333333,-0.357777777777778,-0.228070175438596,-0.195238095238095,-0.0689031151767525,-0.108501015233311,-0.20004903563256,-0.081622678396872,0.151444576248847,0.0466666666666667,0.0570114942528736,-0.166666666666667,-0.0632900432900433,-0.166666666666667,0.0466666666666667,-0.0775302613806996,0.162471537580146,-0.0538864942528736,-0.0499316919929866,0.080555062738509,0.210109749258992,0.059600543948498,0.242352245862884,0.216959064327485,0.221553884711779,0.230856210293175,0.249444444444444,0.255045363313353,0.353015873015873,0.125504791786728,-0.00607173862835374,0.23735632183908,0.245269990903829,0.250595238095238,0.13216171569034,0.418502274204029,0.143333333333333,0.148993710691824,0.155572658060245,0.162749691553068,0.168506998904707,0.292811190747565,0.190694188977451,0.140347747765129
"GLI",-0.0905414025596512,-0.1,0.0149905123339658,0.0232258064516129,0.02,-0.1,-0.208588495104431,-0.202449881243045,-0.202449881243045,-0.0738815207780725,-0.172136798088411,-0.305714285714286,-0.283333333333333,-0.289047619047619,-0.0868421052631579,-0.0205522856916046,-0.0437271698307352,-0.17773830973831,-0.0389507746488665,0.0747845109050542,0.139285714285714,0.123496240601504,-0.05,-0.0689111715824725,-0.0166666666666667,0.114285714285714,-0.0304259259259259,0.116238653819299,-0.123496240601504,-0.121438627432779,0.0438156395137313,0.283881514434001,0.0544326498373074,0.277437917001544,0.287748917748918,0.0807196562835661,0.0807196562835661,0.282379093472132,0.187366271069831,0.286781609195402,0.0465462429732706,0.0385779731141423,0.0688815207780725,0.0717386636352154,0.202449881243045,0.090695483605508,0.426219591617822,0.0967741935483871,0.104091266719119,0.110125749477739,0.114671204023194,0.115687342696236,0.274577711739976,0.136909722222222,0.141236925818093
