"","PAK1","TGF","TGFR","CDC42","GSK3","SOSGRB2","SUFU","Csn","ILK","EGR1","TWIST1","AKT","AXIN2","KLF4","IKK","NFB","RAF","LIV1","GLI","ZEB2","CD44","cMet","TCFLEF","STAT","SRC","SNAI2","cateninmemb","ERK","cfos","FOXC2","Ecadherin","cateninnuc","MEK","Destcompl","Frizzled","DSH","SNAI1","ZEB1","Wnt","RAS","PI3K","DELTA","RKIP","SMO","Patched","FUS","SHH","SMAD","Csl","NOTCHic","NOTCH","HEY1","Jagged","TrCP","miR200"
"AXIN2",0.25,0.228521136282753,0.226870971266251,0.233950617283951,-0.196589430655792,0.161130803122388,0.15,0.233333333333333,-0.056682769726248,0.206666666666667,0.19420945743461,0.203478260869565,0.604757645833652,0.0874578855331237,0.210144927536232,0.228985507246377,-0.237013088224161,0.233333333333333,0.246006667574506,-0.0944418578193451,0.245726922321247,0.234685912857525,0.250064554208703,0.226666666666667,0.224341085271318,-0.126430901632087,0.240047100914544,0.179313122103184,0.189593495934959,-0.0338994650938445,0.0125175351996315,-0.250107788104077,-0.177933811758356,0.199935955760486,-0.224341085271318,-0.226666666666667,-0.141378733000522,0.0944418578193451,-0.234685912857525,0.242262432056182,0.237013088224161,0.237013088224161,-0.174593623222655,-0.138644688644689,-0.127930402930403,-0.157692307692308,-0.131536960307452,0.052714515757994,-0.228070175438596,-0.215570175438596,-0.215570175438596,0.0376744173904417,-0.211740427609993,-0.2,-0.127143060029733
"miR200",0.0458333333333333,0.0329179721400938,0.0334993674889311,0.0399509803921569,0.14219618684754,0.0790909090909091,0.02,0.02,-0.00635857096034087,0.0142857142857143,0.125771447366539,0.0186324301319336,0.271609595520073,0.081383712905452,0.022406015037594,0.0252631578947368,-0.110979716800612,0.2,0.235917659804984,-0.0856944444444444,0.236438346738958,0.228573178199633,0.242390727691339,0.22,0.224347826086957,-0.126327232504881,0.272859102472105,-0.0184415584415584,0.00428571428571428,0.0621429518990494,0.251405730967204,-0.244814970115582,0.0245640074211503,-0.211594974925549,-0.224,-0.22,0.061056536056536,0.0856944444444444,-0.228225352112676,0.115717871414079,0.110979716800612,0.110979716800612,0.0533286213753263,-0.0391666666666667,-0.0379008438818565,-0.0325,-0.0379008438818565,0.00479117284121861,-0.0732019704433498,-0.0732019704433498,-0.0726369986919373,0.00169491525423729,-0.0685723167905379,0,0.0197952494341065
"cMet",0.153333333333333,0.158888888888889,0.158888888888889,0.153333333333333,0.0640168970814132,0.327619047619048,0.1,0,0.102040816326531,-0.125,0.110453142363255,-0.0120833333333333,-0.131587301587302,-0.019047619047619,0.00666666666666667,0,0.12,0.1,-0.102121212121212,-0.081962481962482,-0.104341085271318,-0.106666666666667,-0.105879546809779,0,0,0.0576347901895347,-0.151344882875132,-0.155,-0.165,-0.0971308016877637,-0.12380673428689,0.108139433815429,0.167727272727273,0.159540278027673,0.1,0.1,-0.155947972138873,0.081962481962482,0.106666666666667,-0.12188679245283,-0.12,-0.12,0.00740740740740741,-0.1,-0.0909090909090909,-0.1,-0.0909090909090909,-0.105677179962894,0.0142857142857143,0.00902255639097744,0.023916173412254,-0.103887168902649,-0.0807753116448769,-0.1,-0.118839619016249
"CD44",0.133333333333333,0.158888888888889,0.153333333333333,0.153333333333333,0.055952380952381,0.314285714285714,0.1,0.1,0.1,-0.1,0.104835164835165,0.00666666666666667,-0.13,-0.019047619047619,0,0,0.128571428571429,0.1,-0.106666666666667,-0.080952380952381,-0.106666666666667,0,-0.104341085271318,0.1,0,0.0561749361749362,-0.150989010989011,-0.165,-0.125,-0.0933333333333333,-0.122534469655846,0.105879546809779,0.155,0.160891629379024,0.1,0,-0.154253056884636,0.080952380952381,0.1,-0.12,-0.128571428571429,-0.128571428571429,0.0037037037037037,-0.1,-0.1,-0.1,-0.0909090909090909,-0.102040816326531,0,0.0142857142857143,0.00902255639097744,-0.105847953216374,-0.0786013986013986,0,-0.117277119016249
"cateninnuc",0.0411428571428571,0.0333726727019906,0.02922420108627,0.0303736263736264,-0.166846257430336,-0.175164671671062,-0.0666666666666667,0.0458333333333333,0.000131313131313129,0.0449275362318841,-0.0369250478810921,0.0106818181818182,-0.298054017729318,0.0898827447759832,0.0106818181818182,0.0306818181818182,-0.00654440154440154,-0.0939393939393939,-0.132195494598711,-0.0570756071591095,-0.130971564667217,-0.132558866254518,-0.133585455630622,-0.124708624708625,-0.135819735819736,0.0177323285061154,-0.172827274928801,0.0420744118597723,0.0433402346445825,-0.17667083190034,-0.135673866551207,0.0365404404414481,-0.0475789990157356,0.151501669985572,0.137037391831912,0.124708624708625,-0.195286296298687,0.0570756071591095,0.133776522266695,0.0062077012077012,0.00654440154440154,0.00654440154440154,-0.203849734219461,0.111256830601093,0.120573600787428,0.0866666666666667,0.11643416723623,-0.00217769785164055,0.159070935342122,0.175350005109564,0.173986368745927,0.0217855686136576,0.109586233111171,-0.0333333333333333,-0.116744093262802
"IKK",-0.3,-0.251470707070707,-0.257070707070707,-0.288888888888889,-0.129157509157509,-0.245168067226891,0.1,0.1,0.155555555555556,-0.05,-0.263366013071895,0.0606821106821107,-0.198571428571429,0.0604395604395604,0.030952380952381,0.114285714285714,0.0401693889897157,-0.1,-0.163504273504273,-0.0521453634085213,-0.163504273504273,-0.146581196581197,-0.176498623786759,-0.15,-0.138888888888889,0.0114625302175665,-0.258916018804287,0.0334285714285714,0.0214285714285714,-0.232092352092352,-0.236888790119712,0.18071803306946,-0.0712063492063492,0.239046193395436,0.138888888888889,0.15,-0.0973847893695222,0.0521453634085213,0.146581196581197,-0.0528454453277438,-0.0401693889897157,-0.0401693889897157,-0.0725865209471767,-0.08,-0.0985185185185185,-0.08,-0.0950702426564496,-0.148624862486249,0.109090909090909,0.0948051948051948,0.0805194805194805,-0.149122807017544,0.0117947516401125,0,0.027736900780379
"NFB",-0.288888888888889,-0.258432732387163,-0.251470707070707,-0.257070707070707,-0.134255548373195,-0.235694383016364,0.08,0.114285714285714,0.148624862486249,0.0214285714285714,-0.271302521008403,0.054015444015444,-0.212046605876393,0.0565934065934066,0.0606821106821107,0.030952380952381,0.0528454453277438,-0.15,-0.175863824066071,-0.050995938121165,-0.176498623786759,-0.163504273504273,-0.18071803306946,-0.138888888888889,-0.146581196581197,0.0106495220874852,-0.26155593432699,0.0712063492063492,0.0334285714285714,-0.23567800946287,-0.23849392655631,0.180953327187107,-0.0731671335200747,0.241205661833974,0.146581196581197,0.138888888888889,-0.102042323616098,0.050995938121165,0.163504273504273,-0.0548354950789876,-0.0528454453277438,-0.0528454453277438,-0.073868572229228,-0.0985185185185185,-0.0950702426564496,-0.08,-0.0842268691624737,-0.142305159884018,0.0948051948051948,0.0805194805194805,0.0914872224549644,-0.141979949874687,0.0225861185465873,-0.1,0.0280390155840044
"Destcompl",0.157755102040816,0.165385384643876,0.162528241786733,0.155686136523575,-0.114074280404346,0.115826124283666,0.122222222222222,0.171428571428571,-0.0445238095238095,0.129230769230769,0.139805303540806,0.158994193660082,0.250064554208703,0.0436279491818168,0.146242515807733,0.145341614906832,-0.169314871856311,0.166666666666667,0.196912660234433,-0.0478343465045593,0.196290806242759,0.195917671914401,0.193825052818101,0.166666666666667,0.184474885844749,-0.0803171251864032,0.208720390480154,0.126995299782185,0.123170163170163,0.00709861050627543,0.024097069519023,-0.193621075255633,-0.132480531849696,0.0240851408227351,-0.184474885844749,-0.166666666666667,-0.0819762492754334,0.0478343465045593,-0.196356073963561,0.166332140302151,0.169314871856311,0.169314871856311,-0.117818601549274,-0.0854734537493158,-0.0973905521949117,-0.0911877394636015,-0.106094614090463,0.0437050960735171,-0.153349001175088,-0.160957696827262,-0.173182145725058,0.0285697208774132,-0.179737734919572,-0.2,-0.0838334452680802
"ZEB2",-0.168831168831169,-0.166316223459081,-0.163141620284477,-0.15974025974026,-0.146959791635377,-0.107179487179487,-0.1,-0.0888888888888889,-0.0727565392354125,-0.0666666666666667,-0.0629770025578353,-0.0582840083073728,-0.0550499873294586,-0.0543520494504826,-0.0536111111111111,-0.0513888888888889,-0.0504329004329004,-0.05,-0.0469547272299566,-0.0458070718160774,-0.0361890838206628,-0.0352631578947368,-0.0326679570600994,-0.03,-0.03,-0.0270617531994875,-0.0265259619764875,-0.022524052065648,-0.0192982456140351,-0.0162968142968143,-0.0108504217107737,0.030330294722437,0.0347191740168675,0.0385512187855561,0.0409090909090909,0.0409090909090909,0.0416577190319698,0.0458070718160774,0.046037296037296,0.048933971096712,0.0504329004329004,0.0504329004329004,0.0636070853462158,0.0685714285714286,0.0685714285714286,0.0714285714285714,0.0749350649350649,0.0770248319183393,0.0794871794871795,0.0808205128205128,0.085738545607398,0.0863343108504399,0.0925375613678686,0.1,0.116747795174392
"SOSGRB2",0.121428571428571,0.149710077156886,0.147582417582418,0.151428571428571,0.0552973471907553,0.421111111111111,0.2,0,0.233548387096774,-0.380952380952381,0.160666666666667,-0.000511695906432748,0.112101210121012,0.043421052631579,-0.00467836257309942,0.0111111111111111,0.185310734463277,0,0.0871635610766046,-0.043421052631579,0.082815734989648,0.0813664596273292,0.0891315244633323,0.1,0.0857142857142857,0.109130468305395,0.107131274131274,-0.404976404976405,-0.36984126984127,-0.0193040293040293,0.069876887592597,-0.0927644116526248,0.417097617097617,0.0894797223656284,-0.0857142857142857,-0.1,-0.15311158493248,0.043421052631579,-0.0857142857142857,-0.187874837027379,-0.185310734463277,-0.185310734463277,0.102923976608187,-0.25,-0.252702702702703,-0.233333333333333,-0.248051539912005,-0.228653282201669,-0.0272727272727273,-0.0118881118881119,-0.0132965625923372,-0.139299242424242,-0.243714363175776,0.1,-0.0519223492015439
