"","ZEB1","AXIN2","Ecadherin","LIV1","cateninmemb","CDC42","cMet","TCFLEF","CD44","TWIST1","Wnt","STAT","SRC","GLI","Frizzled","DSH","ERK","NFB","Csn","Patched","SNAI2","FUS","ZEB2","TrCP","SUFU","RKIP","SHH","SMO","SMAD","SNAI1","ILK","AKT","HEY1","IKK","Jagged","MEK","cfos","NOTCH","NOTCHic","Csl","EGR1","miR200","SOSGRB2","Destcompl","TGFR","cateninnuc","RAF","PI3K","DELTA","RAS","TGF","KLF4","PAK1","FOXC2","GSK3"
"miR200",0.0286111111111111,-0.0662810212687242,-0.023859258177371,0,-0.0255820797184835,0.0306372549019608,-0.0144519289650949,-0.0146525710196696,-0.011081142448241,-0.0218201839060735,-0.0214084507042254,0,-0.0130434782608696,-0.0159139452097199,-0.02,0,0.0435064935064935,0.00631578947368421,-0.02,0.0421940928270042,0.131699171089049,0.02,-0.0900851254480287,0,0.02,-0.00598418666892841,-0.0378462667400477,-0.0333333333333333,-0.0322191735862776,-0.0264222814222814,-0.0300248162195065,-0.0130004255922826,-0.0332485875706215,-0.0148872180451128,-0.043761320226964,-0.0469078540507112,-0.0571428571428571,-0.0298321783418218,-0.0315270935960591,-0.0315270935960591,-0.0571428571428571,-0.0737835494017697,0.00302385557704707,0.0675434147857015,-0.0225727387729285,0.014046510413609,0.0588365862992729,0.0588365862992729,0.0588365862992729,0.0565921972718414,-0.0190843666799053,-0.0873188405797101,-0.0208333333333333,-0.10538567123933,-0.0401145374566211
"TWIST1",0.0832920639938184,-0.189094722481819,-0.402062970796297,-0.133333333333333,-0.197137291425342,-0.00344827586206897,-0.139716312056738,-0.140883615266514,-0.14011791848244,-0.115937851876067,-0.140701754385965,-0.133333333333333,-0.133333333333333,-0.141501754385965,-0.133333333333333,-0.133333333333333,-0.0623188405797102,0.0269230769230769,0.05,0.206331811263318,0.385258545479377,0.222222222222222,-0.057873663136821,-0.1,0.233333333333333,-0.0873594090985395,-0.212735752150018,-0.202222222222222,-0.0325655538526826,-0.0612167788983867,-0.0348757848757849,-0.020789097907742,-0.0363568634755076,-0.0173992673992674,0.0507435002586385,0.0628163530175211,0.0623188405797102,0.0571827124657313,0.0562393162393162,0.0511111111111111,0.0666666666666667,-0.070225343255424,0.0622582096266307,0.136064412266558,0.000948275862068965,0.140596093702397,0.0668970917105009,0.0668970917105009,0.0668970917105009,0.0682669547241996,0.00664303668211452,-0.0656139253700229,0,-0.0737956810631229,0.126553965053483
"ERK",0.0601182621182395,-0.154272552886323,-0.168426247572071,-0.133333333333333,-0.103693610400776,-0.0553627058299955,-0.11163660900503,-0.119259318692214,-0.116471214602994,0.0639141431574327,-0.116899766899767,-0.128070175438597,-0.116531713900135,-0.12116041852884,-0.121794871794872,-0.133333333333333,0.0167632673025189,0.0645021645021645,0.0857142857142857,0.0817023465123754,0.351006132153758,0.0826666666666667,-0.0305882768958041,-0.0857142857142857,0.0866666666666667,-0.0616414869715662,-0.0836347136621339,-0.0875846994535519,-0.0622787813129442,-0.190166777415398,-0.0607590244740384,-0.0577023803683275,-0.0697914512765091,-0.058619811560988,-0.0411654817981284,-0.0131420973860844,-0.128429933969186,-0.0481522645958418,-0.0467672230445953,-0.046037296037296,-0.160344827586207,-0.0230994660398512,-0.00474341192787795,-0.105831342903703,0.0524429978007985,0.120231540914436,-0.0594982794982795,-0.0594982794982795,-0.0594982794982795,-0.0609284225125809,0.052992448350249,-0.0322634101854014,0.0619047619047619,-0.121445025927785,-0.0207382132711137
"NOTCH",0.144524959742351,0.0862803234501348,0.0735432937181664,0,0.0674033060811322,0.0777777777777778,0.0630769230769231,0.0473593073593074,0.0418648018648019,0.0933050847457627,0.0630769230769231,0.1,0.04,0.0418648018648019,0.04,0.1,0.106666666666667,-0.1,0,-0.0461538461538462,0.114103761162585,-0.1,-0.0284219001610306,0,0,-0.00539345711759506,0.0520361990950226,0.1,0.00857142857142858,-0.0308974358974359,0.0119047619047619,0.0444444444444445,0.11231884057971,0.0666666666666667,0.00686868686868687,-0.0995238095238095,-0.14,-0.00258064516129032,0.12,0.12,-0.2,-0.0214718614718615,-0.0652631578947368,-0.0745407570454299,-0.0337777777777778,-0.0469511440940012,-0.0424242424242424,-0.0424242424242424,-0.0424242424242424,-0.0264822134387352,-0.0370035842293907,-0.0210144927536232,0,-0.188163265306122,-0.00498084291187739
"PAK1",0.143864723392218,0.0747897883942126,0.0522662127195619,0.05,0.0616997119295474,0.0305322128851541,0.0541841841841842,0.0541841841841842,0.0541841841841842,0.0806201769245248,0.0541130604288499,0.07,0.0514814814814815,0.0555764750629962,0.0514814814814815,0.07,0.0909064112011791,-0.05,-0.075,-0.0327672526597258,0.158643753302351,-0.0357142857142857,-0.0268806841500566,0.1,-0.0857142857142857,-0.00927082125977154,0.0417672526597258,0.0389400921658986,0.0267434715821813,-0.0365131224374148,0.0248079877112135,0.0521442495126706,0.0275318223241321,0.0447368421052632,0.0283454754601227,-0.0909064112011791,-0.0756521739130435,0.0348351648351648,0.0315384615384615,0.0269230769230769,-0.08,-0.0161285464808905,-0.0172717271727173,-0.0766068178745619,-0.0305322128851541,-0.0533565979772876,0.00527392528827249,0.00527392528827249,0.00527392528827249,0.0061830161973634,-0.0267070762731322,-0.0205105386416862,-0.0285714285714286,-0.167588232938255,0.0232619047619048
"Csl",0.142302737520129,0.0860232540413944,0.0724515525592932,0.04,0.066176962965588,0.0370035842293907,0.0473593073593074,0.0480198463840776,0.0469511440940012,0.0930949679037621,0.0472411459508234,0.0630769230769231,0.0418648018648019,0.0480475975637266,0.0418648018648019,0.0630769230769231,0.113809523809524,-0.0444444444444445,-0.0666666666666667,-0.0423587797401839,0.112784792128319,-0.0461538461538462,-0.0263511000791808,0.1,-0.1,-0.00434198700660655,0.0518415383608736,0.0520361990950226,0.0230238666209889,-0.031183944879597,0.0208016443987667,0.0444444444444445,0.12189149015236,0.0374677002583979,0.00692042527928289,-0.110548654244306,-0.0995238095238095,0.00450069455162834,0.00268251273344652,-0.00258064516129032,-0.106666666666667,-0.0157670747402131,-0.036844828256895,-0.0759673262105731,-0.0363666415542315,-0.0467048092199838,-0.030915710975681,-0.030915710975681,-0.030915710975681,-0.0294451227403869,-0.0338723104884718,-0.0188716356107661,-0.0337777777777778,-0.183435790333931,-0.00996386363997778
"Jagged",0.129710144927536,0.0957142857142857,0.0727368421052632,0,0.0710682275471008,0,0.04,0.0418648018648019,0.0630769230769231,0.095,0.04,0,0.1,0.0630769230769231,0.1,0,0.14,0,0,-0.1,0.113574660633484,0,-0.0210144927536232,0,0,0.0256410256410256,0.0461538461538462,0.1,0.0119047619047619,-0.0416666666666667,0.0166666666666667,0.0666666666666667,0.116666666666667,0.1,-0.00424242424242424,-0.106666666666667,-0.2,0.12,0.12,0.1,-0.1,-0.0157575757575758,-0.06,-0.0736061776061776,-0.0777777777777778,-0.0473593073593074,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0424242424242424,-0.0337777777777778,-0.0166666666666667,0,-0.165714285714286,-0.00498084291187739
"DELTA",0.129710144927536,0.0957142857142857,0.0727368421052632,0,0.0710682275471008,0,0.04,0.0418648018648019,0.0630769230769231,0.095,0.04,0,0.1,0.0630769230769231,0.1,0,0.14,0,0,-0.1,0.113574660633484,0,-0.0210144927536232,0,0,0.0256410256410256,0.0461538461538462,0.1,0.0119047619047619,-0.0416666666666667,0.0166666666666667,0.0666666666666667,0.116666666666667,0.1,-0.00424242424242424,-0.106666666666667,-0.2,0.12,0.12,0.1,-0.1,-0.0157575757575758,-0.06,-0.0736061776061776,-0.0777777777777778,-0.0473593073593074,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0424242424242424,-0.0337777777777778,-0.0166666666666667,0,-0.165714285714286,-0.00498084291187739
"NOTCHic",0.142302737520129,0.0862803234501348,0.0709399246523165,0.1,0.0680118253509091,0.0337777777777778,0.0418648018648019,0.0469511440940012,0.0473593073593074,0.0901604306577124,0.0418648018648019,0.04,0.0630769230769231,0.0472411459508234,0.0630769230769231,0.04,0.0995238095238095,-0.0666666666666667,-0.1,-0.0520361990950226,0.113903360360982,-0.1,-0.0202737520128825,0,-0.1,0.0016487964035317,0.0423587797401839,0.0461538461538462,0.0208016443987667,-0.0367175417175417,0.00857142857142858,0.0374677002583979,0.110780379041249,0.0444444444444445,0.00223292527928289,-0.113809523809524,-0.106666666666667,0.00268251273344652,-0.00258064516129032,0.12,-0.14,-0.0151134799689713,-0.0425358851674641,-0.0755407570454299,-0.0370035842293907,-0.0480198463840776,-0.0264822134387352,-0.0264822134387352,-0.0264822134387352,-0.030915710975681,-0.0363666415542315,-0.0245859213250518,-0.0777777777777778,-0.181711652402897,-0.0074601817548526
"NFB",0.0344401809120502,-0.202360688956434,-0.29351265149785,-0.15,-0.151247325723738,-0.0111111111111111,-0.156495726495726,-0.161294410612154,-0.160450528755613,-0.0127077497665733,-0.156495726495726,-0.161111111111111,-0.161111111111111,-0.160990108518198,-0.161111111111111,-0.161111111111111,0.00263492063492063,-0.00238095238095238,0.114285714285714,0.12250319284802,0.377451216964493,0.14,-0.0178687523406217,-0.1,0.12,-0.0955093176404652,-0.121298373570912,-0.136296296296296,-0.0704551960772285,-0.0880857936258961,-0.0648789878987899,0.0324109824109824,-0.0606811145510836,0.0212998712998713,0.0435250337686739,0.000633053221288519,-0.00485714285714285,0.139003863519993,0.134487734487734,0.123376623376623,0.00714285714285715,-0.0224046586978414,0.0146992481203008,-0.0550949823951225,0.0135111111111111,0.162157155710193,0.126947163927302,0.126947163927302,0.126947163927302,0.126449651489492,0.00971364275668073,-0.0241758241758242,0.0111111111111111,-0.1213331953571,0.0390885585003232
