"","AXIN2","cateninnuc","GLI","TCFLEF","CD44","TGFR","CDC42","PAK1","Destcompl","RAS","RAF","DELTA","LIV1","SNAI2","IKK","GSK3","MEK","SMAD","ERK","cfos","Jagged","SMO","Patched","TrCP","SUFU","FUS","SHH","FOXC2","SNAI1","Csl","NOTCH","EGR1","TWIST1","RKIP","NOTCHic","HEY1","NFB","Csn","ILK","AKT","cateninmemb","PI3K","STAT","DSH","SRC","Frizzled","cMet","Wnt","TGF","Ecadherin","ZEB2","SOSGRB2","KLF4","miR200","ZEB1"
"AXIN2",0.0528303137969585,-0.397860653571447,-0.379349886267924,-0.39038118967175,-0.379712959894493,-0.28063599366328,-0.264706790123457,-0.24125,-0.666423145920718,0.27883882988745,0.27148974852262,0.27148974852262,-0.266666666666667,-0.390100905249721,0.252657004830918,-0.642574077333803,0.0125904383117308,0.184219001610306,0.00914216244966188,-0.00113821138211382,-0.375573809269461,0.282417582417582,0.300274725274725,-0.133333333333333,0.2,0.253846153846154,0.313061610520627,-0.257338001576877,0.395651444235803,-0.262105263157895,-0.305782869335501,0.0133333333333333,-0.00664793749310315,0.370234648863681,-0.288890977443609,-0.161548552319343,-0.228019323671498,-0.188888888888889,-0.179457096848401,-0.267101449275362,-0.325560790206728,-0.27148974852262,0.313333333333333,0.313333333333333,0.343565891472868,0.343565891472868,0.364255546645282,0.364255546645282,0.291857115775491,-0.0391313760732594,-0.157230057010464,0.245551730488617,-0.148461421577338,0.29012737317935,0.381551590488053
"STAT",-0.276461185872951,-0.231845652736764,-0.230987394957983,-0.230296189089564,-0.229349816849817,0.143540669856459,0.140909090909091,0.140909090909091,-0.254016708528884,-0.0744435391281804,-0.073697270471464,-0.073697270471464,-0.3,-0.282454806350106,-0.0666666666666667,-0.188133066310636,-0.038191018342821,-0.0222305513909712,-0.0564705882352941,-0.08,-0.0605099663323198,0.00833333333333333,0.00600775193798449,0.1,-0.05,-0.025,0.0122024422034712,-0.101850034083163,-0.0146002042111784,-0.00588235294117647,-0.0272940559062775,0.1,-0.219964368465118,-0.035990990990991,-0.0302066772655008,0.0166666666666667,0.1,0.1,0.0176328502415459,0.0717514124293785,0.0525053362922147,0.073697270471464,0.214285714285714,0.214285714285714,0.226785714285714,0.226785714285714,0.226785714285714,0.226785714285714,-0.141125210919261,0.202609098953282,-0.0949255872332796,0.00476190476190476,0.0234600911071499,-0.199165691903616,-0.207405415097723
"Jagged",-0.162857142857143,-0.125760905760906,-0.127692307692308,-0.124662004662005,-0.127692307692308,0.0888888888888889,0.1,0.2,-0.154857142857143,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,0,-0.257541478129713,-0.0666666666666667,-0.0616858237547893,-0.1,-0.030952380952381,-0.1,0,0.0070995670995671,-0.0666666666666667,-0.0416666666666667,0,0,-0.1,-0.00320512820512821,-0.0957142857142857,-0.05,0.2,0.14,-0.1,-0.129,-0.041025641025641,0.14,-0.0833333333333333,0.1,0,0.0166666666666667,0.0777777777777778,0.0347045911834644,0.0133333333333333,0,0,0.1,0.1,0.12,0.12,-0.0928888888888889,0.0711929824561404,-0.0884057971014493,-0.1,-0.0666666666666667,-0.198787878787879,-0.210628019323672
"NOTCHic",-0.171295297993411,-0.126421444785676,-0.127887811113618,-0.1253527424956,-0.125760905760906,0.0993405017921147,0.0928888888888889,0.0888888888888889,-0.156125055629729,-0.0104633397586921,-0.00898550724637681,-0.00898550724637681,-0.1,-0.267024995428862,-0.0444444444444445,-0.0678841708622273,-0.0485714285714286,-0.0293216855087359,-0.0714285714285714,-0.1,0.0111957162288288,-0.00320512820512821,-0.00908748114630468,0.1,-0.0666666666666667,-0.0416666666666667,-0.00586167469469178,-0.0944305464121132,-0.0407203907203907,0.14,0.0226825127334465,0.1,-0.128808122801407,-0.065017870263135,0.0174193548387097,-0.0805239687848383,0.0777777777777778,0.0666666666666667,0.0242857142857143,0.051421188630491,0.0340822660663802,0.00898550724637681,0.12,0.12,0.127692307692308,0.127692307692308,0.124662004662005,0.124662004662005,-0.097429673766637,0.0763787256760188,-0.0876650563607085,-0.0631578947368421,-0.0705486542443064,-0.211273427920827,-0.217294685990338
"cfos",-0.118456486042693,-0.0828455187861128,-0.0888888888888889,-0.0832158891564832,-0.0861861861861862,0.100280112044818,0.0904761904761905,0.0857142857142857,-0.10558195280733,0.0203823263722833,0.0228213507625272,0.0228213507625272,-0.1,-0.212549688754068,-0.0291666666666667,0.00727813852813853,-0.024141488577745,-0.0316094896740058,-0.0495652173913044,-0.08,0.0387152777777778,-0.0190476190476191,-0.0287250384024578,0.1,-0.0666666666666667,-0.0523809523809524,-0.0274904705012232,-0.0632110405137665,-0.0516883116883117,0.05,0.0376923076923077,0,-0.0779220779220779,-0.0742191142191142,0.0269230769230769,0.0175662168915542,0.0666666666666667,0.0666666666666667,0.0235449735449736,0.0396929824561404,0.0503435493485688,-0.0228213507625272,0.1,0.1,0.1,0.1,0.0888888888888889,0.0888888888888889,-0.100280112044818,0.0528247379582515,-0.0873630808255506,-0.0680555555555556,-0.0704761904761905,-0.214455479161361,-0.224908720550367
"Csl",-0.172066506219632,-0.127279077718781,-0.127081359500714,-0.126421444785676,-0.1253527424956,0.097429673766637,0.0993405017921147,0.0928888888888889,-0.156673501699198,-0.00936039858222149,-0.0104633397586921,-0.0104633397586921,-0.12,-0.267696136368459,-0.051421188630491,-0.066558692217161,-0.0496583850931677,-0.0276550188420692,-0.0485714285714286,-0.0714285714285714,0.0132790495621621,-0.00908748114630468,-0.00586167469469178,0.0666666666666667,-0.0416666666666667,-0.00320512820512821,-0.00758581262572626,-0.0944305464121132,-0.0383488492184144,0.0174193548387097,0.0190461490970829,0.1,-0.12767945462985,-0.0599487458391718,0.0226825127334465,-0.0759488053861455,0.0444444444444445,0.0777777777777778,0.0293216855087359,0.0459948320413437,0.0333177400724964,0.0104633397586921,0.127692307692308,0.127692307692308,0.124662004662005,0.124662004662005,0.125760905760906,0.127887811113618,-0.0953888574401064,0.0777740745132281,-0.084902625421482,-0.073727000427899,-0.0834057971014493,-0.216720051014509,-0.212874796487576
"SMAD",-0.179965739058541,-0.138475756063562,-0.116208791208791,-0.136955999224656,-0.134649350649351,0.0847653893566239,0.0875586854460094,0.0833333333333333,-0.187741662442378,0.10804557567997,0.105742944101023,0.105742944101023,-0.12,-0.270423989759331,0.0797852474323062,-0.221728093682981,-0.0347902566300916,-0.00984732162814356,-0.0357517950916301,-0.0566820276497696,-0.100691942466136,0.0958333333333333,0.100420489296636,-0.05,0.0583333333333333,0.0958333333333333,0.0985617532371565,-0.110623970052693,0.0110847808105873,-0.0980952380952381,-0.100914066776136,0.0857142857142857,-0.113596354757354,-0.0105556382503668,-0.0969458128078818,-0.0573552082596705,-0.0817460317460317,-0.0388888888888889,-0.0882479164670946,-0.0864519140989729,0.0230802398918751,-0.105742944101023,0.134285714285714,0.114285714285714,0.134285714285714,0.114285714285714,0.134285714285714,0.116208791208791,-0.08197654473511,0.067783921538821,-0.0829548643122818,-0.0692398698609879,-0.0828184159272619,-0.172933667654434,-0.155732582221002
"NOTCH",-0.168517520215633,-0.1253527424956,-0.124662004662005,-0.125760905760906,-0.124662004662005,0.0928888888888889,0.0888888888888889,0.1,-0.155791722296395,-0.00898550724637681,-0.0133333333333333,-0.0133333333333333,0,-0.26441978500802,-0.0777777777777778,-0.0662312783002438,-0.0714285714285714,-0.0242857142857143,-0.1,-0.1,0.0145069745069745,-0.0416666666666667,-0.00320512820512821,0,-0.1,-0.0666666666666667,-0.00908748114630468,-0.0895918367346939,-0.0423076923076923,0.14,0.0174193548387097,0,-0.130694915254237,-0.0720601237842617,0.14,-0.0789855072463768,0.0666666666666667,0.1,0.030952380952381,0.0444444444444445,0.0310396697174958,0.0133333333333333,0.1,0.1,0.12,0.12,0.127692307692308,0.127692307692308,-0.0993405017921147,0.0768381437464629,-0.0735909822866345,-0.0631578947368421,-0.0884057971014493,-0.218787878787879,-0.210628019323672
"CD44",0.11,0.0684078711985689,0.08,0.0730232558139535,0.08,-0.153333333333333,-0.153333333333333,-0.133333333333333,-0.131059696605915,0.0247619047619048,0.0333333333333333,0.0333333333333333,0.1,-0.157096237096237,0.133333333333333,-0.144047619047619,-0.11,0.121655328798186,-0.14,-0.1,-0.112074592074592,0.15,0.11,0,0.1,0.1,0.119090909090909,-0.0791666666666667,0.133466241360978,-0.1,-0.109022556390977,0.1,0.122783882783883,0.0511111111111111,-0.114285714285714,-0.105263157894737,-0.1,-0.1,-0.127777777777778,-0.126666666666667,-0.0566483516483517,-0.0333333333333333,-0.1,0,-0.2,-0.1,-0.2,-0.1,0.158888888888889,-0.0714390402779286,-0.0682539682539683,0.0166666666666667,-0.158730158730159,0.145349143610013,0.163492063492063
"RAS",-0.0396837944664032,-0.0186986102425373,-0.016421568627451,-0.0172821796476365,-0.0142052565707134,-0.114117647058824,-0.12,-0.14,-0.158119614514963,0.236666666666667,0.332820512820513,0.332820512820513,0,0.234304005874478,0.22,-0.192790697674419,0.084514963880289,0.00890538033395176,0.0707894736842105,0.055,0.0169879755568697,0.0333333333333333,0.0213333333333333,-0.1,-0.1,0,0.00607909604519774,-0.0888888888888889,0.120845624385447,-0.2,-0.199602780536246,0.02,0.0213311511183852,0.175088050314465,-0.205263157894737,-0.0138339920948617,-0.2,-0.1,-0.012987012987013,-0.225555555555556,-0.102003922374227,-0.332820512820513,0.1,0.1,0.05,0.05,0.0205882352941176,0.0205882352941176,0.119068142108328,-0.143090634584971,-0.0617452135493373,-0.0038961038961039,-0.0607142857142857,0.151692307692308,0.173564064801178
