"","SMO","IKK","TrCP","Csl","AKT","NOTCHic","NOTCH","Jagged","cfos","EGR1","SOSGRB2","CDC42","TGFR","TGF","PAK1","STAT","AXIN2","GSK3","cateninmemb","cMet","TCFLEF","cateninnuc","CD44","Ecadherin","miR200","RAS","RAF","PI3K","DELTA","GLI","Frizzled","Wnt","SRC","Destcompl","LIV1","DSH","SNAI2","ZEB2","ZEB1","TWIST1","ERK","HEY1","MEK","SNAI1","Csn","SHH","Patched","SUFU","FUS","NFB","ILK","SMAD","RKIP","KLF4","FOXC2"
"miR200",0.160833333333333,0.164210526315789,0.1,0.145615763546798,0.175531281032771,0.145615763546798,0.15296039631516,0.157647998081995,0.164285714285714,0.114285714285714,0.145580270793037,0.033578431372549,0.0303526249209361,0.035585183060471,0.0708333333333333,0.06,0.0968700627677509,0.0825315294470339,0.128756339455413,0.0601224739742805,0.0590657591535207,0.0602778803656419,0.0578752829630445,0.122300945999835,-0.0535057471264368,0.053418148085584,0.0531687715269805,0.0531687715269805,0.0531687715269805,-0.0495768456895217,-0.056,-0.0517746478873239,-0.0643478260869565,-0.0424296158942759,-0.1,-0.06,0.0220900706078746,-0.176774193548387,-0.176774193548387,-0.0558076279548672,-0.168831168831169,-0.163700564971751,-0.168150896722325,-0.15458411958412,-0.2,-0.168593377361952,-0.177289029535865,-0.2,-0.1875,-0.184210526315789,-0.180135786861451,-0.168537040779946,-0.172601283537361,-0.166752933057281,-0.238459156020132
"RAS",0.25,0.0666666666666667,0.1,0.15,0.0277777777777778,0.186842105263158,0.173634558093347,0.128700965897891,-0.025,0,-0.0995670995670996,0.06,0.0717647058823529,0.0311706464764123,0.06,-0.1,-0.215599472990777,0.365917312661499,-0.227566351271538,-0.191176470588235,-0.192485799557139,-0.190502796724278,-0.184793491864831,-0.245008594566505,-0.175630769230769,-0.399230769230769,-0.299230769230769,-0.299230769230769,-0.299230769230769,0.187009803921569,0.15,0.191176470588235,0.15,0.17374873712083,0,0.1,0.030243512977353,-0.111807805596465,-0.111807805596465,-0.293518821603928,-0.0223684210526316,-0.210869565217391,-0.0674664602683178,-0.239360865290069,0,-0.19535593220339,-0.214,-0.1,-0.2,-0.0333333333333333,-0.220779220779221,-0.239146567717996,-0.124150943396226,-0.139642857142857,-0.34
"AXIN2",-0.0730769230769231,-0.156038647342995,-0.133333333333333,0.04,-0.153816425120773,0.0382142857142857,0.03753861003861,-0.109821295038686,0.155772357723577,0.153333333333333,-0.00615722441809398,0.0440895061728395,0.0325850813940784,0.040175840469986,0.0379166666666667,-0.126666666666667,0.265668616730733,0.148111042656809,-0.138175448809157,-0.131398021919273,-0.131557784642044,-0.133157438770881,-0.136129883118011,-0.0459250037657905,-0.116603895730926,-0.177630649671082,-0.181830124736699,-0.181830124736699,-0.181830124736699,0.135800537642543,0.138294573643411,0.131398021919273,0.138294573643411,0.154571477189187,0.133333333333333,0.126666666666667,-0.216017202117724,-0.0799522089693207,-0.0799522089693207,-0.132993742540734,-0.164183572676848,-0.0729390358193604,-0.158666331297538,-0.126512498406853,0.144444444444444,0.0792361736624032,0.0802197802197802,0.05,0.0730769230769231,0.148792270531401,-0.0750172532781229,-0.0690648723257419,-0.152826125487416,-0.0794583388060893,-0.182957128741672
"ZEB1",-0.0431818181818182,-0.0506643658326143,-0.1,-0.0416666666666667,-0.0478072229754715,-0.0553921568627451,-0.0512599254577864,-0.0563504595878348,-0.104,-0.1,-0.0954775828460039,0.0165417291354323,-0.00325522517928853,0.00540619214354612,-0.00229885057471264,0.041025641025641,-0.0620514670849575,-0.0913968021928594,-0.110392136789466,0.0366736563293235,0.0320785026650209,0.0315892658744142,0.0318125452182124,-0.0206646342447966,0.120082136289396,-0.0382266413217204,-0.0374392397469172,-0.0374392397469172,-0.0374392397469172,-0.0374130877085365,-0.0354239256678281,-0.0411931564370589,-0.0288305190744215,-0.00906521489548553,-0.0333333333333333,-0.0476190476190476,-0.0276289840561902,-0.0656810541077231,-0.0656810541077231,0.00153812656953719,0.0863529411764706,0.0266195031220938,0.094722985229334,0.023966098396504,0.08,0.0305518551645828,0.0451426024955437,0.075,0.025,0.0326315789473684,0.0343555749612988,0.0439709595766834,0.0397049243470907,-0.0605500036715866,0.129417475192335
"SRC",0.08,0.108974358974359,0.1,-0.025,0.131196581196581,-0.0202380952380952,-0.00238095238095238,0.0423523876734886,0.0636363636363636,0,0.0342857142857143,0.0930555555555556,0.0930555555555556,0.100328282828283,0.155555555555556,-0.1,0.0284032470568235,0.251948051948052,0.00340966921119593,-0.02,-0.0302558976409436,-0.0295847567013463,-0.0314754098360656,-0.0958903460374048,-0.183732981993852,-0.0873891606932909,-0.0858740091781393,-0.0858740091781393,-0.0858740091781393,0.0314754098360656,0,0.02,0,0.0638656633221851,0,0,-0.0557552542833216,-0.0650943396226415,-0.0650943396226415,-0.255048629531388,-0.0525252525252525,-0.0962595167163191,-0.0732799695063846,-0.295359075731538,-0.15,-0.100152505446623,-0.120740740740741,-0.1,-0.1,-0.116666666666667,-0.103728070175439,-0.0884127548601233,-0.211241446725318,-0.147674418604651,-0.431974789915966
"TWIST1",0.165777777777778,0.192307692307692,0.2,0.0437037037037037,0.188917861799218,0.0411396011396011,0.0420829973660162,0.057206913949598,0.108405797101449,0.0866666666666667,0.210510669091905,0.158746081504702,0.161246081504702,0.15600690155026,0.169090909090909,0.0523809523809524,0.0846853683950458,-0.0489160679671769,0.0762156066655521,0.0481256332320162,0.0489460665733448,0.0506136916452252,0.0509368782119359,0.0407352247491552,-0.0854257065995877,0.0755730809973833,0.0766004782576573,0.0766004782576573,0.0766004782576573,-0.0495177944862156,-0.0523809523809524,-0.0471177944862156,-0.0523809523809524,-0.0521944020361175,-0.0666666666666667,-0.0523809523809524,0.317351163185196,-0.0622043095727306,-0.0622043095727306,0.044007891104573,-0.0978794813119756,-0.116390389271745,-0.104347143003518,-0.0806849466002501,-0.2,-0.162714143254531,-0.167147640791476,-0.166666666666667,-0.177777777777778,-0.192307692307692,-0.123241423241423,-0.122911390238123,-0.113252239339196,-0.059526787575568,0.0773616293683811
"MEK",0.12,-0.00622294372294372,0,0.255555555555556,0.0231888209829386,0.251709401709402,0.262658306818891,0.0990138619950193,-0.0344827586206897,-0.1,-0.123492063492064,0.0723809523809524,0.065838896306186,0.0826272174740692,0.12,-0.133333333333333,-0.186388287021198,0.268249777824246,-0.272145192948636,-0.142442645074224,-0.143645513452665,-0.144203134270509,-0.151533554165133,-0.299554500810896,-0.118819392458827,-0.289327894327894,-0.29472471972472,-0.29472471972472,-0.29472471972472,0.156270396270396,0.143333333333333,0.147179487179487,0.13859649122807,0.0952233706451834,0.1,0.133333333333333,0.221182380071721,-0.0517657079091799,-0.0517657079091799,-0.15374129138835,0.0663976522377109,-0.13912716010277,-0.0269356810956224,-0.124425774927919,-0.0714285714285714,-0.129578913532626,-0.151147540983607,-0.2,-0.14,-0.00892857142857143,-0.154736969203981,-0.135917781012099,-0.0549093321539142,-0.0340028694404591,-0.216633609737058
"TCFLEF",0.184761904761905,0.138399664851278,0.142857142857143,0.04034752112227,0.132964882242582,0.044269089749721,0.0406146046998871,0.128593558263274,0.166236933797909,0.144285714285714,0.292562567173346,0.188372093023256,0.193044990219517,0.185760222007597,0.2,0.0541666666666667,0.393637606837607,0.163768685570173,0.0127353487861051,0.041474358974359,-0.0556662751435169,-0.0548071686143073,0.0439900822447992,-0.00939167500418954,-0.15834750256437,0.0485608638927377,0.0481666457587035,0.0481666457587035,0.0481666457587035,-0.0375695361756743,-0.0440196078431373,-0.0363273001508296,-0.0491666666666667,0.152407613555783,-0.0666666666666667,-0.0490196078431373,0.134842649549897,-0.0440266702108807,-0.0440266702108807,-0.087758077954221,-0.165284552845528,-0.0673264186253053,-0.170046457607433,-0.235178594069807,-0.151948051948052,-0.167880844005918,-0.178310291858679,-0.2,-0.18,-0.131948051948052,-0.0897843092579935,-0.0915051505581847,-0.171441888230702,-0.0494556913674561,-0.267204488105023
"ERK",0.151147540983607,0.0231888209829386,0.0714285714285714,0.251709401709402,0.00117047235908542,0.262658306818891,0.255179082442159,0.0960018138022482,-0.0663976522377109,-0.0344827586206897,-0.135142548928957,0.065838896306186,0.0826272174740692,0.0642206240674758,0.0723809523809524,-0.13859649122807,-0.18459966913502,0.264525890449132,-0.273893123031433,-0.151533554165133,-0.144203134270509,-0.14343924538162,-0.143645513452665,-0.295743996176498,-0.11073115716471,-0.286577619300392,-0.289327894327894,-0.289327894327894,-0.289327894327894,0.150004732109995,0.147179487179487,0.156270396270396,0.142442645074224,0.0981921793637103,0.133333333333333,0.143333333333333,0.218928096933759,-0.0355452354682351,-0.0355452354682351,-0.138900792081831,-0.0269356810956224,-0.12172101675806,-0.0467128398699957,-0.117944293446437,-0.00892857142857143,-0.114119976334559,-0.129578913532626,-0.14,-0.12,0.00622294372294372,-0.135917781012099,-0.152331154872281,-0.0323466580592067,-0.054157908200149,-0.214753267856716
"TGF",0.0566666666666667,0.194047619047619,0.2,-0.0266666666666667,0.194047619047619,-0.00666666666666667,0.000229885057471266,0.0740120274914089,0.219047619047619,0.233333333333333,0.278947368421053,0.175555555555556,0.185079365079365,0.0868650793650794,0.22,-0.1,-0.0987654320987654,0.120153449507657,-0.115155627963236,-0.0666666666666667,-0.0621482952664681,-0.0616698263669465,-0.0647798742138365,-0.0917147786488897,-0.069454156954157,0.0821428571428571,0.0803571428571428,0.0803571428571428,0.0803571428571428,0.0838274932614555,0.0857142857142857,0.0857142857142857,0.0666666666666667,0.0261993879709896,0,0.1,-0.183043099713835,-0.0348209786653723,-0.0348209786653723,-0.0318518518518519,-0.23483709273183,-0.0699548678272083,-0.241503759398496,0.0069389701207883,-0.233333333333333,-0.0576364942528736,-0.0670114942528736,-0.133333333333333,-0.0733333333333333,-0.208333333333333,-0.0687878787878788,-0.0671749755620723,-0.10995670995671,-0.0330027968471904,-0.0261024844720497
