"","PAK1","CDC42","GSK3","TGFR","TGF","Frizzled","Wnt","DSH","STAT","LIV1","NOTCH","IKK","NFB","RKIP","AKT","ILK","cfos","EGR1","SOSGRB2","SHH","Patched","ZEB2","ZEB1","PI3K","RAF","DELTA","RAS","miR200","SMO","FUS","MEK","HEY1","ERK","SUFU","KLF4","SMAD","Csn","TrCP","SNAI2","SNAI1","Destcompl","Csl","Jagged","NOTCHic","TWIST1","cateninnuc","cMet","TCFLEF","CD44","SRC","GLI","AXIN2","FOXC2","cateninmemb","Ecadherin"
"SMAD",-0.226190476190476,-0.216331321260899,-0.129838864838865,-0.214655343607267,-0.213460124483761,-0.108730158730159,-0.104884004884005,-0.114285714285714,-0.0942857142857143,-0.08,-0.12616310892173,-0.0894491129785247,-0.103174603174603,-0.0811204201841495,-0.0974491129785247,-0.0609502825941182,-0.00967741935483871,0,-0.0880804495711328,-0.0362776963041279,-0.0344189602446483,-0.432990964311719,-0.432990964311719,-0.0834216147753266,0.0834216147753266,0.0834216147753266,-0.0857242463542739,-0.450086728103596,0.0316666666666667,0.0416666666666667,0.00437777713659184,0.043267297725964,-0.00427606901725431,0.0416666666666667,-0.430343650066985,-0.0366687650249294,0.0888888888888889,0.1,0.111395606741589,0.107924115758793,0.0589534401764367,0.133333333333333,0.111076525624913,0.122988505747126,0.111812326670099,0.0810889787095492,0.0848085901027077,0.0815955643225178,0.0844449537390714,0.0887301587301587,0.104164580423573,0.127517363097336,0.229461428107289,0.163180520983865,0.150317672800285
"TGFR",-0.208888888888889,-0.194603174603175,0.0809719147285356,-0.285674603174603,-0.282837723741979,-0.114285714285714,-0.116172506738544,-0.114285714285714,-0.1,-0.1,-0.0180716116761763,0.00971177944862156,0.0202380952380952,-0.0695238095238095,0.0143629422393192,-0.0887878787878788,0.00726817042606517,-0.019047619047619,0.0512345679012346,-0.0728617523865186,-0.073426724137931,-0.390944355693719,-0.390944355693719,0.161309523809524,-0.161309523809524,-0.161309523809524,0.160139933166249,-0.405846055748725,0.076551724137931,0.08,-0.00915553724493883,0.0845261121856866,-0.00504594820384295,0.113333333333333,-0.388781282917439,0.0891437506739998,0.00833333333333333,0.0333333333333333,0.0406052873397243,0.15998022492391,0.0225110919776829,0.0133333333333333,0.12974029369704,0.0202298850574713,0.198863187030447,0.0909979167487943,0.10188679245283,0.0930351178116819,0.0939920556107249,0.1,0.109075732544996,0.131983899902355,0.291787951937942,0.172480642335628,0.158748129551707
"Csl",-0.176888888888889,-0.170437275985663,0.0325691798246172,-0.167252562609867,-0.16793283471871,-0.00321678321678322,9.02323482968592e-06,-0.0123076923076923,-0.0123076923076923,-0.02,0.0189323749255838,0.0310077519379845,0.0333333333333333,-0.0221148631040686,0.0302325581395349,0.0359369647139431,0.0342857142857143,0.02,-0.112630411950053,0.0352136276774764,0.0377998345740281,-0.390820099465307,-0.390820099465307,-0.0263365719737534,0.0263365719737534,0.0263365719737534,-0.0256012778561063,-0.407632897031061,-0.041025641025641,-0.041025641025641,-0.0314285714285714,-0.135489103110586,-0.0314285714285714,-0.0333333333333333,-0.388395445134576,-0.0359369647139431,-0.0222222222222222,-0.0333333333333333,0.0659625906132342,0.0400920416137808,-0.000643557243499153,-0.0153917050691244,-0.0261068247119572,-0.0180232840164928,0.0757035687378287,-0.00463469604474934,-7.99200799200796e-05,-0.00400576522713927,-0.00293706293706294,0.00321678321678322,-0.00323482968644259,0.00111676794693237,0.159058591178407,-0.0125422971712648,-0.0266327842136241
"TGF",-0.22,-0.208888888888889,0.0812164135060417,-0.194603174603175,-0.285674603174603,-0.114285714285714,-0.114285714285714,-0.1,-0.1,0,-0.0202298850574713,0.0202380952380952,-0.00833333333333333,-0.0666666666666667,0.00971177944862156,-0.0887878787878788,-0.019047619047619,-0.0333333333333333,0.05,-0.073426724137931,-0.076551724137931,-0.390566997203153,-0.390566997203153,0.163095238095238,-0.163095238095238,-0.163095238095238,0.161309523809524,-0.40613931088069,0.08,0.113333333333333,-0.00504594820384295,0.0845261121856866,-0.00726817042606517,0.133333333333333,-0.390566997203153,0.0887878787878788,0.0333333333333333,0,0.0399108428952799,0.162635092180547,0.0233175435905861,0.0333333333333333,0.134088119783996,0.0133333333333333,0.202777777777778,0.0930351178116819,0.1,0.0939920556107249,0.10188679245283,0.1,0.116172506738544,0.135846560846561,0.294844720496894,0.17709957997997,0.163347788836205
"Frizzled",-0.3,-0.306666666666667,-0.155971786833856,-0.297971014492754,-0.297018633540373,-0.125,-0.119736842105263,0,-0.1,-0.1,-0.11890756302521,-0.110833333333333,-0.0733333333333333,-0.154285714285714,-0.0795833333333333,0.0275889485191811,-0.0933333333333333,-0.133333333333333,-0.0666666666666667,0.0519689987431923,0.0551948051948052,-0.389820115440525,-0.389820115440525,-0.151332877648667,0.151332877648667,0.151332877648667,-0.134797444577801,-0.406606691919192,-0.0409090909090909,-0.05,0.108583877995643,-0.0431533006001091,0.134509803921569,0,-0.374509803921569,-0.0322618457154428,0.133333333333333,0.1,0.0615337756989013,0.162267080745342,0.0493408257451048,0.107142857142857,0.0257404931669638,0.14047619047619,0.185504201680672,0.114624890039669,0.119736842105263,0.115101080515859,0.119736842105263,0.125,0.119736842105263,0.169598308668076,0.320103568402222,0.144013317191283,0.166763016684338
"NOTCHic",-0.188888888888889,-0.176888888888889,0.0336001076596688,-0.170437275985663,-0.167252562609867,-0.0123076923076923,-0.00321678321678322,-0.02,-0.02,0,0.0180232840164928,0.0333333333333333,0.0222222222222222,-0.0179673976662806,0.0310077519379845,0.0380952380952381,0.02,0.02,-0.110191387559809,0.0377998345740281,0.041025641025641,-0.389162640901771,-0.389162640901771,-0.0238735177865613,0.0238735177865613,0.0238735177865613,-0.0263365719737534,-0.407850761954808,-0.041025641025641,-0.0333333333333333,-0.0314285714285714,-0.136142697881828,-0.0342857142857143,-0.0333333333333333,-0.391252587991718,-0.0359369647139431,-0.0333333333333333,0,0.066037161828745,0.0396967846967847,0.000148642634623943,0.0942857142857143,-0.0250651580452905,-0.0153917050691244,0.0763807696407632,-0.00400576522713927,0.00321678321678322,-0.00293706293706294,-7.99200799200796e-05,0.0123076923076923,-9.02323482968592e-06,0.00445867026055705,0.159058591178407,-0.00902547759939938,-0.0244234818880427
"SNAI1",-0.161624649859944,-0.158594346829641,0.0211245124512451,-0.158594346829641,-0.159400798442544,-0.083625730994152,-0.0811867066039081,-0.0888888888888889,-0.0888888888888889,-0.1,0.00810047095761381,0.0348927875243665,0.0385964912280702,-0.0191946529471669,0.034198343079922,0.0351920122887865,0.0494325718496684,0.0443478260869565,-0.0945864209062416,0.0423935775514228,0.0441411503669568,-0.389131686265928,-0.389131686265928,-0.00197959992077639,0.00197959992077639,0.00197959992077639,-0.00214380353325587,-0.407140726296774,-0.0471411503669568,-0.0508448540706605,-0.0449841413563948,-0.0350200949945195,-0.0454325718496684,-0.0476190476190476,-0.386767420312694,-0.0350690110587742,-0.0333333333333333,-0.0333333333333333,0.0838108381919508,-0.0672327772166398,0.0698328809575807,-0.00769230769230769,-0.013248300854084,-0.00769230769230769,0.0922124107776282,0.078376699671509,0.0815032854636815,0.0786348308021234,0.0789106928710889,0.0834834834834835,0.078444476256559,0.110790491226405,0.162493036622905,0.124065259235464,0.101246464921115
"PAK1",-0.171428571428571,-0.161624649859944,0.0214545454545455,-0.158594346829641,-0.158594346829641,-0.0888888888888889,-0.083625730994152,-0.1,-0.1,-0.1,0.00769230769230769,0.0385964912280702,0.0333333333333333,-0.0171026027379619,0.0348927875243665,0.0364823348694316,0.0443478260869565,0.04,-0.0934543454345435,0.0441411503669568,0.0471411503669568,-0.388762682575892,-0.388762682575892,-0.00152505446623094,0.00152505446623094,0.00152505446623094,-0.00197959992077639,-0.406276172982653,-0.0508448540706605,-0.0476190476190476,-0.0454325718496684,-0.0362105711849957,-0.0494325718496684,-0.0476190476190476,-0.386455893832943,-0.0351920122887865,-0.0333333333333333,-0.0333333333333333,0.083710268295873,0.0322334149541787,0.0698328809575807,0,-0.0120718302658487,-0.00769230769230769,0.0929303594955769,0.0786348308021234,0.0834834834834835,0.0789106928710889,0.0815032854636815,0.0888888888888889,0.0811867066039081,0.113587694023608,0.162111842213757,0.125826917266552,0.10244313505639
"LIV1",-0.171428571428571,-0.161624649859944,0.0214545454545455,-0.158594346829641,-0.158594346829641,-0.0888888888888889,-0.083625730994152,-0.1,-0.1,-0.1,0.00769230769230769,0.0385964912280702,0.0333333333333333,-0.0171026027379619,0.0348927875243665,0.0364823348694316,0.0443478260869565,0.04,-0.0934543454345435,0.0441411503669568,0.0471411503669568,-0.388762682575892,-0.388762682575892,-0.00152505446623094,0.00152505446623094,0.00152505446623094,-0.00197959992077639,-0.406276172982653,-0.0508448540706605,-0.0476190476190476,-0.0454325718496684,-0.0362105711849957,-0.0494325718496684,-0.0476190476190476,-0.386455893832943,-0.0351920122887865,-0.0333333333333333,-0.0333333333333333,0.083710268295873,0.0322334149541787,0.0698328809575807,0,-0.0120718302658487,-0.00769230769230769,0.0929303594955769,0.0786348308021234,0.0834834834834835,0.0789106928710889,0.0815032854636815,0.0888888888888889,0.0811867066039081,0.113587694023608,0.162111842213757,0.125826917266552,0.10244313505639
"EGR1",-0.171428571428571,-0.161624649859944,0.0214545454545455,-0.158594346829641,-0.158594346829641,-0.0888888888888889,-0.083625730994152,-0.1,-0.1,-0.1,0.00769230769230769,0.0385964912280702,0.0333333333333333,-0.0171026027379619,0.0348927875243665,0.0364823348694316,0.0443478260869565,0.04,-0.0934543454345435,0.0441411503669568,0.0471411503669568,-0.388762682575892,-0.388762682575892,-0.00152505446623094,0.00152505446623094,0.00152505446623094,-0.00197959992077639,-0.406276172982653,-0.0508448540706605,-0.0476190476190476,-0.0454325718496684,-0.0362105711849957,-0.0494325718496684,-0.0476190476190476,-0.386455893832943,-0.0351920122887865,-0.0333333333333333,-0.0333333333333333,0.083710268295873,0.0322334149541787,0.0698328809575807,0,-0.0120718302658487,-0.00769230769230769,0.0929303594955769,0.0786348308021234,0.0834834834834835,0.0789106928710889,0.0815032854636815,0.0888888888888889,0.0811867066039081,0.113587694023608,0.162111842213757,0.125826917266552,0.10244313505639
