"","IKK","Patched","SMO","HEY1","NFB","TrCP","NOTCHic","Jagged","EGR1","ZEB1","Csl","Csn","SRC","TCFLEF","LIV1","cateninnuc","CD44","STAT","Ecadherin","CDC42","SOSGRB2","TGFR","TGF","PAK1","GSK3","DSH","RAF","PI3K","DELTA","RAS","cMet","AXIN2","GLI","Wnt","cateninmemb","SNAI2","Frizzled","Destcompl","TWIST1","ERK","cfos","MEK","SNAI1","NOTCH","RKIP","SUFU","FUS","AKT","SHH","ILK","SMAD","FOXC2","miR200","ZEB2","KLF4"
"cfos",0.141666666666667,0.100844854070661,0.0976190476190476,0.135157421289355,0.116666666666667,0.1,0.0974358974358974,0.0788194444444444,0.12,0.0567508359275914,0.0666666666666667,0.0666666666666667,-0.11,-0.121298427140011,-0.1,-0.123520649362234,-0.129219219219219,-0.15,-0.203272443911042,0.10952380952381,0.00833333333333333,0.107563025210084,0.104532722179781,0.0857142857142857,-0.0576812770562771,0.15,0.0581699346405229,0.0581699346405229,0.0581699346405229,0.0593894468356448,0.121111111111111,0.103990147783251,0.126374269005848,0.121111111111111,0.210140058878536,-0.295244098966727,0.11,0.143579713460692,-0.106900432900433,-0.164347826086957,-0.16,-0.186381724392041,-0.188377445339471,-0.0743589743589744,-0.193193473193473,-0.0666666666666667,-0.080952380952381,-0.110087719298246,-0.099610286169426,-0.139417989417989,-0.144256699095409,-0.306325066612011,-0.297487479840421,-0.354625466005611,-0.345396825396825
"TrCP",0.110087719298246,0.099610286169426,0.100844854070661,0.138098597759944,0.141666666666667,0.0666666666666667,0.0743589743589744,0.0855679107021132,0.16,0.0590016397861123,0.0974358974358974,0.116666666666667,-0.121111111111111,-0.123520649362234,-0.15,-0.124486166603613,-0.121298427140011,-0.11,-0.201127115191319,0.107563025210084,0.00338283828382838,0.104532722179781,0.107264962616939,0.10952380952381,-0.0529540043290043,0.11,0.0593894468356448,0.0593894468356448,0.0593894468356448,0.0562076286538266,0.129219219219219,0.0995876320599808,0.119057195835116,0.126374269005848,0.212521011259488,-0.295244098966727,0.121111111111111,0.142677457821594,-0.109074345943911,-0.186381724392041,-0.164347826086957,-0.185048391058708,-0.192434724575748,-0.0754578754578755,-0.191536014629937,-0.080952380952381,-0.0976190476190476,-0.117495126705653,-0.100610286169426,-0.144256699095409,-0.141676053934118,-0.301497480405114,-0.303071236185599,-0.354303922597251,-0.350314858183711
"NOTCH",0.122222222222222,0.0897435897435898,0.0666666666666667,0.228260869565217,0.0666666666666667,0,-0.0314285714285714,0.0771332371332371,0.2,0.0389694041867955,-0.06,0.1,-0.12,-0.102184482184482,0,-0.0944293801436658,-0.0966899766899767,-0.1,-0.18673571024335,0.111111111111111,-0.0252631578947368,0.123111111111111,0.119885304659498,0.1,-0.0647509578544061,0.1,0.0345454545454546,0.0345454545454546,0.0345454545454546,0.0475889328063241,0.0815384615384615,0.0826954177897574,0.0966899766899767,0.0815384615384615,0.19263989457928,-0.26937441643324,0.12,0.123059214087251,-0.0966949152542373,-0.153333333333333,-0.22,-0.16047619047619,-0.189230769230769,-0.0911520737327189,-0.205393457117595,-0.1,-0.0666666666666667,-0.133333333333333,-0.0956259426847662,-0.135714285714286,-0.135714285714286,-0.302244897959184,-0.293939393939394,-0.346376811594203,-0.324154589371981
"TCFLEF",-0.00593213238374528,0.193041474654378,0.191428571428571,0.138099660608367,0.000519480519480522,-0.0285714285714286,0.0376853180296509,0.133281352687736,0.114285714285714,-0.0129328371433635,0.0396461023433764,-0.0194805194805195,-0.0283333333333333,-0.135565289602442,-0.0333333333333333,-0.135737110908284,-0.0372835026608612,-0.0333333333333333,-0.279527652074625,0.0461538461538462,-0.0677088899124827,0.0470884255930985,0.0487440547321713,0.0461538461538462,-0.115990133029215,0.0274509803921569,-0.0732013251002421,-0.0732013251002421,-0.0732013251002421,-0.0722814827874957,0.036025641025641,0.0432004884004884,0.0301432880844646,0.0301432880844646,0.257036541683321,-0.405465864316052,0.0224509803921569,0.155919537797888,-0.18212249389808,-0.127200929152149,-0.116724738675958,-0.135364194458271,-0.251003067132774,-0.0307085738436044,-0.256103228176517,-0.166666666666667,-0.186666666666667,0.0124538715141801,-0.191200983856832,-0.16099096225412,-0.164623849443413,-0.431626122723593,-0.252911733514143,-0.318128920786816,-0.30983893557423
"SMO",0.107142857142857,0.0675,0.08,0.0981684981684982,0.15,0,-0.0121212121212121,-0.0651322751322751,0,0.000141242937853106,0.0333333333333333,0.1,-0.15,-0.146796116504854,-0.1,-0.149803635301847,-0.14,-0.1,-0.101982777837487,0.0733333333333333,-0.0614035087719298,0.0733333333333333,0.0733333333333333,0.0333333333333333,-0.206536505565632,0,-0.0423076923076923,-0.0423076923076923,-0.0423076923076923,-0.0516100178890877,0.156666666666667,0.0372742200328407,0.0333333333333333,0.05,0.179260709190243,-0.272098522167488,0.05,0.182705356658845,-0.0271786492374728,-0.0738461538461539,-0.02,-0.0708158508158508,-0.206298003072197,0.0121212121212121,-0.185714285714286,-0.1,-0.2,-0.111142857142857,-0.0841666666666667,-0.0966666666666667,-0.0919047619047619,-0.156551724137931,-0.206479807112718,-0.296751412429379,-0.272222222222222
"Patched",0.15,0.08,0.2,0.0743589743589744,0.1,0,0.0333333333333333,-0.0865608465608465,0.1,-0.00833333333333333,0,0,-0.1,-0.14,-0.1,-0.146796116504854,-0.156666666666667,-0.1,-0.104565803667745,0.0333333333333333,-0.0666666666666667,0.0733333333333333,0.0733333333333333,0.0333333333333333,-0.217216117216117,0,-0.0423076923076923,-0.0423076923076923,-0.0423076923076923,-0.0423076923076923,0.15,0.0476190476190476,0.05,0.05,0.169551971326165,-0.269241379310345,0,0.184255744255744,-0.0212962962962963,-0.02,0,-0.0738461538461539,-0.196774193548387,0.0121212121212121,-0.185714285714286,-0.2,-0.1,-0.107142857142857,-0.0675,-0.0666666666666667,-0.0966666666666667,-0.16,-0.197619047619048,-0.291666666666667,-0.255555555555556
"Destcompl",-0.0560125342734038,-0.0556285538454558,-0.0561466885604817,0.135586635586636,-0.0623188405797102,-0.0666666666666667,-0.111159420289855,-0.165469440387157,0.148717948717949,-0.0675636168744402,-0.11768115942029,-0.0666666666666667,-0.211404653185475,-0.212324028909594,-0.211111111111111,-0.21222204012836,-0.213145946717813,-0.218253968253968,-0.0880800326214873,0.172934553131597,-0.0157008268180154,0.17188192155265,0.171389310715212,0.172244897959184,-0.233441504043333,0.218253968253968,-0.103776775844805,-0.103776775844805,-0.103776775844805,-0.102991846488447,0.210907140747664,0.106217754394947,0.213445469512006,0.211404653185475,0.246561072491411,-0.257915181201286,0.211404653185475,0.146148117558591,-0.00248284636317706,-0.142955405250487,-0.145687645687646,-0.144643168963567,-0.216389047501027,0.11336382910749,-0.23863684399528,0.0555555555555556,0.0590038314176245,0.0600393799109877,0.0558219774431347,-0.125873015873016,-0.126223893065998,-0.143065492324931,-0.188053158356527,-0.249146072860226,-0.238395402821578
"PI3K",0.117647058823529,0.107692307692308,0.1,0.0764235025056335,0.1,0,0.00769230769230769,0.0859649122807018,0.0666666666666667,0.0451635100702728,0,0.1,0.0888888888888889,0.0955910788630022,0.1,0.0986838623681569,0.102935711631364,0.1,-0.104199909295997,-0.0176470588235294,0.0476923076923077,-0.0136470588235294,-0.0144600669536107,0,0.124218374218374,-0.1,0.0521904761904762,0.0521904761904762,0.0521904761904762,0.0549302022178734,-0.110628019323672,-0.070952380952381,-0.102935711631364,-0.110628019323672,0.01112084499841,0.0418066786463013,-0.0888888888888889,-0.194160417516447,-0.0118702553485162,-0.0372549019607843,-0.0666666666666667,-0.0356155576984892,-0.0040780998389694,-0.0205955334987593,-0.0219295410471881,-0.1,-0.1,-0.125339366515837,-0.107692307692308,-0.074109643857543,-0.074909643857543,-0.0123019744483159,-0.149468992091943,-0.192101936153983,-0.18640350877193
"cMet",-0.0933333333333333,-0.0109090909090909,-0.02,0.00787753697970416,-0.1,-0.2,-0.112781954887218,-0.0331640822945171,0.1,-0.0542568542568543,-0.128571428571429,-0.2,-0.15,-0.0759868813357185,-0.1,-0.0759868813357185,-0.0682945736434108,-0.2,-0.118933192777857,0.0716666666666667,-0.104285714285714,0.0438888888888889,0.0523995271867612,0.0466666666666667,0.0359831029185868,0.1,0.00476190476190476,0.00476190476190476,0.00476190476190476,-0.000898472596585805,0.0566666666666667,0.0615873015873016,0.0703030303030303,0.0566666666666667,0.139746913821647,0.104035607539257,0.05,-0.00937111945515307,-0.128766514384492,-0.08,-0.08,-0.0745454545454546,-0.10516584218636,0.119164933610622,-0.0625925925925926,0.1,0,0.0995833333333333,0.00153409090909091,-0.00317460317460317,0.00773448773448773,-0.140849156118143,-0.130148907553799,-0.144300144300144,-0.0412698412698413
"RAS",0.0933333333333333,0.00333333333333334,-0.0166666666666667,-0.0100790513833992,0.1,0,0.105263157894737,0.0102464025231618,-0.02,-0.046940353460972,0.1,0,0.15,0.164799268316164,0,0.165082554435145,0.174030037546934,0.1,0.0479116301768841,0.08,0.117748917748918,0.0505882352941176,0.0515783343040186,0.1,0.05656330749354,-0.1,0.162307692307692,0.162307692307692,0.162307692307692,0.0584615384615385,-0.167647058823529,-0.130540184453228,-0.171813725490196,-0.167647058823529,-0.0827226865186618,0.308503893578015,-0.15,-0.250810644415296,-0.0238188761593017,0.0357894736842105,0.02,0.049514963880289,-0.0477581120943953,-0.122244289970209,0.0306729559748428,0.1,0,-0.11,-0.00502824858757062,0.0177489177489177,0.0279529993815708,-0.0601587301587302,-0.0853538461538462,-0.0792452135493373,-0.0782142857142857
