"","miR200","TGF","AXIN2","cateninmemb","cateninnuc","TCFLEF","CD44","ILK","GLI","FUS","DSH","RAF","PI3K","DELTA","RAS","AKT","ZEB1","Destcompl","RKIP","NOTCHic","GSK3","FOXC2","NOTCH","Jagged","Csl","ERK","MEK","cfos","EGR1","SNAI1","LIV1","SNAI2","IKK","SHH","NFB","Csn","SOSGRB2","SMO","Patched","TrCP","SUFU","STAT","Frizzled","SRC","Wnt","TWIST1","Ecadherin","cMet","SMAD","HEY1","PAK1","CDC42","TGFR","ZEB2","KLF4"
"PAK1",0.32279959514955,0.44502623702238,0.306181801282647,0.308682646450753,0.297215664281557,0.288801871178109,0.276579648955887,0.260129714968425,0.272473731754861,0.164285714285714,0.19,0.215048621074446,0.215048621074446,0.215048621074446,0.220957711983537,0.12962962962963,0.0520028092258576,0.149203645351276,0.157102602737962,0.051025641025641,-0.00398917748917749,0.0222608269548358,-0.0378388278388278,-0.0683090490797546,-0.067948717948718,-0.225261606484893,-0.21992827315156,-0.22695652173913,-0.24,-0.241090643342539,-0.15,-0.206464195818349,-0.133333333333333,-0.157807817033623,-0.133333333333333,-0.133333333333333,-0.282549504950495,-0.167511520737327,-0.163807817033623,-0.133333333333333,-0.147619047619048,-0.19,-0.230740740740741,-0.230740740740741,-0.254424951267057,-0.318821569734613,-0.270857019981391,-0.257767767767768,-0.26400068271036,-0.263835729194226,-0.395238095238095,-0.412885154061625,-0.434097275273746,-0.382105236230412,-0.382257611241218
"CDC42",0.317723453017571,0.434097275273746,0.282282430213465,0.298426236194343,0.288801871178109,0.276579648955887,0.257767767767768,0.255291005291005,0.254424951267057,0.147619047619048,0.15,0.201633986928105,0.201633986928105,0.201633986928105,0.215048621074446,0.133333333333333,0.0478227449171759,0.14754951001293,0.156550116550117,0.067948717948718,-0.00726190476190476,0.0312263441962151,-0.051025641025641,-0.078125,-0.0833333333333333,-0.22695652173913,-0.225261606484893,-0.24,-0.26,-0.242283960764973,-0.1,-0.201762568331911,-0.133333333333333,-0.163807817033623,-0.133333333333333,-0.133333333333333,-0.2875,-0.164285714285714,-0.167511520737327,-0.1,-0.133333333333333,-0.15,-0.19,-0.19,-0.230740740740741,-0.309038961038961,-0.266220341780699,-0.230740740740741,-0.260129714968425,-0.260894552723638,-0.271428571428571,-0.395238095238095,-0.412885154061625,-0.379211345555171,-0.369142857142857
"NOTCHic",0.312765307909817,0.450651416569641,0.321260856543875,0.336906321219636,0.325061960939824,0.311168831168831,0.291168831168831,0.257142857142857,0.288332957365215,0.133333333333333,0.16,0.192305665349144,0.192305665349144,0.192305665349144,0.207576601309735,0.115245478036176,0.0454428341384863,0.148501088538472,0.155671784909279,0.0288479262672811,0.042277793610082,0.0115668202764977,-0.00516371574096532,-0.0255220766479045,-0.151428571428571,-0.212380952380952,-0.206666666666667,-0.226666666666667,-0.26,-0.235303215303215,-0.1,-0.23678350020446,-0.122222222222222,-0.129766943998443,-0.122222222222222,-0.133333333333333,-0.252296650717703,-0.141025641025641,-0.135143288084465,-0.1,-0.133333333333333,-0.16,-0.213846153846154,-0.213846153846154,-0.259300699300699,-0.327568276303166,-0.290157227406312,-0.259300699300699,-0.260739979445015,-0.360947603121516,-0.377777777777778,-0.405777777777778,-0.428358422939068,-0.372109500805153,-0.365786749482402
"GSK3",0.274969822409177,0.443405389237839,0.297171119211275,0.25235720262206,0.260629576760008,0.251484839917903,0.249080565652542,0.249425182980317,0.247506784905289,0.131168831168831,0.180263157894737,-0.0237268293897825,-0.0237268293897825,-0.0237268293897825,-0.00755035880154722,0.180471559092249,0.0201062153515847,0.0773875971824537,0.197620975515712,0.106727586139351,-0.000976699383366594,0.0526777098870122,-0.0914029108146755,-0.0294396949867533,-0.110224089635854,-0.203695513293036,-0.190627331474855,-0.195424836601307,-0.217647058823529,-0.260379331375287,-0.175,-0.140134343815435,-0.20183908045977,-0.13845059187378,-0.18,-0.2175,-0.260569277574383,-0.147297863426896,-0.133187433979043,-0.18,-0.145454545454545,-0.180263157894737,-0.22312030075188,-0.22312030075188,-0.227695464150572,-0.317557968129633,-0.255932753670785,-0.229080565652542,-0.24627675719321,-0.254104432954466,-0.417101449275362,-0.423768115942029,-0.440841286673736,-0.348202852518894,-0.351124382162262
"DSH",0.26828752463661,0.440841286673736,0.278145244021017,0.252976123930637,0.251484839917903,0.249080565652542,0.229080565652542,0.238481786753902,0.227695464150572,0.145454545454545,0.175,-0.0133626837315192,-0.0133626837315192,-0.0133626837315192,-0.0237268293897825,0.20183908045977,0.0229293951435609,0.0851015809795653,0.191355311355311,0.110224089635854,0.0865440992855186,0.0506043446557523,-0.106727586139351,-0.0374688920670453,-0.135714285714286,-0.195424836601307,-0.203695513293036,-0.217647058823529,-0.2,-0.264033816425121,-0.1,-0.1462603144798,-0.18,-0.133187433979043,-0.2175,-0.18,-0.274057649667406,-0.131168831168831,-0.147297863426896,-0.2,-0.1,-0.175,-0.180263157894737,-0.180263157894737,-0.22312030075188,-0.30436974789916,-0.246877765195316,-0.22312030075188,-0.249425182980317,-0.244069830878341,-0.386666666666667,-0.417101449275362,-0.423768115942029,-0.347162733648166,-0.343490794376003
"PI3K",0.258928451551402,0.308590148254424,0.269428571428571,0.248758773488632,0.260727123949058,0.24196423735112,0.232359717577109,0.213429371748699,0.232359717577109,0.1,0.1,-0.129316017316017,-0.129316017316017,-0.129316017316017,-0.0936995789598529,0.101206636500754,0.00120461885518607,0.0984545511593612,0.204153199741435,0.142307692307692,0.22008177008177,0.169551684088269,-0.119727047146402,-0.0235087719298246,-0.15,-0.217647058823529,-0.199614271938283,-0.2,-0.2,-0.246207729468599,-0.1,-0.0913375172654249,-0.129411764705882,-0.129059829059829,-0.1,-0.1,-0.193846153846154,-0.133333333333333,-0.117948717948718,0,-0.1,-0.1,-0.177777777777778,-0.177777777777778,-0.190821256038647,-0.203697292649538,-0.259248784798939,-0.190821256038647,-0.214229371748699,-0.220963239498201,-0.25,-0.267647058823529,-0.299647058823529,-0.32010338056056,-0.315789473684211
"miR200",0.250589117206103,-0.0550670755924275,-0.214288723245929,-0.178636867589827,-0.173447444795691,-0.17284138418963,-0.164904876253122,-0.00104883644706654,-0.164507661352732,0.02,-0.14,-0.1167202449292,-0.1167202449292,-0.1167202449292,-0.110485830964113,0.0214753865796567,0.310210573476703,-0.094795395246144,0.00460358297286855,0.0549753694581281,-0.0190503749158384,0.0381447279008255,-0.0578002282151902,-0.0501977463438025,-0.0446305418719212,-0.0233766233766234,-0.0213358070500928,-0.0142857142857143,-0.0142857142857143,-0.00591112591112591,0.1,0.124776472481756,-0.0290225563909774,-0.0407631627224363,-0.0147368421052632,-0.02,-0.0037685364281109,-0.0333333333333333,-0.0320675105485232,0,-0.02,0.14,0.144,0.144347826086957,0.16230985915493,0.130155733836715,0.0606033819255557,0.162657685241886,0.0038701530614866,-0.00163841807909605,0.0333333333333333,0.0470588235294118,0.0486717267552182,-0.316514336917563,-0.312698412698413
"FUS",0.193773536485656,-0.0461500862564692,-0.383858719990654,-0.13683845092549,-0.216919295829979,-0.214473643656066,-0.221240560949299,0.0850793650793651,-0.327136752136752,0.293333333333333,-0.3,-0.0462991949910555,-0.0462991949910555,-0.0462991949910555,-0.0545961382224965,0.162659340659341,0.014322727115178,-0.0235260252676651,0.120400916380298,0.268787878787879,-0.0664186524043004,0.146397459165154,-0.277878787878788,-0.192582711799579,-0.278787878787879,-0.143310023310023,-0.151356000321518,-0.158461538461538,-0.12,-0.164394400486914,0.2,0.0368646130897106,-0.143428571428571,-0.312525252525253,-0.171428571428571,-0.1,-0.0473009446693657,-0.293333333333333,-0.315555555555556,-0.1,-0.333333333333333,0.2,0.325,0.22,0.319444444444444,0.030952503165315,-0.0166602209212676,0.214444444444444,-0.0934664618535586,-0.099617773530817,0.0533333333333333,0.045,0.0504054054054054,-0.274492218640602,-0.249863387978142
"Destcompl",0.115040661330537,0.190667802511204,0.229908605853165,0.119558045754463,0.125838905686026,0.130020445716622,0.118513596401554,0.111746031746032,0.118372912214341,-0.0176245210727969,0.116666666666667,-0.00206822068764105,-0.00206822068764105,-0.00206822068764105,-0.0187087230424291,0.0622430926486952,-0.0082146528053096,-0.0437366084895198,0.0233793985217573,-0.0525225225225225,0.0335960581697183,0.0162633324529186,0.0455084944664103,0.0354344884444437,0.0329573051312182,-0.0302243112079178,-0.042460598127749,-0.0504428904428904,-0.0292307692307692,-0.0383308783611086,-0.0666666666666667,-0.0853283299663335,-0.034055173185608,0.0461988416920961,-0.0763975155279503,-0.0285714285714286,-0.0512092470180806,0.0490530925013684,0.0309183774754616,-0.1,0.0555555555555556,-0.116666666666667,-0.101598173515982,-0.101598173515982,-0.126350648763506,-0.0786597501113055,-0.0996392595854525,-0.125976282968718,-0.119816207184628,-0.105712748789672,-0.169591836734694,-0.186833216045039,-0.182096373939776,-0.132665778306389,-0.136873811994343
"CD44",0.10880983750549,0.138611111111111,0.18,0.184908424908425,0.177561121049493,0.172945736434109,0.156666666666667,-0.0111111111111111,0.156666666666667,-0.1,0,-0.00476190476190477,-0.00476190476190477,-0.00476190476190477,0.00952380952380952,0.113333333333333,-0.0476190476190476,0.0716304703699662,0.126296296296296,0.114285714285714,-0.0767857142857143,0.02125,-0.0879699248120301,0.0628438228438229,-0.1,-0.085,-0.095,-0.125,-0.1,-0.0426368952684742,-0.1,-0.074010434010434,-0.133333333333333,0.0272727272727273,-0.1,0,0.030952380952381,0,0,-0.1,0.1,-0.1,-0.1,-0.2,-0.15,-0.156703296703297,-0.14438985995006,-0.25,-0.0072562358276644,0.0152046783625731,-0.133333333333333,-0.0733333333333333,-0.110833333333333,-0.126984126984127,-0.212698412698413
