"","CDC42","NOTCHic","AKT","Csl","GSK3","SHH","FUS","Csn","SNAI2","cateninnuc","CD44","cfos","TrCP","SRC","ERK","cMet","STAT","LIV1","AXIN2","Destcompl","FOXC2","ZEB1","RAF","PI3K","DELTA","RAS","TWIST1","SOSGRB2","DSH","EGR1","RKIP","cateninmemb","Wnt","TCFLEF","Frizzled","MEK","SNAI1","GLI","SUFU","Patched","SMO","NFB","IKK","HEY1","NOTCH","miR200","ILK","SMAD","PAK1","Ecadherin","TGFR","TGF","Jagged","ZEB2","KLF4"
"LIV1",0.289915966386555,0.115384615384615,0.159941520467836,0.138461538461538,0.11845183982684,0.153461682881038,0.15952380952381,0.175,0.236228858455598,0.121886775816445,0.112755230478003,0.26695652173913,0.1,0.0914814814814815,0.299159911569639,0.126616616616617,0.11,0.05,0.0797657774886142,0.0948798517732783,0.071961373279337,0.0883164776074471,0.0890297040225304,0.0890297040225304,-0.0890297040225304,-0.0699387949316213,-0.132352813852814,-0.0912403740374037,-0.11,-0.28,-0.194277968808356,-0.11474626353271,-0.125692007797271,-0.13016263788541,-0.0914814814814815,-0.272493244902972,-0.246710332053373,-0.113496885846051,-0.142857142857143,-0.155461682881038,-0.136943164362519,-0.15,-0.171052631578947,-0.188840138754152,-0.147252747252747,-0.276963703494011,-0.198165215907151,-0.208487796552313,-0.276190476190476,-0.217777476698474,-0.2853705118411,-0.287009856103395,-0.167117842535787,-0.397786084841043,-0.393945355191257
"cfos",0.276190476190476,0.138461538461538,0.171052631578947,0.1,0.13045183982684,0.155461682881038,0.142857142857143,0.1,0.230080576357949,0.13016263788541,0.126616616616617,0.28,0,0.11,0.26695652173913,0.0914814814814815,0.05,0.1,0.101149425287356,0.0820978968860602,0.0567889594862335,0.0931396287328491,0.0622004357298475,0.0622004357298475,-0.0622004357298475,-0.0890297040225304,-0.119852813852814,-0.0763888888888889,-0.05,-0.28,-0.185990675990676,-0.122621721408168,-0.0914814814814815,-0.112755230478003,-0.11,-0.299159911569639,-0.245517014630939,-0.125692007797271,-0.1,-0.136943164362519,-0.15952380952381,-0.175,-0.15,-0.172663668165917,-0.115384615384615,-0.278486546133605,-0.18042328042328,-0.198165215907151,-0.242857142857143,-0.20926536597183,-0.289915966386555,-0.2853705118411,-0.168958333333333,-0.394892194165802,-0.390666666666667
"CDC42",0.276190476190476,0.138461538461538,0.171052631578947,0.1,0.13045183982684,0.155461682881038,0.142857142857143,0.1,0.230080576357949,0.13016263788541,0.126616616616617,0.28,0,0.11,0.26695652173913,0.0914814814814815,0.05,0.1,0.101149425287356,0.0820978968860602,0.0567889594862335,0.0931396287328491,0.0622004357298475,0.0622004357298475,-0.0622004357298475,-0.0890297040225304,-0.119852813852814,-0.0763888888888889,-0.05,-0.18,-0.185990675990676,-0.122621721408168,-0.0914814814814815,-0.112755230478003,-0.11,-0.299159911569639,-0.245517014630939,-0.125692007797271,-0.1,-0.136943164362519,-0.15952380952381,-0.175,-0.15,-0.172663668165917,-0.115384615384615,-0.278486546133605,-0.18042328042328,-0.198165215907151,-0.342857142857143,-0.20926536597183,-0.289915966386555,-0.2853705118411,-0.168958333333333,-0.394892194165802,-0.390666666666667
"NOTCH",0.233333333333333,-0.0142857142857143,0.144444444444444,0,0.0895071403692093,0.118665158371041,0.1,0,0.233425506954919,0.104250035678607,0.081958041958042,0.18,0,0.04,0.28,0.109230769230769,0.1,0,0.0551752021563342,0.0869801176343232,0.0797959183673469,0.0734299516908213,0.103636363636364,0.103636363636364,-0.103636363636364,-0.0558102766798419,-0.127033898305085,-0.0768421052631579,-0.1,-0.2,-0.206984969053935,-0.100141572902431,-0.109230769230769,-0.122617382617383,-0.04,-0.258571428571429,-0.233076923076923,-0.081958041958042,0,-0.148076923076923,-0.125,-0.1,-0.177777777777778,-0.26231884057971,-0.134101382488479,-0.277748917748918,-0.161904761904762,-0.178571428571429,-0.2,-0.213954725523486,-0.261333333333333,-0.274236559139785,-0.133429533429533,-0.389694041867955,-0.363768115942029
"SRC",0.336111111111111,0.0966666666666667,0.0581196581196581,0.13,-0.217056277056277,0.167494553376906,0.133333333333333,-0.05,0.0934542365464847,-0.0316661746934336,-0.0461475409836066,0.209090909090909,-0.1,-0.075,0.242424242424242,-0.015,0.1,0,-0.0575545072038761,-0.0527436693741042,0.124257703081232,0.0437556154537287,0.109052982895286,0.109052982895286,-0.109052982895286,-0.0666287404710433,-0.17666035114311,-0.197142857142857,0,-0.2,-0.314336917562724,0.00984396048495733,0.015,0.0144402239104358,0.075,-0.21412235563179,-0.276132022917644,0.0461475409836066,-0.0333333333333333,-0.179259259259259,-0.153333333333333,-0.0166666666666667,-0.0858974358974359,-0.164697120158888,-0.13952380952381,-0.305375494071146,-0.196929824561403,-0.208641536273115,-0.311111111111111,-0.0482166199813259,-0.350396825396825,-0.355851370851371,-0.107071865443425,-0.388701707097934,-0.279263565891473
"STAT",0.246022727272727,0.0886062533121357,0.119346246973366,0.0372549019607843,-0.000865598575878942,0.156645743294231,0.125,0.05,0.0482741616515892,-0.010640363185971,-0.00854007104007104,0.246666666666667,0,-0.00892857142857143,0.217254901960784,-0.0452922077922078,-0.0714285714285714,0.1,-0.0181641887524241,-0.0359751999287253,0.00197682344921609,0.0923973462435001,-0.0529673283705542,-0.0529673283705542,0.0529673283705542,0.0208777761317482,-0.194197598170612,-0.17811986863711,0.0714285714285714,-0.166666666666667,-0.139037966537967,0.00929898679205788,0.0452922077922078,0.0303066325542666,0.00892857142857143,-0.257039848197343,-0.192191242473099,0.00915775401069519,-0.1,-0.132751937984496,-0.158333333333333,-0.13,-0.0871428571428571,-0.173333333333333,-0.0526839232150483,-0.261126789646741,-0.17890499194847,-0.188100394247321,-0.227272727272727,-0.0275024458992287,-0.256549043062201,-0.253167400550124,-0.105729621733711,-0.37097005558544,-0.270845712022183
"Jagged",0.2,0,0.177777777777778,-0.1,0.109961685823755,0.148076923076923,0,0,0.2149069884364,0.122617382617383,0.109230769230769,0.2,0,0.1,0.18,0.04,0,0,0.0985714285714286,0.0561389961389961,0.0614285714285714,0.0623188405797102,0.04,0.04,-0.04,-0.103636363636364,-0.105,-0.04,0,-0.1,-0.18974358974359,-0.117419059813426,-0.04,-0.081958041958042,-0.1,-0.28,-0.25,-0.109230769230769,0,-0.125,-0.1,0,-0.1,-0.266666666666667,0.0142857142857143,-0.260606060606061,-0.166666666666667,-0.161904761904762,-0.2,-0.199438596491228,-0.233333333333333,-0.261333333333333,-0.151948051948052,-0.363768115942029,-0.333333333333333
"ILK",0.217647058823529,-0.0807692307692308,0.0411764705882353,-0.05,-0.0797017797017797,0.111324786324786,0.1,0.0333333333333333,-0.0183888620688114,-0.0221241805429181,-0.0344184318097362,0.142857142857143,0,-0.0555555555555556,0.207563025210084,0.00096618357487922,0,-0.1,-0.0506666666666667,-0.011307039837679,0.200102206736353,0.0470952009997241,0.154701298701299,0.154701298701299,-0.154701298701299,-0.110865682262943,-0.107424000724072,-0.151538461538462,0,-0.2,-0.213477698771816,-0.0928730018684907,-0.00096618357487922,-0.00117478852924688,0.0555555555555556,-0.163300730128117,-0.225289855072464,0.0344184318097362,0,-0.130769230769231,-0.1,-0.0333333333333333,-0.0745098039215686,-0.146806578549087,0.0291563275434243,-0.263008351123105,-0.135606242496999,-0.147606242496999,-0.2,-0.163612798567342,-0.221647058823529,-0.228964131994261,-0.0698245614035088,-0.338970738594868,-0.326315789473684
"cMet",0.2725,0.0804511278195489,0.23125,0.0857142857142857,-0.214477726574501,0.218863636363636,0.15,0.1,0.303788636343381,-0.0459677794285599,-0.0537209302325581,0.1,0,0.05,0.14,-0.07,0,0.1,-0.0493650793650794,-0.132519518864057,0.132225738396624,-0.0673881673881674,0.146666666666667,0.146666666666667,-0.146666666666667,-0.141006289308176,-0.21616742807754,-0.0880952380952381,0.1,-0.1,-0.277777777777778,-0.0368215947753314,0.07,0.0521824686940966,0.05,-0.112727272727273,-0.271909550455492,0.0518181818181818,-0.1,-0.206363636363636,-0.17,-0.166666666666667,-0.2,-0.172205022359821,-0.0953447448408255,-0.285874231444884,-0.22687074829932,-0.237779839208411,-0.26,-0.0969845118252515,-0.2725,-0.281010638297872,-0.177332522549914,-0.333766233766234,-0.220634920634921
"CD44",0.26,0.0857142857142857,0.2,0.1,-0.227380952380952,0.206363636363636,0.1,0,0.302328782328782,-0.0521824686940966,-0.07,0.1,-0.1,0,0.1,0.05,0.1,0.1,-0.07,-0.134546545891084,0.120833333333333,-0.0603174603174603,0.166666666666667,0.166666666666667,-0.166666666666667,-0.146666666666667,-0.210549450549451,-0.0880952380952381,0,0,-0.259259259259259,-0.0314835164835165,0.05,0.0537209302325581,0.1,-0.14,-0.273604465709729,0.07,-0.1,-0.17,-0.15,-0.1,-0.166666666666667,-0.158479532163743,-0.0804511278195489,-0.282749231444884,-0.216666666666667,-0.22687074829932,-0.2,-0.0875697535555314,-0.2725,-0.2725,-0.164289044289044,-0.320634920634921,-0.215873015873016
