"","Patched","SHH","HEY1","SMO","Csl","NOTCH","NOTCHic","SMAD","AXIN2","SNAI2","DSH","GLI","SNAI1","STAT","SRC","cateninnuc","RKIP","LIV1","Destcompl","TWIST1","PAK1","PI3K","CDC42","ZEB2","GSK3","TGFR","TGF","RAS","RAF","DELTA","KLF4","FOXC2","miR200","CD44","TCFLEF","cMet","MEK","ERK","EGR1","Frizzled","Wnt","cfos","cateninmemb","IKK","AKT","NFB","TrCP","Csn","SOSGRB2","SUFU","ILK","FUS","Jagged","ZEB1","Ecadherin"
"DSH",0.0996089931573803,0.10881144714511,0.157989490912223,0.106060606060606,0.152380952380952,0.166805743276332,0.166106442577031,0.139860442053485,0.0670743347516971,-0.0671657567818405,0,0.0186385080347929,-0.150489993098689,0,0.00526315789473684,0.0186716814888737,-0.16465700965701,0,-0.0417459083876349,-0.148217712616962,-0.0733333333333333,-0.171319314750728,-0.0646376811594203,-0.265895103275734,-0.166063782072263,0.0655900621118013,0.0666353582790486,0.170478978616274,0.171319314750728,0.171319314750728,-0.26157025917163,0.0529835077203498,-0.215171455407736,-0.0187683613006025,-0.0159112184434596,-0.00883458646616541,-0.00354153357249333,0.000217864923747274,0.0333333333333333,-0.00526315789473684,-0.00883458646616541,0.00392156862745098,0.111066007485424,-0.197083333333333,-0.195933908045977,-0.178333333333333,-0.133333333333333,-0.153333333333333,0.0665927568366593,-0.1,-0.143256668468579,-0.0727272727272727,-0.0802733905401484,-0.0495815091738616,0.171924099082552
"STAT",0.0769767441860465,0.0743218769294093,0.115333333333333,0.07,0.0274509803921569,0.0538482514496221,0.062586115527292,0.121858515186851,0.064519402166461,-0.0498813307904217,-0.0142857142857143,0.022135217723453,-0.0485741137011097,-0.0142857142857143,0.0107142857142857,0.017333005377113,-0.0166167953667954,0.1,0.0165616499262847,-0.143125947848587,0.0272727272727273,0.0227615798180314,0.00852272727272727,-0.233826429980276,0.00875611927013796,-0.0216806220095694,-0.0144342451979752,-0.0317168036986284,-0.0227615798180314,-0.0227615798180314,-0.332422261834027,-0.029348329925017,-0.216661658226818,-0.0224081474081474,-0.015783541729914,-0.00616883116883117,0.136774193548387,0.14,0.2,-0.0107142857142857,-0.00616883116883117,0.14,-0.0239933507389553,-0.0928571428571429,-0.0809927360774818,-0.05,0,-0.05,0.0276272577996716,-0.1,-0.111513687600644,-0.05,-0.0690418108319062,-0.077039627039627,-0.00916577712224628
"Jagged",0.05,0.0730769230769231,0.0166666666666667,0.1,-0.1,-0.08,-0.08,0.111904761904762,-0.132857142857143,-0.206184012066365,0,-0.0815384615384615,0.00833333333333333,0,-0.1,-0.0680852480852481,0.0256410256410256,0,-0.0737142857142857,-0.028,0,-0.14,0,-0.229710144927536,-0.0923371647509579,-0.0333333333333333,-0.0133333333333333,0.112727272727273,0.14,0.14,-0.216666666666667,0.0157142857142857,-0.215757575757576,0.0815384615384615,0.0845687645687646,0.12,0.08,0.18,0.1,0.1,0.12,0.2,0.0759264678982989,-0.1,-0.111111111111111,0,0,0,0.16,0,-0.116666666666667,0,-0.0355844155844156,-0.0789855072463768,0.104561403508772
"PAK1",0.0862348523638846,0.101234852363885,0.124590645853544,0.0899385560675883,0.0871794871794872,0.0832234432234432,0.0733333333333333,0.119324116743472,-0.125577965734114,-0.202479015948479,-0.09,-0.0854243331907003,-0.00217875998305593,-0.09,-0.101111111111111,-0.0856871046533047,0.0224078867725276,-0.15,-0.0912575525951809,-0.0336155655938265,0.019047619047619,-0.115755353631968,0.0327731092436975,-0.229418737902268,-0.109895021645022,-0.0251973516679399,-0.0273831440176667,0.114391717268331,0.115755353631968,0.115755353631968,-0.222952380952381,-0.0197590895062819,-0.215831371773444,0.0864201825587964,0.0867905529291668,0.0794894894894895,0.0752905919921395,0.0739572586588062,0.08,0.101111111111111,0.0800584795321637,0.0756521739130435,0.0897921430512746,-0.134210526315789,-0.136062378167641,-0.15,-0.1,-0.1,0.115882838283828,-0.0571428571428571,-0.123195084485407,-0.0738095238095238,-0.0697222222222222,-0.0889713725154348,0.0839179039788694
"LIV1",0.0862348523638846,0.101234852363885,0.124590645853544,0.0899385560675883,0.0871794871794872,0.0832234432234432,0.0733333333333333,0.119324116743472,-0.125577965734114,-0.202479015948479,-0.09,-0.0854243331907003,-0.00217875998305593,-0.09,-0.101111111111111,-0.0856871046533047,0.0224078867725276,-0.15,-0.0912575525951809,-0.0336155655938265,0.019047619047619,-0.115755353631968,0.0327731092436975,-0.229418737902268,-0.109895021645022,-0.0251973516679399,-0.0273831440176667,0.114391717268331,0.115755353631968,0.115755353631968,-0.222952380952381,-0.0197590895062819,-0.215831371773444,0.0864201825587964,0.0867905529291668,0.0794894894894895,0.0752905919921395,0.0739572586588062,0.08,0.101111111111111,0.0800584795321637,0.0756521739130435,0.0897921430512746,-0.134210526315789,-0.136062378167641,-0.15,-0.1,-0.1,0.115882838283828,-0.0571428571428571,-0.123195084485407,-0.0738095238095238,-0.0697222222222222,-0.0889713725154348,0.0839179039788694
"CDC42",0.0899385560675883,0.0862348523638846,0.115767116441779,0.0738095238095238,0.0333333333333333,0.0733333333333333,0.0871794871794872,0.123195084485407,-0.126206896551724,-0.200309034031662,-0.15,-0.0800584795321637,-0.00528138528138528,-0.15,-0.09,-0.0867905529291668,0.022960372960373,-0.1,-0.0945658232718726,-0.0374199134199134,0.142857142857143,-0.124291938997821,0.019047619047619,-0.226524847227026,-0.103349567099567,-0.0327731092436975,-0.0251973516679399,0.115755353631968,0.124291938997821,0.124291938997821,-0.222952380952381,-0.0114832274373164,-0.217354214413038,0.0794894894894895,0.0864201825587964,0.101111111111111,0.0739572586588062,0.0756521739130435,0.18,0.09,0.101111111111111,0.08,0.0894258426849742,-0.15,-0.134210526315789,-0.1,0,-0.1,0.120833333333333,-0.1,-0.111904761904762,-0.0571428571428571,-0.0697222222222222,-0.0860774818401937,0.0816341669546479
"SRC",0.119259259259259,0.104553376906318,0.144860973187686,0.0933333333333333,0.135,0.161190476190476,0.139761904761905,0.131887150308203,0.065149390114327,-0.104832670182348,0,0.0149180327868852,-0.140096784394754,0.1,0,0.0224942864017704,-0.224861518409906,0.2,-0.0129304029304029,-0.134725274725275,-0.0444444444444444,-0.179774718397997,-0.0569444444444444,-0.222611560347409,-0.0531601731601732,0.066468253968254,0.0591955266955267,0.175229263852543,0.179774718397997,0.179774718397997,-0.332041343669251,0.0542250233426704,-0.192715561411214,-0.0149180327868852,-0.0307716913234706,-0.01,-0.00364017533828855,0.00202020202020202,0.0333333333333333,0,-0.01,0.0242424242424242,-0.0185447537793743,-0.157692307692308,-0.185470085470085,-0.15,-0.1,-0.15,-0.0114285714285714,-0.0333333333333333,-0.120175438596491,-0.133333333333333,-0.0723200423429781,-0.0372042527702905,-0.0138544407662055
"GLI",0.210280164697458,0.222214321076059,0.132361389789234,0.208239348370927,0.130468611847922,0.131540040419351,0.122968611847922,0.126140642717253,-0.121034118357488,-0.193710036996749,0.04,-0.0487577213452299,-0.0333382209188661,-0.09,-0.0932258064516129,-0.0823788964124911,-0.0177285409062966,-0.15,-0.103639835909357,-0.0480532041058357,-0.0716666666666667,-0.236151942465162,-0.0682183908045977,-0.205809523809524,-0.236983392363109,0.071363044892648,0.0692453978338245,0.234765803851301,0.236151942465162,0.236151942465162,-0.201133419133419,-0.0272285646714826,-0.198943285816351,0.0806101630537996,0.0825582150018516,0.0737136113296617,0.193975628423142,0.190108225108225,0.197142857142857,-0.0367741935483871,-0.0567741935483871,0.188809523809524,0.0869851232011205,-0.171082468074949,-0.172644968074949,-0.181286549707602,-0.133333333333333,-0.144444444444444,0.289423054821285,-0.19047619047619,-0.125059561636172,-0.20297619047619,-0.0894419367459977,-0.0714761904761905,0.0804872902028835
"SHH",0.133333333333333,0.0933333333333333,0.133333333333333,0.1,-0.1,0.0333333333333333,0,0.116666666666667,-0.247619047619048,-0.23455938697318,0,0,-0.0333333333333333,-0.1,-0.1,-0.101111111111111,-0.04,0,-0.00701298701298702,0.025,-0.2,-0.2,-0.166666666666667,-0.2,-0.0256410256410256,0.166666666666667,0.146666666666667,0.223076923076923,0.2,0.2,-0.2,0.075,-0.133333333333333,0.1,0.106666666666667,0.1,0.12,0.1,0,0,0,0.1,-0.125017921146953,-0.1,-0.15,0,0,0,0.2,-0.2,-0.133333333333333,-0.2,0.0371428571428572,-0.05,-0.0494444444444444
"SMO",0.0808333333333333,0.0919444444444445,0.134065934065934,0.0933333333333333,0.0333333333333333,0.0606060606060606,0.0606060606060606,0.125555555555556,-0.256709956709957,-0.225797482211275,0,0.00555555555555555,-0.0365591397849462,-0.1,-0.1,-0.0951909709548953,-0.0257142857142857,-0.1,-0.000998846115125188,0.0302287581699346,-0.166666666666667,-0.223076923076923,-0.146666666666667,-0.188418079096045,-0.0350723709947011,0.146666666666667,0.152072072072072,0.227728085867621,0.223076923076923,0.223076923076923,-0.172222222222222,0.0818965517241379,-0.13667872212176,0.101111111111111,0.0981984897518878,0.106666666666667,0.0817715617715618,0.0969230769230769,0.1,0,0,0.12,-0.135562689215993,-0.192857142857143,-0.196857142857143,-0.15,0,-0.1,0.194736842105263,-0.1,-0.136666666666667,-0.133333333333333,0.0375396825396825,-0.0516949152542373,-0.0667840353160813
