"","FOXC2","PAK1","TGF","TGFR","SMO","TrCP","FUS","SOSGRB2","TWIST1","Csn","IKK","SNAI2","AKT","NFB","RAF","DELTA","cateninmemb","DSH","KLF4","EGR1","cfos","ERK","GSK3","ZEB2","MEK","AXIN2","SRC","Destcompl","cMet","cateninnuc","TCFLEF","CD44","STAT","LIV1","Frizzled","Wnt","GLI","PI3K","RAS","Ecadherin","HEY1","miR200","ILK","RKIP","SNAI1","SMAD","Jagged","SHH","Patched","SUFU","Csl","NOTCH","NOTCHic","ZEB1","CDC42"
"SHH",0.25,0.2,0.373333333333333,0.333333333333333,-0.3,0,-0.2,0.25,0.075,0,0.1,-0.213869731800766,0.1,0,0.05,0.05,0.0972043010752688,-0.2,0.2,0,0.1,0.1,0.238461538461538,-0.25,-0.08,0.019047619047619,0.1,0.238701298701299,0.1,0.0666666666666667,0.0666666666666667,0.1,0.1,0,0.2,0.2,0.2,-0.05,-0.0576923076923077,-0.0433333333333333,0,0.0333333333333333,0,-0.26,-0.233333333333333,-0.0166666666666667,0.0942857142857143,0.186666666666667,0.266666666666667,0.2,0.1,0.166666666666667,0.2,-0.1,-0.233333333333333
"Patched",0.25,0.233333333333333,0.373333333333333,0.373333333333333,-0.266666666666667,0,-0.3,0.283333333333333,0.0861111111111111,0,0.1,-0.204536398467433,0.0571428571428571,0.1,0.0576923076923077,0.0576923076923077,0.105537634408602,-0.2,0.255555555555556,0.1,0.1,0.08,0.228937728937729,-0.233333333333333,-0.0723076923076923,0.000865800865800864,0.1,0.241998001998002,0.1,0.0598705501618123,0.0666666666666667,0.0666666666666667,0.1,0.1,0.2,0.2,0.175,-0.0576923076923077,-0.0951923076923077,-0.0501294498381877,-0.0230769230769231,0.0119047619047619,-0.0166666666666667,-0.245714285714286,-0.249462365591398,-0.0266666666666667,0.0683597883597884,0.174166666666667,0.186666666666667,0.2,0.2,0.157575757575758,0.166666666666667,-0.1,-0.333333333333333
"PI3K",0.437073170731707,0.375,0.393460066953611,0.392647058823529,0.1,0,0.1,0.178461538461538,0.29799861973775,0.0333333333333333,-0.0392156862745098,0.286390956269864,-0.0469079939668175,-0.0333333333333333,0.364831168831169,0.364831168831169,-0.0733627584243157,0.1,0.22609649122807,-0.0333333333333333,-0.0333333333333333,-0.0509803921568627,0.318554593554594,-0.232128714478147,0.075570556091289,-0.117619047619048,-0.177777777777778,0.259802118958719,-0.173429951690821,-0.17922026249249,-0.182313045997644,-0.174968413229283,-0.1,-0.1,-0.177777777777778,-0.173429951690821,-0.174968413229283,-0.364831168831169,-0.364831168831169,0.00138821313114868,-0.0859886321595534,0.0166760650367208,-0.101240496198479,-0.251179702650291,-0.276006441223832,-0.103640496198479,-0.129824561403509,-0.147649572649573,-0.161538461538462,-0.1,-0.225,-0.28802729528536,-0.255769230769231,-0.147773017186815,-0.392647058823529
"AKT",0.432561892536219,0.392647058823529,0.389532574506481,0.393460066953611,0.161538461538462,0.0333333333333333,0.1,0.176239316239316,0.29708118854509,-0.0333333333333333,-0.0469079939668175,0.288903519083934,-0.153978701037525,-0.0392156862745098,0.364831168831169,0.364831168831169,-0.0714259592398101,0.177777777777778,0.230369995501574,-0.0333333333333333,-0.0509803921568627,-0.075570556091289,0.312909432264271,-0.225279399409654,0.0730389105216687,-0.118702080110022,-0.173429951690821,0.260381109860291,-0.174968413229283,-0.179681800954028,-0.17922026249249,-0.182313045997644,-0.177777777777778,-0.1,-0.173429951690821,-0.174968413229283,-0.183348301497439,-0.364831168831169,-0.369891409795024,0.00396397070690626,-0.0867405118588015,0.0145370276035657,-0.103640496198479,-0.241862932463956,-0.277259574055913,-0.103303795861779,-0.135122574648542,-0.149754835807467,-0.147649572649573,-0.1,-0.255769230769231,-0.28192973430975,-0.28802729528536,-0.146403154173117,-0.392647058823529
"SUFU",0.258431995964927,0.373333333333333,0.37325802196506,0.376611079164271,-0.1575,0.1,-0.174166666666667,0.286885044779782,0.0919206609255314,0.0571428571428571,0.0419120879120879,-0.189506034716134,0.0385563832141013,0.0611428571428571,0.0967968573013257,0.0967968573013257,0.105399176348692,-0.175,0.236650742231384,0.0723076923076923,0.0571561771561772,0.0445124989952576,0.223364538947351,-0.224261636122426,-0.0432359032505768,0.00256939871558791,0.0666666666666667,0.23892194665953,0.0598705501618123,0.0592299621188148,0.0599972255459248,0.0583667907633161,0.0666666666666667,0.1,0.175,0.169230769230769,0.16737203317129,-0.0967968573013257,-0.0967968573013257,-0.0473695127598163,-0.03034325548731,0.0156266601404186,-0.0226523297491039,-0.24017906819085,-0.233954376532253,-0.0182643389869792,0.0612254144201888,0.158007000507001,0.164570707070707,0.186666666666667,0.137575757575758,0.122460317460317,0.121666666666667,-0.109886176803456,-0.378738738738739
"DSH",0.417260096085065,0.373333333333333,0.367851335656214,0.372380952380952,0.161471861471861,-0.0666666666666667,0.109090909090909,0.143015521064302,0.28005334048513,-0.126666666666667,-0.139166666666667,0.269374031172425,-0.144913793103448,-0.126666666666667,0.357896082367694,0.357896082367694,-0.0733290625347582,0.175,0.216077887465666,-0.0333333333333333,-0.0509803921568627,-0.0694989106753812,0.300833897014791,-0.210352139722609,0.0672432715776369,-0.113792383654026,-0.169736842105263,0.245281291309579,-0.17687969924812,-0.175978356856741,-0.175533120881674,-0.178866454215008,-0.175,-0.1,-0.169736842105263,-0.17687969924812,-0.180147673104329,-0.357896082367694,-0.359296642591784,-0.00574165904742162,-0.0852327217388808,0.00874946107415619,-0.104633143668136,-0.227099567099567,-0.272943409247757,-0.102746351215306,-0.133746942751731,-0.154090108058048,-0.14856863566541,-0.1,-0.247619047619048,-0.269612740200975,-0.273109243697479,-0.131624453693576,-0.373333333333333
"GSK3",0.415824689386501,0.373333333333333,0.366056463861342,0.367851335656214,0.14856863566541,-0.126666666666667,0.161471861471861,0.136038776878255,0.278388807834682,-0.126666666666667,-0.144913793103448,0.270236843942054,-0.143204391394047,-0.139166666666667,0.359296642591784,0.359296642591784,-0.0748321571413011,0.169736842105263,0.206154223343529,-0.0509803921568627,-0.0694989106753812,-0.0672432715776369,0.20066750766371,-0.210203551312505,0.0706523624867278,-0.113031348646416,-0.17687969924812,0.244330252211305,-0.178866454215008,-0.174728356856741,-0.175978356856741,-0.175533120881674,-0.169736842105263,-0.175,-0.17687969924812,-0.180147673104329,-0.176845786311877,-0.359296642591784,-0.355094961919515,-0.00419407919888688,-0.080734451842687,0.0112113602535231,-0.102746351215306,-0.224843928001823,-0.27017485996758,-0.101397025877975,-0.130973220123994,-0.154090108058048,-0.154090108058048,-0.109090909090909,-0.273109243697479,-0.271950402538638,-0.269612740200975,-0.132070218923888,-0.372380952380952
"cateninnuc",0.109612060071076,0.169142857142857,0.168083818304869,0.168957180750284,-0.0428051001821494,-0.0333333333333333,-0.0444444444444444,0.175125395332334,0.0316276052857777,-0.0208333333333333,-0.0419848484848485,-0.221452414293284,-0.0451098484848485,-0.0359848484848485,0.0876665676665676,0.0876665676665676,0.0776315607886859,-0.0498834498834499,0.186471545457311,0.0869565217391304,0.0853692201518288,0.0790401062277782,0.246314907167043,-0.188315883088427,-0.0739942346681452,-0.00655160228873981,0.035994560994561,0.243517569879783,0.0338206479510827,-0.0657355464249731,0.0332978697584016,0.0338206479510827,0.0498834498834499,0.0575757575757576,0.0375546827601622,0.035380769716684,0.035380769716684,-0.0876665676665676,-0.0868248168248168,-0.0335921577547704,-0.0665881273565766,0.0293016780521178,-0.0577893217893218,-0.234291105916416,-0.226177841608005,-0.0571071935492127,0.0229868461967345,0.0337711484372002,0.0322460939709692,0.0444444444444444,0.098932831136221,0.0844296598888637,0.0907932962525,-0.113688253304423,-0.170681318681319
"cateninmemb",0.0459358770906944,0.107454545454545,0.112627747059979,0.113893569844789,-0.104166666666667,0.1,-0.116666666666667,0.177086154494297,-0.0680055013936052,0.04,0.0447619047619048,-0.206319544011845,0.036969696969697,0.0447619047619048,7.91855203619907e-05,7.91855203619907e-05,0.0771494030377895,-0.127450980392157,0.193858415377403,0.110909090909091,0.099144385026738,0.0960516015215833,0.227320710914267,-0.187549337519992,-0.0933065034823676,0.0635057394178131,0.125125398996808,0.224229501493625,0.115560181605504,0.112364198572082,0.112084086527264,0.111212355518547,0.127450980392157,0.133333333333333,0.125125398996808,0.116504709341636,0.112504709341636,-7.91855203619907e-05,-0.00175516317399328,0.0486778024751416,-0.0874419224675837,0.0556357505519517,-0.0775652173913044,-0.215333106344342,-0.205698360913179,-0.0782916096431203,0.0977771879610434,0.104031199729066,0.109543010752688,0.166666666666667,0.113492822966507,0.102187108790291,0.106276328121146,-0.141265754992443,-0.111454545454545
"Destcompl",0.260468348782711,0.176326530612245,0.169295159079966,0.170772991592281,0.244170771756979,-0.2,0.229885057471264,-0.0128813458295203,0.245587609024533,-0.214285714285714,-0.22568406916233,0.376826460487397,-0.226355210101927,-0.222981366459627,0.297999321204579,0.297999321204579,-0.247791005157564,0.282539682539683,0.17025684262595,-0.061025641025641,-0.0640559440559441,-0.0700668730176927,0.239279903133357,-0.179081978767455,0.0696449320894227,-0.139226751514011,-0.286649271580778,0.155396713942551,-0.285156734267346,-0.28266764499213,-0.2831775888983,-0.284410465610629,-0.282539682539683,-0.261111111111111,-0.286649271580778,-0.285659172570877,-0.28547364381392,-0.297999321204579,-0.29705740597695,0.00814484128385868,-0.0949279780049011,0.0412969255963627,-0.116269841269841,-0.200476094640154,-0.211312033082402,-0.116386800334169,-0.292757459090251,-0.243334941288252,-0.244688906472005,-0.233333333333333,-0.289847238542891,-0.296453930187049,-0.297455934195065,-0.132009749937595,-0.172878254750176
