"","miR200","SUFU","LIV1","SNAI2","CDC42","Csn","TGF","FOXC2","ERK","FUS","ZEB2","ZEB1","SMO","IKK","AXIN2","NFB","TCFLEF","CD44","STAT","TWIST1","cMet","Csl","SRC","GSK3","RKIP","RAS","RAF","PI3K","DELTA","Ecadherin","Frizzled","SNAI1","Wnt","DSH","GLI","KLF4","Jagged","NOTCHic","cateninmemb","NOTCH","cateninnuc","SOSGRB2","Patched","SMAD","SHH","ILK","MEK","EGR1","HEY1","AKT","cfos","PAK1","TGFR","Destcompl","TrCP"
"RAS",0.134892307692308,-0.1,0,0.350989192912588,0.18,-0.2,0.206616191030868,0.227777777777778,0.154210526315789,0,-0.100868924889543,-0.100868924889543,0.0333333333333333,-0.0666666666666667,0.0949670619235837,-0.1,0.102611918744585,0.116458072590738,0.1,0.195231860338243,0.144117647058824,-0.15,0.15,0.0401550387596899,-0.0797672955974843,-0.00641025641025641,0.101282051282051,0.101282051282051,-0.101282051282051,0.0447216392046498,-0.15,-0.17952802359882,-0.144117647058824,-0.1,-0.119117647058824,-0.0957142857142857,0.0453932584269663,0.134210526315789,0.0507959245958317,0.14364448857994,-0.106861210529287,-0.0142857142857143,-0.0373333333333333,-0.0265924551638837,-0.035638418079096,-0.0225108225108225,-0.171857585139319,-0.12,-0.0142292490118577,0.0833333333333333,-0.17,-0.18,-0.191764705882353,0.166785838297466,0.2
"TGF",0.156342603756397,0.133333333333333,0,0.192469361581354,0.431111111111111,0.0333333333333333,0.350753968253968,0.348959627329193,0.28922305764411,0.153333333333333,-0.0848591174906964,-0.0848591174906964,0.136666666666667,0.0297619047619048,-0.0204585537918871,0.0583333333333333,-0.0343495531281033,-0.0369811320754717,0,0.209444444444444,-0.02,0.0533333333333333,0,0.0956356972012549,-0.126839826839827,0.103571428571429,0.119642857142857,0.119642857142857,-0.119642857142857,0.0621580559598141,0.0142857142857143,-0.253601398601399,0.0342857142857143,0,0.051266846361186,-0.0830409356725146,-0.165506872852234,-0.0333333333333333,0.0217392130589055,-0.0436781609195402,0.0286079263338449,-0.160526315789474,-0.147011494252874,-0.159286412512219,-0.143886494252874,-0.156060606060606,-0.295889724310777,-0.266666666666667,-0.163958736299162,-0.0350250626566416,-0.252380952380952,-0.42,-0.445396825396825,0.0403449560094898,0
"HEY1",0.116752136752137,0.2,0.1,0.188674095293862,0.0914545454545455,-0.2,0.0789667405764967,0.192043086643813,0.197860962566845,0.1,-0.082125902992776,-0.082125902992776,0.1,-0.146666666666667,0.0494201573074812,-0.18,0.0681959167738029,0.0698681575764785,0.0333333333333333,0.173106753812636,0.0672594619243046,-0.134545454545455,0.0509803921568628,0.155680463137604,-0.126767676767677,0.156983408748115,0.155512820512821,0.155512820512821,-0.155512820512821,0.0324598308522344,-0.0509803921568628,-0.148606797252073,-0.0672594619243046,-0.0333333333333333,-0.0689835998553391,-0.0925925925925926,0.0461850892735451,0.124019138755981,0.0362482109128451,0.127111922261135,-0.0650825917426697,-0.0882647226986849,-0.11875,-0.0543188405797101,-0.11122311827957,-0.0586666666666667,-0.182397045041072,-0.2,-0.0251031321619557,0.139259259259259,-0.227272727272727,-0.0954545454545455,-0.0794545454545455,-0.142786061310756,0.1
"ZEB2",-0.111058347947755,-0.1,-0.1,-0.0957141216698859,-0.0911688311688312,-0.0888888888888889,-0.0809647495361781,-0.0762595182595183,-0.0751556310130164,-0.0714285714285714,-0.0693497196220097,-0.0693497196220097,-0.0628571428571429,-0.0625,-0.0557400277389487,-0.0513888888888889,-0.0442326277352223,-0.0407115009746589,-0.04,-0.0327783931256179,-0.0305263157894737,-0.0256410256410256,-0.02,-0.0123000603705886,-0.0116908212560386,-0.00488018762108698,-0.00380952380952381,-0.00380952380952381,0.00380952380952381,0.00889978342896571,0.0163636363636364,0.0187131818385795,0.0291841491841492,0.0363636363636364,0.0383584611107547,0.0390971356218443,0.0399205098000489,0.0403076923076923,0.0404137990799825,0.040854140395124,0.0430637965663911,0.0478205128205128,0.0531010452961672,0.0576931633578834,0.0594646816598036,0.0613516999432492,0.0617409968666749,0.0666666666666667,0.0678096097450936,0.070911214953271,0.0719298245614035,0.0857142857142857,0.0904885590599876,0.0909076209045515,0.1
"AXIN2",0.0902384050608342,-0.05,-0.0666666666666667,-0.10909154842513,0.100787037037037,-0.0333333333333333,0.107192013817901,0.0944171051431005,0.0610941417825393,-0.0423076923076923,-0.0603499388738018,-0.0603499388738018,-0.0470695970695971,-0.0507246376811594,-0.0838878049527543,-0.0376811594202899,-0.0595589364376068,-0.0610829692629292,-0.0466666666666667,0.0106096172627613,-0.0576129377171879,0.016140350877193,-0.0489922480620155,0.0760447299966751,-0.0746085903343968,0.0623169578786286,0.064679162603038,0.064679162603038,-0.064679162603038,-0.0324588018524129,0.0489922480620155,-0.0804344994421605,0.0576129377171879,0.0466666666666667,0.0607575918052382,-0.0570180304774561,-0.0866882353838875,-0.00899749373433584,-0.0829616286620753,-0.0117001964370385,0.0578728145180219,-0.00271863090937425,0.0452838827838828,-0.0776282493673798,0.0462674893412598,-0.0752472969864274,-0.0673010383342635,-0.06,-0.0777998804367973,0.0518357487922705,-0.0526829268292683,-0.0970833333333333,-0.105211815798099,-0.0730513615437875,0.0666666666666667
"NOTCH",0.155670995670996,0.1,0,0.244319950202303,0.311111111111111,0.1,0.353691756272401,0.383061224489796,0.253333333333333,0.0666666666666667,-0.050805152979066,-0.050805152979066,0.0916666666666667,0.0333333333333333,0.0438274932614555,0.0666666666666667,0.0355844155844156,0.0234965034965035,0.1,0.182915254237288,0.0507692307692308,-0.06,0.12,0.0779606408916754,-0.162599469496021,0.0905928853754941,0.103636363636364,0.103636363636364,-0.103636363636364,0.0199671760045274,-0.12,-0.217692307692308,-0.0507692307692308,-0.1,-0.0234965034965035,-0.0471014492753623,-0.10022126022126,0.0885714285714286,-0.0212586130778005,-0.0404608294930876,-0.0425231910946197,-0.165263157894737,-0.130128205128205,-0.116190476190476,-0.0889517345399698,-0.0928571428571429,-0.296190476190476,-0.2,-0.0036231884057971,-0.0333333333333333,-0.22,-0.3,-0.331111111111111,-0.0858599213365569,0
"SHH",0.166666666666667,0,0,0.241455938697318,0.0333333333333333,0,0.173333333333333,0.325,0.1,0,-0.05,-0.05,0.1,-0.1,-0.019047619047619,0,0.00666666666666667,0,0.1,0.125,0,-0.1,0.1,0.158974358974359,-0.22,0.157692307692308,0.15,0.15,-0.15,0.0461111111111111,-0.2,-0.2,-0.1,-0.2,-0.1,-0.05,0.0542857142857143,0.2,0.0894623655913978,0.166666666666667,0.00444444444444444,0,-0.133333333333333,-0.0333333333333333,-0.173333333333333,0,-0.2,0,0,0.1,-0.1,0,-0.133333333333333,-0.14987012987013,0
"Jagged",0.144242424242424,0,0,0.243790849673203,0.3,0,0.331111111111111,0.372857142857143,0.22,0.1,-0.0471014492753623,-0.0471014492753623,0.0666666666666667,0.0666666666666667,0.0457142857142857,0.1,0.0234965034965035,0.0507692307692308,0,0.188,0.12,0,0.1,0.0938697318007663,-0.138461538461538,0.103636363636364,0.14,0.14,-0.14,0.0231929824561403,-0.1,-0.25,-0.12,0,-0.0507692307692308,-0.0166666666666667,-0.0928138528138528,0.06,-0.0301591366380099,0.0885714285714286,-0.0355844155844156,-0.16,-0.0916666666666667,-0.0928571428571429,-0.130128205128205,-0.116666666666667,-0.253333333333333,-0.1,-0.0166666666666667,-0.0333333333333333,-0.2,-0.2,-0.311111111111111,-0.0905328185328185,0
"TCFLEF",0.147185886402754,0.0833333333333333,-0.0333333333333333,0.21377405919261,0.326595110316041,-0.123376623376623,0.330723351945056,0.417192169269108,0.207456445993031,0.0766666666666667,-0.0372724171539961,-0.0372724171539961,0.0957142857142857,-0.0872475911185589,-0.0302290598290598,-0.103376623376623,-0.111051979477869,-0.00704281567489115,-0.0208333333333333,0.182539314363817,-0.00326923076923077,-0.175689462776981,-0.00583333333333333,0.0890972173655741,-0.0862281305965009,0.156971514873786,0.156577296739752,0.156577296739752,-0.156577296739752,0.159947197540636,0.0124509803921569,-0.220473201833034,0.0098868778280543,0.0274509803921569,0.0142347039150108,-0.135556722689076,0.0430168265372887,0.17176789414953,0.0850815707254864,0.178744638335576,0.111309711436632,-0.0533892215568862,-0.086036866359447,-0.025237408080721,-0.0884908540895084,-0.0200748841801473,-0.210857806537249,-0.242857142857143,0.0165135915247248,0.097030199814211,-0.21602787456446,-0.335897435897436,-0.329398848633798,-0.0297781076125804,0.114285714285714
"TrCP",0.135861149566733,0.080952380952381,0.1,0.238283829570903,0.346218487394958,0.0416666666666667,0.332333738264307,0.338133261715115,0.265350036845984,0.114285714285714,-0.0299822637649534,-0.0299822637649534,0.0788018433179723,0.0594298245614035,0.0541921492084147,0.0541666666666667,0.0365020466010565,0.0372427873417972,0.04,0.169458027479767,0.0322922922922923,0.0641025641025641,0.0214814814814815,0.05729329004329,-0.109894911718116,0.0718033273915627,0.0727124183006536,0.0727124183006536,-0.0727124183006536,0.0116223143960562,-0.0214814814814815,-0.202503566743318,-0.0293762183235867,-0.04,-0.0347420719821233,-0.0264434035909446,-0.10527756475801,-0.0748717948717949,-0.0339765380543457,-0.0792673992673993,-0.0352606672907117,-0.135918591859186,-0.0849746828241452,-0.1010530807305,-0.0899746828241452,-0.114601467827274,-0.246683370179317,-0.24,-0.118886880089367,-0.0742446393762183,-0.270434782608696,-0.328571428571429,-0.335612426788897,-0.0695461683253778,-0.0666666666666667
