"","ZEB2","ZEB1","NOTCH","Csl","Jagged","miR200","KLF4","TWIST1","Frizzled","GLI","SMAD","SRC","RKIP","cMet","CD44","TCFLEF","cateninnuc","Destcompl","FUS","cateninmemb","SMO","Patched","SUFU","SNAI2","SNAI1","EGR1","MEK","PAK1","TGFR","TGF","CDC42","GSK3","cfos","ERK","Ecadherin","Csn","AKT","IKK","NFB","SHH","TrCP","STAT","LIV1","ILK","RAF","PI3K","DELTA","RAS","Wnt","DSH","HEY1","SOSGRB2","AXIN2","NOTCHic","FOXC2"
"Ecadherin",-0.36768533055527,-0.36768533055527,-0.393593420076183,-0.355215311004785,-0.531726194319109,-0.237576505844662,-0.288279418659166,-0.593351638855418,-0.522845417236662,-0.589052313788386,0.024593465978875,-0.522845417236662,-0.37158943250436,-0.560236721584488,-0.590671504193184,-0.611468515401154,-0.626314453776504,-0.494280402865925,0.35,-0.612861238806361,0.39375,0.420631720430107,0.3,-0.292252753413057,-0.418897310572007,0.0709090909090909,0.0493728062921513,0.0790909090909091,0.0964567627494457,0.103870867631905,0.0910909090909091,-0.473225677689315,-0.0650267379679144,-0.0536865317823474,0.302323830466386,-0.12,-0.12976430976431,-0.128465608465608,-0.124761904761905,-0.43874195665058,-0.1,0.464705882352941,0.4,-0.0228985507246377,0.124555052790347,0.124555052790347,0.124555052790347,0.124555052790347,0.559052313788386,0.464705882352941,0.0158713296178752,0.275456651921399,0.63047529607308,0.376864795540867,0.528710206300359
"PI3K",-0.346096856387036,-0.346096856387036,0.106389578163772,0.125,-0.0478947368421053,-0.187747546354104,-0.330482456140351,-0.28768172510154,-0.111111111111111,-0.131311780007432,-0.00434349739895959,-0.111111111111111,-0.352537168713639,-0.132850241545894,-0.131311780007432,-0.136396525770144,-0.137015082471175,-0.447716367021221,0.05,0.0314062574692863,0.0166666666666667,0.0243589743589744,0,-0.0732308582871805,-0.346352657004831,-0.133333333333333,-0.196826927492308,0.125,0.135117647058824,0.13267862266858,0.119117647058824,-0.430218855218855,0.176190476190476,0.182072829131653,-0.186046945135707,0.0333333333333333,0.0653092006033183,0.0627450980392157,0.0333333333333333,-0.0326923076923077,0,0.1,0.1,-0.00125650260104041,-0.256709956709957,-0.256709956709957,-0.256709956709957,-0.26355927177845,0.132850241545894,0.1,-0.0138297514546127,0.238076923076923,0.176,-0.109615384615385,0.451591173054588
"KLF4",-0.343988648090815,-0.343988648090815,-0.376864795540867,-0.323636363636364,-0.511817727499887,-0.224354904354904,-0.262962962962963,-0.562997821350762,-0.464705882352941,-0.559052313788386,0.0228985507246377,-0.464705882352941,-0.344248608534323,-0.522845417236662,-0.560236721584488,-0.590671504193184,-0.611468515401154,-0.477505006780184,0.3,-0.600553546498668,0.35,0.39375,0.2,-0.283643481889879,-0.398644146015045,0.08,0.0536865317823474,0.0590909090909091,0.0910909090909091,0.0964567627494457,0.0790909090909091,-0.452033624709183,-0.0709090909090909,-0.0650267379679144,0.399110588012638,-0.1,-0.128465608465608,-0.124761904761905,-0.12,-0.420631720430107,-0.1,0.4,0.3,-0.02,0.126025641025641,0.126025641025641,0.126025641025641,0.124555052790347,0.522845417236662,0.4,0.0138579067990833,0.251772441395083,0.593155708444214,0.355215311004785,0.495987094172212
"HEY1",-0.343988648090815,-0.343988648090815,-0.376864795540867,-0.323636363636364,-0.511817727499887,-0.224354904354904,-0.262962962962963,-0.562997821350762,-0.464705882352941,-0.559052313788386,0.0228985507246377,-0.464705882352941,-0.344248608534323,-0.522845417236662,-0.560236721584488,-0.590671504193184,-0.611468515401154,-0.477505006780184,0.3,-0.600553546498668,0.35,0.39375,0.2,-0.283643481889879,-0.398644146015045,0.08,0.0536865317823474,0.0590909090909091,0.0910909090909091,0.0964567627494457,0.0790909090909091,-0.452033624709183,-0.0709090909090909,-0.0650267379679144,0.399110588012638,-0.1,-0.128465608465608,-0.124761904761905,-0.12,-0.420631720430107,-0.1,0.4,0.3,-0.02,0.126025641025641,0.126025641025641,0.126025641025641,0.124555052790347,0.522845417236662,0.4,0.0138579067990833,0.251772441395083,0.593155708444214,0.355215311004785,0.495987094172212
"FOXC2",-0.343988648090815,-0.343988648090815,-0.376864795540867,-0.323636363636364,-0.511817727499887,-0.224354904354904,-0.262962962962963,-0.562997821350762,-0.464705882352941,-0.559052313788386,0.0228985507246377,-0.464705882352941,-0.344248608534323,-0.522845417236662,-0.560236721584488,-0.590671504193184,-0.611468515401154,-0.477505006780184,0.3,-0.600553546498668,0.35,0.39375,0.2,-0.283643481889879,-0.398644146015045,0.08,0.0536865317823474,0.0590909090909091,0.0910909090909091,0.0964567627494457,0.0790909090909091,-0.452033624709183,-0.0709090909090909,-0.0650267379679144,0.399110588012638,-0.1,-0.128465608465608,-0.124761904761905,-0.12,-0.420631720430107,-0.1,0.4,0.3,-0.02,0.126025641025641,0.126025641025641,0.126025641025641,0.124555052790347,0.522845417236662,0.4,0.0138579067990833,0.251772441395083,0.593155708444214,0.355215311004785,0.495987094172212
"DSH",-0.329777847473741,-0.329777847473741,0.0910373939785704,0.0976190476190476,-0.0559013700617668,-0.177690009854644,-0.317924451333932,-0.27972912569283,-0.140789473684211,-0.150243255196816,0.00631893931053671,-0.140789473684211,-0.346679986679987,-0.144360902255639,-0.150321167156301,-0.151749738584873,-0.15272925773002,-0.448870216310993,0.0227272727272727,0.0165219704898989,0.037012987012987,0.0402387934645999,0.05,-0.0826656366696987,-0.32451690821256,-0.153333333333333,-0.175589955280358,0.106666666666667,0.120662525879917,0.123101550270161,0.119710144927536,-0.432909311532801,0.15921568627451,0.170326797385621,-0.176675878549753,0.113333333333333,0.135531609195402,0.132083333333333,0.138333333333333,-0.0408522903971153,0.133333333333333,0.125,0.1,-0.00443214685770652,-0.219079821960054,-0.219079821960054,-0.219079821960054,-0.218799709915236,0.144360902255639,0.125,-0.0188979814511729,0.269770879526977,0.197081381968047,-0.0917366946778711,0.440279655065457
"Wnt",-0.306264945002391,-0.306264945002391,0.0976190476190476,0.1,-0.0489950980392157,-0.167171717171717,-0.284313725490196,-0.262647058823529,-0.2,-0.140789473684211,0.00536672629695886,-0.1,-0.318333333333333,-0.125,-0.140789473684211,-0.144360902255639,-0.150321167156301,-0.437551954420212,0,0.0141101694915254,0.05,0.0227272727272727,0,-0.078448275862069,-0.309057971014493,-0.1,-0.15921568627451,0.1,0.106666666666667,0.119710144927536,0.1,-0.419514106583072,0.133333333333333,0.153333333333333,-0.171977445580907,0.1,0.138333333333333,0.113333333333333,0.133333333333333,-0.037012987012987,0.1,0.1,0,-0.00769230769230769,-0.209022556390977,-0.209022556390977,-0.209022556390977,-0.213568010936432,0.125,0.2,-0.021025641025641,0.242424242424242,0.180606060606061,-0.114285714285714,0.409392712550607
"SHH",-0.275,-0.275,-0.2,-0.1,-0.134285714285714,-0.15,-0.25,-0.225,-0.2,-0.35,0.05,-0.1,-0.22,-0.2,-0.25,-0.27,-0.297777777777778,-0.331168831168831,0,-0.177921146953405,0.1,0.133333333333333,0,-0.0977011494252874,-0.25,0,-0.02,0.2,0.266666666666667,0.246666666666667,0.166666666666667,-0.305128205128205,0.1,0,-0.0169444444444444,0,-0.1,-0.1,0,-0.293333333333333,0,0.1,0,-0.0666666666666667,0.05,0.05,0.05,0.0423076923076923,0.3,0.2,-0.0666666666666667,0.2,0.371428571428571,0.2,0.35
"ZEB2",-0.223839349626751,-0.223839349626751,-0.14950483396385,-0.148717948717949,-0.13156260580667,-0.126935656446068,-0.121998264224058,-0.110782757953519,-0.109090909090909,-0.106526806526807,-0.101677872110713,-0.1,-0.0993558776167472,-0.0973684210526316,-0.0973684210526316,-0.0956078576723499,-0.0952182472827395,-0.0909854864773856,-0.0892857142857143,-0.0867407552779064,-0.0864285714285714,-0.0864285714285714,-0.075,-0.0707919771237348,-0.0706260690521407,-0.0416666666666667,-0.0371902908332988,-0.00519480519480519,-0.00178107606679035,-0.00125197553768982,0.00025974025974026,0.0161760100743938,0.0364035087719298,0.0396293152235427,0.0446459410404241,0.0666666666666667,0.0760098650051921,0.0769444444444445,0.0791666666666667,0.0855194805194805,0.1,0.1,0.1,0.102897384305835,0.103008658008658,0.103008658008658,0.103008658008658,0.104079321820221,0.106526806526807,0.109090909090909,0.119882697947214,0.120970695970696,0.127765706702853,0.150051282051282,0.193622377622378
"SRC",-0.198802036537886,-0.198802036537886,0.0707142857142857,0.035,0.159338390966831,-0.10635046113307,-0.308785529715762,-0.00172287482632309,0.25,0.321147540983607,0.0340919867235657,0.25,-0.0660801564027371,0.29,0.321147540983607,0.339440223910436,0.354876465521174,0.099156712852365,0.0333333333333333,0.373439604849573,-0.00666666666666667,-0.0177777777777778,0.0333333333333333,0.0746728108095874,-0.114835292091927,-0.0333333333333333,-0.0664760815704212,0.0666666666666667,0.0636904761904762,0.0545995670995671,0.0541666666666667,-0.123896103896104,0.0606060606060606,0.0494949494949495,-0.334429307076366,-0.1,-0.038034188034188,-0.0435897435897436,-0.0666666666666667,0.0354248366013072,-0.1,-0.3,-0.2,-0.0385964912280702,-0.144030037546934,-0.144030037546934,-0.144030037546934,-0.15009064360754,-0.29,-0.2,-0.01170969877524,-0.0371428571428571,-0.348979982149688,-0.0492857142857143,0.22171802054155
