"","PAK1","STAT","CDC42","cMet","GLI","SRC","TGFR","TGF","ZEB1","KLF4","FOXC2","PI3K","DELTA","cateninmemb","EGR1","SOSGRB2","miR200","Patched","TWIST1","SMO","TrCP","SUFU","FUS","SNAI1","ILK","HEY1","RKIP","Csn","SMAD","ZEB2","SHH","SNAI2","AKT","ERK","cfos","NOTCHic","MEK","NFB","IKK","Csl","NOTCH","Jagged","RAF","GSK3","RAS","Ecadherin","Frizzled","Wnt","DSH","LIV1","CD44","TCFLEF","cateninnuc","AXIN2","Destcompl"
"KLF4",-0.0954545454545455,0.166666666666667,-0.115454545454545,0.238075695394437,0.250144660911678,0.207843137254902,-0.124787878787879,-0.138934220251293,-0.223632610939112,0.12962962962963,-0.326379646434093,0.292692307692308,0.292692307692308,-0.0871765565058248,0.12,-0.206360777587193,-0.0741310541310541,0.24375,-0.331607843137255,0.2,-0.1,-0.2,-0.166666666666667,-0.283595856785715,-0.129333333333333,0.104033613445378,-0.266388373531231,-0.2,-0.140927536231884,-0.169767801857585,-0.26633064516129,-0.15092279374709,-0.216825396825397,-0.110909090909091,-0.110909090909091,-0.0572248803827751,-0.124311152764761,-0.22,-0.205714285714286,-0.0309090909090909,-0.0644413752281359,-0.262914906183272,-0.292692307692308,-0.387401491240108,-0.311809954751131,-0.102094760270415,-0.207843137254902,-0.238075695394437,-0.166666666666667,-0.166666666666667,-0.251119173655306,-0.261487066631895,-0.273317701750201,-0.306594641160747,-0.406615765245566
"HEY1",-0.0954545454545455,0.166666666666667,-0.115454545454545,0.238075695394437,0.250144660911678,0.207843137254902,-0.124787878787879,-0.138934220251293,-0.223632610939112,0.12962962962963,-0.326379646434093,0.292692307692308,0.292692307692308,-0.0871765565058248,0.12,-0.206360777587193,-0.0741310541310541,0.24375,-0.331607843137255,0.2,-0.1,-0.2,-0.166666666666667,-0.283595856785715,-0.129333333333333,0.104033613445378,-0.266388373531231,-0.2,-0.140927536231884,-0.169767801857585,-0.26633064516129,-0.15092279374709,-0.216825396825397,-0.110909090909091,-0.110909090909091,-0.0572248803827751,-0.124311152764761,-0.22,-0.205714285714286,-0.0309090909090909,-0.0644413752281359,-0.262914906183272,-0.292692307692308,-0.387401491240108,-0.311809954751131,-0.102094760270415,-0.207843137254902,-0.238075695394437,-0.166666666666667,-0.166666666666667,-0.251119173655306,-0.261487066631895,-0.273317701750201,-0.306594641160747,-0.406615765245566
"RKIP",-0.3,0,-0.293333333333333,0.0701754385964912,0.0887179487179487,0.0333333333333333,-0.283809523809524,-0.281005785491767,-0.13394643711143,0.129890004782401,-0.292499263188918,0.162012987012987,0.162012987012987,-0.0794438135614606,0.03,-0.237396825396825,-0.014845616574445,0.0426666666666667,-0.258306595365419,0.00666666666666667,-0.1,0.1,0.0333333333333333,-0.281785340361802,-0.0510697475395806,0.0531165311653117,-0.293977591036415,-0.1,-0.0421588564504717,-0.129890004782401,-0.0541420765027322,-0.147063589205572,-0.029491341991342,-0.104137931034483,-0.08,0.0484848484848485,-0.119031548055759,-0.0571428571428571,-0.0446428571428571,0.0666666666666667,0.0254079254079254,-0.0372261298407309,-0.162012987012987,-0.344641449960599,-0.176542901542902,-0.00349563607767277,-0.0333333333333333,-0.0733333333333333,0,0,-0.0855600539811066,-0.0946509630720157,-0.103556815489318,-0.0798523206751055,-0.371596513169728
"SUFU",-0.161666666666667,0.196666666666667,-0.172477477477477,0.233451995685005,0.337681901947701,0.218888888888889,-0.188434924285988,-0.202044391741609,-0.25787815859496,0.109159549752953,-0.414733464533242,0.367583498683707,0.367583498683707,-0.107794650281406,-0.0569230769230769,-0.0960127591706539,-0.031262545239849,0.338686868686869,-0.266866189990867,0.325555555555556,-0.1,-0.253333333333333,-0.303333333333333,-0.297283684341006,-0.140409626216078,0.131479573333947,-0.25797110596816,-0.114285714285714,-0.152649810973584,-0.126441552022159,-0.347567177567178,-0.105663267317957,-0.139456597094181,0.0328896390965356,0.0478321678321678,-0.0295454545454545,0.0282087880327059,-0.102285714285714,-0.125362637362637,-0.0340909090909091,-0.0271645021645022,-0.252549581502877,-0.367583498683707,-0.458279048861671,-0.383722739190036,-0.130099556957116,-0.309722222222222,-0.323183760683761,-0.2875,-0.15,-0.248489589669968,-0.261804807061272,-0.272086136984546,-0.390272417548943,-0.497282566702824
"miR200",-0.0125,0.2,-0.0262254901960784,0.205511328842621,0.216848165918588,0.195652173913043,-0.0342900063251107,-0.0377783784181339,0.0705779569892473,0.114268461007591,-0.0816952153537519,0.194293915040184,0.194293915040184,0.0618290924841291,0.0142857142857143,-0.0626015473887814,-0.00556706940647323,0.0362974683544304,-0.170243968710226,0.0325,0,-0.02,-0.0325,-0.0702029452029452,-0.0171419206817437,0.0134180790960452,-0.0590084155570006,-0.02,-0.0218441150391105,-0.12239247311828,-0.0460800770500826,-0.135005493436002,-0.0424741098028089,-0.0242857142857143,-0.0242857142857143,-0.0170443349753695,-0.0236054421768707,-0.0357894736842105,-0.0443609022556391,-0.0239408866995074,-0.0221290807380813,-0.0704606729001838,-0.194293915040184,-0.206007360929428,-0.206014613294548,-0.198468468318286,-0.196,-0.205859154929577,-0.2,-0.2,-0.216747283898801,-0.222302839454356,-0.225787687939205,-0.247219132182241,-0.291622336125537
"FUS",-0.153333333333333,0.15,-0.161666666666667,0.218888888888889,0.323183760683761,0.196666666666667,-0.172477477477477,-0.188434924285988,-0.243868496759211,0.0965846994535519,-0.394137931034483,0.347059481216458,0.347059481216458,-0.103701880840751,-0.08,-0.0827260458839406,-0.0320060396636409,0.325555555555556,-0.24934041679499,0.303333333333333,-0.1,-0.133333333333333,-0.253333333333333,-0.282121844477292,-0.134603174603175,0.126660296225514,-0.238787432498773,-0.1,-0.140409626216078,-0.119195175210565,-0.338686868686869,-0.0986098724596836,-0.125362637362637,0.0478321678321678,0.0569230769230769,-0.0340909090909091,0.0328896390965356,-0.114285714285714,-0.102285714285714,-0.00909090909090909,-0.0295454545454545,-0.240910626633518,-0.347059481216458,-0.433086246805115,-0.367583498683707,-0.125671132652276,-0.2875,-0.309722222222222,-0.25,-0.1,-0.233451995685005,-0.248489589669968,-0.261804807061272,-0.37317639881358,-0.476495751179167
"SNAI2",-0.0509803921568627,0.0890909090909091,-0.0557422969187675,0.120378635449058,0.124121950957079,0.110519480519481,-0.0600158011922718,-0.0674692173413401,-0.147774910845395,0.0978846153846154,-0.201054234192865,0.17028901017816,0.17028901017816,0.00308613735646423,0.1,-0.136477349560514,-0.0692329761741188,0.127779111644658,-0.161929927752493,0.109411764705882,-0.1,-0.1,-0.08,-0.157844754437769,-0.0879946344735077,0.0683845690174804,-0.152192307692308,-0.133333333333333,-0.0932577923682446,-0.11653660583176,-0.13622981587001,-0.0863251159637337,-0.133831879241102,-0.096078431372549,-0.0941176470588235,-0.062719298245614,-0.104186539480657,-0.133333333333333,-0.122988505747126,-0.0469298245614035,-0.0614205969469127,-0.134430604772938,-0.17028901017816,-0.217704485124042,-0.177138325246653,-0.0443628212398035,-0.110519480519481,-0.120378635449058,-0.0890909090909091,-0.08,-0.124679710717875,-0.129421978759112,-0.135012040870914,-0.172591357134271,-0.224648762032747
"cMet",-0.22,0,-0.1825,-0.08,-0.0709090909090909,0,-0.149166666666667,-0.138528368794326,-0.112409812409812,0.0111111111111111,-0.126972573839662,-0.217142857142857,-0.217142857142857,-0.0438143469816068,-0.125,-0.149047619047619,-0.0471420729029425,0.0490909090909091,-0.097094291476314,0.04,0,0.1,0,-0.0797245424810099,-0.0605442176870748,-0.00120399036807706,-0.0955555555555555,0,-0.038726035868893,-0.112121212121212,-0.0490909090909091,0.0154777582514809,0.145833333333333,0.095,0.125,-0.0977443609022556,0.0822727272727273,0.1,0.133333333333333,-0.0714285714285714,-0.112637977923532,-0.0136130536130536,0.217142857142857,0.0874039938556068,0.220916442048518,0.0541440853852416,0.1,0.08,0.1,-0.1,0.0730232558139535,0.0822540250447227,0.0862088273046097,0.102063492063492,-0.00737167102713321
"Csn",-0.275,0.25,-0.288432835820896,0.287723307021188,0.305627237152193,0.267241379310345,-0.308945656333716,-0.324458782825363,-0.167813068651778,0.0991725921137686,-0.382315106843702,0.449027027208351,0.449027027208351,-0.0182247999230549,0.0633333333333333,-0.281784849533034,-0.0206919263115811,0.19785877205232,-0.305557893096463,0.19033189033189,0.06,-0.142857142857143,-0.187301587301587,-0.266431723557959,-0.14784549689441,0.144166666666667,-0.260903629591603,-0.04,-0.163012592010091,-0.109435897435897,-0.206055493363796,-0.160158301915681,-0.0853333333333333,-0.0906060606060606,-0.0815151515151515,0.00367965367965369,-0.0885227272727273,-0.04,-0.0733333333333333,-0.0106060606060606,0.00271811521811522,-0.221656699524945,-0.449027027208351,-0.620843447380848,-0.469948332390693,-0.171157498252171,-0.267241379310345,-0.287723307021188,-0.25,-0.2,-0.307723307021188,-0.322514303805754,-0.33207533808116,-0.342646364494806,-0.618299607515442
"PI3K",-0.275,0.2,-0.280882352941176,0.277294685990338,0.297294685990338,0.255555555555556,-0.296882352941176,-0.320459588713534,-0.182323952805232,0.0807017543859649,-0.371421602787456,0.373125541125541,0.373125541125541,-0.0381869145378551,0.0333333333333333,-0.287692307692308,-0.0348622467474927,0.2,-0.289808686601274,0.2,-0.2,-0.1,-0.15,-0.272024959742351,-0.154125650260104,0.155036491440487,-0.269586296056884,-0.166666666666667,-0.154925650260104,-0.109431325770485,-0.213888888888889,-0.141588843741758,-0.205882352941176,-0.0938375350140056,-0.0761904761904762,0.00961538461538461,-0.102034256325481,-0.166666666666667,-0.172549019607843,0.025,0.0225186104218362,-0.223157894736842,-0.373125541125541,-0.493879268879269,-0.399152938385815,-0.185109926273926,-0.255555555555556,-0.277294685990338,-0.2,-0.1,-0.297294685990338,-0.314808810284123,-0.331097470077938,-0.329809523809524,-0.564019014150795
