"","TGF","FOXC2","PAK1","MEK","TWIST1","ERK","RKIP","Destcompl","GLI","cateninnuc","TCFLEF","SNAI1","Ecadherin","SHH","Patched","miR200","IKK","AKT","SUFU","AXIN2","NFB","Csn","NOTCHic","TrCP","Csl","cateninmemb","RAS","RAF","KLF4","GSK3","ZEB2","ZEB1","PI3K","DELTA","Jagged","NOTCH","LIV1","FUS","SMAD","SNAI2","ILK","HEY1","STAT","DSH","SMO","EGR1","SRC","Frizzled","cMet","CD44","Wnt","cfos","CDC42","SOSGRB2","TGFR"
"ZEB1",-0.233903359550357,-0.197653850669348,-0.213026819923372,-0.186239267513173,-0.198040363971261,-0.182274509803922,-0.0854992589615414,-0.225567105921266,-0.20209538177856,-0.198315736844613,-0.197239415905279,-0.0585175947996051,-0.0734879541119514,-0.0350025532697712,-0.0339349376114082,0.0742775748229736,-0.0418694276675295,-0.0304408562389581,-0.0166666666666667,-0.0984639016897081,-0.0435087719298246,-0.00666666666666667,0.00196078431372549,0.0333333333333333,0,0.0323480538962693,-0.143168103689992,-0.146790150934086,0.157425710452006,-0.116864014988823,-0.148188068215407,-0.148188068215407,0.146790150934086,0.146790150934086,-0.0617249268545261,-0.00939880084265111,0.2,0.0541666666666667,-0.015560384091226,0.136356635500471,-0.0299834610143029,-0.030755341377103,0.192307692307692,0.2,0.0496212121212121,0.133333333333333,0.194746716697936,0.202439024390244,0.196707501011662,0.196707501011662,0.202439024390244,0.169333333333333,0.237664501082792,0.253255360623782,0.240202572148782
"TGFR",-0.300663627152989,-0.298351460576636,-0.34,-0.339832000091553,-0.23417556346382,-0.334352548036759,-0.255367965367965,-0.10150204090564,-0.070355621250326,-0.0621956969010895,-0.0619299750233216,-0.219148752829364,-0.056760500942642,-0.14837278394701,-0.152327586206897,-0.132940198165448,-0.00181704260651629,0.0121364457655767,-0.0866666666666667,-0.0337006380997797,0.0297619047619048,0.0583333333333333,0.0295402298850575,0.0333333333333333,0.0433333333333333,-0.00973370578442688,0.170906432748538,0.175,0.0754876321237877,-0.0521707440386477,-0.0692024079140352,-0.0692024079140352,-0.175,-0.175,0.0865891336364218,-0.0417704457123956,0,0.12,0.136950424924251,0.116580332720095,0.135171065493646,0.134619937065158,0.0333333333333333,0.0428571428571429,0.164827586206897,0.271428571428571,0.0533333333333333,0.0628571428571429,0.0627672955974843,0.0614515061238001,0.0722911051212938,0.318796992481203,0.368571428571429,0.450601039636127,0.293571428571429
"RAS",-0.020990099009901,-0.0266666666666667,-0.06,0.12938080495356,0.0768466993998909,0.135263157894737,0.0845408805031446,0.251111270878713,0.0899509803921569,0.0864794929159379,0.0861962067969577,-0.0410914454277286,-0.114013194210491,0.178858757062147,0.187333333333333,-0.0714461538461539,0.0933333333333333,0.0933333333333333,0.1,0.0756521739130435,0.1,0,0.0447368421052632,0.1,0.05,-0.10219493485033,-0.0476923076923077,0.0561538461538462,0.0617857142857143,-0.0440826873385013,-0.0566310751104565,-0.0566310751104565,-0.0561538461538462,-0.0561538461538462,-0.117472895722452,-0.0466236345580933,0,-0.2,-0.184291898577613,-0.0494218799486314,-0.167965367965368,-0.163438735177866,-0.1,-0.1,-0.183333333333333,-0.08,-0.1,-0.1,-0.0941176470588235,-0.0877346683354193,-0.0941176470588235,-0.13,0.02,-0.164502164502164,0.02
"FUS",-0.45598811577535,-0.361107078039927,-0.42,-0.371481392171047,-0.189014931161528,-0.365734265734266,-0.288000327278678,-0.239641564795189,-0.242094017094017,-0.141479936738568,-0.138490806303785,-0.240322580645161,-0.0477861436281606,-0.261010101010101,-0.26,-0.167418939000591,-0.138857142857143,-0.146549450549451,-0.266666666666667,-0.0418556955288589,-0.142857142857143,-0.1,-0.0172727272727273,-0.1,-0.0272727272727273,0.0925208561636712,-0.178792154580466,-0.177482110912343,0.04408014571949,-0.181637821865766,-0.0402317077397664,-0.0402317077397664,0.177482110912343,0.177482110912343,-0.0847685982023332,0.0195454545454545,0.1,0.226666666666667,0.119918074756784,0.0613157514599971,0.105079365079365,0.100382226469183,0.1,0.2,0.226666666666667,0.3,0.12,0.225,0.125555555555556,0.136235167206041,0.230555555555556,0.338461538461538,0.436666666666667,0.426585695006748,0.447477477477478
"GSK3",0.0201479573801949,0.0171743393285621,0.00173913043478261,0.0444067778626602,-0.0195043084387159,0.0404295051353875,0.00307210333526123,-0.199366619318244,-0.0621010535958839,-0.0614748384217371,-0.0621327331585792,-0.062818623910636,0.137585519836959,-0.00648424264879315,-0.00361342925166397,0.0473523744832594,0.029051724137931,0.0307611258473327,-0.00454545454545455,-0.0537798305580515,0.0325,0.0325,0.0549068578480343,0.02,0.0584033613445378,0.102740814799041,-0.122953685109654,-0.121693180907973,0.0399849408376706,-0.23137253602181,-0.03861896867115,-0.03861896867115,0.121693180907973,0.121693180907973,-0.0267913621521817,-0.0572445201856966,0.075,-0.0192640692640693,-0.0414100720914524,-0.010427704200594,-0.0343635953298332,-0.0389056098641997,0.0592105263157895,0.0592105263157895,-0.00313503700600475,-0.0372549019607843,0.0556390977443609,0.0556390977443609,0.0589503560225066,0.061331308403459,0.0602142611430537,-0.0261437908496732,-0.0217391304347826,-0.050996407638495,-0.0234812907135283
"DSH",0.0234812907135283,0.0202046423588651,-0.02,0.0404295051353875,-0.0173276118958222,0.0261437908496732,0.00683150183150183,-0.198063343516905,-0.0602142611430537,-0.0621327331585792,-0.061331308403459,-0.0618219461697722,0.13702575691302,-0.00361342925166397,0.00313503700600475,0.0484074741315595,0.0325,0.029051724137931,-0.05,-0.0530187955504411,0.0325,0.02,0.0584033613445378,0,0.0642857142857143,0.100972468203108,-0.121693180907973,-0.122533517042427,0.0346414293872889,-0.130207810564239,-0.038173203440838,-0.038173203440838,0.122533517042427,0.122533517042427,-0.0260614351448825,-0.0549068578480343,0.1,0.00454545454545455,-0.0343635953298332,-0.0113767982471859,-0.0362503877826634,-0.0406357136704281,0.075,0.075,-0.0192640692640693,-0.0666666666666667,0.0592105263157895,0.0592105263157895,0.0556390977443609,0.0589503560225066,0.0556390977443609,-0.0372549019607843,-0.00173913043478261,-0.0430894308943089,-0.0217391304347826
"Wnt",0.00173913043478261,-0.00202429149797571,0.1,0.0372549019607843,-0.0223529411764706,0.0666666666666667,-0.00333333333333334,-0.194828686623391,-0.0592105263157895,-0.0589503560225066,-0.0556390977443609,-0.0544513457556936,0.13500337192312,0.0192640692640693,-0.00454545454545455,0.0424242424242424,0.02,0.0325,0,-0.0509090909090909,0,0.1,0.0642857142857143,0.1,0.05,0.0998305084745763,-0.135919343814081,-0.158646616541353,0.0490196078431372,-0.133934169278997,-0.0368244858919177,-0.0368244858919177,0.158646616541353,0.158646616541353,-0.0443137254901961,-0.0642857142857143,0,0.1,-0.0483999204929438,-0.0126724137931034,-0.0786324786324786,-0.0830769230769231,0.1,0.2,0.05,-0.1,0.1,0.2,0.075,0.0592105263157895,0.075,-0.0666666666666667,0,-0.0363636363636364,0.02
"Frizzled",0.0217391304347826,0.0189059410601638,0,0.0261437908496732,-0.013781512605042,0.0372549019607843,0.0145238095238095,-0.19615494657034,-0.0556390977443609,-0.061331308403459,-0.0589503560225066,-0.0592132505175983,0.134304071223819,0.00313503700600475,0.0192640692640693,0.0502367424242424,0.0325,0.0325,-0.1,-0.0509090909090909,0.02,0,0.0642857142857143,0.1,0.0642857142857143,0.100147968792037,-0.122533517042427,-0.135919343814081,0.0394957983193277,-0.130903866248694,-0.0318739908424128,-0.0318739908424128,0.135919343814081,0.135919343814081,-0.0291622103386809,-0.0584033613445378,0.1,0.05,-0.0362503877826634,-0.0117260415533558,-0.0483999204929438,-0.0511620294599018,0.1,0.2,0.00454545454545455,-0.0666666666666667,0.075,0.075,0.0592105263157895,0.0556390977443609,0.0592105263157895,-0.0666666666666667,0.02,-0.0333333333333333,-0.00173913043478261
"SMO",-0.447477477477478,-0.351896551724138,-0.4,-0.365734265734266,-0.175925925925926,-0.338461538461538,-0.268412698412698,-0.235699958955773,-0.230555555555556,-0.138490806303785,-0.136235167206041,-0.240322580645161,-0.0527176504774757,-0.26,-0.226666666666667,-0.160488245931284,-0.142857142857143,-0.138857142857143,-0.3,-0.0337811613673683,-0.1,-0.1,-0.0272727272727273,0,0,0.0949417127744719,-0.177482110912343,-0.179807692307692,0.0555555555555556,-0.175952203136669,-0.0298022598870056,-0.0298022598870056,0.179807692307692,0.179807692307692,-0.0775396825396825,0.0172727272727273,0.1,0.266666666666667,0.105079365079365,0.064367816091954,0.106666666666667,0.101831501831502,0.1,0.2,0.226666666666667,0.2,0.1,0.2,0.12,0.125555555555556,0.225,0.3,0.42,0.403508771929825,0.436666666666667
"PI3K",-0.0381912960306074,-0.03132868757259,-0.05,0.040065206410433,-0.0944789510006901,0.0515406162464986,0.0278603749191985,-0.230461914174851,-0.0830026012634708,-0.0850108719839554,-0.0835675730148833,-0.0074194847020934,0.107045421773612,-0.025,-0.0166666666666667,0.0638451417139942,-0.0607843137254902,-0.073604826546003,-0.1,-0.0638095238095238,-0.0666666666666667,-0.1,0.075,0,0.075,0.0959312264490156,-0.0755229793038012,-0.0823722943722944,0.0239035087719298,-0.0600769600769601,-0.0225567619325835,-0.0225567619325835,0.0823722943722944,0.0823722943722944,-0.0304385964912281,-0.0653225806451613,0.1,0.05,-0.0158319327731092,0.0110321706829733,-0.0198319327731092,-0.0225910604378973,0.1,0.1,0.0166666666666667,-0.0666666666666667,0.0888888888888889,0.0888888888888889,0.0845410628019324,0.0830026012634708,0.0845410628019324,-0.080952380952381,0.0558823529411765,-0.0165384615384615,0.0438823529411765
