"","KLF4","Ecadherin","NFB","TrCP","SUFU","FUS","cateninmemb","miR200","NOTCHic","NOTCH","SOSGRB2","CD44","SRC","cMet","DSH","Wnt","EGR1","AXIN2","cfos","GSK3","ZEB1","SNAI2","TWIST1","RAF","PI3K","DELTA","RAS","ERK","MEK","GLI","Frizzled","Csl","TCFLEF","STAT","cateninnuc","RKIP","Jagged","LIV1","Destcompl","SNAI1","CDC42","PAK1","TGFR","TGF","SHH","Patched","FOXC2","SMO","ZEB2","Csn","AKT","IKK","ILK","SMAD","HEY1"
"GLI",0.193578721578722,0.211113339335173,0.13859649122807,0.1,0.247619047619048,0.297619047619048,0.130661112331431,-0.00901575204980777,0.162818302387268,0.16472306429203,0.432678236218059,0.0887716704197075,0.0867741935483871,0.0965302911093627,-0.02,-0.0173434535104364,-0.0457142857142857,0.0723309178743961,-0.0790476190476191,-0.0349807293474681,-0.212637736815156,0.123797221429349,-0.202166123821472,0.0926810835949308,0.0926810835949308,0.0926810835949308,0.100403855872159,0.056969696969697,0.0663619621630671,-0.0745714401065849,0.0232258064516129,-0.160318302387268,-0.0959145275625647,-0.09,-0.0920292914597554,-0.260214945597269,-0.171848873077402,-0.05,-0.11984481623123,-0.311644137719978,-0.480229885057471,-0.473333333333333,-0.488405985686402,-0.486758926862873,-0.327025014034204,-0.314267812388113,-0.407324776401789,-0.308145363408521,-0.200966120498379,-0.133333333333333,-0.167646236126029,-0.169208736126029,-0.270940137386387,-0.270940137386387,-0.278745433966147
"Csl",0.172056590752243,0.0664374388914388,0.155555555555556,0.133333333333333,0.158333333333333,0.196794871794872,0.0249768006737865,-0.00216616710326333,0.150354111084162,0.152172292902344,0.190762049247287,0.0134237191380049,0.0121678321678322,0.0154645354645355,0.00307692307692308,0.0132431009850365,0.02,0.00429164636057007,0.0128571428571429,0.00479184390569841,-0.191050168592806,0.141878145695176,-0.173617292577596,0.0270743848854793,0.0270743848854793,0.0270743848854793,0.0307508554737146,-0.03,-0.0256521739130435,-0.0108237461463268,-0.0121678321678322,-0.158248847926267,-0.0144924214280812,-0.00307692307692308,-0.013406086379482,-0.212933899566935,-0.162116723646111,0.02,-0.00329205535462263,-0.283637312767748,-0.359784946236559,-0.353333333333333,-0.3591480035614,-0.357560701974098,-0.210791905536066,-0.202171215880893,-0.377031622437629,-0.196794871794872,-0.176159019937545,-0.144444444444444,-0.183462532299742,-0.176485788113695,-0.259393627954779,-0.259393627954779,-0.168591820228649
"LIV1",0.166617226125423,0.191299697063285,0.158333333333333,0.133333333333333,0.147619047619048,0.197619047619048,0.116670419427611,-0.00180039097626437,0.144102564102564,0.141904761904762,0.216652915291529,0.0908989187207009,0.0862962962962963,0.0998098098098098,0.09,0.09682261208577,0.04,0.0718155342813768,0.00956521739130435,0.0546109307359307,-0.18464675640816,0.102579423410062,-0.167990871447393,0.0101333758435624,0.0101333758435624,0.0101333758435624,0.0192242849344714,-0.0383787767133382,-0.0290454433800049,-0.0875543194028432,-0.0862962962962963,-0.148717948717949,-0.0975655853873676,-0.09,-0.09218627504254,-0.208165848884081,-0.154966768916155,-0.05,-0.0941951871379694,-0.275399453672618,-0.340056022408964,-0.338095238095238,-0.34611662846957,-0.341198595682684,-0.206096944871138,-0.198096944871138,-0.36639390491268,-0.194393241167435,-0.173901418070816,-0.158333333333333,-0.182797270955166,-0.184649122807018,-0.254010923365762,-0.251430278204472,-0.262442308257636
"Jagged",0.138888888888889,0.0551228070175439,0.1,0,0,0.1,0.0186409365282605,-0.00606060606060606,0.02,0.0485714285714286,0.16,0.00307692307692308,0,-0.02,0,-0.02,0.1,0.00571428571428572,0,-0.00344827586206897,-0.178985507246377,0.144444444444444,-0.171,0.0533333333333333,0.0533333333333333,0.0533333333333333,0.0260606060606061,-0.02,-0.02,-0.00307692307692308,0,0,-0.0121678321678322,0,-0.0154645354645355,-0.18974358974359,-0.152034632034632,0,-0.000525096525096527,-0.283333333333333,-0.3,-0.2,-0.333333333333333,-0.353333333333333,-0.196794871794872,-0.158333333333333,-0.362857142857143,-0.133333333333333,-0.160628019323671,0,-0.144444444444444,-0.133333333333333,-0.216666666666667,-0.230952380952381,-0.116666666666667
"FUS",0.146584699453552,0.181092907806987,0.0142857142857143,-0.1,0.4,0.32,0.151177108405394,-0.0335720552163715,0.226060606060606,0.23969696969697,0.238124156545209,-0.0220604099244876,-0.0333333333333333,-0.00555555555555555,-0.1,-0.109722222222222,0.06,0.00414208480175497,0.0676923076923077,-0.163816512740109,-0.277281550032928,0.264777100720393,-0.176603474432239,-0.00866502683363149,-0.00866502683363149,-0.00866502683363149,0.0039987286248838,-0.0828438228438228,-0.0518093400852021,0.127029914529915,0.1375,-0.206060606060606,0.00777469563877331,0,0.0151116521605124,-0.293554246440844,-0.179791865876203,0.1,0.131372625563765,-0.335066515955134,-0.451666666666667,-0.46,-0.46518018018018,-0.46518018018018,-0.386919191919192,-0.383888888888889,-0.398475499092559,-0.345,-0.15620949013899,0,-0.0547472527472527,-0.0662857142857143,-0.260634920634921,-0.256118791602663,-0.267160375856028
"STAT",0.250069320657556,0.260550949239077,0.15,0.1,0.1,0.125,0.130574307022958,-0.00453750884169807,0.0816640169581346,0.0709844053076492,0.216297208538588,0.0967865467865468,0.0857142857142857,0.0993506493506494,0.0857142857142857,0.0993506493506494,0.0333333333333333,0.0704252610134963,-0.00666666666666667,0.115696484201157,-0.167213555675094,-0.0111712854803201,-0.0561962525230891,-0.0450010339123242,-0.0450010339123242,-0.0450010339123242,-0.0412696906287421,0.0125490196078431,0.00072106261859583,-0.0951489686783804,-0.0857142857142857,-0.0627450980392157,-0.100256578332288,-0.0857142857142857,-0.097515219571859,-0.152787966537967,-0.0847019420077121,0,-0.119018375120556,-0.214560351233805,-0.215340909090909,-0.209090909090909,-0.228498803827751,-0.227049528465432,-0.150471633395074,-0.151356589147287,-0.266951601908657,-0.158333333333333,-0.151936525013448,-0.15,-0.153066989507667,-0.154761904761905,-0.21280193236715,-0.221997334666,-0.216666666666667
"SUFU",0.161554759333791,0.175943577219964,0.0662857142857143,0,0.32,0.345,0.163046139783293,-0.0261371109784533,0.23969696969697,0.246839826839827,0.24861366703472,-0.00777469563877331,-0.00555555555555555,-0.0220604099244876,-0.1375,-0.127029914529915,0.0676923076923077,0.0217064876120594,0.0828438228438228,-0.160474610426485,-0.285011018631962,0.268138999204243,-0.169386979586879,0.0039987286248838,0.0039987286248838,0.0039987286248838,-0.00612785365359722,-0.0518093400852021,-0.0692561485958404,0.114018762113558,0.109722222222222,-0.226060606060606,0.0151116521605124,0.0333333333333333,0.00738786699427203,-0.293146083175538,-0.16910302977169,0,0.130787830242127,-0.340347606244743,-0.46518018018018,-0.451666666666667,-0.46518018018018,-0.476422783730476,-0.391166296166296,-0.386919191919192,-0.408152918447398,-0.383888888888889,-0.150412388689715,-0.0142857142857143,-0.0715257762371856,-0.0547472527472527,-0.256118791602663,-0.269744657653471,-0.261136279470486
"Destcompl",0.0941158862921448,-0.0693827919382291,0.215942028985507,0.233333333333333,-0.0333333333333333,-0.0298850574712644,-0.213338871647767,-0.0355344593258989,-0.136022326674501,-0.141433148317787,0.0507740242801093,0.164870364420559,0.158153946510111,0.165616633077275,0.15952380952381,0.166074738589319,0.136923076923077,0.083502320310184,0.136923076923077,-0.125156378340628,-0.14335018281133,-0.224362400750335,0.00975770586399266,-0.158840959466946,-0.158840959466946,-0.158840959466946,-0.156329185526601,-0.147305590584279,-0.148993354297359,-0.165147094804532,-0.158153946510111,0.132761457109283,-0.164870364420559,-0.15952380952381,-0.16313655513958,-0.130610407154705,0.129011466914758,-0.166666666666667,0.0206161858529306,-0.149809173211476,-0.0617733990147783,-0.0514285714285714,-0.0649312937516204,-0.0612859735545761,0.0326800642503964,0.0332603350434331,-0.0971111471701036,0.0327422003284072,-0.103048801080716,-0.233333333333333,-0.217725691842996,-0.215041128084606,-0.14484126984127,-0.147297410192147,-0.134546649931265
"cateninnuc",0.120444383611643,0.173163934683662,0.0746212121212121,0.0333333333333333,0.133333333333333,0.163333333333333,0.128068770409992,-0.0248810809847034,0.139685250879575,0.13513979633412,0.0519468048013392,-0.0172565357347966,-0.0264180264180264,-0.0101136785919395,-0.00419580419580419,-0.0111791276025939,0.00434782608695652,0.00507383593355065,-0.0258109040717736,-0.145736775392054,-0.165801984876021,0.248849824940925,-0.110882718890665,-0.0397772497772498,-0.0397772497772498,-0.0397772497772498,-0.0342216942216942,0.0106210306540521,0.017043049002676,0.0182937521085228,0.0274834754286809,-0.13038292529818,0.00926549764667113,0.00419580419580419,-0.0846312159683524,-0.198677458191106,-0.0561285522331016,0.0272727272727273,0.139855680055848,-0.193774225181982,-0.200923076923077,-0.204,-0.213566755083996,-0.210073305302337,-0.163274524666919,-0.16479957913315,-0.241631204860713,-0.161693989071038,-0.0950633336426012,-0.0958333333333333,-0.0713399621212121,-0.0846212121212121,-0.14234632034632,-0.139754233033906,-0.142776562372537
"miR200",0.0900793650793651,0.20079219544072,0.0147368421052632,0,-0.02,-0.02,0.107260560641127,0.00166078725343211,-0.0239408866995074,-0.0267657454565695,-0.0162185686653772,0.0878110873349526,0.0869565217391304,0.0911818738518065,0.1,0.0922253521126761,0.0142857142857143,0.0652285158138577,-0.00571428571428572,0.0537880892187701,0.109690860215054,-0.1335308275805,0.104539019262946,-0.0731037122081898,-0.0731037122081898,-0.0731037122081898,-0.0718568294151724,0.00571428571428572,0.00639455782312925,-0.0889286488159728,-0.088,0.0308374384236453,-0.0909856905095557,-0.1,-0.0887129632368285,0.0204674262342974,0.0191923279789019,-0.1,-0.119321111371582,0.0284913234913235,0.0517156862745098,0.0458333333333333,0.0468769765970904,0.0474583719459277,0.0270583379196478,0.0237974683544304,0.0382061840598426,0.02,-0.0922759856630824,-0.02,-0.00244573698396936,-0.0118796992481203,0.0137659783677483,0.0153333764868705,0.0151977401129944
