"","FOXC2","IKK","HEY1","GSK3","Jagged","SMAD","ILK","Patched","NOTCH","SHH","SMO","Csl","NOTCHic","AXIN2","LIV1","RAS","RAF","PI3K","DELTA","cfos","ERK","MEK","EGR1","STAT","CD44","SNAI1","Destcompl","TCFLEF","cateninnuc","GLI","Wnt","SRC","SOSGRB2","SNAI2","PAK1","TGFR","CDC42","TGF","ZEB1","cateninmemb","RKIP","Frizzled","DSH","Ecadherin","cMet","miR200","FUS","TWIST1","TrCP","SUFU","NFB","Csn","AKT","ZEB2","KLF4"
"TWIST1",-0.0495603608694381,0.00274725274725275,0.16657974793568,-0.0965621666450982,0.0403932305421763,0.16972954052162,0.163458913458913,0.216328767123288,0.0691361608342741,0.22174748633511,0.204,0.0762962962962963,0.0634757834757835,-0.126601033375227,-0.0666666666666667,-0.115940805845713,-0.121762723653932,-0.121762723653932,-0.121762723653932,0.0684057971014493,0.0736689549961861,0.0701863679315095,0.0466666666666667,-0.0523809523809524,-0.0751771015165017,0.14079401379579,-0.0914408812818602,-0.0725737324506517,-0.0760814955328829,-0.076621888053467,-0.085421888053467,-0.0801587301587302,-0.120888341254474,0.0114970707642687,0.124242424242424,0.134888975966562,0.131138975966562,0.131016538608931,0.175274397204222,0.0578324861912073,-0.111034924078402,0.0801587301587302,0.0523809523809524,0.0394205162668391,0.0844140493076663,0.146369003947874,-0.2,0.0442077113072536,0,-0.233333333333333,0.0115384615384615,0.05,0.0125069845408828,-0.0869281562264018,-0.100479466333125
"TrCP",-0.373656793247156,-0.145833333333333,-0.176657994532146,-0.00628300865800866,-0.137291666666667,-0.167511520737327,-0.167511520737327,-0.147624736872049,-0.136630036630037,-0.148624736872049,-0.146390168970814,-0.125641025641026,-0.133333333333333,-0.0892183288409703,-0.1,-0.00458050133086001,-0.00730777405813274,-0.00730777405813274,-0.00730777405813274,-0.204347826086957,-0.206042741341194,-0.20470940800786,-0.2,-0.06,-0.0597215036818997,-0.247160341345411,-0.0701531491245403,-0.0567585407189367,-0.0553792303741092,-0.0564888508534208,-0.0589278752436647,-0.0562962962962963,0.00852585258525853,0.0369900440500089,-0.080952380952381,-0.0822892793481029,-0.0868347338935574,-0.0811963831732395,-0.383205779995796,0.0461894638532894,0.167969581063504,0.0562962962962963,0.06,0.0252451398762531,0.0617017017017017,-0.324375047665582,0.123809523809524,0.203142104272539,0.133333333333333,0.0904761904761905,0.145833333333333,0.108333333333333,0.143981481481481,-0.0517197487020677,-0.0503960447567005
"Csl",-0.375880835092658,-0.15968992248062,-0.0783152993638927,-0.0381460390396176,-0.145470644835297,-0.166771725476761,-0.167882836587873,-0.139047827567752,-0.137392013758737,-0.137323689636717,-0.135822021116139,-0.123133640552995,-0.131028377395101,-0.113712720508811,-0.12,-0.0486165759748086,-0.0500871642101028,-0.0500871642101028,-0.0500871642101028,-0.22047619047619,-0.217619047619048,-0.215445134575569,-0.213333333333333,-0.0661538461538461,-0.0695590124161553,-0.24484296701688,-0.0771410195779483,-0.0642155009657736,-0.0619856553397016,-0.0667403564177758,-0.0667403564177758,-0.0570629370629371,-0.0121072081534212,0.0394451308392495,-0.0848888888888889,-0.0856080177156816,-0.0913405017921147,-0.08402071612838,-0.377482940543234,0.0314913139330817,0.165026019325789,0.0570629370629371,0.0661538461538461,0.0205442120786504,0.0691508491508492,-0.31958654893031,0.106410256410256,0.206164987681022,0.133333333333333,0.0833333333333333,0.166666666666667,0.122222222222222,0.157364341085271,-0.0487577512655581,-0.0492788129744651
"NOTCHic",-0.37530612244898,-0.166666666666667,-0.0763545150501672,-0.0394715176846838,-0.143908144835297,-0.167882836587873,-0.164285714285714,-0.135822021116139,-0.131028377395101,-0.139047827567752,-0.106410256410256,-0.0457142857142857,-0.123133640552995,-0.112427373465109,-0.1,-0.0500871642101028,-0.0417127799736495,-0.0417127799736495,-0.0417127799736495,-0.213333333333333,-0.22047619047619,-0.217619047619048,-0.18,-0.12,-0.0691508491508492,-0.241680911680912,-0.0787863577863578,-0.0695590124161553,-0.0642155009657736,-0.0667403564177758,-0.0570629370629371,-0.0661538461538461,-0.0161722488038278,0.0371334231584143,-0.0888888888888889,-0.0913405017921147,-0.0848888888888889,-0.0856080177156816,-0.378035426731079,0.0299622619453141,0.169173484763577,0.0661538461538461,0.12,0.0191488632414411,0.0570629370629371,-0.315011385531617,0.0833333333333333,0.207745123121202,0.1,0.133333333333333,0.122222222222222,0.133333333333333,0.15968992248062,-0.0454428341384863,-0.0364216701173223
"CD44",0.0925,0.233333333333333,0.0187134502923977,0.139880952380952,0.0510955710955711,0.0587301587301587,0.0444444444444444,0.1,-0.0481203007518797,0.0636363636363636,0.1,0,-0.0428571428571429,-0.12,0.1,0.197142857142857,0.2,0.2,0.2,0.15,0.11,0.11,0.2,0.1,-0.0933333333333333,0.0385964912280702,0.0786641929499072,-0.109612403100775,-0.109612403100775,-0.0933333333333333,-0.1,0,0.169047619047619,-0.00921744921744922,0.0666666666666667,0.0316666666666667,0.00666666666666668,0.0261111111111111,0.111111111111111,0.0232051282051282,-0.0885185185185185,0.1,0,0.0402133318857887,0,0.100114185331577,-0.1,-0.0983150183150183,-0.1,-0.1,-0.2,-0.2,-0.226666666666667,-0.0412698412698413,0.053968253968254
"TGF",0.366071428571429,0.0690476190476191,0.237330754352031,-0.0966172770478054,0.183406971035837,0.220606060606061,0.220606060606061,0.20367816091954,0.263333333333333,0.21930316091954,0.193333333333333,0.253333333333333,0.263333333333333,-0.0108465608465608,0,-0.119642857142857,-0.121428571428571,-0.121428571428571,-0.121428571428571,0.180952380952381,0.196741854636591,0.194519632414369,0.166666666666667,0,-0.0118867924528302,0.273019707565162,-0.0113668272169713,-0.0118867924528302,-0.0138006680509163,-0.0261725067385445,-0.0242857142857143,0,-0.1,-0.0229757090635943,0.12,0.121587301587302,0.131111111111111,0.0233730158730159,0.328172803550378,0.0132190276841472,-0.154978354978355,0.0142857142857143,0,0.0339767909957279,0.01,0.264220118961498,-0.193333333333333,-0.241851851851852,0,-0.133333333333333,-0.0833333333333333,-0.0333333333333333,-0.0743107769423559,-0.0397910454661027,-0.0434274091024663
"NOTCH",-0.37530612244898,-0.122222222222222,-0.0717391304347826,-0.0386450714036921,-0.136623376623377,-0.164285714285714,-0.164285714285714,-0.106410256410256,-0.123133640552995,-0.135822021116139,-0.0833333333333333,-0.06,-0.0457142857142857,-0.109649595687332,0,-0.0417127799736495,-0.0460606060606061,-0.0460606060606061,-0.0460606060606061,-0.18,-0.213333333333333,-0.22047619047619,-0.2,-0.1,-0.0570629370629371,-0.245384615384615,-0.0791196911196911,-0.0691508491508492,-0.0695590124161553,-0.0570629370629371,-0.0661538461538461,-0.12,-0.0252631578947368,0.034929014340779,-0.1,-0.0848888888888889,-0.0888888888888889,-0.0913405017921147,-0.369887278582931,0.035438935373306,0.176215738284704,0.12,0.1,0.0214459535936616,0.0661538461538461,-0.312121212121212,0.133333333333333,0.202084745762712,0,0.1,0.133333333333333,0.1,0.166666666666667,-0.0328502415458937,-0.0328502415458937
"Jagged",-0.381428571428571,-0.133333333333333,-0.05,-0.0340996168582375,-0.136623376623377,-0.164285714285714,-0.15,-0.0833333333333333,-0.0457142857142857,-0.106410256410256,-0.133333333333333,0,-0.06,-0.122857142857143,0,-0.0460606060606061,-0.0733333333333333,-0.0733333333333333,-0.0733333333333333,-0.2,-0.18,-0.213333333333333,-0.1,0,-0.0661538461538461,-0.25,-0.0791196911196911,-0.0570629370629371,-0.0691508491508492,-0.0661538461538461,-0.12,-0.1,-0.02,0.0407491201608849,0,-0.0888888888888889,-0.1,-0.0848888888888889,-0.355072463768116,0.0411980976769709,0.158974358974359,0.1,0,0.0319298245614035,0.12,-0.292121212121212,0.1,0.197,0,0,0.1,0,0.122222222222222,-0.0328502415458937,-0.0111111111111111
"TGFR",0.366508109794136,0.0743107769423559,0.238823291665464,-0.0968617758253115,0.183406971035837,0.219538444947698,0.220606060606061,0.21930316091954,0.269808153477218,0.219868132670953,0.20367816091954,0.263333333333333,0.263333333333333,-0.0121341144946295,0,-0.120812447786132,-0.119642857142857,-0.119642857142857,-0.119642857142857,0.196741854636591,0.194519632414369,0.193149769400671,0.180952380952381,0,-0.0118867924528302,0.273904663317374,-0.0129797304427778,-0.0138006680509163,-0.0156607211952919,-0.0268176680288671,-0.0261725067385445,-0.01,-0.0938271604938272,-0.0239016349895203,0.131111111111111,0.0233730158730159,0.121587301587302,0.0219545761567038,0.334587897890001,0.0139118683307984,-0.152121212121212,0.0242857142857143,0.0142857142857143,0.0355100107572271,0.0118867924528302,0.267445925413111,-0.193333333333333,-0.242919467510215,-0.0333333333333333,-0.193333333333333,-0.0690476190476191,-0.0833333333333333,-0.0812875211284024,-0.032621234145348,-0.0398559805310377
"Csn",-0.424654612551422,-0.0183333333333333,-0.18952380952381,0.129452339930919,-0.137630757541934,-0.17680336784876,-0.175003881987578,-0.142666294279197,-0.216806804306804,-0.14184662214805,-0.124386724386724,-0.214646464646465,-0.208152958152958,-0.147980602769909,-0.133333333333333,0.122998637074927,0.122422821335963,0.122422821335963,0.122422821335963,-0.0990909090909091,-0.10038961038961,-0.10038961038961,-0.09,-0.133333333333333,-0.111733554909292,-0.310598361295564,0.00665335948330044,-0.109161207642411,-0.106695783709759,-0.109963540353252,-0.110400221575959,-0.109195402298851,0.0353741496598639,0.023583877941885,-0.134090909090909,-0.13175642765195,-0.126628222523745,-0.127699148415673,-0.369414392059553,-0.00151348662760001,0.264766692516903,0.109195402298851,0.133333333333333,0.0407285293588922,0.110400221575959,-0.294406621532127,0.103174603174603,0.260430107526882,0.06,0.114285714285714,-0.00666666666666667,0.01,0.0207333333333333,-0.0286087675765095,-0.0186382245205775
