"","SNAI1","Csl","Ecadherin","RKIP","ERK","HEY1","SUFU","MEK","TCFLEF","cMet","CD44","Csn","KLF4","DSH","Frizzled","LIV1","AXIN2","cateninmemb","FOXC2","PI3K","TGFR","RAS","TGF","CDC42","GSK3","SOSGRB2","ZEB2","ZEB1","RAF","DELTA","PAK1","TrCP","NFB","AKT","GLI","SRC","FUS","IKK","Wnt","TWIST1","STAT","cateninnuc","SMAD","Patched","miR200","EGR1","ILK","cfos","Destcompl","SHH","SNAI2","SMO","NOTCH","Jagged","NOTCHic"
"TGF",0.0124380165289256,-0.226666666666667,-0.0910787463029905,0.0233766233766234,-0.0862155388471178,-0.120180528691167,-0.0666666666666667,-0.0839933166248956,-0.0760956636875207,-0.0766666666666667,-0.0747798742138365,0.0333333333333333,0.0613780828883804,-0.1,-0.0571428571428571,0,-0.0627865961199295,-0.0702470461272988,-0.0950621118012422,-0.120833333333333,0.0136507936507937,-0.124404761904762,-0.0881349206349206,0.00888888888888889,-0.155092722020315,-0.169736842105263,-0.0795599010701985,-0.0795599010701985,0.120833333333333,0.120833333333333,-0.02,0,-0.00833333333333333,0.00369674185463659,0.065256064690027,0.0666666666666667,0.126666666666667,-0.0226190476190476,0.0671428571428571,-0.015,0.1,0.0770526014865638,0.124701857282502,0.143908045977012,0.0674791683412373,0.0666666666666667,0.102121212121212,0.080952380952381,0.0352775336485589,0.118908045977012,-0.00767786074163859,0.126666666666667,0.220459770114942,0.117317133038783,0.206666666666667
"AXIN2",-0.0871977835779739,0.0347368421052632,-0.112912915911276,-0.0812617669069282,-0.0688199984803586,0.0888975907231485,0.15,-0.0681303433079448,0.128530210867503,0.124439989307672,0.131695509812404,0.1,0.0815912971590602,0.113333333333333,0.129612403100775,0.133333333333333,-0.0196984955919363,-0.156911641226407,-0.0406974836248841,-0.0747840710210952,-0.0774537037037037,-0.0721593991050847,-0.0771236707004034,-0.0774537037037037,0.128955534041346,0.0811373199030983,-0.0789632773872408,-0.0789632773872408,0.0747840710210952,0.0747840710210952,0.07375,-0.0666666666666667,-0.0869565217391304,-0.0864251207729469,-0.131358228301382,-0.129612403100775,-0.157692307692308,-0.0942028985507246,-0.124439989307672,0.108998096536974,-0.113333333333333,-0.131340414066812,-0.083770416379112,-0.152930402930403,0.0560056296031624,0.0733333333333333,-0.0861513687600644,0.0660162601626016,-0.136370586573945,-0.155225484897616,-0.145143155181826,-0.152930402930403,-0.0362812436496647,-0.143334350725655,-0.0383082706766917
"SMAD",-0.0726988065697743,-0.0666666666666667,-0.0618871419712011,-0.0623463268821255,-0.0358375308112742,-0.0394375355686437,-0.0333333333333333,-0.0300683000420435,-0.0901186175057992,-0.0946125116713352,-0.0913397843986079,0.0333333333333333,0.0598013382214329,-0.080952380952381,-0.0753968253968254,-0.08,-0.0717786554029627,-0.0454761189554791,0.0144836808259183,-0.094094633168869,0.0373887646175002,-0.0950814752741321,0.0294206371274603,0.0323608316566063,-0.0414402528688243,-0.0404687962141378,-0.0782546499903202,-0.0782546499903202,0.094094633168869,0.094094633168869,-0.030952380952381,0,0.00952380952380952,0.00395518207282913,0.0794920107869748,0.0887301587301587,0.0583333333333333,-0.0120448179271709,0.0830891330891331,0.070583744942859,0.0942857142857143,0.0895107147702369,-0.0613560868355389,0.0457645259938838,0.055954606141522,0.0571428571428571,0.0234058179263659,0.0474654377880184,0.121839140982401,0.0416753066630288,0.215014890745946,0.0283333333333333,0.0543513957307061,0.0493190895126379,0.0448275862068965
"TWIST1",-0.0876952780681795,0.0511111111111111,0.300338261141275,-0.0699783634566243,-0.114248665141114,-0.0771527907121128,0.0333333333333333,-0.113751152703303,0.203017280826442,0.198446470786896,0.202864141469627,-0.1,0.0922555764019179,0.180952380952381,0.192063492063492,0.166666666666667,0.130198618585715,0.116710193901354,0.153666663419102,-0.00889534014138695,0.0763257575757576,-0.00752547712768832,0.078375871470974,0.0775757575757576,0.198608579248888,-0.0546128420270297,-0.077161371898214,-0.077161371898214,0.00889534014138695,0.00889534014138695,-0.0775757575757576,0.1,0.0923076923076923,0.0889178617992177,-0.203431913116124,-0.192063492063492,-0.0666666666666667,0.0923076923076923,-0.199431913116124,0.192790990156551,-0.180952380952381,-0.20514494040091,0.0765388250536765,-0.0749954337899543,0.0601145931593474,0.113333333333333,0.0841295841295841,0.108985507246377,-0.20845155449628,-0.0764732663022696,0.137850037947404,-0.0626666666666667,-0.0542073859054991,-0.0967991159432752,-0.0485470085470085
"GLI",-0.0547373182754103,-0.0362157382847038,-0.0560167116461946,-0.0273766749635667,-0.125194805194805,-0.00152544116890467,-0.0857142857142857,-0.120222429504197,-0.0795630593666352,-0.0799213217938631,-0.0876799424835183,0.0666666666666667,0.053013299013299,-0.16,-0.169677419354839,-0.1,-0.0809873188405797,-0.066773002705339,0.0153666795665635,-0.112401381899115,0.126394491433528,-0.120124154176342,0.118159197315881,0.118218390804598,-0.0281689805205787,-0.220668505535762,-0.071289639870285,-0.071289639870285,0.112401381899115,0.112401381899115,-0.121666666666667,-0.0333333333333333,-0.0298245614035088,-0.0347352756892231,0.0686761677903831,0.0896774193548387,0.123214285714286,-0.0441102756892231,0.161442125237192,0.0509452300199329,0.08,0.0841655698268862,0.0143859051132809,0.106780343716434,0.0531005114596446,0.134285714285714,-0.00237085164347586,0.134285714285714,0.117842153451229,0.0940231420703434,0.189779424662714,0.0863721804511278,0.0253824049513705,0.00972376010596918,0.0187157382847038
"TGFR",0.00211353275311441,-0.206666666666667,-0.0931230393183227,0.0305194805194805,-0.0839933166248956,-0.145553663019525,-0.126666666666667,-0.0812535905974983,-0.0770526014865638,-0.0747798742138365,-0.0760956636875207,0.00833333333333333,0.0774495114598089,-0.0571428571428571,-0.0671428571428571,-0.1,-0.0666492570641355,-0.068168524187345,-0.0911319807968754,-0.124404761904762,-0.0881349206349206,-0.125574352548037,-0.0852980412022965,0.0136507936507937,-0.153870228132784,-0.175909681611436,-0.0655976369192552,-0.0655976369192552,0.124404761904762,0.124404761904762,-0.00888888888888889,-0.0333333333333333,-0.0226190476190476,-0.0172334907035029,0.0671915485609947,0.0766666666666667,0.126666666666667,0.00369674185463659,0.065256064690027,-0.018202846975089,0.0666666666666667,0.0755468441792121,0.111534597496026,0.118908045977012,0.0531096668749616,0.080952380952381,0.124701857282502,0.0862155388471178,0.0358823723582363,0.134162283265147,-0.00767786074163859,0.143908045977012,0.206790705366741,0.128186698256174,0.220459770114942
"NOTCH",-0.005,-0.06,-0.0589145444255801,-0.0359858532272325,-0.0133333333333333,-0.0347826086956522,0.1,-0.0133333333333333,-0.0818981018981019,-0.0876923076923077,-0.0786013986013986,0.1,0.029951690821256,-0.1,-0.08,0,-0.0639353099730458,-0.0496427494045664,0.0383673469387755,-0.00424242424242424,0.0786666666666667,-0.0027931488801054,0.0722150537634409,0.0666666666666667,-0.123066875653083,-0.0336842105263158,-0.0632850241545894,-0.0632850241545894,0.00424242424242424,0.00424242424242424,-0.1,0,-0.0666666666666667,-0.0444444444444444,0.0786013986013986,0.08,-0.0666666666666667,-0.1,0.0876923076923077,0.0180847457627119,0.1,0.0814899386327958,-0.0319047619047619,-0.0128205128205128,0.0627705627705628,0,-0.0619047619047619,-0.02,0.107474903474903,-0.0481146304675717,0.199948526419115,-0.0666666666666667,-0.031705069124424,-0.054045214045214,0.0457142857142857
"SRC",-0.10134926449487,0.095,-0.13826507370625,-0.205441511893125,-0.0131313131313131,0.0870738166170142,0.1,-0.00747093577282256,-0.130959616153539,-0.13,-0.148032786885246,0,-0.0729328165374677,-0.1,-0.15,-0.2,-0.104828084491479,-0.064851070199072,-0.069813258636788,0.0526992073425115,-0.0456349206349206,0.0375476921909963,-0.0565440115440115,-0.0694444444444444,-0.012034632034632,0.06,-0.0583632824198862,-0.0583632824198862,-0.0526992073425115,-0.0526992073425115,0.0444444444444444,0.1,0,0.0200854700854701,0.148032786885246,0.15,-0.05,-0.00769230769230769,0.13,0.0473108500694708,0.2,0.141474157540563,-0.0528034613560929,-0.0344444444444444,0.0567910993997951,0.0333333333333333,-0.0879385964912281,0.0242424242424242,0.18202779104953,-0.0609150326797386,0.199401839319799,-0.09,-0.095,-0.0148035756292637,-0.109285714285714
"PAK1",-0.0155926051331024,0.0435897435897436,-0.038219501656091,-0.0290008886141483,0.00412675018422992,0.0572052209189523,0.080952380952381,0.00812675018422992,-0.0722951664535823,-0.0728928928928929,-0.0808136849721008,0.0916666666666667,0.0302492844132188,-0.08,-0.0837037037037037,-0.1,-0.0776506490689965,-0.0615287469722197,0.0463890989532903,0.023178702375259,0.0722307104660046,0.01408779328435,0.0629410929796658,0.061624649859944,-0.112544372294372,-0.0275852585258526,-0.0560847013974082,-0.0560847013974082,-0.023178702375259,-0.023178702375259,-0.0714285714285714,-0.0666666666666667,-0.0416666666666667,-0.0516081871345029,0.0831260400323301,0.0837037037037037,-0.0142857142857143,-0.062719298245614,0.0758089668615984,0.0128858460380199,0.08,0.0776744767984099,-0.0327649769585254,-0.0392160209364511,0.0564052416844295,0,-0.0559907834101383,0.00434782608695652,0.0948496933897676,-0.059216020936451,0.184997590108927,-0.0626728110599078,-0.0609523809523809,-0.0593756390593047,-0.0697435897435897
"RAS",0.0222812192723697,0.15,0.111824513731711,-0.0725534591194969,0.0713157894736842,0.136166007905138,0.1,0.0771981424148607,-0.133119283720035,-0.144117647058824,-0.137734668335419,0,0.0603571428571429,-0.1,-0.15,0,-0.109459815546772,0.112149409490082,-0.0311111111111111,0.167435897435897,-0.0176470588235294,0.0693589743589744,-0.0186371578334304,-1.11022302462516e-17,-0.0501550387596899,0.0437229437229437,-0.0387076583210604,-0.0387076583210604,-0.167435897435897,-0.167435897435897,0.06,0,-0.0333333333333333,0.00555555555555555,0.139950980392157,0.15,-0.2,0,0.144117647058824,-0.0471031096563011,0.1,0.128869991935332,-0.155040197897341,-0.162666666666667,0.0384615384615385,-0.02,-0.134632034632035,-0.045,0.238971556413417,-0.133853107344633,0.326930841752123,-0.166666666666667,-0.14364448857994,-0.0884092253104672,-0.134210526315789
