"","Csn","MEK","ERK","AKT","SOSGRB2","NOTCH","CDC42","Patched","TGFR","TGF","CD44","TrCP","STAT","LIV1","cMet","Wnt","DSH","Ecadherin","SMO","SRC","Frizzled","miR200","RKIP","cateninmemb","ZEB2","ZEB1","RAF","PI3K","DELTA","RAS","GSK3","SNAI1","TWIST1","KLF4","GLI","FUS","NOTCHic","SHH","SMAD","TCFLEF","cateninnuc","IKK","PAK1","ILK","Csl","NFB","Jagged","HEY1","EGR1","FOXC2","cfos","Destcompl","SUFU","AXIN2","SNAI2"
"DSH",-0.0466666666666667,0.0948734581551919,0.0820915032679738,-0.0534195402298851,0.207390983000739,0.0351956866662749,0.483478260869565,0.211932690964949,0.51871635610766,0.54693935262334,0.358176069312354,-0.0666666666666667,0.25,0.2,0.329699248120301,0.329699248120301,0.25,0.186009038402231,0.182900432900433,0.286842105263158,0.286842105263158,-0.264052337398374,0.501258741258741,-0.0829872964537874,-0.479964473700841,-0.479964473700841,-0.501259411951496,-0.501259411951496,-0.501259411951496,-0.531231400747015,-0.670933880771068,-0.593636991028295,-0.502889027951606,-0.441543607734356,-0.356496633741216,-0.159090909090909,-0.0149159663865546,-0.226043120412802,-0.438968493734193,-0.381509402645687,-0.400298360793505,0.0591666666666667,-0.44,-0.404628871092683,-0.00119047619047619,0.0591666666666667,-0.375555141013417,-0.390537226864215,-0.0533333333333333,-0.659775230889062,-0.0709803921568627,-0.675677731504158,-0.15,-0.388666292004532,-0.439806540622154
"Frizzled",-0.0666666666666667,0.0820915032679738,0.0709803921568627,-0.0591666666666667,0.187878787878788,0.0149159663865546,0.44,0.182900432900433,0.483478260869565,0.51871635610766,0.329699248120301,-0.1,0.2,0.1,0.286842105263158,0.286842105263158,0.3,0.181180241211713,0.159090909090909,0.25,0.25,-0.246979166666667,0.46,-0.0729755178907721,-0.447681009133912,-0.447681009133912,-0.464251537935748,-0.464251537935748,-0.464251537935748,-0.501259411951496,-0.633578892371996,-0.553347135955832,-0.468137254901961,-0.407563025210084,-0.329699248120301,-0.15,-0.00119047619047619,-0.211932690964949,-0.404628871092683,-0.358176069312354,-0.381509402645687,0.0591666666666667,-0.366666666666667,-0.360703637447824,0.00714285714285715,0.0466666666666667,-0.340671420083185,-0.346677577741408,-0.0333333333333333,-0.614320685434517,-0.0533333333333333,-0.639990708603395,-0.1,-0.354489076814658,-0.408025399760687
"Csn",0.01,0.189266774891775,0.171558441558442,0.0277666666666667,0.250752911334025,0.0748570873570873,0.482055630936228,0.229884094400223,0.506414605295202,0.52717832844556,0.314188801181738,0.06,0.233333333333333,0.2,0.292411023403961,0.292411023403961,0.233333333333333,0.173169646097388,0.198701298701299,0.257471264367816,0.257471264367816,-0.229304055101431,0.487596419560255,-0.0199267064222556,-0.426549214226634,-0.426549214226634,-0.438595873293817,-0.438595873293817,-0.438595873293817,-0.458749424157541,-0.597750385974664,-0.539416046038042,-0.456947171575503,-0.397747611865259,-0.312061678425795,-0.171428571428571,-0.0527417027417027,-0.239720159973994,-0.394981471576,-0.329944428191385,-0.343714722839611,-0.0141666666666667,-0.447727272727273,-0.371074016563147,-0.0358585858585859,-0.00166666666666666,-0.336568483467077,-0.366431339977852,-0.13,-0.61904778948086,-0.157272727272727,-0.615979253827036,-0.171428571428571,-0.344053942398489,-0.402777362641794
"Wnt",-0.1,0.0709803921568627,0.0533333333333333,-0.0591666666666667,0.160606060606061,0.00119047619047619,0.366666666666667,0.159090909090909,0.44,0.483478260869565,0.286842105263158,-0.1,0.1,0,0.25,0.25,0.2,0.178149938181409,0.15,0.2,0.3,-0.226666666666667,0.41,-0.061864406779661,-0.411047345767575,-0.411047345767575,-0.418796992481203,-0.418796992481203,-0.418796992481203,-0.464251537935748,-0.586912225705329,-0.508902691511387,-0.421470588235294,-0.364705882352941,-0.286842105263158,-0.1,0.00714285714285715,-0.182900432900433,-0.360703637447824,-0.329699248120301,-0.358176069312354,0.0466666666666667,-0.3,-0.302564102564103,0.05,0.0666666666666667,-0.291176470588235,-0.289230769230769,0,-0.563157894736842,-0.0333333333333333,-0.597285138311618,0,-0.31030303030303,-0.369224137931034
"ILK",-0.166666666666667,0.0734628277540524,0.065266106442577,-0.146907993966818,0.172692307692308,0.0153846153846154,0.377941176470588,0.166666666666667,0.417941176470588,0.444770444763271,0.30398364920104,-0.2,0.2,0.1,0.268599033816425,0.268599033816425,0.2,0.153047782403424,0.166666666666667,0.255555555555556,0.255555555555556,-0.208655227507687,0.395733678086619,-0.0579656885668739,-0.374822938474772,-0.374822938474772,-0.373125541125541,-0.373125541125541,-0.373125541125541,-0.401892664413212,-0.48478835978836,-0.43634460547504,-0.387135277014108,-0.343201754385965,-0.30398364920104,-0.15,-0.0153846153846154,-0.188888888888889,-0.344187274909964,-0.3248876040033,-0.3448876040033,0.13921568627451,-0.325,-0.308187274909964,0,0.133333333333333,-0.304210526315789,-0.296307133488044,-0.0333333333333333,-0.513166085946574,-0.0476190476190476,-0.566922437325468,-0.1,-0.332095238095238,-0.375337765351142
"TrCP",0.2,0.421219356423483,0.410552689756816,0.274634502923977,0.330156765676568,0.255824175824176,0.387675070028011,0.255766057916596,0.392220524573466,0.395499213098056,0.126626626626627,0.2,0.1,0.1,0.126626626626627,0.123781676413255,0.1,0.150388789722908,0.254531490015361,0.118518518518519,0.118518518518519,-0.168291368231649,0.354911846900797,0.0961030956856933,-0.332841811493431,-0.332841811493431,0.0321018651362984,0.0321018651362984,0.0321018651362984,0.0321018651362984,0.0163035714285714,-0.322002636297068,-0.260063335215509,-0.32639864689045,-0.122318261779109,-0.219047619047619,-0.249230769230769,-0.254766057916596,-0.318975934459805,-0.12995995995996,-0.132856511684098,-0.269078947368421,-0.385714285714286,-0.31510496671787,-0.223076923076923,-0.2375,-0.265544052488071,-0.325233706676074,-0.36,-0.436079515069274,-0.381739130434783,-0.158894573917505,-0.185714285714286,-0.155070793444248,-0.331009634364527
"PAK1",0.2,0.421219356423483,0.410552689756816,0.274634502923977,0.330156765676568,0.255824175824176,0.387675070028011,0.255766057916596,0.392220524573466,0.395499213098056,0.126626626626627,0.2,0.1,0.1,0.126626626626627,0.123781676413255,0.1,0.150388789722908,0.254531490015361,0.118518518518519,0.118518518518519,-0.168291368231649,0.354911846900797,0.0961030956856933,-0.332841811493431,-0.332841811493431,0.0321018651362984,0.0321018651362984,0.0321018651362984,0.0321018651362984,0.0163035714285714,-0.322002636297068,-0.260063335215509,-0.32639864689045,-0.122318261779109,-0.219047619047619,-0.249230769230769,-0.254766057916596,-0.318975934459805,-0.12995995995996,-0.132856511684098,-0.269078947368421,-0.385714285714286,-0.31510496671787,-0.223076923076923,-0.2375,-0.265544052488071,-0.325233706676074,-0.36,-0.436079515069274,-0.381739130434783,-0.158894573917505,-0.185714285714286,-0.155070793444248,-0.331009634364527
"EGR1",0.2,0.421219356423483,0.410552689756816,0.274634502923977,0.330156765676568,0.255824175824176,0.387675070028011,0.255766057916596,0.392220524573466,0.395499213098056,0.126626626626627,0.2,0.1,0.1,0.126626626626627,0.123781676413255,0.1,0.150388789722908,0.254531490015361,0.118518518518519,0.118518518518519,-0.168291368231649,0.354911846900797,0.0961030956856933,-0.332841811493431,-0.332841811493431,0.0321018651362984,0.0321018651362984,0.0321018651362984,0.0321018651362984,0.0163035714285714,-0.322002636297068,-0.260063335215509,-0.32639864689045,-0.122318261779109,-0.219047619047619,-0.249230769230769,-0.254766057916596,-0.318975934459805,-0.12995995995996,-0.132856511684098,-0.269078947368421,-0.385714285714286,-0.31510496671787,-0.223076923076923,-0.2375,-0.265544052488071,-0.325233706676074,-0.36,-0.436079515069274,-0.381739130434783,-0.158894573917505,-0.185714285714286,-0.155070793444248,-0.331009634364527
"cfos",0.2,0.410552689756816,0.381739130434783,0.269078947368421,0.329166666666667,0.249230769230769,0.385714285714286,0.254531490015361,0.387675070028011,0.392220524573466,0.126626626626627,0.1,0.1,0.1,0.118518518518519,0.118518518518519,0.1,0.150596402179656,0.219047619047619,0.1,0.1,-0.166768525592055,0.348834498834499,0.0966525462351438,-0.32866174718475,-0.32866174718475,0.0308823529411765,0.0308823529411765,0.0308823529411765,0.0321018651362984,0.0173944805194805,-0.321286645843608,-0.2584329004329,-0.31984126984127,-0.123781676413255,-0.185714285714286,-0.223076923076923,-0.255766057916596,-0.31510496671787,-0.126626626626627,-0.12995995995996,-0.2375,-0.371428571428571,-0.313492063492063,-0.2,-0.2,-0.264930555555556,-0.32376311844078,-0.2,-0.430562273689964,-0.36,-0.154684047601715,-0.2,-0.151297208538588,-0.325042184093279
"Csl",0.211111111111111,0.41536231884058,0.406666666666667,0.278552971576227,0.320191776558914,0.216826229797367,0.359555555555556,0.255145234272369,0.361466383581033,0.361693140950648,0.0281499452928024,0.2,0.0123076923076923,0.02,0.0285581085581086,0.0263839386420032,0.0123076923076923,0.0626513009327531,0.258371040723982,0.0274592074592075,0.0274592074592075,-0.158312775919032,0.327687266751015,0.0234830077484246,-0.314159571534061,-0.314159571534061,0.0721907877230216,0.0721907877230216,0.0721907877230216,0.0747643171347863,0.0688843656065645,-0.291405124665994,-0.196426306185862,-0.312760524499655,-0.0247710354161967,-0.223076923076923,-0.214098957070095,-0.254283165306852,-0.305222678999657,-0.0279972735370772,-0.029312310701171,-0.274677002583979,-0.359555555555556,-0.303556012332991,-0.190414746543779,-0.244444444444444,-0.213951341306474,-0.213560452051501,-0.366666666666667,-0.385839368005267,-0.380952380952381,-0.0159635145722897,-0.2,-0.0291716902602337,-0.218806811630002
