"","GSK3","ZEB2","RKIP","EGR1","cfos","ERK","MEK","RAS","RAF","PI3K","cMet","CD44","Wnt","cateninnuc","TCFLEF","GLI","Csn","Frizzled","SUFU","DSH","HEY1","SMO","SMAD","NOTCHic","Csl","miR200","ILK","KLF4","Patched","TGFR","SHH","FOXC2","NOTCH","TGF","TrCP","IKK","AKT","FUS","PAK1","NFB","CDC42","Jagged","STAT","SRC","SNAI2","LIV1","Ecadherin","AXIN2","cateninmemb","ZEB1","DELTA","SNAI1","SOSGRB2","TWIST1","Destcompl"
"ZEB2",-0.198386349936887,-0.114744490975101,-0.0948470209339775,-0.0916666666666667,-0.0864035087719298,-0.079951895868704,-0.0787323836735821,-0.0643004069449466,-0.0636580086580087,-0.0636580086580087,-0.0471929824561403,-0.0425633528265107,-0.0396503496503497,-0.0391922169201635,-0.037633775361722,-0.0359806248797074,-0.0333333333333333,-0.0293939393939394,-0.025,-0.0227272727272727,-0.0218272050530115,-0.0178571428571429,-0.0174755978019461,-0.0167179487179487,-0.0153846153846154,-0.015053500919073,-0.0144268173141413,-0.0133286895239487,-0.0129790940766551,-0.0123067408781695,-0.0120700031675641,-0.0118445998445998,-0.0117999159310635,-0.00648663505806363,0,0.00166666666666666,0.002601246105919,0.00357142857142857,0.0038961038961039,0.00833333333333333,0.012987012987013,0.0257476828339258,0.03,0.0366666666666667,0.0471909859586919,0.05,0.0518135802940848,0.0626726940295864,0.0628790589620601,0.0629480837894719,0.0636580086580087,0.0684100203485796,0.0732600732600733,0.0908152589697302,0.102398371200497
"GLI",0.179123191378659,-0.108673664447858,0.0477399330229519,-0.142857142857143,-0.101190476190476,-0.110281385281385,-0.114148788596302,-0.0615578605296874,-0.0625479595395884,-0.0625479595395884,0.0618725413060582,0.0618725413060582,0.184971537001898,0.0552513382413405,0.0560283854619024,0.0853970689167911,0.0888888888888889,0.169677419354839,0.219047619047619,0.16,-0.0811442094973504,-0.167731829573935,-0.0655626135089577,-0.0712732095490716,-0.0812732095490716,0.134273012848864,-0.0715085594549037,-0.10585413985414,-0.18609917651271,-0.0474549989156365,-0.197210287623821,0.0507001418988648,-0.0855589238347859,-0.0509844106803424,-0.1,-0.0506504356128416,-0.0662754356128416,0.194047619047619,0.065,-0.0730994152046784,0.0443103448275862,0.0962923994444868,-0.04,-0.0496774193548387,-0.0956425135685645,-0.1,-0.0899832386700452,-0.0907910628019324,-0.108032739682288,-0.212677419354839,0.0625479595395884,-0.031240072556133,-0.0276098532735701,-0.0274524334371533,-0.130881652892439
"TrCP",0.0785562770562771,-0.108514881964194,0.0621657716132854,-0.04,-0.000869565217391305,-0.0127339719970523,-0.0220673053303857,-0.00470114825925443,-0.00515569371379988,-0.00515569371379988,0.0673273273273273,0.0663372283174263,0.0695321637426901,0.0585671133748976,0.0596705616507597,0.0690443588646413,0.108333333333333,0.0511111111111111,0.119047619047619,0.04,-0.0771430461239968,-0.0566820276497696,-0.0572913466461853,-0.0917948717948718,-0.102564102564103,0.14342320530735,-0.0676139272913466,-0.109146500130107,-0.0752005461682881,0.0588235294117647,-0.0882005461682881,0.0516679741703241,-0.106080586080586,0.0506268081002893,-0.133333333333333,-0.0695175438596491,-0.0824805068226121,0.0857142857142857,-0.0333333333333333,-0.0958333333333333,-0.0588235294117647,0.0962619291070211,-0.04,-0.0511111111111111,-0.0930774209005753,-0.1,-0.0950357558708973,-0.0930411748303746,-0.109867226112412,-0.226872045891767,0.00515569371379988,-0.0117889664990961,-0.0333470847084709,-0.0186214003387916,-0.112236157475293
"SMAD",0.135519697512179,-0.1037360422588,0.0723544832907539,-0.0285714285714286,-0.00599078341013825,-0.00599078341013825,-0.011760014179369,0.0740527243575393,0.0756974611996446,0.0756974611996446,-0.00661064425770308,-0.00697428062133944,-0.0247252747252747,-0.00717512772596552,-0.00656722499040321,-0.0247252747252747,0.0166666666666667,-0.0285714285714286,0.00833333333333333,-0.0285714285714286,0.0480018251554918,0.0241666666666667,-0.0723180472495541,-0.000131362889983579,-0.0104761904761905,0.165833686107222,0.0233962384647316,-0.104784932200294,0.021414373088685,0.0418061441273338,0.0150946704864545,0.0330192737703978,-0.00171866447728517,0.0390172995058199,-0.05,-0.00378151260504202,-0.00511484593837535,-0.00416666666666667,-0.0285714285714286,-0.0214285714285714,-0.0412474849094567,-0.0149581064097193,0.00857142857142857,0.00857142857142857,-0.137476978469697,-0.02,-0.00883585720551862,0.00635291820543446,-0.00302261586370272,-0.256860280882457,-0.0756974611996446,-0.0442560705423609,-0.0711697722567288,-0.0916265688389948,-0.0556176536528585
"miR200",0.0660522837471156,-0.10334229390681,0.0164698010611329,0.0142857142857143,0.0342857142857143,0.0251948051948052,0.0163512677798392,0.102377094004369,0.100631458094145,0.100631458094145,0.0683282302510716,0.0705754212623076,0.0686760563380282,0.0632954789823653,0.0654166911035774,0.0708738585358304,0.02,0.056,0.02,0.06,-0.0151977401129944,-0.00666666666666667,-0.00655594701978589,-0.0170443349753695,-0.0239408866995074,0.00916291854072963,-0.0137659783677483,-0.103951000690131,-0.0129957805907173,-0.0217346616065781,-0.0195175197211521,-0.0175839878278903,-0.024388967743731,-0.0263858243972758,0,-0.0166917293233083,-0.0204653142289686,0.02,0.0458333333333333,-0.0252631578947368,0.0281862745098039,0.0154132502197714,-0.06,-0.0556521739130435,0.101444744003953,-0.1,-0.18686715042175,-0.106976091078403,-0.173356677667447,-0.111527777777778,-0.100631458094145,-0.0189504939504939,-0.021956802063185,0.0799047578188683,-0.130762994986048
"Jagged",0.0716475095785441,-0.0910628019323671,0.0717948717948718,0.1,0,-0.02,-0.02,0.00787878787878788,0.0533333333333333,0.0533333333333333,0.08,0.0107692307692308,0.08,0.0467998667998668,0.0259207459207459,0.0107692307692308,0,0.1,0,0,-0.15,-0.133333333333333,-0.0357142857142857,-0.26,-0.2,0.134545454545455,-0.05,-0.138888888888889,-0.133333333333333,0.0444444444444444,-0.0948717948717949,0.0271428571428571,-0.245714285714286,0.0244444444444444,0,-0.133333333333333,-0.122222222222222,0.1,0,-0.1,-0.1,0.0708225108225108,0,-0.1,-0.0709401709401709,0,-0.104385964912281,-0.0742857142857143,-0.104283885128956,-0.221014492753623,-0.0533333333333333,-0.025,0,-0.06,-0.104988416988417
"AXIN2",-0.324378063330008,-0.0850368356621971,-0.251397160187483,-0.166666666666667,-0.169105691056911,-0.170040270496163,-0.174178201530646,-0.162632197891237,-0.164469468232444,-0.164469468232444,0.257321571772253,0.2588988588385,0.257321571772253,0.254479776927754,0.255733559893599,0.259208364225084,-0.166666666666667,0.246976744186047,0.1,0.24,0.158183683538653,-0.0769230769230769,0.158505866114562,0.00245614035087719,0.00245614035087719,-0.259263955375673,0.158109040717736,-0.0925340276651034,-0.0858516483516484,0.0226287829127062,-0.0940483696631238,0.0588380394001003,-0.00294926505452822,0.0186683868731023,0.133333333333333,0.201449275362319,0.199227053140097,0.0769230769230769,-0.0279166666666667,0.197101449275362,-0.0217438271604938,0.198502907198559,-0.24,-0.246976744186047,0.340147556004629,-0.233333333333333,0.0144837117509675,0.162375708940176,-0.231991040582736,0.285203865764452,0.164469468232444,0.22828463435842,0.130623485911003,0.243174707745364,0.33025399140733
"GSK3",0.240544314164808,-0.0676505482078303,0.217483656694183,0.103921568627451,0.126143790849673,0.11937687355644,0.118240509920076,0.187679117157921,0.188099285225148,0.188099285225148,-0.120757605935368,-0.118852844030606,-0.119476387046046,-0.120435775089331,-0.119119985615646,-0.117589594593216,0.2075,-0.122744360902256,0.0909090909090909,-0.126315789473684,-0.12194148377303,-0.0635665409858958,-0.102258697553034,-0.139580517521694,-0.150070028011204,0.232864326145393,-0.10540712334014,-0.0649435405971475,-0.0703150072435645,-0.0323971115487552,-0.0736642895402153,-0.0433712921105822,-0.143996101937278,-0.0323971115487552,-0.22,-0.194209770114943,-0.200192676097849,0.0861471861471862,0.0440579710144928,-0.21375,0.0278674948240166,0.028763187936965,0.126315789473684,0.122744360902256,-0.178841270924797,0.1,-0.111111032288607,0.166431897132556,0.000498286997921456,-0.299548039837465,-0.188099285225148,-0.160971078690998,-0.20953058663779,-0.179277823805579,-0.266394278176351
"DSH",0.338214863249666,-0.0669076061573102,0.215729270729271,0.133333333333333,0.103921568627451,0.126143790849673,0.11937687355644,0.188099285225148,0.187258949090694,0.187258949090694,-0.122744360902256,-0.120757605935368,-0.122744360902256,-0.119119985615646,-0.118852844030606,-0.119476387046046,0.22,-0.126315789473684,0.1,-0.1,-0.11951933844431,-0.0861471861471862,-0.10540712334014,-0.150070028011204,-0.155952380952381,0.232512626262626,-0.102010896925046,-0.0634168230398956,-0.0635665409858958,-0.0278674948240166,-0.0703150072435645,-0.0441687402764514,-0.139580517521694,-0.0323971115487552,-0.2,-0.21375,-0.194209770114943,0.0909090909090909,0.0266666666666667,-0.2075,0.0440579710144928,0.0262814361121475,0.1,0.126315789473684,-0.179358958586575,0.1,-0.11022199705647,0.16749734614321,-0.00118164226821471,-0.300290981887985,-0.187258949090694,-0.162853692201518,-0.212786400591279,-0.180686274509804,-0.266922633230948
"Frizzled",0.34030303030303,-0.0653328030077039,0.216428571428571,0.133333333333333,0.133333333333333,0.103921568627451,0.126143790849673,0.187258949090694,0.183321941216678,0.183321941216678,-0.126315789473684,-0.122744360902256,-0.126315789473684,-0.118852844030606,-0.120757605935368,-0.122744360902256,0.2,-0.1,0.1,0,-0.110747408619749,-0.0909090909090909,-0.102010896925046,-0.155952380952381,-0.164285714285714,0.232512626262626,-0.093599681971775,-0.0605042016806723,-0.0861471861471862,-0.0440579710144928,-0.0635665409858958,-0.0394068355145466,-0.150070028011204,-0.0278674948240166,-0.1,-0.2075,-0.21375,0.1,0.0333333333333333,-0.22,0.0266666666666667,0.0216302733214498,0.1,0.1,-0.179708201892744,0.1,-0.113294867995891,0.16707540521494,-0.000357142857142858,-0.295566572439166,-0.183321941216678,-0.164302967563837,-0.203030303030303,-0.180686274509804,-0.267113472925605
