"","SNAI2","RAF","SOSGRB2","SRC","STAT","CD44","AKT","Destcompl","IKK","NFB","Csn","SMO","FUS","TWIST1","PAK1","CDC42","cfos","ERK","MEK","EGR1","FOXC2","TGFR","TGF","HEY1","TrCP","SMAD","ILK","AXIN2","SUFU","Patched","SHH","LIV1","Ecadherin","GLI","DSH","Wnt","Jagged","RKIP","TCFLEF","Frizzled","cateninnuc","cMet","cateninmemb","Csl","RAS","NOTCHic","SNAI1","PI3K","DELTA","NOTCH","GSK3","ZEB2","ZEB1","miR200","KLF4"
"LIV1",0.167402541405128,0.0234058664116053,0.0507563256325632,-0.0340740740740741,-0.06,-0.0316389656983716,0.0174707602339181,-0.0697953216374269,0.00635964912280701,-0.00416666666666667,0.00833333333333333,0.00660522273425499,-0.00952380952380952,0.0942013928100884,-0.0476190476190476,-0.0221288515406162,-0.00434782608695652,-0.00604274134119381,0.00604274134119381,0,-0.00300791805368068,0.00243188184364655,-0.001939702855807,6.39386189258316e-05,-0.0333333333333333,-0.00282642089093702,0.00168970814132104,0.0523629829290207,0.00952380952380952,-0.015247198042897,-0.013247198042897,0.1,-0.00386117490071666,0.0322255503256787,0.06,0.0288109161793372,-0.0177194103612815,-0.0828143311568726,0.0371945212539272,0.0340740740740741,0.0411945212539272,0.0286686686686687,0.0329258328977465,0.00897435897435897,-0.0234058664116053,-0.00794871794871795,-0.103377627779912,-0.0234058664116053,-0.0234058664116053,-0.0167399267399267,0.0628928571428571,-0.425592866899517,-0.425592866899517,-0.441893188593696,-0.411351027842831
"EGR1",0.167402541405128,0.0234058664116053,0.0507563256325632,-0.0340740740740741,-0.06,-0.0316389656983716,0.0174707602339181,-0.0697953216374269,0.00635964912280701,-0.00416666666666667,0.00833333333333333,0.00660522273425499,-0.00952380952380952,0.0942013928100884,-0.0476190476190476,-0.0221288515406162,-0.00434782608695652,-0.00604274134119381,0.00604274134119381,0,-0.00300791805368068,0.00243188184364655,-0.001939702855807,6.39386189258316e-05,-0.0333333333333333,-0.00282642089093702,0.00168970814132104,0.0523629829290207,0.00952380952380952,-0.015247198042897,-0.013247198042897,0.1,-0.00386117490071666,0.0322255503256787,0.06,0.0288109161793372,-0.0177194103612815,-0.0828143311568726,0.0371945212539272,0.0340740740740741,0.0411945212539272,0.0286686686686687,0.0329258328977465,0.00897435897435897,-0.0234058664116053,-0.00794871794871795,-0.103377627779912,-0.0234058664116053,-0.0234058664116053,-0.0167399267399267,0.0628928571428571,-0.425592866899517,-0.425592866899517,-0.441893188593696,-0.411351027842831
"SOSGRB2",-0.157168473606336,0.21864406779661,0.0330555555555556,0.142857142857143,0.1,0.154451345755694,0.282456140350877,-0.140027533987266,0.282456140350877,0.266666666666667,0.3,0.2,0.166666666666667,0.172898550724638,0.0857142857142857,0.0757142857142857,-0.0650793650793651,-0.1002145002145,0.0941538941538941,0.0761904761904762,-0.0843467643467644,-0.0987912087912088,-0.100918868365677,-0.0632575757575758,-0.2,-0.174461237687044,-0.176559139784946,-0.114390814081408,-0.2,-0.197297297297297,-0.201948460087995,0,-0.108286655598484,-0.149741200828157,-0.1,-0.151190476190476,-0.228288331031678,-0.224305555555556,-0.151293451018851,-0.142857142857143,-0.147660563829559,-0.155900621118012,-0.158521508521509,-0.290909090909091,-0.222490221642764,-0.313986013986014,-0.238492537313433,-0.21864406779661,-0.21864406779661,-0.31821136609869,-0.165591877345033,-0.342744360902256,-0.342744360902256,-0.358508350362017,-0.331315789473684
"MEK",-0.159401482827762,-0.0193611943611944,0.0893968253968254,0.13859649122807,0.133333333333333,0.129855232486811,0.0994690603514133,-0.0966204477796542,0.0912337662337662,0.0821428571428571,0.0571428571428571,0.102666666666667,0.106666666666667,0.0876478423537247,-0.0266666666666667,0.00190476190476191,-0.0910344827586207,-0.0803961848862803,-0.0162704817803864,0.06,0.0148943373081304,0.0008989764129951,0.00016904940569583,-0.0695674515186711,-0.1,-0.0890355918931779,-0.081286514402403,-0.0981044335474715,-0.0666666666666667,-0.104306010928962,-0.104959605700204,-0.1,-0.108045361549451,-0.124592074592075,-0.133333333333333,-0.129487179487179,-0.120593657597192,-0.0735515258735073,-0.125020626888847,-0.133333333333333,-0.124834753282899,-0.134750337381916,-0.145591371244169,-0.116161616161616,0.0196786546786547,-0.123853923853924,-0.0979806598048752,0.0193611943611944,0.0193611943611944,-0.12750355889042,-0.0213855054280586,-0.312817699437499,-0.312817699437499,-0.324667361984799,-0.304304160688666
"RKIP",-0.155508538788833,-0.0185064935064935,0.084952380952381,0.133333333333333,0.1,0.134750337381916,0.0912337662337662,-0.0924363473612441,0.0821428571428571,0.0571428571428571,0.1,0.106666666666667,0.0666666666666667,0.0836185383244207,-0.0333333333333333,-0.0266666666666667,-0.06,-0.0910344827586207,0.0803961848862803,0.01,0.0166961391099322,-0.00190476190476191,0.0008989764129951,-0.0659310878823074,-0.1,-0.081286514402403,-0.0783162173727,-0.0999062353492733,-0.1,-0.102666666666667,-0.104306010928962,0,-0.104038075574951,-0.129487179487179,-0.1,-0.133333333333333,-0.122233001859487,-0.0630252100840336,-0.129855232486811,-0.133333333333333,-0.125020626888847,-0.13859649122807,-0.147054785878315,-0.0888888888888889,0.0193611943611944,-0.116161616161616,-0.0941345059587214,0.0185064935064935,0.0185064935064935,-0.123853923853924,-0.0216312056737589,-0.302500239120038,-0.302500239120038,-0.317546618950744,-0.294500239120038
"RAF",-0.155508538788833,-0.0185064935064935,0.084952380952381,0.133333333333333,0.1,0.134750337381916,0.0912337662337662,-0.0924363473612441,0.0821428571428571,0.0571428571428571,0.1,0.106666666666667,0.0666666666666667,0.0836185383244207,-0.0333333333333333,-0.0266666666666667,-0.06,-0.0910344827586207,0.0803961848862803,0.01,0.0166961391099322,-0.00190476190476191,0.0008989764129951,-0.0659310878823074,-0.1,-0.081286514402403,-0.0783162173727,-0.0999062353492733,-0.1,-0.102666666666667,-0.104306010928962,0,-0.104038075574951,-0.129487179487179,-0.1,-0.133333333333333,-0.122233001859487,-0.0630252100840336,-0.129855232486811,-0.133333333333333,-0.125020626888847,-0.13859649122807,-0.147054785878315,-0.0888888888888889,0.0193611943611944,-0.116161616161616,-0.0941345059587214,0.0185064935064935,0.0185064935064935,-0.123853923853924,-0.0216312056737589,-0.302500239120038,-0.302500239120038,-0.317546618950744,-0.294500239120038
"DSH",0.15255074627187,0.0489077023266828,0.088470066518847,0.105263157894737,0.1,0.101951899616591,0.102614942528736,-0.132391450185359,0.0991666666666667,0.0991666666666667,0.0866666666666667,0.0361471861471861,0.0409090909090909,0.0127147029024376,-0.0333333333333333,-0.0420289855072464,-0.0274509803921569,-0.0274509803921569,0.0312103788883975,0.0333333333333333,0.0490344742976322,0.0410766045548654,0.0386375801646215,-0.0155327762942545,-0.0666666666666667,-0.0242927634593925,-0.0261795559122227,-0.0736478711162256,-0.05,-0.042598799050412,-0.0456662837129886,-0.1,0.0498974377783519,-0.101995184038528,-0.1,-0.105263157894737,-0.0504812834224599,-0.0418298368298368,-0.10099951866421,-0.105263157894737,-0.102513320979437,-0.105263157894737,-0.0277585152165915,-0.122619047619048,-0.0491878143715008,-0.124579831932773,-0.027639751552795,-0.0489077023266828,-0.0489077023266828,-0.126677734030675,0.025554032201364,-0.292130521697771,-0.292130521697771,-0.300793529810298,-0.287710423975415
"AKT",0.173979000025315,0.02124485560102,0.0776923076923077,0.115458937198068,0.111111111111111,0.104628863317146,0.0801636272224508,-0.116619886116071,0.175113122171946,0.172549019607843,0.166666666666667,0.0333333333333333,0.0333333333333333,0.018053317481803,-0.0455882352941176,-0.0495882352941176,-0.0131652661064426,-0.0148046103687377,0.0198679015079782,0.019047619047619,0.0556980255516841,0.0455231946437111,0.0464295390545873,-0.00809426957566452,-0.166666666666667,-0.0149633283616477,-0.0159734293717487,-0.0752270930032663,-0.05,-0.0388888888888889,-0.0388888888888889,-0.1,0.0478209469864353,-0.104698301186035,-0.111111111111111,-0.110843552582683,-0.0454211688160799,-0.0494533599392934,-0.102773193214054,-0.115458937198068,-0.104465500906361,-0.110843552582683,-0.034180644165265,-0.107692307692308,-0.0190761809022248,-0.110918114143921,-0.0441675141961183,-0.02124485560102,-0.02124485560102,-0.112137626339043,0.0138014166239973,-0.290180214008721,-0.290180214008721,-0.296208823884812,-0.28496963562753
"Frizzled",0.15313281844882,0.0481203007518797,0.0909090909090909,0.1,0.1,0.105263157894737,0.0991666666666667,-0.131437251712077,0.0991666666666667,0.0866666666666667,0.0666666666666667,0.0409090909090909,0.05,0.0084593837535014,-0.0666666666666667,-0.0333333333333333,-0.0333333333333333,-0.0274509803921569,0.0274509803921569,0.0333333333333333,0.0520647773279352,0.0420289855072464,0.0410766045548654,-0.0120240043644299,-0.1,-0.0261795559122227,-0.021506658715961,-0.0757575757575758,0,-0.0361471861471861,-0.042598799050412,-0.1,0.0513899750917847,-0.105263157894737,0,-0.105263157894737,-0.0504812834224599,-0.0383333333333333,-0.101951899616591,-0.1,-0.10099951866421,-0.105263157894737,-0.0264628732849072,-0.114285714285714,-0.0489077023266828,-0.122619047619048,-0.0261904761904762,-0.0481203007518797,-0.0481203007518797,-0.124579831932773,0.0243939393939394,-0.285831309099346,-0.285831309099346,-0.292256944444444,-0.27703081232493
"Wnt",0.153448275862069,0.0481203007518797,0.0757575757575758,0.1,0.1,0.105263157894737,0.0991666666666667,-0.130110991765127,0.0866666666666667,0.0666666666666667,0.1,0.05,0,0.00941176470588235,-0.1,-0.0666666666666667,-0.0333333333333333,-0.0333333333333333,0.0274509803921569,0,0.0520647773279352,0.0333333333333333,0.0420289855072464,-0.00564102564102564,-0.1,-0.021506658715961,-0.0145299145299145,-0.0757575757575758,0,-0.0409090909090909,-0.0361471861471861,0,0.0548864785882882,-0.105263157894737,0,-0.1,-0.0474509803921569,-0.0383333333333333,-0.105263157894737,0,-0.101951899616591,-0.1,-0.0274152542372881,-0.1,-0.0481203007518797,-0.114285714285714,-0.0214285714285714,-0.0481203007518797,-0.0481203007518797,-0.122619047619048,0.025,-0.274940219990435,-0.274940219990435,-0.284444444444444,-0.262745098039216
