"","GSK3","ZEB1","SNAI2","KLF4","Wnt","miR200","cMet","CDC42","TGFR","FOXC2","TGF","PAK1","cateninmemb","Jagged","NOTCH","ILK","HEY1","AKT","NOTCHic","ZEB2","IKK","TrCP","SUFU","FUS","Csl","SNAI1","SHH","Csn","SOSGRB2","SMAD","SMO","Patched","NFB","cfos","TWIST1","Ecadherin","RKIP","STAT","SRC","EGR1","ERK","Frizzled","DSH","MEK","cateninnuc","TCFLEF","Destcompl","CD44","RAF","PI3K","DELTA","GLI","RAS","AXIN2","LIV1"
"Destcompl",-0.143451004478667,0.187196966359779,0.185726061893412,0.0852589824292577,0.130658838878017,0.100986494207386,0.131156351315828,-0.124883884588318,-0.131725989851476,-0.108714425004435,-0.131036334679062,-0.115918367346939,-0.162032620395283,0.12768165884582,0.0739140600040661,-0.069047619047619,-0.0740230709461479,0.0472246476331682,0.0705072463768116,-0.0895580958254409,0.0418555201163897,0.0666666666666667,0.144444444444444,0.154789272030651,0.0628985507246377,-0.173413265851136,0.147348977786256,0.0380952380952381,-0.0540955466430647,0.0740768588137009,0.154789272030651,0.149089790165366,0.0337474120082816,-0.127086247086247,-0.0250667357385373,-9.08187609734124e-05,-0.203502780090683,-0.123809523809524,-0.130658838878017,-0.121025641025641,-0.129818487523406,-0.130658838878017,-0.123809523809524,-0.132772074021296,-0.131382156583566,-0.131331162192949,0.0433476068993115,-0.13078321698747,0.0625156833953598,0.0625156833953598,0.0625156833953598,-0.130102252607145,0.0617307540390019,-0.183051681415733,-0.116666666666667
"cMet",0.0870583717357911,0.102020202020202,0.198903270290132,-0.0365079365079365,-0.08,0.074362922705314,-0.08,-0.0191666666666667,-0.0136111111111111,-0.0242141350210971,-0.0199940898345154,-0.00666666666666668,-0.0825903041205532,0.0479203405290362,0.144472884338506,0.0572562358276644,0.0346061231510148,0.14625,0.133834586466165,-0.0544011544011544,0.14,0.2,-0.1,-0.05,0.128571428571429,-0.056701267807423,-0.059375,0.2,0.139047619047619,-0.0572562358276644,-0.05,-0.05,0.133333333333333,0.03,-0.12583775774787,0.113482940106737,0.00259259259259259,0,0,-0.05,5.55111512312578e-18,0.1,0.1,-0.0163636363636364,0.0788150753464116,0.0838998211091234,0.192582684179323,0.0869767441860465,0.039047619047619,0.039047619047619,0.039047619047619,0.0845454545454545,0.0428212039532794,0.111587301587302,-0.1
"TGF",0.127238840741776,0.0458442549060398,0.104280138537081,0.0355199593185863,-0.0142857142857143,0.0402690700104493,-0.0333333333333333,0.0422222222222222,0.0231746031746032,-0.0785403726708075,-0.0750396825396825,0.02,-0.0227460612718783,0.107854688267059,0.204022988505747,0.116060606060606,0.0966473243068988,0.214912280701754,0.183333333333333,-0.0355199593185863,0.183333333333333,0.2,-0.133333333333333,-0.0733333333333333,0.193333333333333,0.0159821996185632,-0.111012931034483,0.233333333333333,0.155263157894737,-0.119286412512219,-0.09,-0.114137931034483,0.183333333333333,0,-0.0151851851851852,0.0476971210271818,-0.0025974025974026,0,0.0333333333333333,0,0.0578947368421053,0.0142857142857143,0,0.0245614035087719,0.0183969787246848,0.021267792121814,0.0880347668092503,0.0238993710691824,0.0589285714285714,0.0589285714285714,0.0589285714285714,0.00485175202156334,0.0589285714285714,0.0284391534391534,0
"TGFR",0.137263290619527,0.0492404813211341,0.10890976816671,0.0355199593185863,-0.00485175202156334,0.037629773822766,-0.0238993710691824,0.0231746031746032,-0.0750396825396825,-0.0789770538935149,-0.0771673421141506,0.0422222222222222,-0.0262102645051347,0.110753238991697,0.207620110807905,0.119286412512219,0.10261747356063,0.214912280701754,0.204022988505747,-0.0343878838468882,0.214912280701754,0.233333333333333,-0.0733333333333333,-0.09,0.183333333333333,0.0162771848693007,-0.11044795928307,0.183333333333333,0.158966861598441,-0.11608356553713,-0.114137931034483,-0.111012931034483,0.183333333333333,0.0578947368421053,-0.0134058257545802,0.0495710562912363,0.00311688311688312,0.0333333333333333,0.0333333333333333,0,0.0245614035087719,0.0142857142857143,0.0142857142857143,0.020451814467676,0.0202570318690603,0.0183969787246848,0.0860186377769922,0.021267792121814,0.0589285714285714,0.0589285714285714,0.0589285714285714,0.00162594556995044,0.0560045948203843,0.0254348615936599,0
"TrCP",-0.0218457792207792,0.146154010135309,0.184698603623116,0.0230679156908665,0.0594152046783626,0.0181827014762219,0.0596996996996997,0.00420168067226891,0.00874713521772346,0.00926819844842899,0.00273620625597482,-0.00952380952380952,0.0550179703856655,-0.0487378578732106,-0.0583150183150183,-0.0616914149172214,-0.0558184143222506,-0.0854775828460039,-0.0682051282051282,-0.0274151068678602,-0.0947368421052632,-0.1,0.114285714285714,0.080952380952381,-0.0666666666666667,-0.039957775827387,0.0760403936963077,-0.125,-0.11012101210121,0.0610462536268988,0.0712749615975422,0.0700403936963077,-0.1,-0.13304347826087,-0.0554010916619612,-0.0509866945456817,-0.0776297183479504,-0.06,-0.0488888888888889,-0.12,-0.144907885040531,-0.0488888888888889,-0.06,-0.154241218373864,-0.0634729758778922,-0.0677488379468578,-0.0992525747286612,-0.0696006897987096,-0.0576916945640045,-0.0576916945640045,-0.0576916945640045,-0.0677078876051918,-0.0681462400185499,-0.0943566626390309,-0.1
"Csl",0.0179991334436605,0.142654691684238,0.197057043274745,0.018871635610766,0.0589202195653808,0.0180117850842094,0.0592274392274392,-0.0165304659498208,-0.00825021117275073,-0.00406112611896817,-0.0170937485877167,-0.0391111111111111,0.0368313516650025,-0.0272785217756244,-0.042041540802152,-0.0650256937307297,-0.160923995016067,-0.102067183462532,-0.0556779044385156,-0.0271041182907625,-0.115245478036176,-0.1,0.125,0.101923076923077,-0.0504147465437788,-0.0357031776596994,0.0888088323375898,-0.133333333333333,-0.0977539191659859,0.0611368048418408,0.0842760180995475,0.0810502116479346,-0.122222222222222,-0.12,-0.038337730338663,-0.0354454360144401,-0.0685205152939255,-0.0661538461538461,-0.0449417249417249,-0.12,-0.131428571428571,-0.0449417249417249,-0.0661538461538461,-0.14555900621118,-0.0656842443579342,-0.0702011111389519,-0.106765874172134,-0.071880500451929,-0.0659646799976635,-0.0659646799976635,-0.0659646799976635,-0.070210542146026,-0.0769940917623694,-0.111974605253332,-0.12
"NOTCHic",0.00724802887812292,0.139339774557166,0.195192762886975,0.0174430641821946,0.0449417249417249,0.0151795410754948,0.0449417249417249,-0.0391111111111111,-0.0165304659498208,0.00341013824884793,-0.00825021117275073,-0.0111111111111111,0.0342319632857976,-0.0340493551089578,-0.0556779044385156,-0.0614285714285714,-0.158963210702341,-0.115245478036176,-0.0504147465437788,-0.0232367149758454,-0.122222222222222,0,0.1,0.125,0.0657142857142857,-0.0364936914936915,0.0810502116479346,-0.1,-0.103444976076555,0.0650256937307297,0.101923076923077,0.0842760180995475,-0.133333333333333,-0.12,-0.0430781366592048,-0.0366082267121145,-0.0625297318837873,-0.12,-0.0661538461538461,-0.22,-0.12,-0.0661538461538461,-0.12,-0.131428571428571,-0.0702011111389519,-0.071880500451929,-0.103901766920459,-0.0592274392274392,-0.0713833992094862,-0.0713833992094862,-0.0713833992094862,-0.0589202195653808,-0.0659646799976635,-0.1034913147649,-0.1
"NOTCH",0.00146290491118077,0.137117552334944,0.185373123608418,0.0210144927536232,0.0661538461538461,0.0157575757575758,0.0661538461538461,-0.0111111111111111,-0.0391111111111111,-0.00142857142857143,-0.0165304659498208,0,0.0393029572006049,-0.04000962000962,-0.0504147465437788,-0.0547619047619048,-0.154347826086957,-0.122222222222222,0.0657142857142857,-0.0210144927536232,-0.133333333333333,0,0,0.1,0.08,-0.0296153846153846,0.0842760180995475,0,-0.0852631578947368,0.0614285714285714,0.125,0.101923076923077,-0.1,-0.22,-0.0512542372881356,-0.0330860215053764,-0.0667550839964633,-0.1,-0.12,-0.2,-0.12,-0.12,-0.1,-0.12,-0.071880500451929,-0.0592274392274392,-0.0915684335871252,-0.0449417249417249,-0.101818181818182,-0.101818181818182,-0.101818181818182,-0.0449417249417249,-0.0713833992094862,-0.102102425876011,0
"Jagged",0.028735632183908,0.129710144927536,0.183785822021116,0.0166666666666667,0.12,0.0157575757575758,0.12,0,-0.0111111111111111,-0.0157142857142857,-0.0391111111111111,0,0.0440149990854216,-0.0251948051948052,0.0657142857142857,-0.05,-0.15,-0.133333333333333,0.08,-0.0210144927536232,-0.1,0,0,0,0.1,-0.025,0.101923076923077,0,-0.08,0.0547619047619048,0.1,0.125,0,-0.2,-0.036,-0.0306666666666667,-0.0564102564102564,0,-0.1,-0.1,-0.22,-0.1,0,-0.12,-0.0592274392274392,-0.0449417249417249,-0.0878301158301158,-0.0661538461538461,-0.12,-0.12,-0.12,-0.0661538461538461,-0.101818181818182,-0.122857142857143,0
"DELTA",0.028735632183908,0.129710144927536,0.183785822021116,0.0166666666666667,0.12,0.0157575757575758,0.12,0,-0.0111111111111111,-0.0157142857142857,-0.0391111111111111,0,0.0440149990854216,-0.0251948051948052,0.0657142857142857,-0.05,-0.15,-0.133333333333333,0.08,-0.0210144927536232,-0.1,0,0,0,0.1,-0.025,0.101923076923077,0,-0.08,0.0547619047619048,0.1,0.125,0,-0.2,-0.036,-0.0306666666666667,-0.0564102564102564,0,-0.1,-0.1,-0.22,-0.1,0,-0.12,-0.0592274392274392,-0.0449417249417249,-0.0878301158301158,-0.0661538461538461,-0.12,-0.12,-0.12,-0.0661538461538461,-0.101818181818182,-0.122857142857143,0
