"","ZEB2","TGF","PAK1","GSK3","AKT","NFB","Csn","ERK","cateninmemb","IKK","cfos","RKIP","EGR1","cMet","CD44","RAF","PI3K","DELTA","RAS","AXIN2","Destcompl","SNAI2","LIV1","SOSGRB2","STAT","TCFLEF","DSH","cateninnuc","SNAI1","GLI","SRC","Wnt","Frizzled","TWIST1","TrCP","SUFU","SHH","Patched","MEK","HEY1","SMO","FUS","miR200","KLF4","ILK","Csl","SMAD","NOTCH","Ecadherin","NOTCHic","Jagged","TGFR","CDC42","FOXC2","ZEB1"
"RAS",-0.227249631811487,-0.226616191030868,-0.22,0.151356589147287,0.0677777777777778,0.0666666666666667,0.1,-0.271842105263158,0.0654059110040809,0.0733333333333333,-0.235,-0.319981132075472,-0.26,0.120588235294118,0.0929286608260325,0.180769230769231,0.180769230769231,0.180769230769231,0.0634615384615385,0.0825823451910408,-0.0713266306289562,-0.121995197217562,0,-0.0238095238095238,-0.1,-0.109851737749109,-0.1,-0.115234174009733,0.134709931170108,-0.091421568627451,-0.15,-0.120588235294118,-0.15,0.12860883797054,-0.1,0.1,0.150971751412429,0.152666666666667,0.293410732714138,0.0399209486166008,0.116666666666667,0.1,0.156492307692308,0.211785714285714,0.151948051948052,0.15,0.147866419294991,0.18733862959285,-0.0465645546756252,0.155263157894737,0.110680070963927,0.211764705882353,0.2,0.217142857142857,0.227249631811487
"ZEB2",-0.226613609880148,-0.183077028791315,-0.176623376623377,-0.176438514146348,-0.136947040498442,-0.133333333333333,-0.133333333333333,-0.132951329937748,-0.130295112321934,-0.126666666666667,-0.11359649122807,-0.112270531400966,-0.108333333333333,-0.0780701754385965,-0.0734405458089669,-0.0723809523809524,-0.0723809523809524,-0.0723809523809524,-0.0691689609462629,-0.0665546209328243,-0.0624864618797833,0.0228648164643559,0.05,0.0635897435897436,0.07,0.0734405458089669,0.0772727272727273,0.0774665198349409,0.0790853366991748,0.0808906995145527,0.0833333333333333,0.0854778554778555,0.0906060606060606,0.0993073254201968,0.1,0.1,0.115121951219512,0.115121951219512,0.117097671401162,0.117536656891496,0.12,0.128571428571429,0.128800435583638,0.130997862456279,0.131468812877264,0.133333333333333,0.133907837267507,0.134469945355191,0.142665594031766,0.142666666666667,0.144614217124692,0.187309833024119,0.189350649350649,0.194693084693085,0.226613609880148
"Jagged",-0.224154589371981,-0.223111111111111,-0.2,0.0103448275862069,-0.0444444444444444,0,0,-0.22,-0.105555149076276,-0.0333333333333333,-0.2,-0.18974358974359,-0.1,-0.06,-0.0523076923076923,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00424242424242424,-0.0228571428571429,-0.0281544401544402,0.101131221719457,0,0.08,0,0.0371561771561772,0,0.0382550782550782,0.116666666666667,0.0523076923076923,0,0.06,0,0.154,0,0,0.0352564102564102,0.0583333333333333,0.253333333333333,-0.0333333333333333,0.0333333333333333,0,0.115757575757576,0.211111111111111,0.0666666666666667,0.1,0.0714285714285714,0.162857142857143,0.155333333333333,0.12,0.0606926406926407,0.211111111111111,0.2,0.244285714285714,0.224154589371981
"DELTA",-0.224154589371981,-0.223111111111111,-0.2,0.0103448275862069,-0.0444444444444444,0,0,-0.22,-0.105555149076276,-0.0333333333333333,-0.2,-0.18974358974359,-0.1,-0.06,-0.0523076923076923,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00424242424242424,-0.0228571428571429,-0.0281544401544402,0.101131221719457,0,0.08,0,0.0371561771561772,0,0.0382550782550782,0.116666666666667,0.0523076923076923,0,0.06,0,0.154,0,0,0.0352564102564102,0.0583333333333333,0.253333333333333,-0.0333333333333333,0.0333333333333333,0,0.115757575757576,0.211111111111111,0.0666666666666667,0.1,0.0714285714285714,0.162857142857143,0.155333333333333,0.12,0.0606926406926407,0.211111111111111,0.2,0.244285714285714,0.224154589371981
"SNAI1",-0.224091443564638,-0.226615232891868,-0.22436974789916,0.0478255057648622,-0.0556042884990253,-0.0616228070175439,-0.0458333333333333,-0.274173421763694,-0.00985782535812783,-0.0542153996101365,-0.260840088430361,-0.194025069685164,-0.29304347826087,0.020975430876421,0.0161606160616062,0.0642730509301528,0.0642730509301528,0.0642730509301528,0.0604963678431249,0.0317574747958613,0.0257036111197773,0.149609262707253,0,0.0824909189032111,-0.0259259259259259,-0.0216778574409165,-0.0259259259259259,-0.0219876147976537,0.0373600691323307,-0.0152584269291809,-0.0259259259259259,-0.0205600722673893,-0.0259259259259259,0.134898673789978,0.0333333333333333,0.0428571428571429,0.0582814390606436,0.0611940604198669,0.277760865709883,0.0738675305204541,0.0571940604198669,0.0460829493087558,0.113478764283211,0.220019863764923,0.0802935654548557,0.042051282051282,0.0772185347045482,0.053134484563056,0.0449704794972751,0.0486446886446886,0.0571722076867557,0.224195878053159,0.219824293353705,0.233451562843973,0.224091443564638
"ZEB1",-0.222418207509044,-0.173865483422005,-0.170114942528736,-0.00593654776841728,-0.148176178150294,-0.137543859649123,-0.153333333333333,-0.111843137254902,-0.205198175237591,-0.142461892436008,-0.110666666666667,-0.108084436517705,-0.0666666666666667,-0.00656292535776037,0.00107596353112852,-0.100091694117459,-0.100091694117459,-0.100091694117459,-0.0948948437237584,-0.0141623920827113,-0.0083418783886542,-0.0460457531212549,-0.0333333333333333,0.0776998050682261,0.00512820512820513,0.00317935561780765,0.00952380952380952,0.00631047107769023,0.082217916248005,0.00316787185658194,0.0124452782989368,0.0110716519253105,0.0168408826945412,0.151506430629789,0.133333333333333,0.0916666666666667,0.0982155657474895,0.0971479500891266,0.0990678068584262,0.11491310071621,0.103030303030303,0.116666666666667,0.122007260532735,0.22600682247545,0.127672766244592,0.108333333333333,0.132480458552284,0.100068870523416,0.151057582975583,0.108333333333333,0.116070010550404,0.178589892870823,0.183158420789605,0.194986338098693,0.222418207509044
"TrCP",-0.221016412814331,-0.224195878053159,-0.238095238095238,0.049607683982684,-0.0542153996101365,-0.0458333333333333,-0.0333333333333333,-0.260840088430361,-0.0128630067052781,-0.0616228070175439,-0.29304347826087,-0.195280299810687,-0.28,0.0259259259259259,0.020975430876421,0.0665457782028801,0.0665457782028801,0.0665457782028801,0.0642730509301528,0.0338553768937634,0.0230172076110054,0.147095015305308,0,0.0775852585258526,0,-0.0161606160616062,0,-0.0216778574409165,0.14074085205048,-0.0205600722673893,-0.0259259259259259,-0.0259259259259259,-0.0259259259259259,0.131103801995106,0.0333333333333333,0.0761904761904762,0.0611940604198669,0.0571940604198669,0.274173421763694,0.0744627686156921,0.0460829493087558,0.0428571428571429,0.112229965051703,0.21472391360916,0.0815838880355009,0.058974358974359,0.0802935654548557,0.0486446886446886,0.0450225086335914,0.042051282051282,0.054583972392638,0.219824293353705,0.22436974789916,0.229004294737239,0.221016412814331
"PAK1",-0.221016412814331,-0.224195878053159,-0.238095238095238,0.049607683982684,-0.0542153996101365,-0.0458333333333333,-0.0333333333333333,-0.260840088430361,-0.0128630067052781,-0.0616228070175439,-0.29304347826087,-0.195280299810687,-0.28,0.0259259259259259,0.020975430876421,0.0665457782028801,0.0665457782028801,0.0665457782028801,0.0642730509301528,0.0338553768937634,0.0230172076110054,0.147095015305308,0,0.0775852585258526,0,-0.0161606160616062,0,-0.0216778574409165,0.14074085205048,-0.0205600722673893,-0.0259259259259259,-0.0259259259259259,-0.0259259259259259,0.131103801995106,0.0333333333333333,0.0761904761904762,0.0611940604198669,0.0571940604198669,0.274173421763694,0.0744627686156921,0.0460829493087558,0.0428571428571429,0.112229965051703,0.21472391360916,0.0815838880355009,0.058974358974359,0.0802935654548557,0.0486446886446886,0.0450225086335914,0.042051282051282,0.054583972392638,0.219824293353705,0.22436974789916,0.229004294737239,0.221016412814331
"EGR1",-0.221016412814331,-0.224195878053159,-0.238095238095238,0.049607683982684,-0.0542153996101365,-0.0458333333333333,-0.0333333333333333,-0.260840088430361,-0.0128630067052781,-0.0616228070175439,-0.29304347826087,-0.195280299810687,-0.28,0.0259259259259259,0.020975430876421,0.0665457782028801,0.0665457782028801,0.0665457782028801,0.0642730509301528,0.0338553768937634,0.0230172076110054,0.147095015305308,0,0.0775852585258526,0,-0.0161606160616062,0,-0.0216778574409165,0.14074085205048,-0.0205600722673893,-0.0259259259259259,-0.0259259259259259,-0.0259259259259259,0.131103801995106,0.0333333333333333,0.0761904761904762,0.0611940604198669,0.0571940604198669,0.274173421763694,0.0744627686156921,0.0460829493087558,0.0428571428571429,0.112229965051703,0.21472391360916,0.0815838880355009,0.058974358974359,0.0802935654548557,0.0486446886446886,0.0450225086335914,0.042051282051282,0.054583972392638,0.219824293353705,0.22436974789916,0.229004294737239,0.221016412814331
"cMet",-0.219047619047619,-0.223693853427896,-0.22,0.081221198156682,-0.106666666666667,-0.1,-0.1,-0.235,0.204765228839962,-0.106666666666667,-0.225,-0.263333333333333,-0.225,0.13,0.104418604651163,0.0314285714285714,0.0314285714285714,0.0314285714285714,0.0182210242587601,0.0888888888888889,-0.0540803053408095,-0.160837394560022,-0.1,0.0833333333333333,-0.2,-0.115187835420394,-0.1,-0.12140252468593,0.184442101658872,-0.102727272727273,-0.25,-0.13,-0.15,0.179223772482199,0.1,0.1,0.147272727272727,0.147272727272727,0.251363636363636,0.132782937736498,0.12,0.1,0.146245608256478,0.307936507936508,0.139455782312925,0.0857142857142857,0.137637600494743,0.103855383138698,-0.202240678876319,0.0804511278195489,0.108737204824161,0.213055555555556,0.2075,0.216455696202532,0.219047619047619
