"","GSK3","Patched","AKT","EGR1","FUS","SMO","ILK","STAT","FOXC2","KLF4","RAF","PI3K","DELTA","Destcompl","TCFLEF","DSH","RAS","Wnt","ZEB2","ZEB1","SOSGRB2","AXIN2","cateninnuc","CD44","Ecadherin","Frizzled","LIV1","Csl","GLI","SRC","SNAI1","NOTCH","cateninmemb","NOTCHic","RKIP","Jagged","ERK","cMet","MEK","TWIST1","TGF","SMAD","CDC42","IKK","cfos","NFB","HEY1","PAK1","SNAI2","TGFR","SHH","TrCP","SUFU","miR200","Csn"
"cMet",-0.147772657450077,-0.0990909090909091,-0.225,0.275,-0.05,-0.09,-0.106462585034014,-0.2,-0.0775474683544304,-0.0365079365079365,-0.157142857142857,-0.157142857142857,-0.157142857142857,0.0595540673271766,-0.116720333929636,-0.1,-0.151482479784367,-0.106666666666667,-0.0624819624819625,-0.0624819624819625,0.289047619047619,-0.0915873015873016,-0.116720333929636,-0.113643410852713,-0.238013117958586,-0.1,-0.1,-0.0428571428571429,0.111212121212121,0.2,-0.142031825840925,-0.0271796512557991,0.147318120787872,-0.0165413533834586,-0.28,0.0727961893179285,-0.335,0.106666666666667,-0.315,-0.141539284685352,0.0707387706855792,0.108280766852195,0.0741666666666667,0.2,-0.315,0.166666666666667,0.124286205710354,0.0866666666666667,-0.258372738372738,0.0686111111111111,0.0897159090909091,0.1,0.1,-0.141558108256478,0.2
"GLI",-0.0135205131504098,0.189464733261726,0.0417007921589689,0.0885714285714286,0.18452380952381,0.179260651629073,0.0741772806197518,0.11,-0.0263204119367045,0.0528571428571428,-0.0869512681249688,-0.0869512681249688,-0.0869512681249688,0.0985772803145559,0.111051065784916,0,-0.0926938423823946,0.00326375711574953,-0.0607147124082608,-0.0607147124082608,0.190989924529748,0.0777672101449275,0.102144909180015,0.101310806044657,0.133916710573057,-0.00967741935483871,0.05,-0.028788682581786,-0.0909233315838346,-0.100322580645161,0.0242003672374297,-0.0334315397246432,-0.0846722818980409,-0.036288682581786,0.022870039592979,-0.0230744271843123,-0.092034632034632,-0.112517702596381,-0.102531869603693,0.0868389128321217,-0.0694602293747688,-0.0730961995386707,-0.0783333333333333,-0.0338882921589689,-0.121904761904762,-0.0236842105263158,-0.0786433948997616,-0.0783333333333333,0.116417024745575,-0.0739308176100629,-0.171769260010697,-0.0166666666666667,-0.20952380952381,0.0507721793170709,-0.05
"miR200",0.0436150929752242,0.0388291139240506,0.0663696978294794,0.0285714285714286,0.0725,0.0325,0.0710605422109847,0.06,0.0385450322035688,0.0637508626639061,0.122893226176808,0.122893226176808,0.122893226176808,0.0486532118083055,0.0650738125763756,0.06,0.128130133907482,0.0569577464788732,-0.0565412186379928,-0.0565412186379928,-0.0170631850419085,0.0552391943193714,0.0687101762127392,0.0682484157509788,0.120337966798128,0.064,0.1,-0.0532019704433498,-0.0613533508744776,-0.0730434782608696,-0.0160926110926111,-0.0386101138292839,-0.0589919471272987,-0.025615763546798,-0.0269309132717009,-0.064871685447135,-0.0785714285714286,-0.0660012247397428,-0.0547619047619048,0.0376774350393982,-0.0215279922921907,-0.0613426738724267,-0.0174019607843137,-0.0720300751879699,-0.0785714285714286,-0.126315789473684,-0.0733615819209039,0.00416666666666667,-0.144884101943701,-0.0238535736875395,-0.0573073747936158,0,-0.06,-0.121266278625393,-0.1
"SMAD",-0.0498950840304224,-0.104403669724771,-0.0988478057889823,0,-0.1,-0.12,-0.0866704984513204,0.111428571428571,-0.0390032730207287,0.0528296678715317,-0.020558120191308,-0.020558120191308,-0.020558120191308,0.0652291288651472,0.101866435583731,0.138095238095238,-0.0251633833492027,0.133608058608059,-0.0559191559745973,-0.0559191559745973,-0.0450606329488317,0.0609554928099311,0.0875807212980172,0.0840916730328495,0.152582456777386,0.104761904761905,0.04,0.178095238095238,-0.111305900334677,-0.0780952380952381,0.024632818346528,0.172676518883415,-0.0813810031307671,0.163152709359606,0.0306307318895832,0.163137969557324,-0.00165041260315079,-0.105546218487395,-0.00453502798776617,0.104194780914465,0.0503169431689516,-0.00380569202487011,0.0496981891348088,0.102847805788982,-0.0225806451612903,0.108730158730159,0.138383188364802,0.0285714285714286,0.0841073344650741,0.0379663455593899,0.120388799836295,0.15,0.075,0.0573660273318354,0.0944444444444444
"PI3K",0.0907527657527657,0.00256410256410256,0.164253393665158,0.0333333333333333,0,0.0333333333333333,-0.0103481392557023,0,0.0323228803716609,0.0572368421052632,0.0254372294372294,0.0254372294372294,0.0254372294372294,-0.0303078033321829,-0.0301794430902758,0,0.0268070924509281,-0.0251207729468599,-0.0471188957592872,-0.0471188957592872,0.123461538461538,-0.0498095238095238,-0.0431691338119253,-0.0420438498699368,0.0801695234551248,-0.0555555555555556,-0.1,0.1,0.0420438498699368,0.0555555555555556,0.0176288244766506,0.0873449131513648,-0.0577312179275341,0.0615384615384615,-0.00589851325145443,-0.0068421052631579,-0.0366946778711485,0.0251207729468599,-0.0547274647563944,-0.0773636991028295,-0.0324978479196557,-0.0144518607442977,-0.0220588235294118,-0.207843137254902,-0.019047619047619,-0.166666666666667,0.0253556654222581,-0.075,0.0208156879573382,-0.0300588235294118,0.00299145299145299,-0.2,0.1,0.0826482592876036,-0.1
"ILK",0.0907527657527657,0.00256410256410256,0.164253393665158,0.0333333333333333,0,0.0333333333333333,-0.0103481392557023,0,0.0323228803716609,0.0572368421052632,0.0254372294372294,0.0254372294372294,0.0254372294372294,-0.0303078033321829,-0.0301794430902758,0,0.0268070924509281,-0.0251207729468599,-0.0471188957592872,-0.0471188957592872,0.123461538461538,-0.0498095238095238,-0.0431691338119253,-0.0420438498699368,0.0801695234551248,-0.0555555555555556,-0.1,0.1,0.0420438498699368,0.0555555555555556,0.0176288244766506,0.0873449131513648,-0.0577312179275341,0.0615384615384615,-0.00589851325145443,-0.0068421052631579,-0.0366946778711485,0.0251207729468599,-0.0547274647563944,-0.0773636991028295,-0.0324978479196557,-0.0144518607442977,-0.0220588235294118,-0.207843137254902,-0.019047619047619,-0.166666666666667,0.0253556654222581,-0.075,0.0208156879573382,-0.0300588235294118,0.00299145299145299,-0.2,0.1,0.0826482592876036,-0.1
"ZEB1",0.00704980266295102,-0.0317736185383244,-0.0815777147787502,-0.0833333333333333,-0.00833333333333333,-0.021969696969697,-0.0558268831289115,0.0230769230769231,-0.025801240659183,0.0419103999359141,-0.110648259301384,-0.110648259301384,-0.110648259301384,0.00052108612081883,0.020355893911062,0.0285714285714286,-0.106711251427368,0.0268828732243366,-0.0395444520790671,-0.0395444520790671,0.0409746588693957,-0.0164119240087226,0.0138001209169328,0.0118452556131896,-0.0225637566429182,0.0114982578397213,0,0.0375,-0.0155426670387696,-0.00600375234521576,0.0137041169080845,0.0510310322476098,-0.0218204852127913,0.0394607843137255,0.0260470412888208,0.0881252518583061,0.0649803921568627,-0.0236508111687452,0.0751125507471711,-0.0142720551401305,0.00824472717742678,0.0567884215904499,0.0140762951857405,0.064434857635893,0.0873333333333333,0.0726315789473684,0.0592833677548704,-0.00766283524904215,0.125335525417558,0.000370711429395285,0.0292825153354774,0.1,0.0583333333333333,0.123311817638012,0.12
"Wnt",0.114028213166144,0.0272727272727273,0.0975,0,-0.1,0,-0.0444444444444444,-0.1,-0.0538461538461538,-0.00588235294117647,0.00902255639097744,0.00902255639097744,0.00902255639097744,-0.0195395320599636,-0.0204887218045113,0,0.00902255639097744,-0.05,-0.0355810616929699,-0.0355810616929699,0.112121212121212,-0.0103030303030303,-0.00525693372504108,-0.00263157894736842,0.12906785058634,0.1,0,0.1,0.00263157894736842,0,0.0590579710144927,0.0523809523809524,-0.0901694915254237,0.0857142857142857,0.00166666666666667,0.0291421568627451,0.00666666666666667,0.05,-0.0109803921568627,0.0638235294117647,0.0513043478260869,0.0374677002583979,0,-0.06,-0.0333333333333333,0,0.06,0.1,0.1075,0.06,0.0155844155844156,-0.1,0,0.107575757575758,-0.1
"ZEB2",-0.145858968107827,-0.0978397212543554,-0.0807606438213915,-0.075,-0.0714285714285714,-0.0685714285714286,-0.0683955012124026,-0.06,-0.0561041181041181,-0.055535264253625,-0.0541991341991342,-0.0541991341991342,-0.0541991341991342,-0.0538454615458651,-0.0455175301320594,-0.0454545454545455,-0.0445631598950657,-0.0362237762237762,-0.0352348937466105,-0.0352348937466105,-0.0336080586080586,-0.0312223938876218,-0.0303227249372542,-0.0257992202729045,-0.0161727178375534,-0.00545454545454545,0,0.0102564102564103,0.0123705652146019,0.02,0.0200935333065907,0.0322454812946616,0.033428994065819,0.0382564102564103,0.0390982286634461,0.0423368519929274,0.0439303904923599,0.0489473684210526,0.0536864880533355,0.0582229523561018,0.0583508554937126,0.0598589158465489,0.0612987012987013,0.0686111111111111,0.0697368421052632,0.0708333333333333,0.0731028648770584,0.074025974025974,0.0741114993024943,0.0742238713667285,0.0832942667089009,0.1,0.1,0.115230620326814,0.133333333333333
"SMO",0.0156193321241865,0.0116666666666667,0.146857142857143,0,0.0666666666666667,-0.0133333333333333,0.0533333333333333,0.2,-0.0453448275862069,0.0388888888888889,0.211057692307692,0.211057692307692,0.211057692307692,0.0415017540598936,0.187324703344121,0.1,0.211057692307692,0.075,-0.0334745762711864,-0.0334745762711864,-0.00526315789473684,0.0429914912673533,0.16777583116367,0.161111111111111,-0.0526391625566741,0.05,0.1,0.266666666666667,-0.0527777777777778,-0.15,0.0695852534562212,0.226212121212121,0.16963566134252,0.221212121212121,0.0604761904761905,0.0961111111111111,0.0184615384615385,-0.183333333333333,0.00331002331002331,0.108115468409586,-0.0464864864864865,-0.0453968253968254,-0.06,-0.142857142857143,-0.02,-0.1,-0.041025641025641,-0.1,-0.219765736179529,-0.06,0.0161111111111111,0,-0.1,0.110337552742616,-0.1
