"","ZEB2","PI3K","STAT","cateninnuc","CDC42","cateninmemb","IKK","NFB","AKT","Csl","ILK","ZEB1","SMAD","KLF4","Jagged","SNAI2","EGR1","HEY1","RKIP","ERK","TrCP","SNAI1","cfos","miR200","MEK","Patched","SUFU","FUS","SHH","Csn","SMO","NOTCH","SOSGRB2","NOTCHic","TGFR","TGF","Ecadherin","SRC","PAK1","TWIST1","cMet","Frizzled","Wnt","CD44","TCFLEF","GLI","Destcompl","RAF","DELTA","DSH","RAS","AXIN2","FOXC2","LIV1","GSK3"
"ZEB2",-0.122025751136035,-0.116839826839827,-0.11,-0.0972781755213186,-0.0714285714285714,-0.0649011947739748,-0.0480555555555556,-0.0458333333333333,-0.0359060228452752,-0.0307692307692308,-0.026327967806841,-0.0219451474390415,-0.0214499190263532,-0.0204850258888025,-0.0197059691420725,-0.0187183267014336,-0.0166666666666667,-0.0143379201443718,-0.00685990338164251,-0.00325410299943408,0,0.00511994454653283,0.00964912280701754,0.0173270591562255,0.0178882493408975,0.0213763066202091,0.025,0.025,0.0286490338929363,0.0333333333333333,0.0335714285714286,0.0350533837746953,0.041959706959707,0.0454358974358974,0.0462585034013605,0.0483749055177627,0.0745659620626428,0.0766666666666667,0.0805194805194805,0.0808764801630198,0.0845614035087719,0.0893939393939394,0.0970862470862471,0.0993762183235868,0.100784669027812,0.110847714976155,0.111642346740049,0.116839826839827,0.116839826839827,0.122727272727273,0.124762739045394,0.132768526920132,0.134195804195804,0.15,0.194873038465955
"ZEB1",-0.1186064611521,-0.173690739828797,-0.128205128205128,-0.141595002653153,-0.0819007163085124,0.0082490251470412,-0.0997641645096348,-0.10140350877193,-0.0940498787953491,-0.0666666666666667,-0.026546527474563,-0.0135984819484246,-0.0207772967053323,-0.12741765966395,-0.00591895916008759,-0.100599026414573,0,-0.0124062466031378,-0.0154990077620639,-0.016,-0.0666666666666667,-0.00169084136296686,0.004,0.024527524077933,0.023488986784141,0.0757575757575758,0.0916666666666667,0.0666666666666667,0.0825191415938747,0.106666666666667,0.0757575757575758,0.0584022038567493,0.0298635477582846,0.0666666666666667,0.072256046257751,0.0809174635805856,0.072394599163049,0.125766103814884,0.103639846743295,0.156984065733352,0.137530809697237,0.135656213704994,0.147194675243456,0.144475254141682,0.143943339248065,0.153723884865449,0.171004194108103,0.173690739828797,0.173690739828797,0.138095238095238,0.180777354002026,0.175923805810384,0.148934742972625,0.166666666666667,0.17413582183187
"SMAD",-0.106508503038951,0.0792211572997599,-0.0342857142857143,-0.0217344401852275,0.04121395036888,-0.0173311851212426,0.0299253034547152,0.0436507936507936,0.0339253034547152,0.0419047619047619,0.0488539770731552,0.222625467305786,-0.0506698324506544,-0.100685584151183,0.0292453567937439,-0.132643532989075,-0.0571428571428571,0.0209669283171864,0.0454082609078675,-0.0164826921015968,0.05,0.0325359456851392,-0.028110599078341,0.140737894428343,0.0184057690246737,-0.0422553516819572,-0.00833333333333333,-0.0458333333333333,-0.0396531211986858,-0.0388888888888889,-0.0358333333333333,-0.0291789819376026,0.0116533569949719,-0.031559934318555,-0.0495938386370364,-0.0551715278800643,0.0455398846746133,0.0287301587301587,-0.0595238095238095,-0.0445852994837249,0.0169654528478058,0.00873015873015873,-0.000885225885225886,0.0158745437568967,0.0198094148559469,-0.0023240748060892,0.0587283931641527,-0.0792211572997599,-0.0792211572997599,0.0142857142857143,-0.0818527362471283,0.0201817690910173,-0.0872840092993492,0.02,-0.0327534384301302
"SNAI1",-0.104340699071371,-0.0851196566332865,-0.131481481481481,-0.129905475955625,0.00529666412019353,-0.0896816616455623,-0.119663742690058,-0.125219298245614,-0.119663742690058,-0.0776923076923077,-0.0744529783239461,0.274454476049341,-0.0755599893940568,-0.105891615049574,-0.0490482201571835,-0.235426836078783,0.0391304347826087,-0.0663926440141274,0.084292982728684,0.0477180054040776,-0.0916666666666667,-0.00747370774799498,0.0543846720707443,0.182762232746184,-0.0400946870184274,0.0998925869033396,0.0928571428571429,0.102534562211982,0.100475111175184,0.104166666666667,0.0938925869033396,0.0775667189952904,0.0406889179483986,0.0787912087912088,-0.0118540411693739,-0.0124588798790513,0.139771969773515,0.120670670670671,0.0128851540616247,-0.0262708885317581,0.123640967700374,0.123586744639376,0.12602576902962,0.129196523255929,0.130989626704205,0.132058675793788,0.158708391396888,0.0851196566332865,0.0851196566332865,0.131481481481481,0.0885679324953555,0.168389846978006,-0.112914060823118,0.15,0.166685295315246
"miR200",-0.104260752688172,-0.095292766934558,-0.06,-0.0684089734778823,-0.0281862745098039,-0.010399230807356,-0.0166917293233083,-0.0252631578947368,-0.0148049368704781,-0.0115270935960591,-0.00458865945591609,0.109220430107527,-0.00364822058444274,-0.105538302277433,0.00832596499640374,-0.0949669700194845,0.0142857142857143,-0.00508474576271186,0.00633720656281511,0.0151948051948052,0,0.0169014319014319,0.0242857142857143,0.00676059029308875,-0.00907235621521336,0.00793248945147679,0.02,0.02,0.0133672720601724,0.02,0.00666666666666667,0.00186412846845342,0.0231431334622824,0.00807881773399015,0.0201217583807717,0.0253543165203065,-0.0015426483485086,0.0556521739130435,0.0458333333333333,0.0814432193573298,0.0683282302510716,0.056,0.0686760563380282,0.0716990167679256,0.0693180643869732,0.0719727596347315,0.112391819423589,0.095292766934558,0.095292766934558,0.06,0.0980359090791964,0.107677845464368,0.00211652845799187,0.1,0.0531672462517417
"DELTA",-0.103623188405797,-0.00666666666666667,0,-0.0257609057609058,0.1,-0.00776294128406804,-0.0666666666666667,-0.1,-0.0777777777777778,-0.2,-0.05,0.225845410628019,-0.0642857142857143,-0.116666666666667,-0.0557575757575758,-0.15507792860734,0.1,0.05,0.041025641025641,-0.02,0,0.0666666666666667,0,0.146060606060606,0.02,0.0916666666666667,0,0.1,0.0685897435897436,0,0.0666666666666667,0.18,-0.02,0.18,-0.0666666666666667,-0.0626666666666667,0.0442105263157895,0,0,-0.038,0.02,0,0.02,0.0430769230769231,0.0400466200466201,0.0430769230769231,0.0262857142857143,0.00666666666666667,0.00666666666666667,0,0.0339393939393939,0.0342857142857143,-0.0857142857142857,0,0.0701149425287356
"TrCP",-0.102741683081211,-0.0860287475423774,-0.15,-0.130989626704205,-0.0128851540616247,-0.0906143041326089,-0.125219298245614,-0.104166666666667,-0.119663742690058,-0.0576923076923077,-0.0750981396142686,0.279497526479845,-0.0744529783239461,-0.0956112412177986,-0.0528129260395365,-0.234052380832386,0,-0.0675831202046036,0.091824363481822,0.0543846720707443,-0.0666666666666667,0.0898572531060976,0.0391304347826087,0.18766136819287,-0.0477180054040776,0.0938925869033396,0.10952380952381,0.0928571428571429,0.0998925869033396,0.0916666666666667,0.102534562211982,0.0787912087912088,0.0561606160616062,0.0776923076923077,-0.00529666412019353,-0.0118540411693739,0.140656465090893,0.131481481481481,-0.00476190476190476,-0.0319119141727837,0.120670670670671,0.131481481481481,0.123586744639376,0.123640967700374,0.129196523255929,0.12602576902962,0.157776373853028,0.0860287475423774,0.0860287475423774,0.15,0.0851196566332865,0.165359543947703,-0.118377847354249,0.15,0.164771103896104
"PAK1",-0.102741683081211,-0.0860287475423774,-0.15,-0.130989626704205,-0.0128851540616247,-0.0906143041326089,-0.125219298245614,-0.104166666666667,-0.119663742690058,-0.0576923076923077,-0.0750981396142686,0.279497526479845,-0.0744529783239461,-0.0956112412177986,-0.0528129260395365,-0.234052380832386,0,-0.0675831202046036,0.091824363481822,0.0543846720707443,-0.0666666666666667,0.0898572531060976,0.0391304347826087,0.18766136819287,-0.0477180054040776,0.0938925869033396,0.10952380952381,0.0928571428571429,0.0998925869033396,0.0916666666666667,0.102534562211982,0.0787912087912088,0.0561606160616062,0.0776923076923077,-0.00529666412019353,-0.0118540411693739,0.140656465090893,0.131481481481481,-0.00476190476190476,-0.0319119141727837,0.120670670670671,0.131481481481481,0.123586744639376,0.123640967700374,0.129196523255929,0.12602576902962,0.157776373853028,0.0860287475423774,0.0860287475423774,0.15,0.0851196566332865,0.165359543947703,-0.118377847354249,0.15,0.164771103896104
"LIV1",-0.102741683081211,-0.0860287475423774,-0.15,-0.130989626704205,-0.0128851540616247,-0.0906143041326089,-0.125219298245614,-0.104166666666667,-0.119663742690058,-0.0576923076923077,-0.0750981396142686,0.279497526479845,-0.0744529783239461,-0.0956112412177986,-0.0528129260395365,-0.234052380832386,0,-0.0675831202046036,0.091824363481822,0.0543846720707443,-0.0666666666666667,0.0898572531060976,0.0391304347826087,0.18766136819287,-0.0477180054040776,0.0938925869033396,0.10952380952381,0.0928571428571429,0.0998925869033396,0.0916666666666667,0.102534562211982,0.0787912087912088,0.0561606160616062,0.0776923076923077,-0.00529666412019353,-0.0118540411693739,0.140656465090893,0.131481481481481,-0.00476190476190476,-0.0319119141727837,0.120670670670671,0.131481481481481,0.123586744639376,0.123640967700374,0.129196523255929,0.12602576902962,0.157776373853028,0.0860287475423774,0.0860287475423774,0.15,0.0851196566332865,0.165359543947703,-0.118377847354249,0.15,0.164771103896104
"EGR1",-0.102741683081211,-0.0860287475423774,-0.15,-0.130989626704205,-0.0128851540616247,-0.0906143041326089,-0.125219298245614,-0.104166666666667,-0.119663742690058,-0.0576923076923077,-0.0750981396142686,0.279497526479845,-0.0744529783239461,-0.0956112412177986,-0.0528129260395365,-0.234052380832386,0,-0.0675831202046036,0.091824363481822,0.0543846720707443,-0.0666666666666667,0.0898572531060976,0.0391304347826087,0.18766136819287,-0.0477180054040776,0.0938925869033396,0.10952380952381,0.0928571428571429,0.0998925869033396,0.0916666666666667,0.102534562211982,0.0787912087912088,0.0561606160616062,0.0776923076923077,-0.00529666412019353,-0.0118540411693739,0.140656465090893,0.131481481481481,-0.00476190476190476,-0.0319119141727837,0.120670670670671,0.131481481481481,0.123586744639376,0.123640967700374,0.129196523255929,0.12602576902962,0.157776373853028,0.0860287475423774,0.0860287475423774,0.15,0.0851196566332865,0.165359543947703,-0.118377847354249,0.15,0.164771103896104
