"","FOXC2","Ecadherin","GLI","SHH","FUS","cMet","LIV1","ERK","SMAD","ILK","SUFU","HEY1","cateninmemb","KLF4","GSK3","ZEB2","ZEB1","TrCP","Csn","SNAI2","RAF","PI3K","DELTA","RAS","AXIN2","STAT","EGR1","RKIP","cfos","DSH","MEK","NFB","SMO","miR200","TCFLEF","SNAI1","IKK","Wnt","Patched","SRC","cateninnuc","CD44","Csl","AKT","Frizzled","Jagged","Destcompl","NOTCHic","NOTCH","PAK1","TWIST1","CDC42","TGFR","TGF","SOSGRB2"
"miR200",-0.027583473437132,0.00461281147252488,-0.0177421451787649,-0.0206682260135755,-0.0075,-0.0306919779546846,0,0.0124675324675325,-0.00182539462368574,-0.000884955752212389,-0.02,2.82485875706215e-05,-0.00711124067465704,0.0951863354037267,-0.00283200408713124,-0.10165770609319,0.10165770609319,0,0.02,0.0759580603663291,0.0991389207807118,0.0991389207807118,0.0991389207807118,0.0978920379876944,0.0220600686955827,0.04,-0.0142857142857143,0.00818806366797659,0.00571428571428572,0.04,-0.0022634508348794,0.0147368421052632,0.0208333333333333,0.00548828526913014,0.0260727519871441,0.0217580567580568,0.0233082706766917,0.0331267605633803,0.0119725738396624,0.00956521739130435,0.0181939641083562,0.0149616408760329,0.0160591133004926,0.0214214782238615,0.012,-0.0102240869495724,0.0785751267919415,0.00916256157635468,0.0165071943447163,0.0125,0.0785925322121641,0.0105392156862745,0.0137650221378874,0.0120208360913758,0.00589619600257898
"RAS",0.104126984126984,0.0714509642240735,-0.156617647058824,0.0976949152542373,0.1,-0.144117647058824,0,0.120789473684211,0.115893630179344,0.113852813852814,0.1,0.100197628458498,0.0908931211286718,0.0757142857142857,-0.015219638242894,-0.0767452135493373,0.0767452135493373,0,-0.1,0.00814617394043987,0.091025641025641,0.091025641025641,0.091025641025641,-0.00128205128205128,0.12395256916996,0.1,-0.08,-0.0118993710691824,-0.105,0.1,-0.122750257997936,-0.0666666666666667,-0.1,-0.109907692307692,0.151318956387792,-0.111091445427729,-0.06,0.144117647058824,-0.096,0.15,0.157834537124336,0.1590112640801,-0.05,-0.0488888888888889,0.15,-0.057397989355411,0.27350306827051,-0.0342105263157895,-0.0285501489572989,-0.14,0.0310747408619749,-0.14,-0.128235294117647,-0.123284799068142,-0.138528138528139
"KLF4",0.20460330263718,0.121133213010687,0.0929870905860339,0.0901881720430108,0.1,0.0585043319653443,0.1,-0.0560427807486631,0.0146666666666667,0.0146666666666667,0,-0.006585179526356,0.031572065017187,0.0481481481481481,0.140067487710407,-0.0741073271413829,0.0741073271413829,-0.1,-0.1,-0.0495116242714046,-0.179487179487179,-0.179487179487179,-0.179487179487179,-0.187575414781297,-0.078357928607815,-0.0333333333333333,0.04,-0.129055864770151,0.0854545454545454,-0.0333333333333333,0.0715066982744363,-0.16,-0.0666666666666667,-0.116056166056166,-0.0706782450088226,-0.119211077003378,-0.164761904761905,-0.0585043319653443,-0.104166666666667,-0.0980392156862745,-0.0884864641869047,-0.0924173754436051,-0.150909090909091,-0.175873015873016,-0.0980392156862745,-0.0796338194539094,-0.142257075965877,-0.182488038277512,-0.171147832091945,-0.0590909090909091,-0.106152505446623,-0.0790909090909091,-0.0777575757575758,-0.0850746489283075,-0.137421383647799
"HEY1",0.20460330263718,0.121133213010687,0.0929870905860339,0.0901881720430108,0.1,0.0585043319653443,0.1,-0.0560427807486631,0.0146666666666667,0.0146666666666667,0,-0.006585179526356,0.031572065017187,0.0481481481481481,0.140067487710407,-0.0741073271413829,0.0741073271413829,-0.1,-0.1,-0.0495116242714046,-0.179487179487179,-0.179487179487179,-0.179487179487179,-0.187575414781297,-0.078357928607815,-0.0333333333333333,0.04,-0.129055864770151,0.0854545454545454,-0.0333333333333333,0.0715066982744363,-0.16,-0.0666666666666667,-0.116056166056166,-0.0706782450088226,-0.119211077003378,-0.164761904761905,-0.0585043319653443,-0.104166666666667,-0.0980392156862745,-0.0884864641869047,-0.0924173754436051,-0.150909090909091,-0.175873015873016,-0.0980392156862745,-0.0796338194539094,-0.142257075965877,-0.182488038277512,-0.171147832091945,-0.0590909090909091,-0.106152505446623,-0.0790909090909091,-0.0777575757575758,-0.0850746489283075,-0.137421383647799
"FOXC2",0.20460330263718,0.121133213010687,0.0929870905860339,0.0901881720430108,0.1,0.0585043319653443,0.1,-0.0560427807486631,0.0146666666666667,0.0146666666666667,0,-0.006585179526356,0.031572065017187,0.0481481481481481,0.140067487710407,-0.0741073271413829,0.0741073271413829,-0.1,-0.1,-0.0495116242714046,-0.179487179487179,-0.179487179487179,-0.179487179487179,-0.187575414781297,-0.078357928607815,-0.0333333333333333,0.04,-0.129055864770151,0.0854545454545454,-0.0333333333333333,0.0715066982744363,-0.16,-0.0666666666666667,-0.116056166056166,-0.0706782450088226,-0.119211077003378,-0.164761904761905,-0.0585043319653443,-0.104166666666667,-0.0980392156862745,-0.0884864641869047,-0.0924173754436051,-0.150909090909091,-0.175873015873016,-0.0980392156862745,-0.0796338194539094,-0.142257075965877,-0.182488038277512,-0.171147832091945,-0.0590909090909091,-0.106152505446623,-0.0790909090909091,-0.0777575757575758,-0.0850746489283075,-0.137421383647799
"SNAI2",0.132286559933998,0.0349324201794042,0.0786741841422869,0.0659723044147236,0.1,0.0374977135540516,0.1,-0.0490196078431373,0.00755185017601622,0.00898725687458082,0,-0.00721820373719108,0.050757794577826,0.0413461538461538,0.0977486623319303,-0.0685861128592406,0.0685861128592406,-0.1,-0.0666666666666667,-0.0378025529946118,-0.111707137103815,-0.111707137103815,-0.111707137103815,-0.118556452172308,-0.0758799609011711,-0.0181818181818182,0.0333333333333333,-0.0947051282051282,0.0862745098039216,-0.0181818181818182,0.0719925808161102,-0.116666666666667,-0.0470588235294118,-0.0937540777765391,-0.0492857636593614,-0.0771899456410092,-0.10632183908046,-0.0374977135540516,-0.0899159663865546,-0.0896103896103896,-0.0713354531003552,-0.078357928607815,-0.0903508771929825,-0.117165212574436,-0.0896103896103896,-0.0686142124218691,-0.0929986738198604,-0.120175438596491,-0.101993620414673,-0.0274509803921569,-0.083156672550599,-0.0417366946778711,-0.0357537886949652,-0.0425860868316111,-0.101893171061528
"Ecadherin",0.213527787763039,0.0300913434878044,0.0709870905860339,0.105936203539074,0.0666666666666667,0.0924173754436051,0.0333333333333333,-0.0715066982744363,0.0168458434221146,0.0146666666666667,0.1,-0.00591403858675868,0.0161874496325716,0.0684013127051102,0.134327973361621,-0.0641547205063118,0.0641547205063118,-0.1,-0.16,-0.0744965730974131,-0.187575414781297,-0.187575414781297,-0.187575414781297,-0.186178766736604,-0.0492857636593614,-0.0980392156862745,0.0854545454545454,-0.117445377878765,0.0560427807486631,-0.0980392156862745,0.0569968943528677,-0.164761904761905,-0.104166666666667,-0.112145551531026,-0.0884864641869047,-0.13060348206667,-0.175873015873016,-0.0929870905860339,-0.0901881720430108,-0.0585043319653443,-0.0765350169413398,-0.0706782450088226,-0.182488038277512,-0.178470418470419,-0.0585043319653443,-0.0647596775774792,-0.14850125117557,-0.171147832091945,-0.187132962203469,-0.0790909090909091,-0.0906962670853568,-0.0777575757575758,-0.0850746489283075,-0.084893817101906,-0.132158225753062
"CD44",0.0979166666666667,0.175015742047552,0.116666666666667,-0.0209090909090909,-0.1,0.05,-0.1,0.1,-0.0409297052154195,-0.0388888888888889,-0.1,-0.0169590643274854,0.0975091575091575,0.153968253968254,0.118452380952381,-0.0587301587301587,0.0587301587301587,0.1,0.2,-0.0492174492174492,-0.0285714285714286,-0.0285714285714286,-0.0285714285714286,-0.0257142857142857,-0.09,0.1,-0.1,-0.158518518518519,-0.1,0,-0.08,0.3,0.05,-0.0832454984628898,-0.137596899224806,-0.111164274322169,0.233333333333333,-0.15,0.03,0,-0.123750745378652,-0.116666666666667,0.3,0.186666666666667,-0.1,0.0320745920745921,-0.0732620320855615,0.228571428571429,0.181203007518797,-0.0666666666666667,-0.0356043956043956,-0.0466666666666667,-0.0591666666666667,-0.0813888888888889,0.0666666666666667
"Patched",0.095,-0.130107874865156,0.1,0.0283333333333333,-0.1,0.15,0.1,-0.08,-0.00666666666666667,-0.0166666666666667,-0.2,-0.0230769230769231,-0.193727598566308,0.0388888888888889,0.229304029304029,-0.0583333333333333,0.0583333333333333,0,0,-0.0243984674329502,-0.307692307692308,-0.307692307692308,-0.307692307692308,-0.320192307692308,-0.0922077922077922,-0.1,0.1,-0.0885714285714286,0.1,0,0.103076923076923,-0.1,0.0666666666666667,0.0190476190476191,-0.176666666666667,-0.060752688172043,-0.15,-0.05,-0.0533333333333333,-0.2,-0.210647249190939,-0.21,-0.2,-0.192857142857143,-0.1,-0.143068783068783,-0.271128871128871,-0.266666666666667,-0.275757575757576,0.0333333333333333,-0.148148148148148,-0.0666666666666667,-0.106666666666667,-0.131666666666667,-0.116666666666667
"SRC",0.383767507002801,0.234683459242283,0.104918032786885,0.109978213507625,0.0833333333333333,0.1,0,0.246464646464646,0.103799193930773,0.10109649122807,0.0333333333333333,0.11170969877524,0.118746445142943,0.146770025839793,0.196709956709957,-0.0454327643006888,0.0454327643006888,0.1,0.05,-0.0662712747738572,-0.139774718397997,-0.139774718397997,-0.139774718397997,-0.139774718397997,-0.0768795953929194,0,-0.233333333333333,-0.154740957966764,-0.224242424242424,-0.1,-0.252125023823137,-0.0166666666666667,-0.103333333333333,-0.165299370516762,-0.102479008396641,-0.291897075423178,-0.0397435897435897,-0.1,-0.107037037037037,-0.1,-0.106729567680758,-0.104918032786885,-0.01,-0.0508547008547009,-0.1,-0.0896512585274053,0.0204650422041726,-0.0242857142857143,-0.0314285714285714,-0.311111111111111,-0.185611974232664,-0.336111111111111,-0.35515873015873,-0.360613275613276,-0.372857142857143
