"","KLF4","cfos","SOSGRB2","ERK","MEK","EGR1","NOTCHic","NOTCH","Jagged","RKIP","TrCP","SUFU","FUS","SMO","Patched","SHH","Destcompl","CD44","SMAD","Frizzled","TCFLEF","Wnt","cateninnuc","cateninmemb","GLI","Ecadherin","RAS","PI3K","DELTA","FOXC2","PAK1","TGF","SNAI2","TGFR","CDC42","RAF","HEY1","AKT","IKK","NFB","ILK","Csn","cMet","DSH","SRC","STAT","LIV1","AXIN2","TWIST1","Csl","SNAI1","GSK3","ZEB2","ZEB1","miR200"
"STAT",0.528678946326005,0.2,0.185714285714286,0.188235294117647,0.185009487666034,0.2,0.00858505564387917,0.00761418185747141,-0.011218735073801,0.0818806306306306,0,0,0,-0.00666666666666667,-0.0089922480620155,-0.0134170268230774,0.110170305051731,0.0581404706404706,-0.0322283302793048,0.0732142857142857,0.0546704390947293,0.0641233766233766,0.0533593544701763,0.053465231236529,0.0582410236822002,-0.049714953383903,-0.0195978081058726,-0.0195978081058726,-0.0195978081058726,-0.0163817314246762,-0.0409090909090909,-0.0286458694496452,-0.0149073230300362,-0.0320275119617225,-0.0346590909090909,0.0195978081058726,0.032,0.0359806295399516,0.0342857142857143,0.02,0.0310789049919485,0,-0.0641233766233766,-0.0857142857142857,-0.0732142857142857,-0.0857142857142857,0,-0.110117725411843,-0.185710391557468,-0.00588235294117647,-0.116018470865754,-0.13303738317757,-0.439008427469966,-0.439008427469966,-0.458066669338914
"GLI",0.433882453882454,0.0776190476190476,-0.0869838715856415,0.0711255411255411,0.0650481930592428,0.0942857142857143,-0.0299226348364279,-0.0356369205507137,-0.0680313282440458,0.063468749059613,0.0333333333333333,0.0857142857142857,0.0732142857142857,0.0574248120300752,0.0513023630504834,0.0484217046142694,-0.244576254634418,-0.211304837353157,-0.00252955999224656,-0.109677419354839,-0.210330811379131,-0.117912713472486,-0.209195126979848,-0.258796400344516,-0.221742500706528,-0.239435946007875,0.0110141850549597,0.0131924028767419,0.0131924028767419,0.0358540806673547,-0.0383333333333333,-0.0305725566739383,-0.127291131337056,-0.0308078507915853,-0.0314367816091954,-0.0131924028767419,0.00117130558556705,0.00730397422126745,0.00730397422126745,0.00526315789473684,0.00252955999224656,0,0.20699449252557,0.1,0.199677419354839,0.19,0.15,0.248128019323672,-0.0236916441415592,0.0224226348364279,-0.074908599179361,0.00391593577366228,-0.423488649940263,-0.423488649940263,-0.442126583426893
"SMAD",0.426011651523119,0.168202764976959,0.120060632948832,0.161226020790912,0.157379866944758,0.171428571428571,0.0913957307060755,0.0890147783251231,0.0509942745426616,0.0592188681881837,0.05,0.0666666666666667,0.0541666666666667,0.0441666666666667,0.0432492354740061,0.0406470049907347,-0.0842351118049937,-0.0489963500551736,-0.0397856481418125,-0.0531746031746032,-0.0491320352654857,-0.0589438339438339,-0.0488280838977045,-0.0771813648213734,-0.0618215317855606,-0.0954628568001113,0.136688859902834,0.136688859902834,0.136688859902834,0.0283758998649239,0.0404761904761905,0.0416184308623522,-0.0811978278701668,0.0396263989898422,0.0390677397719651,-0.136688859902834,-0.0435643064240759,-0.033499533146592,-0.0321661998132586,-0.0341269841269841,-0.059738161381997,-0.0388888888888889,0.0457236227824463,0.0476190476190476,0.0398412698412698,0.0342857142857143,0.02,0.0488698923205762,-0.0554375378805816,-0.0971428571428571,-0.0867157824254598,-0.0453811838398305,-0.422600192604664,-0.422600192604664,-0.4397470882586
"TCFLEF",0.309121148459384,0.0925783972125435,0.0762788269614617,0.0801974448315912,0.0740749958519993,0.124285714285714,-0.0188267176789415,-0.0297901728284432,-0.0368942530087847,0.0654038664646186,0.114285714285714,0.0833333333333333,0.0366666666666667,0.0223809523809524,0.00625192012288787,0.000116950797734495,0.0673038493004907,-0.177384696016771,-0.019879495656692,-0.166176470588235,-0.278186528777367,-0.177287581699346,-0.276210583760185,-0.365355157396697,-0.181635407786303,-0.345949855570172,0.0245961182139472,0.0281440814202547,0.0281440814202547,0.0474636585011582,0.0820512820512821,0.0864518514639205,-0.121301694298349,0.0857895998082914,0.0820512820512821,-0.0281440814202547,0.0198240238525708,-0.0248311688311688,-0.0248311688311688,-0.0248311688311688,0.0223651553125237,-0.0688311688311688,0.173611111111111,0.141176470588235,0.1625,0.1375,0.1,-0.172124053724054,-0.0751394630251317,0.0109835804240395,-0.163801493717812,-0.111526252279046,-0.388670520999468,-0.388670520999468,-0.406482205879796
"Jagged",0.383333333333333,0.2,0.08,0.18,0.113333333333333,0.1,0.04,0.04,-0.111082251082251,-0.00512820512820512,0,0,0,-0.0333333333333333,-0.0583333333333333,-0.0814102564102564,-0.239752895752896,-0.198461538461538,-0.0380952380952381,-0.1,-0.21967365967366,-0.16,-0.225168165168165,-0.277660508505579,-0.198461538461538,-0.253122807017544,0.12,0.12,0.12,0.0142857142857143,0,0.0453333333333333,-0.152136752136752,0.0333333333333333,0,-0.12,0.133333333333333,0.0666666666666667,0.0333333333333333,0,0.0333333333333333,0,0.16,0,0.1,0,0,0.221428571428571,0.036,-0.1,-1.11022302462516e-17,0.126819923371648,-0.378985507246377,-0.378985507246377,-0.400606060606061
"DELTA",0.383333333333333,0.2,0.08,0.18,0.113333333333333,0.1,0.04,0.04,-0.111082251082251,-0.00512820512820512,0,0,0,-0.0333333333333333,-0.0583333333333333,-0.0814102564102564,-0.239752895752896,-0.198461538461538,-0.0380952380952381,-0.1,-0.21967365967366,-0.16,-0.225168165168165,-0.277660508505579,-0.198461538461538,-0.253122807017544,0.12,0.12,0.12,0.0142857142857143,0,0.0453333333333333,-0.152136752136752,0.0333333333333333,0,-0.12,0.133333333333333,0.0666666666666667,0.0333333333333333,0,0.0333333333333333,0,0.16,0,0.1,0,0,0.221428571428571,0.036,-0.1,-1.11022302462516e-17,0.126819923371648,-0.378985507246377,-0.378985507246377,-0.400606060606061
"NOTCH",0.378985507246377,0.18,0.0747368421052632,0.113333333333333,0.0847619047619048,0.2,0.04,-0.0696774193548387,-0.125897065897066,-0.0292661361626879,0,0,-0.0333333333333333,-0.0583333333333333,-0.0814102564102564,-0.0990573152337858,-0.250033269584671,-0.21967365967366,-0.0414285714285714,-0.16,-0.225168165168165,-0.198461538461538,-0.224760001902859,-0.282372550390396,-0.21967365967366,-0.249897000565931,0.115652173913043,0.12,0.12,0.0163265306122449,0,0.055010752688172,-0.150549450549451,0.0453333333333333,0.0333333333333333,-0.12,0.13768115942029,0.0777777777777778,0.0666666666666667,0.0333333333333333,0.0380952380952381,0,0.198461538461538,0.1,0.16,0.1,0,0.253504043126685,0.0614237288135593,-0.04,0.0261538461538461,0.151819923371648,-0.367874396135266,-0.367874396135266,-0.386320346320346
"LIV1",0.376619828259173,0.0982608695652174,0.0714383938393839,0.0863964627855564,0.0783964627855564,0.12,-0.0653846153846154,-0.0686813186813187,-0.108460719154738,-0.0364879135597368,-0.0333333333333333,-0.0476190476190476,-0.0642857142857143,-0.0804147465437788,-0.0865875860499516,-0.0885875860499516,-0.239379083947767,-0.214914022933825,-0.0380952380952381,-0.208518518518518,-0.212691800711603,-0.213781676413255,-0.210484904159879,-0.25502688737349,-0.214269481291304,-0.227816043940169,0.115316121521287,0.119861576066741,0.119861576066741,0.00270561378462234,0.0285714285714286,0.0387976054803441,-0.119623501017754,0.0398905016552075,0.038375350140056,-0.119861576066741,0.0342328835582209,0.0742446393762183,0.0760964912280702,0.0708333333333333,0.0380952380952381,0.0583333333333333,0.213923923923924,0.19,0.208518518518518,0.19,0.15,0.254691576044862,0.0448334274421231,0.0576923076923077,0.0219356813091141,0.117536255411255,-0.359954906808764,-0.359954906808764,-0.379446083925033
"Ecadherin",0.291983122362869,0.180855614973262,0.111909060816707,0.190133965488726,0.188173181175,0.169090909090909,0.156768115227149,0.157139862439045,0.261341434545885,0.255785555625042,0.1,0.233333333333333,0.266666666666667,0.266666666666667,0.261290322580645,0.258140716281433,0.276188013741862,0.250053880772967,0.0219367652735376,0.265572275421797,0.244200829714437,0.256951585766624,0.240559373131804,0.352238851933974,0.248951585766624,0.16617021028209,-0.0462649038988178,-0.0482202111613876,-0.0482202111613876,-0.0605792620259071,-0.121090909090909,-0.110357731596386,0.0867840154591031,-0.111985218033999,-0.114424242424242,0.0482202111613876,-0.00227767495039504,-0.0682635882635883,-0.0773544973544974,-0.0847619047619048,-0.0241159420289855,-0.08,-0.257746188465275,-0.272549019607843,-0.265572275421797,-0.272549019607843,-0.266666666666667,-0.321903281100881,-0.339124353403683,-0.157799043062201,-0.282867868434972,-0.29051714528642,-0.355101144972831,-0.355101144972831,-0.367442400347428
"cateninmemb",0.291983122362869,0.180855614973262,0.111909060816707,0.190133965488726,0.188173181175,0.169090909090909,0.156768115227149,0.157139862439045,0.261341434545885,0.255785555625042,0.1,0.233333333333333,0.266666666666667,0.266666666666667,0.261290322580645,0.258140716281433,0.276188013741862,0.250053880772967,0.0219367652735376,0.265572275421797,0.244200829714437,0.256951585766624,0.240559373131804,0.253691153482202,0.248951585766624,0.150641983786015,-0.0462649038988178,-0.0482202111613876,-0.0482202111613876,-0.0605792620259071,-0.121090909090909,-0.110357731596386,0.0867840154591031,-0.111985218033999,-0.114424242424242,0.0482202111613876,-0.00227767495039504,-0.0682635882635883,-0.0773544973544974,-0.0847619047619048,-0.0241159420289855,-0.08,-0.257746188465275,-0.272549019607843,-0.265572275421797,-0.272549019607843,-0.266666666666667,-0.321903281100881,-0.339124353403683,-0.157799043062201,-0.282867868434972,-0.29051714528642,-0.355101144972831,-0.355101144972831,-0.367442400347428
"NOTCHic",0.37184265010352,0.113333333333333,0.0611004784688995,0.0847619047619048,0.0733333333333333,0.18,-0.0696774193548387,-0.0802037351443124,-0.13053282748647,-0.0475759953176175,0,-0.0333333333333333,-0.0583333333333333,-0.0814102564102564,-0.0990573152337858,-0.108734734588625,-0.252699936251338,-0.225168165168165,-0.0407091469681398,-0.198461538461538,-0.224760001902859,-0.21967365967366,-0.22155389503263,-0.280546992581065,-0.225050003759681,-0.245149680504675,0.108263011351467,0.115652173913043,0.115652173913043,0.0147136273864384,0.0333333333333333,0.0581954660639682,-0.148745843335022,0.055010752688172,0.0453333333333333,-0.115652173913043,0.136142697881828,0.0801033591731266,0.0777777777777778,0.0666666666666667,0.0414285714285714,0.0333333333333333,0.21967365967366,0.16,0.198461538461538,0.16,0.1,0.268781820904462,0.0746312759833706,-0.04,0.0446723646723647,0.164216617586524,-0.347874396135266,-0.347874396135266,-0.36955734054
