"","cateninmemb","TGF","TGFR","CDC42","PAK1","Ecadherin","cateninnuc","GLI","TCFLEF","CD44","cMet","Frizzled","SRC","SOSGRB2","STAT","ZEB2","TWIST1","LIV1","Destcompl","miR200","KLF4","DELTA","SNAI1","NOTCH","HEY1","GSK3","SMAD","ILK","NOTCHic","Jagged","Csl","FUS","ZEB1","IKK","NFB","TrCP","SUFU","AKT","Csn","SMO","Patched","SHH","FOXC2","RAF","PI3K","RAS","MEK","ERK","EGR1","cfos","RKIP","SNAI2","AXIN2","DSH","Wnt"
"Ecadherin",0.562856305844111,0.131710749269255,0.128274944567628,0.122909090909091,0.110909090909091,0.439809893717563,0.420318200739043,0.399332578580751,0.412568434165747,0.40073779904744,0.38501873550229,0.366757865937072,0.366757865937072,0.258325810237429,0.341176470588235,-0.192821861595723,0.256859848346539,0.3,0.157469232092686,-0.115123339313283,-0.148241912798875,0.278763197586727,-0.183907272565355,0.345030798008669,0.0734046687619526,0.156991949069754,0.130864862968032,0.124811594202899,0.333506634439895,0.339443723114519,0.315980861244019,0.216666666666667,-0.10142336605383,0.216825396825397,0.205714285714286,0.2,0.233333333333333,-0.223318903318903,0.22,-0.235416666666667,-0.242943548387097,-0.245305753111506,-0.257856159639478,-0.278763197586727,-0.278763197586727,-0.284070460156559,-0.0524806586177114,-0.0575786978333977,-0.0527272727272727,-0.0586096256684492,0.170649165352215,-0.370627040889373,-0.185748601919789,-0.341176470588235,-0.383999245247417
"cateninmemb",0.468980941908855,0.131710749269255,0.128274944567628,0.122909090909091,0.110909090909091,0.44265880594659,0.420318200739043,0.399332578580751,0.412568434165747,0.40073779904744,0.38501873550229,0.366757865937072,0.366757865937072,0.258325810237429,0.341176470588235,-0.192821861595723,0.256859848346539,0.3,0.157469232092686,-0.115123339313283,-0.148241912798875,0.278763197586727,-0.183907272565355,0.345030798008669,0.0734046687619526,0.156991949069754,0.130864862968032,0.124811594202899,0.333506634439895,0.339443723114519,0.315980861244019,0.216666666666667,-0.10142336605383,0.216825396825397,0.205714285714286,0.2,0.233333333333333,-0.223318903318903,0.22,-0.235416666666667,-0.242943548387097,-0.245305753111506,-0.257856159639478,-0.278763197586727,-0.278763197586727,-0.284070460156559,-0.0524806586177114,-0.0575786978333977,-0.0527272727272727,-0.0586096256684492,0.170649165352215,-0.370627040889373,-0.185748601919789,-0.341176470588235,-0.383999245247417
"HEY1",0.550933228921034,0.128274944567628,0.122909090909091,0.110909090909091,0.0909090909090909,0.530657021273551,0.412568434165747,0.383999245247417,0.40073779904744,0.38501873550229,0.366757865937072,0.341176470588235,0.341176470588235,0.246483704974271,0.3,-0.186186790505676,0.250714596949891,0.233333333333333,0.154486939455221,-0.112702482702483,-0.144444444444444,0.271410256410256,-0.179793348514722,0.333506634439895,0.0673644003055768,0.153680690791608,0.124811594202899,0.114666666666667,0.315980861244019,0.331892235700332,0.305454545454545,0.233333333333333,-0.100949432404541,0.205714285714286,0.22,0.1,0.2,-0.216825396825397,0.2,-0.216666666666667,-0.235416666666667,-0.242943548387097,-0.251220004033071,-0.271410256410256,-0.271410256410256,-0.278763197586727,-0.0575786978333977,-0.0586096256684492,-0.08,-0.0527272727272727,0.165780251494537,-0.361295313014599,-0.178944478208449,-0.3,-0.366757865937072
"TCFLEF",0.0848674901094135,-0.162493928372567,-0.165474060822898,-0.165474060822898,-0.153846153846154,0.0577384358330843,0.0158230215612048,0.114098348369448,0.0162525748258096,0.117283502660861,0.116025641025641,0.103921568627451,0.108333333333333,0.171464455703977,0.108333333333333,-0.18166480595428,0.00365788503258139,0.133333333333333,0.0303608582939201,-0.0468447817242998,-0.08221606824548,0.0337844481923904,-0.151029240401625,0.146599066928719,0.0181699495670378,0.0686230983410917,0.0614487217522339,0.0639343814080656,0.14693129284234,0.0578773712810927,0.143009724214889,0.0266666666666667,-0.0123716994506468,0.0299321323837453,0.0234805194805195,0.0285714285714286,0.0333333333333333,-0.0244973497750496,0.0194805194805195,-0.0314285714285714,-0.029815668202765,-0.0285886743377343,-0.170465663192298,-0.0337844481923904,-0.0337844481923904,-0.0354927267732052,0.105384104861457,0.0999419279907085,0.0957142857142857,0.0932752613240418,0.0892009918721587,0.189602695600282,-0.0343345543345543,-0.103921568627451,-0.111613876319759
"ZEB2",-0.240078447588415,-0.234348931491789,-0.232232529375386,-0.228831168831169,-0.223376623376623,-0.214785832354523,-0.210000907447164,-0.206367058018434,-0.20597493342119,-0.200341130604289,-0.193859649122807,-0.190606060606061,-0.183333333333333,-0.177673992673993,-0.17,-0.158895181311373,-0.154415851478699,-0.15,-0.144739503171416,-0.0719533256515289,-0.0629870999497356,-0.0602813852813853,-0.0499853587265748,-0.0357545187053384,-0.0340999323257388,-0.0335037491173907,-0.0319100657729995,-0.0306905535778775,-0.0297435897435897,-0.0297167496661212,-0.0230769230769231,-0.0142857142857143,-0.0088161186574596,-0.00361111111111111,-0.00138888888888889,0,0,0.00641484942886812,0.0111111111111111,0.0171428571428571,0.019581881533101,0.020490972442192,0.050988344988345,0.0602813852813853,0.0602813852813853,0.0626368456668242,0.0654782116581777,0.0654782116581777,0.0666666666666667,0.0719298245614035,0.0829951690821256,0.0853407569738153,0.140136187883693,0.177272727272727,0.200862470862471
"cateninnuc",0.341244713003941,0.0441205310776159,0.0404087406846027,0.0381098901098901,0.0365714285714286,0.305375832731492,0.189507359047291,0.278602710571144,0.285502940378415,0.28020047585265,0.27067666632884,0.25498610978063,0.256546231546232,0.212745979927964,0.242657342657343,-0.144501095042176,0.182616978772431,0.227272727272727,0.0578517761215537,-0.0718827114003864,-0.10555175350549,0.221728046728047,-0.0389670202711823,0.298136396151769,0.0291758775549554,0.0593091066778002,0.0706987453958805,0.0683795093795094,0.293136396151769,0.225241314982437,0.284996861268048,0.106666666666667,-0.030652004250744,0.172939393939394,0.168939393939394,0.166666666666667,0.0666666666666667,-0.171376893939394,0.141666666666667,-0.108306010928962,-0.107684892916539,-0.110952866772749,-0.210860598417975,-0.221728046728047,-0.221728046728047,-0.226610201610202,-0.026507671227014,-0.0260489556306838,-0.0384057971014493,-0.0336438923395445,0.028525244813086,-0.328225048033262,-0.0955786924019106,-0.242657342657343,-0.269116544563239
"Wnt",-0.0325847457627119,-0.0930434782608696,-0.08,-0.0333333333333333,-0.1,-0.0876156756959275,0.00382288502713738,0.00131578947368421,0.00845864661654135,0.00131578947368421,-0.025,-0.1,0,-0.0242424242424242,0.1,-0.139598278335725,-0.0344117647058824,0,-0.0164168184436246,-0.0407070707070707,-0.117647058823529,0.0879699248120301,-0.00755693581780538,0.0726190476190476,0.018974358974359,0.101253918495298,0.0512224209898629,0.0256410256410257,0.0642857142857143,-0.0287009803921569,0.05,-0.1,-0.00258249641319943,0.06,0,0.1,0,-0.085,0.1,0.05,0.0409090909090909,0.0456709956709957,0.0727125506072875,-0.0879699248120301,-0.0879699248120301,-0.0879699248120301,-0.043921568627451,-0.0733333333333333,0,-0.0333333333333333,0.0216666666666667,-0.0903448275862069,-0.0224242424242424,0,0.025
"GSK3",-0.0330715573278712,-0.0800907399422776,-0.077526637378175,-0.0806625258799172,-0.0930434782608696,-0.0823366606820446,0.0039076388752483,0.00188878596787937,0.00265763887524831,0.000965742169994521,0.00382288502713738,0.00845864661654135,0.00845864661654135,-0.0489908729954107,0.00131578947368421,-0.130496656119122,-0.0349527021422348,-0.025,-0.0188561802857477,-0.0289823562845162,-0.129268605092671,0.0991523505382261,-0.0096270082013257,0.0741003114532526,0.0319310863593384,-0.000132060461473836,0.0391351213140087,0.0371860958267523,0.0696847270376682,-0.0344680038777341,0.0745798319327731,-0.0456709956709957,-0.0100122181032962,0.0598563218390804,0.0725,0.06,-0.0409090909090909,-0.0701127320954907,0.085,0.0553484150258344,0.0449189671730736,0.0449189671730736,0.0658741014187771,-0.0991523505382261,-0.0991523505382261,-0.0964212581012513,-0.0519362391421215,-0.0507998755057579,-0.043921568627451,-0.0365141612200436,0.0173109346793557,-0.0893121544243247,-0.0187096209187418,-0.00131578947368421,-0.0051906727603322
"DSH",-0.0350167385833973,-0.077526637378175,-0.0806625258799172,-0.0930434782608696,-0.08,-0.0805256629869508,0.00265763887524831,0.0051906727603322,0.000965742169994521,0.00382288502713738,0.00845864661654135,0.00131578947368421,0.00131578947368421,-0.0587583148558758,-0.025,-0.129159360428186,-0.0322638417068955,0,-0.0195254300215702,-0.0223000585119488,-0.137665551657556,0.0966313421348647,-0.00973775017253278,0.0696847270376682,0.0343532316880581,0.100699886293934,0.0371860958267523,0.0390728882795825,0.0745798319327731,-0.0334461060675151,0.0726190476190476,-0.0409090909090909,-0.00748621513152795,0.0725,0.085,0,-0.05,-0.0598563218390804,0.06,0.0456709956709957,0.0553484150258344,0.0449189671730736,0.0676284873836893,-0.0966313421348647,-0.0966313421348647,-0.0991523505382261,-0.0507998755057579,-0.0365141612200436,-0.0733333333333333,-0.043921568627451,0.0130502830502831,-0.0893121544243247,-0.0194706559263521,0.025,-0.00845864661654135
"cfos",-0.168479407409762,-0.133995416348358,-0.140056022408964,-0.138095238095238,-0.114285714285714,-0.123339478487355,-0.155427407605625,-0.141520467836257,-0.153205185383403,-0.144294294294294,-0.138888888888889,-0.15,-0.15,-0.136111111111111,-0.15,-0.111038087551405,-0.108008658008658,-0.1,-0.11847960149336,-0.00362448009506833,-0.124698412698413,-0.035239651416122,-0.0328017973587594,-0.113589743589744,0.0349575212393803,-0.0381845238095238,0.0256357740228708,0.0272486772486773,-0.108974358974359,-0.0993402777777778,-0.116666666666667,-0.080952380952381,-0.00679119105269226,-0.0541666666666667,-0.0666666666666667,-0.1,-0.0666666666666667,0.0699561403508772,-0.0666666666666667,0.0642857142857143,0.073963133640553,0.0677902941343802,0.086636605861857,0.035239651416122,0.035239651416122,0.0315811148307562,0.00265291083271923,0.00434782608695652,0.08,0,0.0842424242424242,-0.0379745315511739,0.113743842364532,0.15,0.138888888888889
