"","GSK3","Destcompl","RAS","RKIP","RAF","PI3K","DELTA","SNAI2","AXIN2","cateninnuc","TCFLEF","SUFU","LIV1","CD44","Wnt","SRC","GLI","Frizzled","NOTCH","SMAD","ILK","STAT","SOSGRB2","DSH","EGR1","Csn","cfos","ERK","NFB","IKK","AKT","cateninmemb","TGF","PAK1","TGFR","FOXC2","CDC42","ZEB2","ZEB1","MEK","Ecadherin","Jagged","NOTCHic","KLF4","Csl","SMO","Patched","HEY1","TWIST1","SHH","TrCP","FUS","cMet","SNAI1","miR200"
"AXIN2",0.696130493457724,0.783227876345228,0.594705208485758,0.494229587616684,0.56032200638602,0.56032200638602,0.56032200638602,0.433721595126833,0.771298288333818,0.459518456759058,0.446072715297752,0.15,0.266666666666667,0.427901554688139,0.40361133386795,0.370852713178295,0.427510704937132,0.370852713178295,0.0637502540134119,-0.0475787899700943,-0.0424200598113642,0.326666666666667,0.0348486265176307,0.326666666666667,-0.0266666666666667,-0.277777777777778,-0.0339837398373984,-0.0442641136691741,-0.342995169082126,-0.390821256038647,-0.429710144927536,-0.32189779738621,0.354114810325674,0.270416666666667,0.333652764121053,0.319812856932295,0.306219135802469,-0.192473391779141,-0.192473391779141,0.0518503205657258,-0.0513497163840331,0.368994002472263,-0.0576691729323308,-0.176877515858115,-0.0505263157894737,-0.187362637362637,-0.198076923076923,0.037640610764343,-0.0341541119837266,-0.206273644388398,0.2,-0.173076923076923,-0.40361133386795,-0.552792183939634,-0.391733904359193
"Destcompl",0.675290153540635,0.660634604244989,0.573375477943219,0.468239681042636,0.552339371192827,0.552339371192827,0.552339371192827,0.404268660996263,0.446072715297752,0.42004550202567,0.411937393917562,0.144444444444444,0.305555555555556,0.401252462410712,0.386109119718234,0.367297238530115,0.400394834003948,0.367297238530115,0.0727297642680582,-0.0515747702589808,-0.0486507936507937,0.341269841269841,0.0361608285510925,0.341269841269841,-0.041025641025641,-0.323809523809524,-0.0531468531468531,-0.0591577821086018,-0.362939958592133,-0.396273291925466,-0.420434365750969,-0.29561134606383,0.333824586095781,0.282040816326531,0.32111522648987,0.294857746247219,0.304799437016186,-0.148870497628592,-0.148870497628592,0.0646430141761123,-0.0377673945519971,0.345902469776911,-0.0685213474343909,-0.132677865831146,-0.0630865648256953,-0.16336070060208,-0.170096451897417,0.042384794692487,-0.0335534693700994,-0.17493204183939,0.266666666666667,-0.154789272030651,-0.386700223604742,-0.522824836859654,-0.358875768970488
"HEY1",0.336394483964754,0.371522738168455,0.303612368024133,0.235961657390229,0.287435897435897,0.287435897435897,0.287435897435897,0.242892776406846,0.270031174338307,0.227286713829889,0.222429926781322,0.2,0.166666666666667,0.210724241162592,0.19594163246694,0.184313725490196,0.209734735915216,0.184313725490196,-0.0330794652986731,-0.0533333333333333,-0.0533333333333333,0.166666666666667,-0.0223270440251572,0.166666666666667,-0.08,-0.2,-0.0709090909090909,-0.0885561497326203,-0.22,-0.243809523809524,-0.26973544973545,-0.111734476002769,0.206226164079823,0.190909090909091,0.198909090909091,0.211254509197643,0.186909090909091,-0.101759545923633,-0.101759545923633,0.0937107889078781,0.0073269622081634,0.212501930852755,0.0361722488038278,-0.0703703703703704,0.0309090909090909,-0.15,-0.15,0.0550496562261268,0.116605664488017,-0.155376344086021,0.1,-0.166666666666667,-0.19594163246694,-0.256345104479465,-0.218127798127798
"ZEB1",-0.115766131077795,-0.235349703692504,-0.132453721461773,0.0583521314275666,-0.127886792327915,-0.127886792327915,-0.127886792327915,-0.0990936814710309,-0.198341093398292,-0.168152883068083,-0.167370104203112,0.0416666666666667,-0.166666666666667,-0.166838189309495,-0.171236487090146,-0.150906816760475,-0.175016555818668,-0.159698025551684,0.114058701993194,0.0964216492269424,0.0978639569192501,-0.143589743589744,0.0862768031189084,-0.152380952380952,0.1,0.133333333333333,0.08,0.0835294117647059,0.128070175438597,0.126430831176301,0.132145116890587,0.0468528153744899,-0.0786616354479142,-0.0867816091954023,-0.072362422849489,-0.0599636702800715,-0.070839580209895,-0.0846724246151003,-0.0846724246151003,-0.0892562840114019,0.0433431955460623,-0.149586671762462,-0.109926470588235,-0.0887125147697915,-0.102083333333333,-0.0632575757575758,-0.0632575757575758,-0.112151889561216,-0.199577220645182,-0.0593429850102448,-0.133333333333333,-0.0541666666666667,0.162671522642828,-0.0380627740807546,-3.95217223360613e-05
"cateninnuc",0.413948738926877,0.462706478092857,0.37947448947449,0.283248329007634,0.368868428868429,0.368868428868429,0.368868428868429,0.287960861647292,0.34614996590117,0.108912682803589,0.204576863969013,0.0888888888888889,0.142424242424242,0.199423764641156,0.191400281275207,0.18003108003108,0.197724391947144,0.178356803014337,0.0441408102838927,-0.0511657817701474,-0.0499379509379509,0.157808857808858,0.0175539939873476,0.157808857808858,-0.0963768115942029,-0.270833333333333,-0.0979641131815045,-0.105559049890365,-0.298106060606061,-0.314106060606061,-0.330512310606061,-0.183742162426143,0.253159771714507,0.222285714285714,0.243771125426298,0.241204211089457,0.229978021978022,-0.0732926217261462,-0.0732926217261462,0.109687490257338,0.0701065946590529,0.194948980696018,-0.0409589921020745,-0.0507817014934453,-0.0421217827997489,-0.0938069216757741,-0.101881455837265,0.0449848024316109,0.0460318290808966,-0.106892349083452,0.233333333333333,-0.0888888888888889,-0.19307455829195,-0.317432858226142,-0.23838747524131
"SUFU",0.317333043915258,0.380486385907144,0.264501889869235,0.0711459429132478,0.254375307590754,0.254375307590754,0.254375307590754,0.200845278478339,0.280276723464965,0.136901415980254,0.135111134650331,0.0533333333333333,0.1,0.132665482476418,0.0284188034188034,0.104444444444444,0.0377124837162012,0.0111111111111111,0.036976911976912,0.0348238808299898,0.0345929339477727,0.0933333333333333,-0.100527542632806,0,-0.0476923076923077,-0.0857142857142857,-0.0446620046620047,-0.045811429949361,-0.0977142857142857,-0.109252747252747,-0.120662143225902,-0.151600914816248,0.0192757689075201,0.00833333333333333,0.00882211999233276,0.116552377135188,0.00563063063063063,-0.063021677092548,-0.063021677092548,0.0530454725025525,0.0555148863000223,0.0997985888431757,-0.0401515151515151,-0.0519739210104381,-0.0424242424242424,-0.0352777777777778,-0.0362878787878788,-0.03737856346552,0.0212259720342201,-0.0428515853515853,0.1,-0.0408333333333333,-0.122891046386192,-0.110268314322321,0.0187690720980244
"cMet",-0.0767089093701997,-0.0669270656665615,-0.0533692722371968,-0.00518518518518519,-0.0571428571428571,-0.0571428571428571,-0.0571428571428571,-0.152281457390946,0.181587301587302,0.145639509616648,0.145074537865236,0.1,-0.1,0.14968992248062,0.156666666666667,0.05,0.147575757575758,0.15,-0.0236922092465206,0.0868480725623583,0.0868480725623583,0,0.0266666666666667,0.1,0.025,0.2,0.005,0.005,0.2,0.193333333333333,0.180833333333333,0.105316699907447,0.0800886524822695,0.0466666666666667,0.0758333333333333,0.0696308016877637,0.0591666666666667,-0.052958152958153,-0.052958152958153,-0.00318181818181818,-0.180354629090177,-0.0560666869362521,0.0300751879699248,-0.153968253968254,0.0142857142857143,-0.1,-0.109090909090909,-0.0882696938424492,-0.0565592459974483,-0.109090909090909,-0.1,-0.1,-0.156666666666667,-0.0783841988123879,-0.11094779314888
"miR200",0.165564562480067,0.248307381258611,0.180503916252232,0.0419690330119778,0.17177573670111,0.17177573670111,0.17177573670111,0.159683925555662,0.206753355951585,0.181031806844779,0.179819685632658,0.02,0.2,0.178232384045357,0.169859154929577,0.158260869565217,0.179749264819687,0.16,-0.0129141966546993,-0.0078150028409412,-0.00812848246476565,0.18,0.00546744036105738,0.18,-0.0142857142857143,-0.02,-0.0142857142857143,-0.00519480519480519,-0.0357894736842105,-0.0386466165413534,-0.0386466165413534,0.0495446999620737,0.0604892031831487,0.0708333333333333,0.0575822264389627,0.0430184449696645,0.0688725490196078,-0.0513127240143369,-0.0513127240143369,0.00859616573902288,-0.149953035842401,0.0484758730919843,0.00669950738916256,-0.0507763975155279,0.0170443349753695,-0.0258333333333333,-0.0169725738396624,0.0100847457627119,0.101969911479114,-0.0180595303614016,0,-0.0325,-0.168120024494795,-0.0517044067044067,-0.0896741335214746
"cateninmemb",0.150661734787904,0.164480763071936,0.1273715631504,0.0755723944327476,0.124019607843137,0.124019607843137,0.124019607843137,0.100706815180332,0.112315896974089,0.0211412500719291,0.0197406898478395,-0.0333333333333333,0,0.0201142888515755,0.0168286239916977,0.00820793433652531,0.0194952906583644,0.00820793433652531,-0.00397682415694909,-0.0243580727795908,-0.0241159420289855,0.00588235294117647,-0.016295025728988,0.00588235294117647,-0.0672727272727273,-0.08,-0.0790374331550802,-0.0738827939798225,-0.103809523809524,-0.111216931216931,-0.112515632515633,-0.00800880192788047,0.0876673763614177,0.0745454545454545,0.08169992609017,0.111282516636419,0.0812121212121212,-0.0412097779995011,-0.0412097779995011,0.0766278920190382,0.0966009908209648,0.0205575202829207,0.00211808809746954,-0.0420065635255509,0.00727272727272727,0.0270833333333333,0.0238575268817204,0.0231112432770546,-0.0206978736870291,0.0207079205825078,0.1,0.0333333333333333,-0.0177731517278297,-0.0887691129821382,-0.122205282819808
"NFB",0.430874811463047,0.376396472953809,0.258921796528464,0.184552332912989,0.246483985583191,0.246483985583191,0.246483985583191,0.391811794695975,0.196367781155015,0.169776279945191,0.165305691709897,0.12,0.15,0.158132695929306,0.14965811965812,0.138888888888889,0.157523288197445,0.138888888888889,0.117545035609552,0.0801975597187971,0.0805693069306931,0.138888888888889,-0.064703670942061,0.138888888888889,0.0142857142857143,0.0857142857142857,0.0182857142857143,0.0205079365079365,-0.0476190476190476,-0.0557271557271557,-0.069060489060489,0.00696054597761252,0.0391966244725738,0.0333333333333333,0.0341333333333333,0.0360243298091904,0.0333333333333333,-0.0410378820614755,-0.0410378820614755,-0.01462558356676,-0.0456592566797012,0.0375872085836485,-0.119480519480519,-0.0341575091575092,-0.114718614718615,-0.136296296296296,-0.129399744572158,-0.0863555948695268,-0.0383006535947712,-0.129399744572158,-0.1,-0.14,-0.14965811965812,-0.208163988520571,-0.0969130401102029
