"","PAK1","ZEB2","CDC42","SOSGRB2","cateninmemb","STAT","SRC","CD44","Frizzled","cMet","Csl","NOTCHic","KLF4","PI3K","MEK","SNAI2","NFB","Csn","ILK","ERK","IKK","SHH","FUS","AKT","Patched","SMO","ZEB1","TrCP","SUFU","SMAD","miR200","GSK3","TWIST1","RKIP","HEY1","RAF","DELTA","SNAI1","RAS","cfos","EGR1","NOTCH","Jagged","Wnt","GLI","TCFLEF","cateninnuc","DSH","Destcompl","AXIN2","FOXC2","LIV1","Ecadherin","TGFR","TGF"
"ZEB1",-0.163218390804598,-0.167723685022389,-0.158870564717641,-0.105107212475634,-0.0402222603640724,-0.0102564102564103,-0.00781738586616635,-0.00749058848054544,-0.00232288037166086,-0.00193503292498988,-0.0895833333333333,-0.0876225490196078,-0.168005433948157,-0.0560337708519414,-0.0627856957761078,-0.0850516374473049,-0.0719298245614035,-0.0666666666666667,-0.028006192196245,-0.0570588235294118,-0.0702904802991084,-0.0348574450809117,0.0125,-0.0645761945848227,-0.0273841354723708,-0.0352272727272727,-0.00497516432475424,-0.0666666666666667,0.025,0.0222369614270142,0.0253885182995789,0.00386641955851965,0.00725999791390996,0.057908178217656,0.0380973344444847,0.0560337708519414,0.0560337708519414,0.0671058369800182,0.0618605425054847,0.07,0.05,0.0818374250526657,0.0478732443494502,-0.00344635039756991,0.00308285922442322,0.00775654592735395,0.00912640894105258,0.00476190476190476,0.0932999528221713,0.113904151510419,0.135975769817784,0.0333333333333333,0.123929612377709,0.160393407357235,0.16157450971944
"ZEB2",-0.176623376623377,-0.16560766900599,-0.16025974025974,-0.123003663003663,-0.119573912133535,-0.11,-0.103333333333333,-0.100994152046784,-0.0978787878787879,-0.0954385964912281,-0.0897435897435897,-0.0777435897435897,-0.0584185133200802,-0.0516233766233766,-0.0348102750976576,-0.0337105133459762,-0.0333333333333333,-0.0333333333333333,-0.0324782025486251,-0.0323712507074137,-0.0177777777777778,-0.0172442191954387,-0.0142857142857143,-0.0131048805815161,-0.00815331010452962,-0.00571428571428572,-0.00254313440814455,0,0,0.0282099098656983,0.0320044734903882,0.0335196471148834,0.0343841847321551,0.0384219001610306,0.0431321903902549,0.0516233766233766,0.0516233766233766,0.0588774864253584,0.0599745543535693,0.0614035087719298,0.0666666666666667,0.0717326607818411,0.0765144637717962,0.0901864801864802,0.096608498535104,0.102754715427065,0.103793676466026,0.104545454545455,0.131912418551573,0.140118857852875,0.142122766122766,0.15,0.15152531899404,0.156858379715523,0.162678485535628
"AXIN2",-0.157916666666667,-0.154763256354119,-0.141867283950617,-0.117489906073356,0.22696037388497,-0.24,-0.237674418604651,-0.234372993607371,-0.237674418604651,-0.235950280673617,-0.214736842105263,-0.211165413533835,-0.157181929861159,-0.231668692914368,-0.16788767230244,-0.287937409971847,-0.198067632850242,-0.211111111111111,0.122406257188866,-0.165818706785199,-0.193719806763285,0.226582147360836,-0.238461538461538,-0.197053140096618,0.229532967032967,0.238461538461538,-0.123514082953497,-0.2,-0.2,-0.124390384172993,0.0633971230308177,-0.206377985096521,-0.0445596951817371,0.13302493205719,-0.108691435567703,0.231668692914368,0.231668692914368,0.150725096459269,0.232981028872373,0.179837398373984,0.206666666666667,0.212516764885186,0.195088131609871,0.235950280673617,0.234692419038397,0.234959160078649,0.236645281998233,0.24,-0.207585187978215,0.59879784165684,0.100460936409414,0.233333333333333,0.00582507578304429,0.140097372446193,0.143067669475895
"miR200",0.0125,-0.102647849462366,0.0105392156862745,0.00558027079303675,-0.0117951217843459,0,-0.00434782608695652,-0.00575627679118187,-0.004,-0.00575627679118187,0.00463054187192118,0.00118226600985221,-0.10236369910283,-0.054990432453119,-0.00268398268398268,-0.0793002657730392,-0.00421052631578948,-0.02,0.000557194362504097,0.00207792207792208,-0.00706766917293233,0.00913731425426527,-0.0075,-0.0127280465314229,0.00370253164556962,0.0075,0.0976702508960573,0,-0.02,-0.000243714738679646,-0.000513125790046152,-0.00999841578184482,-0.0693557567177199,0.0042599869949959,0.000141242937853107,0.054990432453119,0.054990432453119,-0.00705424205424205,0.0532447965428946,-0.0157142857142857,0.0142857142857143,0.00277253625003479,-0.0101005354431391,0.00540845070422535,0.00540845070422535,0.00654992758483267,0.00594386697877206,0,0.0536335767447634,0.0602598156065938,-0.00994636799514849,0,-0.00634636560409058,-0.00570050600885516,-0.00337492461350632
"ERK",-0.157142857142857,-0.0903732564275951,-0.152469959946595,-0.205513330251194,-0.169456112233609,-0.0280701754385965,-0.0242240215924426,-0.0165334932912273,-0.0194871794871795,-0.0137345111029322,-0.0573815073815074,-0.0566515803742081,-0.0897634379900571,0.123550893550894,0.0611839019149822,0.357655981311135,-0.0376623376623377,-0.0285714285714286,-0.0680227286900279,0.0586769381266813,-0.038838808250573,-0.0581971219469018,0.0373333333333333,-0.0333342210946097,-0.0514338369227472,-0.0520874316939891,-0.0880708907082454,-0.0285714285714286,0.0333333333333333,0.0686306314255902,0.00287039742888134,0.0181628167888241,0.131983524756226,0.0906668502322495,0.0736500561140535,-0.123550893550894,-0.123550893550894,0.0611011299133004,-0.117940332494788,-0.152010271460015,-0.154137931034483,0.0491723559974768,0.0711626249174701,0.00899766899766899,0.0127570674939096,0.0189498501685507,0.0199915168352174,0.0233333333333333,0.203786154066205,0.0194176655816051,0.141067778653986,0.0333333333333333,0.214140978279847,0.148820324910099,0.14936977545955
"MEK",-0.166666666666667,-0.0889559335929494,-0.157142857142857,-0.209396825396825,-0.169824097514198,-0.0333333333333333,-0.0280701754385965,-0.0137345111029322,-0.0233333333333333,-0.0242240215924426,-0.0535353535353535,-0.0573815073815074,-0.0936394069823051,0.121328671328671,0.0586769381266813,0.357836323962172,-0.0285714285714286,-0.0285714285714286,-0.0632256807195482,0.152010271460015,-0.0376623376623377,-0.0514338369227472,0.0333333333333333,-0.038838808250573,-0.0520874316939891,-0.0373333333333333,-0.088228371023206,-0.1,0.0333333333333333,0.0680227286900279,0.00115471115437154,0.0191619085236106,0.132954398542634,0.0898311956361492,0.0685306021891388,-0.121328671328671,-0.121328671328671,0.0518418706540412,-0.123550893550894,-0.154137931034483,-0.13,0.0566515803742081,0.0675481670861448,0.0194871794871795,0.00899766899766899,0.0165334932912273,0.0189498501685507,0.0333333333333333,0.200967664776464,0.0202306737116864,0.137819915406122,0,0.213694702962305,0.152469959946595,0.148820324910099
"NFB",-0.255555555555556,-0.0861481289430473,-0.241919191919192,-0.201901813356922,-0.162877878513818,-0.0888888888888889,-0.0811965811965812,-0.0762074460379545,-0.0811965811965812,-0.0858119658119658,-0.14978354978355,-0.141847041847042,-0.0826007326007326,-0.0169124851955046,0.0411970121381886,0.238448554979775,-0.128571428571429,-0.0285714285714286,-0.0744224422442244,0.0470793650793651,-0.12046332046332,-0.0475092707996738,0.02,-0.136018876018876,-0.0547381864623244,-0.0237037037037037,-0.0271192924840838,-0.1,0,0.0755376838799122,0.00151946569127707,0.0843234216763628,0.0762044817927171,0.0552052683200224,0.0790376676986584,0.0169124851955046,0.0169124851955046,0.0236823250103601,0.0149224354442608,-0.0448571428571429,0.00714285714285715,0.152814783782526,0.06235632300158,0.0858119658119658,0.075699606261404,0.080848796248925,0.0818684040920622,0.0888888888888889,0.184808742315444,0.110278622087133,0.20626469590613,0.1,0.245275831682601,0.244319191919192,0.250015394450837
"IKK",-0.3,-0.0804010025062657,-0.255555555555556,-0.196638655462185,-0.163828248101991,-0.1,-0.0888888888888889,-0.0858119658119658,-0.0888888888888889,-0.0811965811965812,-0.154545454545455,-0.14978354978355,-0.0633699633699634,-0.0140955837870539,0.0470793650793651,0.238042050914734,-0.0285714285714286,-0.1,-0.0833333333333333,0.0448571428571429,-0.128571428571429,-0.0547381864623244,0,-0.12046332046332,-0.0237037037037037,-0.02,-0.0198395989974937,0,0.1,0.0744224422442244,-0.00240802675585284,0.089029304029304,0.0638235294117647,0.0359744990892532,0.0915376676986584,0.0140955837870539,0.0140955837870539,0.027791914051456,0.0169124851955046,0.00714285714285715,0.05,0.141847041847042,0.0717088409871915,0.0811965811965812,0.0858119658119658,0.0762074460379545,0.080848796248925,0.1,0.184144290488202,0.115952380952381,0.2002886002886,0.1,0.240620936016469,0.241919191919192,0.244319191919192
"SMAD",-0.145238095238095,-0.079502713944277,-0.129745137491616,-0.10653652765454,-0.0762111932283768,-0.0657142857142857,-0.0434920634920635,-0.0551141668788728,-0.0301587301587302,-0.053295985060691,-0.0523809523809524,-0.0305418719211823,-0.0671133982710248,-0.0703931643320289,0.0201842699685911,0.0525336852378894,-0.0468253968253968,-0.0611111111111111,-0.0578906025481368,0.0249919622762834,-0.0252567693744164,-0.0446015370098792,0.0333333333333333,-0.0332567693744164,-0.049434250764526,-0.0283333333333333,-0.0831613025496599,-0.05,0.00833333333333333,-0.0440141593566251,0.00876691957840807,0.00242874502272999,0.0620863101731394,0.0772802250378962,0.0720634022649439,0.0703931643320289,0.0703931643320289,0.077225594745756,0.0723668485425553,-0.0133640552995392,0.0285714285714286,0.039272030651341,0.0467490573942187,0.0416971916971917,0.043136040618055,0.0571494450335539,0.0558323224398356,0.0523809523809524,0.0869695338158431,0.0957457551364717,0.131442958874855,0.08,0.0947573208223881,0.131421115145248,0.142576493631303
"FUS",0.126666666666667,-0.0744835534296905,0.126666666666667,0.0642375168690958,0.113239037598347,-0.1,-0.0933333333333333,-0.0884789644012945,0.0125,-0.0933333333333333,-0.142424242424242,-0.147424242424242,-0.0922586520947177,0.00144230769230769,-0.0939313560003215,-0.250060196199242,-0.0142857142857143,0,0.0276190476190476,-0.0766899766899767,-0.0262857142857143,0.0474242424242424,-0.08,-0.0378241758241758,0.0383333333333333,0.055,0.0149674188069738,-0.1,0,-0.0334254992319509,-0.0143492739870732,0.140631817879602,-0.0668987897660519,-0.0451644575355916,-0.0232361841057493,-0.00144230769230769,-0.00144230769230769,-0.0445352578036693,-0.000132264024185422,0.0615384615384615,0.1,0.154242424242424,0.0641059475999235,-0.0125,-0.0163461538461538,0.0937421222960313,0.0970029918612487,0,0.140786813480753,0.244513457556936,-0.0490471869328494,0.1,-0.0327184048872009,-0.113153153153153,-0.108897834004217
