"","CDC42","Jagged","ILK","SMO","IKK","SHH","Csn","TWIST1","SUFU","AKT","SMAD","Patched","FUS","KLF4","AXIN2","Ecadherin","LIV1","TCFLEF","Frizzled","Wnt","ZEB1","RAS","PI3K","GSK3","RAF","DELTA","FOXC2","ZEB2","GLI","DSH","cateninnuc","Destcompl","STAT","SRC","cMet","CD44","TrCP","cateninmemb","miR200","NFB","SNAI2","Csl","NOTCH","SNAI1","HEY1","EGR1","NOTCHic","RKIP","ERK","cfos","MEK","SOSGRB2","TGF","PAK1","TGFR"
"AXIN2",-0.425617283950617,-0.262223739832435,0.149873475960432,0.267032967032967,-0.333816425120773,0.289404161412358,-0.255555555555556,-0.410898565536835,0.2,-0.357149758454106,0.149873475960432,0.275961538461538,0.238461538461538,0.266196189931674,0.0762501135835745,0.264127747588344,-0.266666666666667,-0.357877452711408,-0.325581395348837,-0.342822774659182,0.276758451332831,-0.51861283795969,-0.502077404888824,0.597548690566997,0.502077404888824,0.502077404888824,0.133442420187151,-0.276758451332831,0.352885667740943,0.3,0.36094705928296,0.643462279995507,0.3,0.325581395348837,0.342822774659182,0.352601954469908,0.2,0.189093514020545,0.135460647993385,0.31207729468599,0.450810715758284,0.307368421052632,0.351528652712863,0.497832952845425,-0.129301338429127,-0.0266666666666667,0.330582706766917,0.457486017566663,-0.0244327938606489,-0.0291056910569106,-0.0223638283434075,0.110376131582303,0.480247968257986,0.375,0.457475691030263
"Destcompl",-0.416073187895848,-0.229754340164742,0.102619047619048,0.232391899288451,-0.319148340887471,0.246713263075144,-0.29047619047619,-0.363315254602056,0.211111111111111,-0.322504045585458,0.115133667502089,0.248454075454254,0.235249042145594,0.236683050995257,-0.357877452711408,0.226865625845345,-0.261111111111111,-0.304733848695206,-0.29486844966297,-0.300809043722376,0.225908917375152,-0.471545277367589,-0.465265842516726,0.543144625501962,0.465265842516726,0.465265842516726,0.101831388202381,-0.225908917375152,0.303963032590651,0.282539682539683,0.3062126860231,0.484044644152045,0.282539682539683,0.29486844966297,0.300341086478891,0.302953026777398,0.233333333333333,0.154277489398838,0.0946261273336602,0.294824016563147,0.410546580529712,0.289941245593419,0.313714879818391,0.451756405459458,-0.0787077879385572,-0.0333333333333333,0.309506462984724,0.418239715242947,-0.0236959761549925,-0.0242424242424242,-0.0194765668722921,0.120172466213763,0.442210081854884,0.39469387755102,0.43344160894848
"TGF",-0.328888888888889,0.00827810505645557,0.00272727272727273,-0.02,-0.125,-0.0160129310344828,-0.1,-0.155740740740741,0,-0.135526315789474,-0.00695014662756598,-0.0441379310344828,-0.02,0.123798627002288,0.0358465608465608,0.0756021841697573,0,0.0339043363124793,0.0428571428571429,0.0428571428571429,0.140162263365925,-0.14702380952381,-0.152380952380952,-0.0839002267573696,0.152380952380952,0.152380952380952,-0.0095807453416149,-0.140162263365925,-0.044743935309973,0,-0.0367751497096085,-0.0324055663966766,0,-0.0333333333333333,-0.0333333333333333,-0.0352201257861635,0.2,-0.0607952499452087,0.0437916968089382,0.125,0.16712083156392,0.12,0.116896551724138,0.169183089637635,0.0159252095422308,0.3,0.11,0.222943722943723,0.333082706766917,0.285714285714286,0.33530492898914,0.419736842105263,0.231269841269841,0.34,0.324126984126984
"PI3K",-0.354411764705882,-0.0253508771929825,0.0380792316926771,0.0833333333333333,-0.0274509803921569,0.0963675213675214,0.0333333333333333,-0.254178687393228,0.1,-0.0710407239819004,0.0132792316926771,0.0602564102564102,0.05,0.0934210526315789,-0.186952380952381,0.163572400400028,-0.1,-0.142044479715814,-0.133333333333333,-0.13768115942029,0.131631043380885,-0.336773290636304,-0.328554112554113,0.337782587782588,0.328554112554113,0.328554112554113,0.106736353077816,-0.131631043380885,0.139219620958751,0.1,0.143487778684886,0.408889115496847,0.1,0.133333333333333,0.13768115942029,0.139219620958751,0,-0.0118645520922315,0.0861457955720251,0.0333333333333333,0.2412824914064,0.15,0.186724565756824,0.288977455716586,-0.0215013621228938,0.0333333333333333,0.157692307692308,0.300759534583064,0.0509803921568627,0.0333333333333333,0.0460623593699775,0.178076923076923,0.398736967957915,0.325,0.378411764705882
"ILK",-0.354411764705882,-0.0253508771929825,0.0380792316926771,0.0833333333333333,-0.0274509803921569,0.0963675213675214,0.0333333333333333,-0.254178687393228,0.1,-0.0710407239819004,0.0132792316926771,0.0602564102564102,0.05,0.0934210526315789,-0.186952380952381,0.163572400400028,-0.1,-0.142044479715814,-0.133333333333333,-0.13768115942029,0.131631043380885,-0.336773290636304,-0.328554112554113,0.337782587782588,0.328554112554113,0.328554112554113,0.106736353077816,-0.131631043380885,0.139219620958751,0.1,0.143487778684886,0.408889115496847,0.1,0.133333333333333,0.13768115942029,0.139219620958751,0,-0.0118645520922315,0.0861457955720251,0.0333333333333333,0.2412824914064,0.15,0.186724565756824,0.288977455716586,-0.0215013621228938,0.0333333333333333,0.157692307692308,0.300759534583064,0.0509803921568627,0.0333333333333333,0.0460623593699775,0.178076923076923,0.398736967957915,0.325,0.378411764705882
"TGFR",-0.324126984126984,0.00320564128833963,-0.00695014662756598,-0.0441379310344828,-0.135526315789474,-0.0233575638028443,-0.125,-0.1482674311322,-0.02,-0.123898408812729,0.00977583202012085,-0.0160129310344828,-0.02,0.139870055573717,0.0362757453959171,0.0756021841697573,0,0.0367751497096085,0.0428571428571429,0.044743935309973,0.125445282233849,-0.147608604845447,-0.14702380952381,-0.0826777328698391,0.14702380952381,0.14702380952381,-0.0222445008001302,-0.125445282233849,-0.0415181288583601,-0.0428571428571429,-0.0359779840763047,-0.0330104051063541,-0.0333333333333333,-0.0333333333333333,-0.0352201257861635,-0.0339043363124793,0.1,-0.0628737718851625,0.0270761542869441,0.125,0.167815276008364,0.11,0.10898288265939,0.172427927395747,0.0263729707362607,0.285714285714286,0.116896551724138,0.214372294372294,0.33530492898914,0.333082706766917,0.331195339948044,0.428378817413905,0.226305302262749,0.328888888888889,0.231269841269841
"GSK3",-0.414120082815735,-0.0289865450817601,0.0449439544301613,0.107282502443793,-0.186925287356322,0.111500660778838,-0.154166666666667,-0.260530804197888,0.0954545454545455,-0.208292808723843,0.0232048239953787,0.089491091400848,0.0621212121212121,0.103547767584022,-0.202298896392315,0.205638361644847,-0.125,-0.155804745938076,-0.147932330827068,-0.153814683768244,0.124927855579288,-0.426876773389535,-0.423935596918947,0.377610000218361,0.423935596918947,0.423935596918947,0.092924717061804,-0.124927855579288,0.153814683768244,0.140789473684211,0.156199482780181,0.462167998776675,0.140789473684211,0.147932330827068,0.152568092416472,0.153044282892662,0.166666666666667,-0.0293433490267115,0.0730613086408361,0.204166666666667,0.244123065784134,0.208683473389356,0.215796360502243,0.294155472097838,-0.0193471099809906,0.0309803921568627,0.200991165697048,0.305473210999527,0.0340436057463921,0.027276688453159,0.0294981512009376,0.185598927448048,0.428504966225009,0.388405797101449,0.42004342776347
"GLI",-0.312241379310345,0.026959594457035,0.0324178466536297,0.114348370927318,-0.0354815610454708,0.112131187757754,-0.0333333333333333,-0.106978852123165,0.0761904761904762,-0.0620440610454708,-0.00379836956258647,0.0837361260293591,0.0511904761904762,0.0751737451737452,0.112214673913043,0.132077210908817,0.1,0.0798049516884808,-0.0432258064516129,-0.039696394686907,0.111955111793821,-0.192182019063932,-0.192380038865913,0.13711086673836,0.192380038865913,0.192380038865913,0.0188407292741658,-0.111955111793821,-0.0632823287173483,0.04,-0.079864724551601,-0.0690922331392052,-0.08,-0.0767741935483871,-0.0816522423288749,-0.0833763802599094,0.0666666666666667,-0.140753669539798,0.0711567379988432,0.0701754385964912,0.144400346489227,0.0346242263483643,0.0289099406340786,0.141626652345595,-0.0253764298331361,0.374285714285714,0.0146242263483643,0.205546112278982,0.369307359307359,0.357619047619048,0.363230011241061,0.45234685668314,0.31136827535178,0.295,0.307838863587074
"AKT",-0.378411764705882,-0.037271406994307,0.0132792316926771,0.0602564102564102,-0.0710407239819004,0.0805780476833108,-0.0333333333333333,-0.249591531429925,0.05,-0.153869006810183,0.0418987603122057,0.0963675213675214,0.0833333333333333,0.133591992802519,-0.190923500085955,0.167663309490937,-0.1,-0.143487778684886,-0.13768115942029,-0.139219620958751,0.109713235161707,-0.34183353160016,-0.336773290636304,0.339395491008394,0.336773290636304,0.336773290636304,0.0916987590928541,-0.109713235161707,0.143130235483891,0.133333333333333,0.145180086377193,0.412280347920337,0.133333333333333,0.13768115942029,0.139219620958751,0.142044479715814,-0.0333333333333333,-0.0125781096865231,0.0567340308661427,0.0274509803921569,0.247212139647606,0.157692307692308,0.176968468195848,0.302761916869468,0.00481442735079046,0.0333333333333333,0.186724565756824,0.292685000421573,0.0460623593699775,0.0509803921568627,0.0561889416484585,0.193632478632479,0.401456001190543,0.354411764705882,0.398736967957915
"Patched",-0.4,-0.0831746031746032,-0.0166666666666667,0.333333333333333,-0.1,0.198333333333333,0,-0.158333333333333,0.2,-0.171428571428571,-0.0666666666666667,0.173333333333333,0.3,0.0666666666666667,-0.228138528138528,0.138176914778857,-0.1,-0.0755555555555556,-0.2,-0.15,0.108333333333333,-0.261057692307692,-0.242307692307692,0.235164835164835,0.242307692307692,0.242307692307692,0.115,-0.108333333333333,0.175,0.2,0.0745846817691478,0.224975024975025,0.1,0.1,0.05,0.07,0,0.0163440860215054,0.0833333333333333,0.1,0.304582375478927,0.2,0.227272727272727,0.22741935483871,0.0282051282051282,0.1,0.2,0.262857142857143,0.12,0.1,0.143076923076923,0.233333333333333,0.428333333333333,0.3,0.42
