"","FOXC2","ZEB2","LIV1","CD44","SRC","GLI","cMet","MEK","STAT","miR200","NOTCH","cateninmemb","Jagged","Csl","RAF","DELTA","GSK3","SOSGRB2","Csn","TWIST1","KLF4","RKIP","NFB","HEY1","SNAI1","Patched","SMO","SHH","SMAD","ILK","PAK1","TGF","IKK","AKT","TrCP","SUFU","FUS","CDC42","TGFR","ZEB1","PI3K","RAS","Ecadherin","SNAI2","NOTCHic","DSH","ERK","Wnt","cfos","Frizzled","AXIN2","EGR1","TCFLEF","cateninnuc","Destcompl"
"ZEB2",-0.130644910644911,-0.128569346632433,-0.1,-0.0923684210526316,-0.0866666666666667,-0.0860041487564423,-0.0840350877192983,-0.0809419299625933,-0.08,-0.0665304676403987,-0.0640016813787306,-0.0639620258924355,-0.0636213684799579,-0.058974358974359,-0.0493722943722944,-0.0493722943722944,-0.0361888618403969,-0.035970695970696,-0.0333333333333333,-0.031244543965124,-0.022407510796422,-0.0216908212560386,-0.0208333333333333,-0.0167426122264832,-0.0162661871208275,-0.0110104529616725,-0.00857142857142857,-0.00646499841621793,-0.00508048289738431,-0.00508048289738431,-0.0038961038961039,-0.00222909365766509,-0.00083333333333333,-0.000101246105919006,0,0,0,0.00207792207792208,0.00275819418676562,0.0357397282334809,0.0493722943722944,0.0547256134301102,0.0618895182320727,0.0652665579534268,0.0656410256410256,0.0727272727272727,0.0748443689869836,0.0768298368298368,0.0780701754385965,0.0793939393939394,0.0826926944110651,0.0833333333333333,0.0881430689399555,0.089571640368527,0.128855880383033
"Destcompl",-0.168209072606887,-0.12551612997959,-0.283333333333333,-0.310267644166642,-0.302804957599478,-0.309917505588971,-0.304297494912911,-0.08876699699277,-0.29047619047619,0.133619062234914,-0.0258808843696009,0.262708439587214,-0.196219492552284,-0.0295730513121817,0.115660252440112,0.115660252440112,-0.308629886868579,-0.183776620389502,0.0380952380952381,0.0236106913368556,-0.134204329477794,-0.256452025513432,0.0293995859213251,0.204826967903891,-0.270704686150327,-0.0428717198272317,-0.0423535851122058,-0.039970365862048,0.215213032581454,0.211587301587302,-0.217142857142857,-0.230290381125227,0.0321022886240278,-0.0321022886240278,0.0666666666666667,0.0555555555555556,-0.0452107279693487,0.221970443349754,0.228812548612912,0.253340821990221,-0.115660252440112,-0.114875323083754,-0.00225347690647234,0.138124504721237,0.0284860947904426,0.29047619047619,0.0879231151362299,0.303795056609379,0.0917482517482518,0.302804957599478,0.151982477940697,0.0887179487179487,0.310678603070752,0.312361417961114,0.211818003953878
"cateninnuc",-0.0625039932744851,-0.102069376321048,-0.278787878787879,-0.317789577572186,-0.307420357420357,-0.315954628060048,-0.319376879159488,-0.227369561731071,-0.301864801864802,0.127013566709644,-0.241196128941498,0.215376109683277,-0.222409196219608,-0.249843063402385,0.0256405306405306,0.0256405306405306,-0.341153769932083,-0.313614977705057,-0.0458333333333333,0.115123171606457,-0.142806521276272,-0.244280508573313,-0.0609848484848485,0.160332111100635,-0.284720018102074,-0.129069228071366,-0.129690346083789,-0.128415633300125,0.215459703249608,0.212049062049062,-0.289714285714286,-0.314944383127789,-0.0689848484848485,0.0666410984848485,-0.0333333333333333,0.144444444444444,-0.144444444444444,0.308175824175824,0.308175824175824,0.257189516494763,-0.0256405306405306,-0.0296809346809347,0.00187341611886661,0.0732848345095795,0.239377947123316,0.301864801864802,0.228745708520062,0.317930912645028,0.224948240165631,0.305974390905898,0.112437675644473,0.229710144927536,0.324436328879132,0.222751711370156,0.32713008202327
"AXIN2",-0.113670466925736,-0.0858104542843675,-0.133333333333333,-0.147644846053241,-0.142325581395349,-0.147335340666657,-0.149222133119487,-0.0406149831398411,-0.14,0.0998958269931185,-0.0134806611122401,0.132763962837397,-0.0963837807316068,-0.0185964912280702,0.0824089969851216,0.0824089969851216,-0.142720608656535,-0.125171207162792,0.0555555555555556,0.00942053764230911,-0.0893046638182582,-0.126256941982748,0.042512077294686,0.13372635167767,-0.132939861740819,-0.0499542124542125,-0.0481684981684982,-0.0496263436017534,0.13770416379112,0.136116862203819,-0.136666666666667,-0.149599071018213,0.0410628019323672,-0.0432850241545894,0.0666666666666667,0.05,-0.0576923076923077,0.145308641975309,0.145308641975309,0.15154413358171,-0.0824089969851216,-0.08450873451793,0.00692745463440119,0.0933544441370829,0.011453634085213,0.14,0.0433736038294962,0.149222133119487,0.0424390243902439,0.142325581395349,-0.015740141200974,0.04,0.151982477940697,0.150642227184104,0.143866790897609
"KLF4",-0.00200813336022047,-0.0767131062951496,-0.1,-0.10986538194651,-0.107843137254902,-0.108965831721622,-0.105517555859553,-0.144179943767573,-0.0666666666666667,0.0928815628815629,-0.120517930252059,-0.0420365677682751,-0.0643478260869565,-0.129090909090909,-0.0178205128205128,-0.0178205128205128,-0.166081859699178,-0.171540880503145,0,0.0160435729847495,-0.0851851851851852,-0.100669964955679,-0.06,0.0928189457601222,-0.112177351722865,-0.0583333333333333,-0.0333333333333333,-0.0400537634408602,0.11663768115942,0.125333333333333,-0.127272727272727,-0.150134515890613,-0.0552380952380952,0.0663492063492064,-0.1,0,-0.1,0.139272727272727,0.137939393939394,0.143581011351909,0.0178205128205128,0.0192911010558069,0.228956438233705,0.0543304613483062,0.113301435406699,0.0666666666666667,0.147272727272727,0.105517555859553,0.147272727272727,0.107843137254902,0.0759895639722991,0.12,0.115551000675607,0.112437675644473,0.159137639656988
"HEY1",-0.00200813336022047,-0.0767131062951496,-0.1,-0.10986538194651,-0.107843137254902,-0.108965831721622,-0.105517555859553,-0.144179943767573,-0.0666666666666667,0.0928815628815629,-0.120517930252059,-0.0420365677682751,-0.0643478260869565,-0.129090909090909,-0.0178205128205128,-0.0178205128205128,-0.166081859699178,-0.171540880503145,0,0.0160435729847495,-0.0851851851851852,-0.100669964955679,-0.06,0.0928189457601222,-0.112177351722865,-0.0583333333333333,-0.0333333333333333,-0.0400537634408602,0.11663768115942,0.125333333333333,-0.127272727272727,-0.150134515890613,-0.0552380952380952,0.0663492063492064,-0.1,0,-0.1,0.139272727272727,0.137939393939394,0.143581011351909,0.0178205128205128,0.0192911010558069,0.228956438233705,0.0543304613483062,0.113301435406699,0.0666666666666667,0.147272727272727,0.105517555859553,0.147272727272727,0.107843137254902,0.0759895639722991,0.12,0.115551000675607,0.112437675644473,0.159137639656988
"FOXC2",-0.00200813336022047,-0.0767131062951496,-0.1,-0.10986538194651,-0.107843137254902,-0.108965831721622,-0.105517555859553,-0.144179943767573,-0.0666666666666667,0.0928815628815629,-0.120517930252059,-0.0420365677682751,-0.0643478260869565,-0.129090909090909,-0.0178205128205128,-0.0178205128205128,-0.166081859699178,-0.171540880503145,0,0.0160435729847495,-0.0851851851851852,-0.100669964955679,-0.06,0.0928189457601222,-0.112177351722865,-0.0583333333333333,-0.0333333333333333,-0.0400537634408602,0.11663768115942,0.125333333333333,-0.127272727272727,-0.150134515890613,-0.0552380952380952,0.0663492063492064,-0.1,0,-0.1,0.139272727272727,0.137939393939394,0.143581011351909,0.0178205128205128,0.0192911010558069,0.228956438233705,0.0543304613483062,0.113301435406699,0.0666666666666667,0.147272727272727,0.105517555859553,0.147272727272727,0.107843137254902,0.0759895639722991,0.12,0.115551000675607,0.112437675644473,0.159137639656988
"SNAI2",0.019962989650676,-0.0694906649884623,-0.1,-0.0759895639722991,-0.0863636363636364,-0.0753973036077427,-0.0652368758002561,-0.111764705882353,-0.0363636363636364,0.0806827245726058,-0.0854237867395762,-0.0460128044427543,-0.0500300807793319,-0.0864035087719298,-0.0302543976748509,-0.0302543976748509,-0.108110882472835,-0.121129141311697,0,0.0268321390011678,-0.0659615384615385,-0.0780512820512821,-0.075,0.0730108499095841,-0.073935015728916,-0.0663865546218488,-0.0235294117647059,-0.0396259912415671,0.0823146213805962,0.0990610328638498,-0.096078431372549,-0.0996246436144134,-0.0508620689655172,0.0665247195679269,-0.1,0,-0.1,0.0913165266106443,0.0921712274653451,0.104394168239983,0.0302543976748509,0.0389301967616089,0.080924103622404,-0.0143720075827968,0.0776315789473684,0.0363636363636364,0.111764705882353,0.0652368758002561,0.117647058823529,0.0863636363636364,0.0665192552242489,0.1,0.0753710072712682,0.0736629327371067,0.102863887927009
"Ecadherin",-0.000863968600495071,-0.069130167906524,-0.0666666666666667,-0.115551000675607,-0.105517555859553,-0.114965831721622,-0.10986538194651,-0.147709355532279,-0.107843137254902,0.0923229036636858,-0.111224249954662,-0.0472929780246853,-0.0709839816933639,-0.113301435406699,-0.0192911010558069,-0.0192911010558069,-0.167406363010436,-0.17022509102946,-0.06,0.0218163849028128,-0.100375058602907,-0.0943029237571774,-0.0552380952380952,0.0840941135453571,-0.118190009950713,-0.0400537634408602,-0.0583333333333333,-0.0463529760392854,0.125596518931817,0.11663768115942,-0.139272727272727,-0.145613720230577,-0.0663492063492064,0.0676479076479077,0,0.1,-0.0333333333333333,0.137939393939394,0.150134515890613,0.14310707770262,0.0192911010558069,0.0173357937932371,0.125158969879275,0.0536682096926771,0.120517930252059,0.107843137254902,0.144179943767573,0.108965831721622,0.147272727272727,0.105517555859553,0.0753710072712682,0.147272727272727,0.112437675644473,0.117759804496014,0.158578459787464
"cateninmemb",-0.000863968600495071,-0.069130167906524,-0.0666666666666667,-0.115551000675607,-0.105517555859553,-0.114965831721622,-0.10986538194651,-0.147709355532279,-0.107843137254902,0.0923229036636858,-0.111224249954662,0.071388255705227,-0.0709839816933639,-0.113301435406699,-0.0192911010558069,-0.0192911010558069,-0.167406363010436,-0.17022509102946,-0.06,0.0218163849028128,-0.100375058602907,-0.0943029237571774,-0.0552380952380952,0.0840941135453571,-0.118190009950713,-0.0400537634408602,-0.0583333333333333,-0.0463529760392854,0.125596518931817,0.11663768115942,-0.139272727272727,-0.145613720230577,-0.0663492063492064,0.0676479076479077,0,0.1,-0.0333333333333333,0.137939393939394,0.150134515890613,0.14310707770262,0.0192911010558069,0.0173357937932371,-0.140660703576739,0.0536682096926771,0.120517930252059,0.107843137254902,0.144179943767573,0.108965831721622,0.147272727272727,0.105517555859553,0.0753710072712682,0.147272727272727,0.112437675644473,0.117759804496014,0.158578459787464
