"","GSK3","ZEB1","miR200","ZEB2","Destcompl","cateninnuc","DSH","RKIP","cfos","TGFR","SUFU","EGR1","Patched","MEK","ERK","HEY1","ILK","TWIST1","SMAD","RAS","SNAI2","RAF","PI3K","SOSGRB2","KLF4","TrCP","DELTA","Csn","IKK","FOXC2","AKT","SHH","FUS","SMO","NFB","TGF","CDC42","PAK1","NOTCHic","NOTCH","Jagged","LIV1","Csl","SNAI1","Frizzled","GLI","Wnt","cateninmemb","SRC","STAT","CD44","cMet","TCFLEF","Ecadherin","AXIN2"
"AXIN2",-0.377917942850437,0.392289936778893,0.349724508250231,-0.110962753626895,-0.384589784945258,-0.327657518790247,-0.3,-0.318160817676947,-0.182439024390244,0.269503031792855,-0.15,-0.18,-0.177838827838828,-0.184752914174324,-0.183373603829496,0.0548445286782001,0.0434782608695652,-0.339625433039902,0.0486369910282954,-0.169198661024942,-0.426379370957235,-0.165261653150927,-0.165261653150927,0.195850227378979,-0.122981969522544,0.133333333333333,0.165261653150927,0.144444444444444,0.138647342995169,-0.387343117460213,0.138647342995169,0.175543745871615,0.173076923076923,0.177838827838828,0.140096618357488,-0.274123493839059,-0.259768518518519,-0.24125,0.20921679197995,0.211919494682653,0.273646130602652,0.266666666666667,0.203859649122807,0.352883963163163,0.316279069767442,0.32694920639724,0.32317562149158,-0.355649307605028,0.316279069767442,0.3,0.326645653037321,0.32317562149158,0.327700752685621,-0.184664627801567,0.684413587147955
"NOTCH",0.092415534656914,-0.282125603864734,-0.188051948051948,-0.109178743961353,0.0906417926604842,0.0481423338566196,0.1,0.0391688770999116,-0.02,-0.192888888888889,0,0,-0.0564102564102564,-0.0319047619047619,-0.0533333333333333,0.0289855072463768,-0.0714285714285714,0.0991864406779661,-0.0714285714285714,0.021133069828722,0.236993942876296,-0.000606060606060604,-0.000606060606060604,-0.144210526315789,-0.0980676328502415,0,0.000606060606060604,0,0.0666666666666667,0.206326530612245,0.0333333333333333,0.0446455505279035,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.186437275985663,0.188888888888889,0.2,0.122857142857143,-0.0126267281105991,0.0238672438672439,0,0.08,-0.0691025641025641,-0.04,-0.0451282051282051,-0.0784615384615385,-0.0247252960887649,-0.04,-0.1,-0.0451282051282051,-0.0784615384615385,-0.0616117216117216,-0.00761290322580646,-0.0925067385444744
"LIV1",0.0721504329004329,-0.259699027757233,-0.16740930182256,-0.108351539791167,0.0633053588327666,0.041546520914906,0.07,0.0220856675552808,-0.0269565217391304,-0.16811815635345,-0.0476190476190476,-0.04,-0.0697018831427434,-0.0300977646769835,-0.0354310980103169,-0.0666027280477408,-0.069815668202765,0.0712390363259928,-0.0672350230414746,0.0439415919114628,0.212500130994079,0.0398506828205537,0.0398506828205537,-0.128204070407041,-0.107070517824616,0.0333333333333333,-0.0398506828205537,0.0583333333333333,0.043859649122807,0.162490712012307,0.0364522417153996,0.0657018831427433,0.0642857142857143,0.0610599078341014,0.0333333333333333,0.16483946782886,0.171148459383754,0.180952380952381,0.0271794871794872,0.0194871794871795,0.0470030248807089,-0.05,0.0102564102564103,-0.0392283593268458,-0.0440740740740741,-0.0407492987210574,-0.0519688109161793,-0.0359483946731065,-0.0440740740740741,-0.07,-0.0412910930732713,-0.0521821821821822,-0.044994796776975,0.000344779935130707,-0.0654627133872417
"Csl",0.0910328498627952,-0.27975195950214,-0.184508179870302,-0.105826994421758,0.0875881668225805,0.0498850090603347,0.0784615384615385,0.0412458550969259,-0.0319047619047619,-0.187074218660822,-0.0333333333333333,-0.0533333333333333,-0.0564735075171508,-0.0346376811594203,-0.0433333333333333,0.0307150195641244,-0.0721479958890031,0.100430105229267,-0.0704813292223364,0.0177735363601622,0.231340876863584,0.0107882422425151,0.0107882422425151,-0.1453191737659,-0.100924775707384,0.0333333333333333,-0.0107882422425151,0.0666666666666667,0.0496124031007752,0.199411439770569,0.037984496124031,0.0504390247585301,0.0564102564102564,0.0446455505279035,0.0333333333333333,0.184579887595063,0.186437275985663,0.192888888888889,0.0110574824157167,-0.00257888122064693,0.0227876356994734,-0.04,-0.0126267281105991,-0.0644556811948116,-0.0451282051282051,-0.0475475599669148,-0.0612572373862697,-0.0279490215169304,-0.0451282051282051,-0.0784615384615385,-0.0481423338566196,-0.0616117216117216,-0.0544018758413524,-0.00682744078056268,-0.091635558881521
"SMAD",0.000678897821754965,-0.247611627363036,-0.160186156067168,-0.105437525966901,0.110628983525933,0.063369720593377,0.10952380952381,0.0348773804714009,-0.0566820276497696,-0.152502163820914,0.0666666666666667,-0.0857142857142857,0.0627446483180428,-0.0540433872204315,-0.0636587718358161,0.0232574311104825,0.0368368617683686,0.0961513977785951,-0.0622107572792504,-0.0821235979985692,0.237798282428171,-0.0873867558933061,-0.0873867558933061,-0.128874593315587,-0.10099898389305,-0.05,0.0873867558933061,-0.0166666666666667,-0.0362745098039216,0.167767373242115,-0.0482745098039216,-0.0683208564964815,-0.0541666666666667,-0.0691666666666667,-0.05,0.152103757446412,0.148591549295775,0.15,-0.0747454844006568,-0.0882375478927203,-0.0879099287808965,-0.04,-0.0942857142857143,-0.0405216875418488,-0.0817460317460318,-0.087058704684604,-0.0971306471306471,-0.018480591358088,-0.0550793650793651,-0.0828571428571429,-0.0609474577709872,-0.070765639589169,-0.0665105513937823,0.00030959994790527,-0.103983482748258
"NOTCHic",0.0932419809379057,-0.285829307568438,-0.185161774641543,-0.102512077294686,0.0863084593271509,0.0544018758413524,0.04,0.0518449334379398,-0.0533333333333333,-0.186437275985663,-0.0333333333333333,-0.02,-0.0446455505279035,-0.0433333333333333,-0.0319047619047619,0.0274470457079153,-0.0714285714285714,0.112393987847777,-0.0721479958890031,0.0107882422425151,0.229178311613771,0.021133069828722,0.021133069828722,-0.162392344497608,-0.105210489993099,0,-0.021133069828722,0.0333333333333333,0.0333333333333333,0.198262014483213,0.0496124031007752,0.0564735075171508,0.0333333333333333,0.0564102564102564,0.0666666666666667,0.187074218660822,0.192888888888889,0.188888888888889,-0.0126267281105991,0.0110574824157167,0.0139334690328068,-0.1,0.122857142857143,-0.0601078551078551,-0.0784615384615385,-0.0612572373862697,-0.0451282051282051,-0.0322303670826797,-0.0784615384615385,-0.04,-0.0616117216117216,-0.0451282051282051,-0.0481423338566196,-0.00531581287358594,-0.09806229410003
"ZEB2",-0.172911527478073,-0.156515433189251,-0.140235463662321,-0.101434777443783,-0.0913521839918224,-0.0913209845641276,-0.0772727272727273,-0.0621900161030596,-0.0407894736842105,-0.0364625850340136,-0.025,-0.025,-0.0205400696864112,-0.0194283407180422,-0.0182088285229202,-0.0172986690728626,-0.0140347211473972,-0.0132956935709759,-0.0128152089522753,-0.00555892358890217,-0.00330700977159437,-0.0032034632034632,-0.0032034632034632,-0.00313186813186813,-0.00140096946043109,0,0.0032034632034632,0.0111111111111111,0.0116666666666667,0.011986013986014,0.0144704049844237,0.0214491605955021,0.025,0.0278571428571429,0.0361111111111111,0.0369916855631141,0.0371428571428571,0.038961038961039,0.0390769230769231,0.0439949558638083,0.0461628799635085,0.05,0.0564102564102564,0.060839913648947,0.0706060606060606,0.0799450396698103,0.0808624708624709,0.0814603817108348,0.0833333333333333,0.09,0.0903021442495127,0.0912280701754386,0.091710594953738,0.109402564907629,0.109491025714387
"STAT",0.163351134846462,-0.309162632239555,-0.208427200079682,-0.100376546530393,0.146336819316288,0.100669501542508,0.114285714285714,0.0885247747747748,-0.0133333333333333,-0.209090909090909,0,-0.0333333333333333,-0.0253100775193798,-0.0101075268817204,-0.0133333333333333,-0.0746666666666667,-0.0747181964573269,0.204903933314728,-0.0747181964573269,-0.0278978864980309,0.202566221657131,-0.0308829611248966,-0.0308829611248966,-0.224055829228243,-0.194612794612795,0,0.0308829611248966,0.05,0.0452380952380952,0.244497614178596,0.0401533494753834,0.0261950332715922,0.025,0.0183333333333333,0.05,0.20764163372859,0.209090909090909,0.209090909090909,-0.00317965023847377,-0.0080340191705126,0.00558493225689955,0,-0.00588235294117647,-0.111290499233914,-0.101785714285714,-0.1021294881589,-0.106331168831169,-0.0533276734969637,-0.101785714285714,-0.114285714285714,-0.102057664557665,-0.106331168831169,-0.101742207144415,-0.109446838608384,-0.15458619811561
"Jagged",0.0992337164750958,-0.293236714975845,-0.190909090909091,-0.0980676328502415,0.0869034749034749,0.0616117216117216,0,0.0564102564102564,0,-0.188888888888889,0,0.1,-0.0333333333333333,-0.0533333333333333,-0.02,0.0333333333333333,-0.0666666666666667,0.128,-0.0714285714285714,-0.000606060606060604,0.230115635997989,0.0266666666666667,0.0266666666666667,-0.16,-0.111111111111111,0,-0.0266666666666667,0,0.0333333333333333,0.204285714285714,0.0666666666666667,0.0564102564102564,0,0.0333333333333333,0,0.192888888888889,0.2,0.2,0.08,0.122857142857143,0.00164502164502164,0,0.1,-0.0583333333333333,-0.1,-0.0784615384615385,-0.04,-0.0399085421620633,-0.1,0,-0.0784615384615385,-0.04,-0.0451282051282051,-0.00600000000000001,-0.105714285714286
"DELTA",0.0992337164750958,-0.293236714975845,-0.190909090909091,-0.0980676328502415,0.0869034749034749,0.0616117216117216,0,0.0564102564102564,0,-0.188888888888889,0,0.1,-0.0333333333333333,-0.0533333333333333,-0.02,0.0333333333333333,-0.0666666666666667,0.128,-0.0714285714285714,-0.000606060606060604,0.230115635997989,0.0266666666666667,0.0266666666666667,-0.16,-0.111111111111111,0,-0.0266666666666667,0,0.0333333333333333,0.204285714285714,0.0666666666666667,0.0564102564102564,0,0.0333333333333333,0,0.192888888888889,0.2,0.2,0.08,0.122857142857143,0.00164502164502164,0,0.1,-0.0583333333333333,-0.1,-0.0784615384615385,-0.04,-0.0399085421620633,-0.1,0,-0.0784615384615385,-0.04,-0.0451282051282051,-0.00600000000000001,-0.105714285714286
