"","SNAI2","DSH","Destcompl","cMet","SOSGRB2","FOXC2","SHH","Patched","HEY1","SMO","ILK","EGR1","SMAD","cfos","FUS","TGFR","CDC42","TrCP","SUFU","TWIST1","PAK1","TGF","ZEB2","RKIP","AKT","miR200","SNAI1","Csn","IKK","ERK","MEK","NFB","cateninmemb","Jagged","Csl","KLF4","NOTCHic","NOTCH","ZEB1","TCFLEF","cateninnuc","STAT","SRC","LIV1","CD44","GLI","Frizzled","Wnt","Ecadherin","RAF","PI3K","DELTA","RAS","AXIN2","GSK3"
"SNAI2",0.402374259967412,0.152727272727273,0.226627032850171,0.193974757636729,0.191987829614604,-0.265040237744203,0.220079130243647,0.208811524609844,0.104249547920434,0.174117647058824,0.0860496311200536,0.1,0.0779156598281876,0.0588235294117647,0.18,0.118817783523666,0.0991596638655462,-0.1,0.2,-0.239925653128726,0.103921568627451,-0.1225444915982,-0.150821900566394,-0.196961538461538,-0.213450353136685,0.0761596296305898,-0.197653756629635,-0.2,-0.214655172413793,-0.0490196078431373,-0.0638844727080021,-0.225,-0.112915965526482,-0.188863787898389,-0.219736842105263,-0.122307692307692,-0.235526315789474,-0.252409432672591,0.185249632892805,-0.16319103077718,-0.171886682951093,-0.152727272727273,-0.181298701298701,-0.18,-0.172469381292643,-0.173119142663467,-0.181298701298701,-0.193974757636729,-0.289011471071533,-0.241989134659254,-0.241989134659254,-0.241989134659254,-0.234683198586195,-0.240295044318333,-0.220618406166986
"FOXC2",0.127398052645136,0.0666666666666667,0.177493903031979,0.133698130414957,0.142753001715266,-0.210445094217024,0.155174731182796,0.15625,0.0903437738731856,0.1,0.076,0.08,0.0586086956521739,0.0163636363636364,0.1,0.0816969696969697,0.0483636363636364,-0.1,0.2,-0.190762527233115,0.0363636363636364,-0.0763311160384331,-0.1121826625387,-0.150505050505051,-0.15989417989418,0.0483638583638584,-0.150186361893122,-0.2,-0.156190476190476,-0.0222459893048128,-0.0500810408512046,-0.18,-0.0178807822710262,-0.106072418336286,-0.152727272727273,-0.0888888888888889,-0.179043062200957,-0.196568835396833,0.142518059855521,-0.0894171939601072,-0.108968875155624,-0.0666666666666667,-0.131372549019608,-0.1,-0.0910894347627828,-0.0923188200701291,-0.131372549019608,-0.133698130414957,-0.109497472893421,-0.188846153846154,-0.188846153846154,-0.188846153846154,-0.171934389140272,-0.172469381292643,-0.174543690952243
"RAS",0.254662089359207,0.1,-0.131288086520645,0.144117647058824,-0.0536796536796537,-0.070952380952381,0.0433559322033898,0.062,0.0270750988142292,0.05,0.0264069264069264,-0.02,-0.000123685837971554,-0.07,0,-0.0164705882352941,-0.04,0,-0.1,-0.0287179487179487,-0.1,0.029341875364007,-0.096940353460972,0.000779874213836484,0.152222222222222,0.0568,-0.0581317600786627,0,0.146666666666667,0.0542105263157895,0.040485036119711,0.1,0.0265085750055547,-0.029812734082397,0.05,-0.0917857142857143,0.0236842105263158,0.025571002979146,0.0733689248895435,-0.133479349186483,-0.138295213209146,-0.1,-0.15,0,-0.133479349186483,-0.131617647058824,-0.15,-0.144117647058824,-0.0231736436340017,0.148974358974359,0.148974358974359,0.148974358974359,0.0412820512820513,-0.164743083003953,-0.0238501291989664
"ERK",0.274261127789776,0.0933333333333333,-0.106544152599961,0.0828548644338118,-0.0723698566805363,-0.137461944703324,-0.0122471827409985,-0.0296384870888246,-0.0452842393323539,-0.00937704918032787,-0.0394439356066307,-0.0551724137931034,-0.0221187076431049,-0.0317681584739545,0.048,0.0653301888324741,0.0806586559857588,0,0.06,-0.194654823252767,0.115238095238095,-0.0746708481731335,-0.076350734852548,0.0456581298404129,-0.0367517866195686,0.00210811844992621,-0.0404610530190925,0.025,-0.0303297682709447,-0.0382318415260455,-0.0234686103282739,0.00378787878787879,-0.0572248289140107,0.0163255032830974,0.0141802641802642,-0.0733442327583331,0.0426474174649357,0.042924425775185,0.0876320269865836,-0.091928617945546,-0.086928617945546,-0.0964912280701754,-0.0695681511470985,-0.133333333333333,-0.095831963670453,-0.093982683982684,-0.0664102564102564,-0.0796969696969697,-0.0799634890456775,0.0783361083361084,0.0783361083361084,0.0783361083361084,0.0758058553108058,-0.126888688626879,0.00818663017631074
"MEK",0.276335068276701,0.133333333333333,-0.107784287887447,0.0695681511470985,-0.052952380952381,-0.130453397694777,-0.0296384870888246,-0.00937704918032787,-0.0654207581036849,0.048,-0.0590011311785864,-0.1,-0.0394439356066307,-0.0551724137931034,0.06,0.0806586559857588,0.115238095238095,-0.1,0,-0.18869088427912,0.12,-0.0653301888324741,-0.0761932545375874,0.0476079905646469,-0.0303297682709447,0.0106865498224752,-0.0501832752413147,0,0.00378787878787879,0.0317681584739545,-0.0382318415260455,0.025,-0.0556608914715084,0.031988153885507,-0.00505050505050505,-0.0710186513629842,0.0141802641802642,0.0426474174649357,0.0890493498212293,-0.095831963670453,-0.091928617945546,-0.133333333333333,-0.0964912280701754,-0.1,-0.0828548644338118,-0.0796969696969697,-0.0933333333333333,-0.0664102564102564,-0.07615298441128,0.0837329337329338,0.0837329337329338,0.0837329337329338,0.0783361083361084,-0.118270802448018,0.00682423235614726
"RAF",0.270009034213441,0.1,-0.111340773243095,0.0964912280701754,-0.0573968253968254,-0.11333628057766,-0.00937704918032787,0.048,-0.0563298490127758,0.06,-0.0421694480102696,-0.15,-0.0590011311785864,-0.1,0,0.115238095238095,0.12,-0.1,-0.1,-0.172207367795603,0.0333333333333333,-0.0806586559857588,-0.0730186513629842,0.0778711484593838,0.00378787878787879,0.0122345374385743,-0.051465326523366,-0.1,0.025,0.0551724137931034,0.0317681584739545,0,-0.0673682085446791,0.0328078260166545,0.0222222222222222,-0.0710186513629842,-0.00505050505050505,0.0141802641802642,0.0660334768053563,-0.0828548644338118,-0.095831963670453,-0.1,-0.133333333333333,0,-0.0695681511470985,-0.0664102564102564,-0.133333333333333,-0.0933333333333333,-0.0768815818611889,0.0811688311688312,0.0811688311688312,0.0811688311688312,0.0837329337329338,-0.117369901547117,-0.00275807722616233
"STAT",-0.0440946781898091,0.0285714285714286,0.0849460804991602,0.0478896103896104,0.0237274220032841,-0.161396046353102,0.0854568841325376,0.0580232558139535,0.082,0.065,0.0709339774557166,0.0666666666666667,0.0743822533177856,0.0466666666666667,0.125,0.0342404306220096,0.0289772727272727,0.1,0.15,-0.137250530578866,0.0727272727272727,-0.0482500924577584,-0.0723238300161377,-0.0572265122265122,0.0803228410008071,-0.00196301690277594,-0.0381339055328981,0.1,0.0752380952380952,-0.00549019607843137,-0.00441492726122707,0.08,-0.00581081446045224,-0.0702163934808187,-0.092156862745098,-0.164745494157259,-0.0678325384207737,-0.0765704024984436,0.0681280258203335,-0.035627214531,-0.036223162087615,-0.0285714285714286,-0.0160714285714286,0,-0.0504537129537129,-0.0520912910618793,-0.0160714285714286,-0.0478896103896104,0.0319423296510636,-0.0762510339123242,-0.0762510339123242,-0.0762510339123242,-0.0769973025690407,-0.0875673346261581,-0.116851357365376
"TGFR",0.0245237399582075,-0.0142857142857143,0.0180132580787042,0.00566037735849057,0.00615659519168291,0.0100716048713011,-0.0948003117085525,-0.0998850574712644,-0.0948872657986662,-0.0998850574712644,-0.0927370478983382,0.0857142857142857,-0.0980751261901532,0.0488721804511278,-0.103333333333333,-0.0805952380952381,0.0104761904761905,-0.166666666666667,-0.0866666666666667,-0.0154540661658099,0.02,0.0805952380952381,-0.0720924019348094,-0.018961038961039,-0.168992248062016,0.0490015345549272,0.0126598930701907,-0.166666666666667,-0.166666666666667,-0.0377610693400167,-0.0459802474222085,-0.166666666666667,-0.00447194761244463,0.0805252289172056,0.00666666666666667,-0.0673490792197886,-0.00022988505747126,-0.00382700735962953,0.0114128723005714,-0.00853119075561975,-0.0054311021816605,0,0,0,-0.0109235352532274,0.00281888531432049,0.0142857142857143,0.00862533692722372,-0.0165006037519173,-0.0392857142857143,-0.0392857142857143,-0.0392857142857143,-0.0427944862155389,-0.00842473374662216,0.0896931154147696
"Destcompl",-0.202804651793792,-0.174603174603175,-0.00699418969290867,-0.159309778569644,-0.113842302007214,-0.0443322796608071,-0.0455919769165847,-0.056617121984283,0.116392325623095,-0.0488451012588944,0.112698412698413,0.0174358974358974,0.11702589807853,0.0174358974358974,-0.0145593869731801,-0.11795473906441,-0.116375791695989,-0.0333333333333333,-0.0111111111111111,0.0386460212005921,-0.0977551020408163,0.110762620837809,-0.0669774092183898,-0.0916745682539557,-0.0101491712229967,0.0293459863873589,-0.0755569415004892,-0.00476190476190477,-0.00746460746460747,-0.00158890290037831,0.00136468359751198,-0.00476190476190477,-0.118180476533129,0.132020490043651,0.0192087739913827,-0.0728784194703122,0.0344261652957305,0.0298169468588568,0.100167356797792,0.163311005312641,0.162699072625237,0.174603174603175,0.17871276364427,0.138888888888889,0.156324703942778,0.156746893587877,0.17871276364427,0.159900882456152,0.134602887104216,-0.0220982702907471,-0.0220982702907471,-0.0220982702907471,-0.024767030102364,0.211050011666962,-0.0948356501748213
"SOSGRB2",0.151510993332851,0.1,-0.0187804738140309,0.0751552795031056,0.0244444444444444,-0.0808424908424908,0.0648229624973811,0.109009009009009,0.0340909090909091,0.133333333333333,0.041505376344086,-0.0380952380952381,0.0366102714489811,-0.00476190476190476,0.1,0.0374725274725275,0.0528571428571428,-0.2,0,-0.0860289855072464,-0.00714285714285715,-0.00555763385550618,-0.0532330827067669,0.0508040935672515,-0.046125730994152,0.0404959446504705,-0.0276318407960199,-0.1,-0.0169590643274854,-0.0411840411840412,-0.0533052533052533,-0.0222222222222222,-0.0685876525876526,-0.0505002922960917,-0.0636363636363636,-0.0489473684210526,-0.079020979020979,-0.0578942184575987,0.0655137844611529,-0.0689462787403291,-0.0786977127747459,-0.1,-0.114285714285714,0,-0.0563146997929607,-0.0537784679089027,-0.114285714285714,-0.0726190476190476,-0.073757153667985,-0.00508474576271186,-0.00508474576271186,-0.00508474576271186,-0.00123859191655802,-0.0957714521452145,0.0536838445954856
