"","FOXC2","Jagged","NOTCH","EGR1","NOTCHic","Csl","SUFU","TWIST1","MEK","Csn","ERK","AKT","cMet","NFB","IKK","SMAD","STAT","SRC","ILK","SNAI1","RKIP","Frizzled","SOSGRB2","LIV1","FUS","SNAI2","ZEB2","PAK1","RAF","PI3K","DELTA","RAS","ZEB1","CDC42","TGFR","TGF","HEY1","SMO","DSH","Wnt","Patched","GLI","AXIN2","KLF4","Destcompl","SHH","cateninnuc","TCFLEF","miR200","CD44","cateninmemb","Ecadherin","cfos","TrCP","GSK3"
"SHH",-0.3,0.202857142857143,0.233333333333333,0,0.2,0.1,0,-0.15,-0.06,0,0,0,0.1,0,-0.1,0.2,0.1,0.1,0.133333333333333,-0.166666666666667,-0.14,0.2,0.2,0,0,-0.339693486590038,-0.25,0,-0.05,-0.05,-0.05,-0.0423076923076923,0.25,-0.1,0,-0.04,-0.133333333333333,-0.1,-0.2,-0.2,-0.2,-0.25,-0.0476190476190476,-0.25,-0.226233766233766,-0.32,-0.154444444444444,-0.143333333333333,-0.133333333333333,-0.15,-0.165017921146953,-0.0608333333333333,0.1,0,-0.241025641025641
"Patched",-0.31,0.228783068783069,0.242424242424242,-0.1,0.233333333333333,0.2,0,-0.153703703703704,-0.0215384615384615,0,-0.06,0.0428571428571429,0.15,-0.1,0,0.18,0.1,0.1,0.2,-0.150537634408602,-0.168571428571429,0.2,0.133333333333333,0.1,0.1,-0.351693486590038,-0.25,0.1,-0.0423076923076923,-0.0423076923076923,-0.0423076923076923,-0.0610576923076923,0.25,0,-0.04,-0.04,-0.187179487179487,-0.2,-0.2,-0.25,-0.32,-0.2375,-0.0385281385281385,-0.261111111111111,-0.22953046953047,-0.3825,-0.153473570658037,-0.154444444444444,-0.14047619047619,-0.143333333333333,-0.162240143369176,-0.0753964401294498,0,0,-0.245787545787546
"HEY1",-0.338886088145011,0.354407341783654,0.267669313865733,0.08,0.250143540669856,0.229090909090909,0.2,-0.360344226579521,0.0584166712608192,-0.1,0.0532620320855615,-0.0281481481481482,0.305243958048336,-0.08,-0.0466666666666667,0.199246376811594,0.266666666666667,0.284313725490196,0.192,-0.240927910681237,-0.23989898989899,0.284313725490196,0.23138936535163,0.233333333333333,0.233333333333333,-0.4191366160721,-0.247058823529412,0.109090909090909,0.0765384615384615,0.0765384615384615,0.0765384615384615,0.0750678733031674,0.247058823529412,-0.121090909090909,-0.135757575757576,-0.144050258684405,-0.139877769289534,-0.3,-0.266666666666667,-0.305243958048336,-0.3375,-0.315588785634543,-0.149318727614957,-0.251851851851852,-0.290715461056243,-0.364381720430108,-0.324849117629672,-0.32223392460352,-0.161847781847782,-0.316548305874423,-0.475013359495067,-0.452895686212557,-0.0709090909090909,0.1,-0.28310624740033
"FOXC2",-0.338886088145011,0.354407341783654,0.267669313865733,0.08,0.250143540669856,0.229090909090909,0.2,-0.360344226579521,0.0584166712608192,-0.1,0.0532620320855615,-0.0281481481481482,0.305243958048336,-0.08,-0.0466666666666667,0.199246376811594,0.266666666666667,0.284313725490196,0.192,-0.240927910681237,-0.23989898989899,0.284313725490196,0.23138936535163,0.233333333333333,0.233333333333333,-0.4191366160721,-0.247058823529412,0.109090909090909,0.0765384615384615,0.0765384615384615,0.0765384615384615,0.0750678733031674,0.247058823529412,-0.121090909090909,-0.135757575757576,-0.144050258684405,-0.139877769289534,-0.3,-0.266666666666667,-0.305243958048336,-0.3375,-0.315588785634543,-0.149318727614957,-0.251851851851852,-0.290715461056243,-0.364381720430108,-0.324849117629672,-0.32223392460352,-0.161847781847782,-0.316548305874423,-0.475013359495067,-0.452895686212557,-0.0709090909090909,0.1,-0.28310624740033
"SMO",-0.303103448275862,0.228783068783069,0.262424242424242,0,0.242424242424242,0.233333333333333,0.1,-0.153703703703704,-0.0427505827505827,-0.1,-0.0215384615384615,0.0708571428571429,0.143333333333333,0,0.0428571428571429,0.191111111111111,0.1,0.15,0.18,-0.160061443932412,-0.146349206349206,0.25,0.180701754385965,0.1,0.2,-0.357407772304324,-0.244915254237288,0,-0.0610576923076923,-0.0610576923076923,-0.0610576923076923,-0.0540809481216458,0.244915254237288,-0.04,-0.04,-0.0454054054054054,-0.163369963369963,-0.32,-0.2,-0.2375,-0.3825,-0.248611111111111,-0.0488729661143454,-0.261111111111111,-0.22875527573202,-0.365833333333333,-0.157232969154277,-0.153473570658037,-0.13414707655214,-0.154444444444444,-0.16903625987403,-0.0728134142991915,0.06,0,-0.254525409865216
"TWIST1",-0.0674326049044729,0.0762317400567503,0.0754356824168145,-0.0466666666666667,0.0688319088319088,0.0637037037037037,0.0333333333333333,-0.178166657585994,-0.0608491865614718,-0.2,-0.0623417238749047,-0.137406096728131,0.141016548463357,-0.161538461538462,-0.142490842490842,0.0674686387557675,0.133333333333333,0.138888888888889,0.0697788697788698,-0.162471954881824,-0.13407009493966,0.138888888888889,0.0375931467464648,0.133333333333333,0.0666666666666667,0.125232005898691,-0.179203765168677,-0.0557575757575758,0.0744787730366478,0.0744787730366478,0.0744787730366478,0.0748212387900725,0.179203765168677,0.0488610240334378,0.0426110240334378,0.0414720718694287,-0.0527472527472527,-0.0866666666666667,-0.133333333333333,-0.142046783625731,-0.101735159817352,-0.144446783625731,-0.105070306038048,-0.189795705649364,-0.170539447049567,-0.103212992329667,-0.143808419861621,-0.143980932800091,-0.132601404464941,-0.143827793443277,-0.180778175871558,-0.148256811086367,0.0597101449275362,0.2,-0.165554798571192
"NOTCHic",-0.112146148782093,0.141185236152124,0.142561241814213,-0.1,0.153087557603687,0.288571428571429,0.133333333333333,-0.093134953629677,-0.0690476190476191,0.133333333333333,-0.0404761904761905,0.135658914728682,0.0692773892773893,0.122222222222222,0.133333333333333,0.110294621445701,0.08,0.0723076923076923,0.102380952380952,-0.0195970695970696,-0.0318626169038991,0.0723076923076923,0.0614832535885167,0.1,0.183333333333333,-0.245362356785202,-0.149162640901771,0.133333333333333,0.0145718050065876,0.0145718050065876,0.0145718050065876,0.0249166325927945,0.149162640901771,-0.113333333333333,-0.100430107526882,-0.0997931648517225,0.00968784838350056,-0.144871794871795,-0.08,-0.0692773892773893,-0.133107088989442,-0.0725031957290022,-0.0670380353399221,-0.142443064182195,-0.102873657368984,-0.132031820172238,-0.0849167771523279,-0.0817106702820989,-0.0785611690814003,-0.0747718947718948,-0.0995847002951719,-0.0508354319578524,0.0333333333333333,-0.1,-0.119219625724328
"AKT",0.00236542575952075,0.137683861972813,0.0378638867033832,0.00476190476190476,0.042741935483871,0.075,0.15,-0.00597057357276285,-0.0372494961877675,0.2,-0.0106672177067548,0.11090086384204,0.174306949089558,0.194117647058824,0.201809954751131,0.109561988835938,0.188888888888889,0.175845410628019,0.0997976790716286,-0.0063370382477934,-0.0123457744301734,0.175845410628019,0.0451282051282051,0.2,0.166666666666667,-0.120810502293105,-0.148444047086276,0.0441176470588235,0.0569407578722647,0.0569407578722647,0.0569407578722647,0.0692299144987707,0.148444047086276,-0.0281176470588235,-0.0191745576279292,-0.0243105092895606,-0.0963392741767647,-0.135897435897436,-0.188888888888889,-0.174306949089558,-0.133119658119658,-0.182686837357714,-0.119946707925047,-0.150185560053981,0.091912923554344,-0.1362775528565,-0.189835338808058,-0.189066108038827,-0.0651717532382913,-0.183911468863569,-0.117788210363628,-0.0923605163432826,-0.0106442577030812,-0.233333333333333,-0.02034942357523
"Csl",-0.112146148782093,0.14847690281879,0.142561241814213,-0.0333333333333333,0.142561241814213,0.153087557603687,0.183333333333333,-0.0951665563384806,-0.0820910973084886,0.122222222222222,-0.0690476190476191,0.13953488372093,0.0747718947718948,0.133333333333333,0.135658914728682,0.115850177001256,0.0723076923076923,0.0692773892773893,0.110294621445701,-0.0176207850120894,-0.0267934924799359,0.0692773892773893,0.0557921966779476,0.08,0.144871794871795,-0.249165488776254,-0.148057668526081,0.113333333333333,0.0249166325927945,0.0249166325927945,0.0249166325927945,0.0304313384751475,0.148057668526081,-0.100430107526882,-0.0997931648517225,-0.104555069613627,0.00511268498480775,-0.133107088989442,-0.0723076923076923,-0.0725031957290022,-0.132031820172238,-0.078954808632228,-0.0693516600185854,-0.151014492753623,-0.10646902604662,-0.138066302930858,-0.0848596016234542,-0.0849167771523279,-0.0766003847676748,-0.0817106702820989,-0.100960847084163,-0.0521145017252943,0.0404761904761905,-0.133333333333333,-0.123196061659527
"ILK",0.00311730545876887,0.129736842105263,0.042741935483871,-0.0666666666666667,0.075,0.075,0.1,-0.00260665919967417,-0.0106672177067548,0.233333333333333,0.0106442577030812,0.201809954751131,0.175845410628019,0.2,0.194117647058824,0.0997976790716286,0.2,0.188888888888889,0.0941976790716287,-0.0121014492753623,-0.0166936005171299,0.188888888888889,0.0584615384615385,0.1,0.15,-0.116488894252904,-0.147074184072577,0.05,0.0528311688311688,0.0528311688311688,0.0528311688311688,0.0569407578722647,0.147074184072577,-0.0441176470588235,-0.0281176470588235,-0.0191745576279292,-0.0955873944775165,-0.166666666666667,-0.2,-0.175845410628019,-0.135897435897436,-0.174306949089558,-0.113809523809524,-0.132236842105263,0.0969584156966103,-0.133119658119658,-0.189066108038827,-0.183911468863569,-0.0673107906714464,-0.174306949089558,-0.114424295990539,-0.0934211224038886,-0.00476190476190476,-0.2,-0.0171236171236171
