"","RKIP","HEY1","GSK3","ILK","AKT","IKK","Destcompl","SOSGRB2","SHH","Patched","SMO","FUS","cateninmemb","SUFU","AXIN2","Ecadherin","TrCP","GLI","PI3K","CD44","TCFLEF","cateninnuc","MEK","ERK","cfos","EGR1","ZEB1","SNAI2","LIV1","FOXC2","STAT","SRC","DSH","cMet","Frizzled","RAF","DELTA","TWIST1","Wnt","RAS","Csn","NFB","Csl","NOTCHic","Jagged","NOTCH","SMAD","PAK1","miR200","SNAI1","CDC42","TGFR","TGF","ZEB2","KLF4"
"SUFU",0.350264628188045,0.257361984968061,0.365653717314468,0.2478955453149,0.26620871745704,0.248087912087912,0.355820716433605,0.206036069193964,-0.0232036582036582,-0.0367171717171717,-0.0538888888888889,-0.0816666666666667,0.120477328661933,-0.106666666666667,0.233194292783351,0.056931043978661,0.15,0.16941942299749,0.259975070501754,0.0757185033781866,0.0702837207694909,0.0661404982630971,0.0285358124389672,0.0281102805240736,0.0246620046620047,0.0276923076923077,0.00446306083379925,-0.193014107138476,-0.1,-0.228786528441408,-0.0933333333333333,-0.0877777777777778,-0.1875,-0.0809816612729234,-0.181944444444444,-0.259975070501754,-0.259975070501754,-0.143669330623045,-0.174252136752137,-0.260291526197956,-0.192857142857143,-0.228857142857143,-0.280606060606061,-0.28969696969697,-0.192589702776722,-0.297633477633478,-0.261059517601274,-0.406666666666667,-0.395109696809675,-0.375152984005884,-0.425585585585586,-0.44260686218133,-0.452271556461409,-0.474525786914175,-0.440229377310952
"TCFLEF",0.256882949901272,0.218383100199829,0.359994076934214,0.196415584415584,0.26416251070108,0.248945119396732,0.358764067585499,0.0703909104867189,0.0446195093909323,0.0219201228878648,0.000952380952380949,-0.0133333333333333,0.0850574787896672,-0.0333333333333333,0.4048884004884,0.120590716714306,0.142857142857143,0.0422640204353759,0.29286489971147,0.0472782615707144,-0.0610837086469259,-0.0670115436984723,-0.0337912726066036,-0.0297096399535424,-0.0306620209059233,-0.0428571428571429,0.0105804979620769,-0.125818869375488,-0.1,-0.240516040281147,-0.0875,-0.0725,-0.0823529411764706,-0.0579700854700855,-0.0673529411764706,-0.29286489971147,-0.29286489971147,-0.154530897043366,-0.052823026646556,-0.288265688147738,-0.206493506493507,-0.242493506493506,-0.291582974653276,-0.289622190339551,-0.14524147907376,-0.293276675389384,-0.210755928583844,-0.382051282051282,-0.37975625445505,-0.37519842779257,-0.402981514609422,-0.413261888441197,-0.42286453744782,-0.47438716108453,-0.359318500127324
"FUS",0.340060546555392,0.239289695811435,0.362054745592103,0.23047619047619,0.248087912087912,0.228857142857143,0.355980206066779,0.195546558704453,-0.0367171717171717,-0.0538888888888889,-0.0816666666666667,-0.106666666666667,0.125797928934784,-0.0666666666666667,0.238580709645177,0.0611534950600204,0.1,0.174252136752137,0.258665026833631,0.0809816612729234,0.0757185033781866,0.0702837207694909,0.0281102805240736,0.0246620046620047,0.0276923076923077,0.02,0.00108141832172195,-0.200726697777896,-0.1,-0.23002722323049,-0.1,-0.0933333333333333,-0.2,-0.0877777777777778,-0.1875,-0.258665026833631,-0.258665026833631,-0.134803351241602,-0.181944444444444,-0.259975070501754,-0.15,-0.192857142857143,-0.260606060606061,-0.280606060606061,-0.189501816790973,-0.28969696969697,-0.2478955453149,-0.373333333333333,-0.382098544393318,-0.367486885198389,-0.406666666666667,-0.425585585585586,-0.44260686218133,-0.458583757928668,-0.41448087431694
"SMO",0.316349206349206,0.214652014652015,0.353024645257655,0.206666666666667,0.228857142857143,0.192857142857143,0.353206483439042,0.176315789473684,-0.0538888888888889,-0.0816666666666667,-0.106666666666667,-0.0666666666666667,0.130453422417093,-0.1,0.244170771756979,0.0663589745120752,0,0.181944444444444,0.244711538461538,0.0877777777777778,0.0809816612729234,0.0757185033781866,0.0246620046620047,0.0276923076923077,0.02,0,0.00169491525423729,-0.208805692391899,-0.1,-0.223448275862069,-0.1,-0.1,-0.2,-0.0933333333333333,-0.2,-0.244711538461538,-0.244711538461538,-0.118572984749455,-0.1875,-0.258665026833631,-0.1,-0.15,-0.233333333333333,-0.260606060606061,-0.18468253968254,-0.280606060606061,-0.23047619047619,-0.333333333333333,-0.362296564195298,-0.355222734254992,-0.373333333333333,-0.406666666666667,-0.425585585585586,-0.432203389830508,-0.383333333333333
"Ecadherin",0.35431082204758,0.130240923703221,0.465013057669795,0.105855072463768,0.378470418470419,0.347301587301587,0.46597273946702,-0.0927334416659144,-0.207985140970282,-0.221370967741935,-0.2375,-0.25,0.476615991280625,-0.233333333333333,0.354276719157443,0.394279098843573,0.2,0.284899665078541,0.407877073906486,0.286073078371895,0.280469093315855,0.275053593782708,-0.0866519653784663,-0.0878284359667016,-0.0826737967914438,-0.0709090909090909,-0.127420803192816,-0.351103928328221,-0.266666666666667,-0.293775651160774,-0.284313725490196,-0.291290469676243,-0.284313725490196,-0.290420904458851,-0.291290469676243,-0.407877073906486,-0.407877073906486,0.104399970789061,-0.289566331745208,-0.417094951001458,-0.26,-0.302857142857143,-0.337033492822967,-0.364868544369358,-0.311602380627868,-0.382340663328466,-0.124983401761589,-0.131454545454545,-0.365048260243791,-0.400008022471501,-0.159454545454545,-0.186283813747228,-0.205632819172183,-0.40506030548912,-0.321987810595405
"cateninmemb",0.35431082204758,0.130240923703221,0.465013057669795,0.105855072463768,0.378470418470419,0.347301587301587,0.46597273946702,-0.0927334416659144,-0.207985140970282,-0.221370967741935,-0.2375,-0.25,0.381008931351511,-0.233333333333333,0.354276719157443,0.39623478836546,0.2,0.284899665078541,0.407877073906486,0.286073078371895,0.280469093315855,0.275053593782708,-0.0866519653784663,-0.0878284359667016,-0.0826737967914438,-0.0709090909090909,-0.127420803192816,-0.351103928328221,-0.266666666666667,-0.293775651160774,-0.284313725490196,-0.291290469676243,-0.284313725490196,-0.290420904458851,-0.291290469676243,-0.407877073906486,-0.407877073906486,0.104399970789061,-0.289566331745208,-0.417094951001458,-0.26,-0.302857142857143,-0.337033492822967,-0.364868544369358,-0.311602380627868,-0.382340663328466,-0.124983401761589,-0.131454545454545,-0.365048260243791,-0.400008022471501,-0.159454545454545,-0.186283813747228,-0.205632819172183,-0.40506030548912,-0.321987810595405
"NFB",0.255352388958946,0.0670112781954887,0.47060116354234,0.0612761276127613,0.165770055770056,0.161325611325611,0.388398782370926,0.0298695267580716,-0.0444355198572066,-0.0540740740740741,-0.0540740740740741,-0.08,0.269832221612999,-0.12,0.205460992907801,0.274819011705358,-0.1,0.162649572649573,0.318188867019418,0.163214544400985,0.161948721616175,0.158733035341665,0.00359103641456583,-0.000984126984126984,-0.0254285714285714,-0.0214285714285714,0.0278254256330481,-0.359635125386978,-0.15,-0.210194603979465,-0.161111111111111,-0.161111111111111,-0.161111111111111,-0.162649572649573,-0.161111111111111,-0.318188867019418,-0.318188867019418,0.0650513538748833,-0.162649572649573,-0.330129165526881,0.0571428571428571,-0.126190476190476,-0.197835497835498,-0.218470418470418,-0.0973542328274213,-0.221696224922031,-0.0846962019622036,-0.122222222222222,-0.314937404641858,-0.28809040243841,-0.163131313131313,-0.186331313131313,-0.197090806802199,-0.40274444732521,-0.371520146520146
"Patched",0.288571428571429,0.171794871794872,0.338461538461538,0.166666666666667,0.192857142857143,0.15,0.345454545454545,0.15,-0.0816666666666667,-0.106666666666667,-0.0666666666666667,-0.1,0.134336917562724,0,0.247619047619048,0.0704180151024811,0,0.1875,0.238461538461538,0.0933333333333333,0.0877777777777778,0.0809816612729234,0.0276923076923077,0.02,0,0.1,0,-0.218329501915709,-0.1,-0.22,-0.1,-0.1,-0.2,-0.1,-0.2,-0.238461538461538,-0.238461538461538,-0.100925925925926,-0.2,-0.244711538461538,0,-0.1,-0.2,-0.233333333333333,-0.173968253968254,-0.260606060606061,-0.206666666666667,-0.233333333333333,-0.335714285714286,-0.329032258064516,-0.333333333333333,-0.373333333333333,-0.406666666666667,-0.4,-0.333333333333333
"GSK3",0.26002970713497,0.22735789348498,0.169220008311097,0.225639240903191,0.20436155319776,0.208635057471264,0.116363147702529,0.316806751577029,0.252050813214062,0.240567559625545,0.2227761485826,0.196969696969697,-0.31093765752797,0.163636363636364,-0.372999993197589,-0.30508041722498,0.193333333333333,-0.329543336699128,0.0926586435350239,-0.33074939003137,-0.335468891367078,-0.33691625978813,-0.00846256498346281,-0.00903074680164463,-0.00827886710239651,-0.0156862745098039,0.0559784206713665,0.392801981438463,0.25,-0.0405406017890718,0.286842105263158,0.308270676691729,0.286842105263158,0.322177961459941,0.308270676691729,-0.0926586435350239,-0.0926586435350239,-0.352885594753334,0.321996166887808,-0.077112425047629,-0.218333333333333,-0.212083333333333,-0.0966386554621849,-0.0861491449726744,0.0258455396324978,-0.0780971969207263,-0.22548931586571,-0.384057971014493,-0.306996930370095,-0.262725054969747,-0.383105590062112,-0.378575973337373,-0.373960588721989,-0.39325845492897,-0.405530474251511
"cateninnuc",0.331275854831686,0.160766732951867,0.42496316572075,0.142206349206349,0.350444128787879,0.340287878787879,0.415781529736496,-0.0207181808520823,-0.038423051488751,-0.0512770819898404,-0.0630783242258652,-0.0811111111111111,0.222201514082262,-0.111111111111111,0.280469093315855,0.236929104058932,0.233333333333333,0.122729077553378,0.359214929214929,0.123997741389046,0.11869527686328,0.0143042246677541,-0.0673457096901831,-0.0682631408828437,-0.0733264320220842,-0.0717391304347826,-0.0616082163378162,-0.279210223790259,-0.142424242424242,-0.239139019450495,-0.142424242424242,-0.136868686868687,-0.142424242424242,-0.130346947738252,-0.135574927355749,-0.359214929214929,-0.359214929214929,-0.0259865608073341,-0.129053188225314,-0.361235131235131,-0.270833333333333,-0.316287878787879,-0.318016321406152,-0.329644228382896,-0.168418582038168,-0.332826046564714,-0.158441001320947,-0.195428571428571,-0.338474036077515,-0.368977041704688,-0.221582417582418,-0.23652494631805,-0.244821889549491,-0.388848788020782,-0.316649177236366
