"","FOXC2","TGF","TGFR","Csl","NOTCHic","HEY1","NOTCH","Jagged","Csn","AKT","SHH","TrCP","RKIP","SNAI1","SNAI2","TWIST1","MEK","DSH","EGR1","ERK","KLF4","STAT","LIV1","SRC","cMet","RAS","RAF","PI3K","ZEB2","GSK3","DELTA","Ecadherin","cateninmemb","TCFLEF","cateninnuc","CD44","GLI","Wnt","Frizzled","AXIN2","cfos","Destcompl","miR200","ILK","SMAD","NFB","IKK","Patched","SMO","FUS","SUFU","SOSGRB2","CDC42","PAK1","ZEB1"
"Jagged",-0.175714285714286,-0.215111111111111,-0.211111111111111,0.1,0.2,0.283333333333333,0.257142857142857,0.188311688311688,0,0.0888888888888889,0.203846153846154,0,-0.0102564102564102,0.0333333333333333,0.00739064856711915,-0.162,0.02,0,-0.1,0.02,0.216666666666667,0,0,0.1,0.16,-0.225454545454545,-0.18,-0.18,-0.21231884057971,0.159003831417625,0.18,-0.22,-0.259250045728919,-0.213613053613054,-0.216909756909757,-0.198461538461538,-0.198461538461538,-0.16,-0.1,-0.221428571428571,0,-0.191428571428571,-0.202424242424242,-0.183333333333333,-0.178571428571429,0,-0.1,-0.15,-0.1,0,0,0.22,0.2,0.2,-0.0963768115942029
"DELTA",-0.175714285714286,-0.215111111111111,-0.211111111111111,0.1,0.2,0.283333333333333,0.257142857142857,0.188311688311688,0,0.0888888888888889,0.203846153846154,0,-0.0102564102564102,0.0333333333333333,0.00739064856711915,-0.162,0.02,0,-0.1,0.02,0.216666666666667,0,0,0.1,0.16,-0.225454545454545,-0.18,-0.18,-0.21231884057971,0.159003831417625,0.18,-0.22,-0.259250045728919,-0.213613053613054,-0.216909756909757,-0.198461538461538,-0.198461538461538,-0.16,-0.1,-0.221428571428571,0,-0.191428571428571,-0.202424242424242,-0.183333333333333,-0.178571428571429,0,-0.1,-0.15,-0.1,0,0,0.22,0.2,0.2,-0.0963768115942029
"Destcompl",-0.206988916174554,-0.222714544983148,-0.219660357791029,0.083180571876224,0.090789267528398,0.106089295320065,0.0945968827588589,0.243373492637003,0.0666666666666667,0.0844625483376578,0.198894408969107,0.0666666666666667,-0.16858170520121,-0.16285081534902,0.191528533432811,-0.187185206395341,-0.0123578434431308,0.188888888888889,-0.0179487179487179,-0.00940425694524055,0.214913896729058,0.188888888888889,0.188888888888889,0.198477929984779,0.204945591676322,0.00939953618316087,0.0100274796682472,0.0100274796682472,-0.207943556084167,-0.121293036662406,-0.0100274796682472,-0.0504122765277853,-0.226157402137361,-0.206948249619482,-0.206693277666397,-0.206811263318113,-0.207449439380617,-0.205408623054086,-0.198477929984779,-0.259480970919643,0.00885780885780886,0.0189702457202491,-0.160213734623975,-0.10452380952381,-0.103237259816207,-0.0797101449275362,-0.0878182530356443,-0.197927290980712,-0.195336617405583,-0.183908045977011,-0.166666666666667,0.180923855305094,0.216502463054187,0.218571428571429,0.0530901722391084
"PAK1",-0.159454146671284,-0.201936571946215,-0.195925642984467,0.203846153846154,0.220769230769231,0.185882058970515,0.225164835164835,0.195289280845262,0.1,0.0627436647173489,0.207707401718154,0.1,-0.00231503303326507,0.0187720385110192,-0.0332104508876199,-0.144855919442876,0.0178717759764186,0.19,0.04,0.0218717759764186,0.208822794691647,0.19,0.15,0.208518518518518,0.213923923923924,-0.226931993294978,-0.226022902385887,-0.226022902385887,-0.207341314639104,0.147846861471861,0.226022902385887,-0.210243143889328,-0.244640052164141,-0.214052270091874,-0.213500545953943,-0.215904121943726,-0.217196310559597,-0.213781676413255,-0.208518518518518,-0.255320506862472,-0.0269565217391304,-0.182553548463136,-0.202029573558388,-0.173732718894009,-0.175023041474654,-0.0875,-0.0664473684210526,-0.208707401718154,-0.202534562211982,-0.192857142857143,-0.142857142857143,0.216446644664466,0.186834733893557,0.180952380952381,-0.0929674011410657
"Csl",-0.183684592858278,-0.233330998202993,-0.228569093441089,0.211981566820277,0.230402619451855,0.293022711871817,0.23494807399731,0.199551187330575,0.0888888888888889,0.0387596899224806,0.223137741448937,0.1,-0.00512640889115531,0.0191705235183496,0.0173029129951265,-0.173096224225375,0.000683229813664598,0.198461538461538,0.02,0.00285714285714286,0.209461697722567,0.198461538461538,0.16,0.213613053613054,0.216909756909757,-0.234914048896102,-0.234178754778455,-0.234178754778455,-0.205639896442202,0.158619211351655,0.234178754778455,-0.210010890931002,-0.256807662732501,-0.217881870946211,-0.21771034435959,-0.218950573236287,-0.220064666516279,-0.216838860064667,-0.213613053613054,-0.268143054622053,-0.00571428571428572,-0.182191777132866,-0.200798729020422,-0.179746488523467,-0.180857599634578,-0.0666666666666667,-0.0410852713178294,-0.223137741448937,-0.215610859728507,-0.203846153846154,-0.15,0.259994943011631,0.221562724014337,0.215111111111111,-0.0932378715491855
"cfos",-0.15324725011956,-0.195925642984467,-0.186834733893557,0.15,0.203846153846154,0.185882058970515,0.220769230769231,0.195902777777778,0.1,0.0664473684210526,0.208707401718154,0,0.00265734265734266,0.0213973368403748,-0.0324871235820141,-0.142138528138528,0.0218717759764186,0.15,-0.08,0.0269565217391304,0.203904761904762,0.15,0.1,0.19,0.208518518518518,-0.226022902385887,-0.223583877995643,-0.223583877995643,-0.205090510780583,0.146755952380952,0.223583877995643,-0.21169643108656,-0.246471553995643,-0.215904121943726,-0.214052270091874,-0.213923923923924,-0.213781676413255,-0.208518518518518,-0.19,-0.249031198686371,-0.04,-0.185410691320279,-0.201014345131992,-0.178571428571429,-0.173732718894009,-0.1,-0.0875,-0.202534562211982,-0.192857142857143,-0.142857142857143,-0.1,0.205555555555556,0.180952380952381,0.185714285714286,-0.0945751181828664
"CDC42",-0.15324725011956,-0.195925642984467,-0.186834733893557,0.15,0.203846153846154,0.185882058970515,0.220769230769231,0.195902777777778,0.1,0.0664473684210526,0.208707401718154,0,0.00265734265734266,0.0213973368403748,-0.0324871235820141,-0.142138528138528,0.0218717759764186,0.15,0.02,0.0269565217391304,0.203904761904762,0.15,0.1,0.19,0.208518518518518,-0.226022902385887,-0.223583877995643,-0.223583877995643,-0.205090510780583,0.146755952380952,0.223583877995643,-0.21169643108656,-0.246471553995643,-0.215904121943726,-0.214052270091874,-0.213923923923924,-0.213781676413255,-0.208518518518518,-0.19,-0.249031198686371,-0.04,-0.185410691320279,-0.201014345131992,-0.178571428571429,-0.173732718894009,-0.1,-0.0875,-0.202534562211982,-0.192857142857143,-0.142857142857143,-0.1,0.205555555555556,0.180952380952381,0.285714285714286,-0.0945751181828664
"NOTCHic",-0.178512179065174,-0.228569093441089,-0.221562724014337,0.257142857142857,0.211981566820277,0.289754738015608,0.230402619451855,0.199030353997241,0.1,0.0410852713178294,0.223137741448937,0,-5.72844671921799e-05,0.0219373219373219,0.0176757690726805,-0.170613154247948,0.00285714285714286,0.16,0.02,0.00571428571428572,0.205175983436853,0.16,0.1,0.198461538461538,0.213613053613054,-0.234178754778455,-0.23270092226614,-0.23270092226614,-0.203429951690821,0.158177385136633,0.23270092226614,-0.211057402558909,-0.258183809521491,-0.218950573236287,-0.217881870946211,-0.216909756909757,-0.216838860064667,-0.213613053613054,-0.198461538461538,-0.262230458221024,-0.02,-0.184690253671562,-0.20014513424918,-0.181904761904762,-0.179746488523467,-0.0888888888888889,-0.0666666666666667,-0.215610859728507,-0.203846153846154,-0.15,-0.1,0.249425837320574,0.215111111111111,0.211111111111111,-0.0948953301127214
"NOTCH",-0.173673469387755,-0.221562724014337,-0.215111111111111,0.2,0.257142857142857,0.278985507246377,0.211981566820277,0.195719095719096,0,0.0666666666666667,0.215610859728507,0,0.00698496905393458,0.0256410256410256,0.014268955445426,-0.163694915254237,0.00571428571428572,0.1,0,0.02,0.21231884057971,0.1,0,0.16,0.198461538461538,-0.23270092226614,-0.225454545454545,-0.225454545454545,-0.201207729468599,0.159003831417625,0.225454545454545,-0.212741935483871,-0.260820726357191,-0.216909756909757,-0.218950573236287,-0.213613053613054,-0.213613053613054,-0.198461538461538,-0.16,-0.249730458221024,-0.02,-0.187690253671562,-0.1995670995671,-0.178571428571429,-0.181904761904762,-0.1,-0.0888888888888889,-0.203846153846154,-0.15,-0.1,0,0.235789473684211,0.211111111111111,0.2,-0.100080515297907
"SHH",-0.175,-0.28,-0.3,0.1,0.2,0.133333333333333,0.233333333333333,0.162857142857143,0,-0.1,0.293333333333333,0,-0.08,-0.0333333333333333,0.16544061302682,-0.075,-0.08,0.2,0,-0.1,0.2,0.1,0,0.1,0.1,-0.257692307692308,-0.25,-0.25,-0.2,0.192307692307692,0.25,-0.0383333333333333,-0.125017921146953,-0.106666666666667,-0.123333333333333,-0.1,-0.2,-0.2,-0.2,-0.247619047619048,0.1,-0.144155844155844,-0.133333333333333,-0.133333333333333,-0.166666666666667,0,0.1,-0.333333333333333,-0.3,-0.2,-0.2,0.3,0.3,0.2,-0.05
"IKK",-0.071976911976912,-0.0883393939393939,-0.0939393939393939,-0.109090909090909,-0.0852813852813853,0.0452012383900929,-0.0805194805194805,0.0328881599500156,-0.1,0.0492277992277992,-0.0116475095785441,0,-0.0617486338797814,-0.0341461690698332,0.253517026293013,-0.0395751633986928,-0.000158730158730158,0.05,-0.05,-0.0157142857142857,0.196336996336996,0.05,0.1,0.0388888888888889,0.0388888888888889,0.0642561965866585,0.0684815486993346,0.0684815486993346,-0.193233082706767,0.0662271062271062,-0.0684815486993346,-0.0557230154712037,-0.0703232149600865,-0.0516659423439084,-0.0520878832721785,-0.0465811965811966,-0.0465811965811966,-0.0388888888888889,-0.0388888888888889,-0.0635714285714286,0.0357142857142857,-0.164586985517408,-0.156399108138239,-0.0534722222222222,-0.0425811331133113,0.114285714285714,-0.0357142857142857,0.0288888888888889,0.04,0.08,0.1,0.0478991596638655,0.116666666666667,0.15,-0.0573834586466165
