"","FOXC2","CDC42","PAK1","TGF","ERK","SOSGRB2","cfos","IKK","Csl","NFB","TrCP","AKT","Csn","SNAI1","NOTCHic","SHH","SMO","SNAI2","Patched","ILK","TWIST1","PI3K","DELTA","RAS","LIV1","Wnt","Frizzled","GLI","GSK3","ZEB1","Destcompl","CD44","cateninnuc","TCFLEF","SRC","cMet","DSH","STAT","AXIN2","Ecadherin","RAF","cateninmemb","HEY1","SMAD","miR200","SUFU","NOTCH","FUS","Jagged","RKIP","ZEB2","EGR1","MEK","TGFR","KLF4"
"TGFR",0.277164419973419,0.188253968253968,0.197777777777778,0.290406957109085,-0.043141186299081,-0.0361111111111111,-0.0453634085213033,-0.00614035087719299,0.203333333333333,-0.0166666666666667,0.0333333333333333,-0.00846593227254182,-0.0166666666666667,0.170885105776498,0.210229885057471,0.0778762419637639,0.0767816091954023,-0.000462813585334183,0.0705316091954023,0.0937145650048876,0.164302754712007,-0.132142857142857,-0.132142857142857,-0.129803675856307,0,-0.044743935309973,-0.0428571428571429,-0.0440987740196505,-0.0963030050193147,0.133661226923176,0.0104576525033327,0.0339043363124793,0.03227440594263,0.0334258674129578,0.0333333333333333,0.0352201257861635,0.0428571428571429,0.0333333333333333,0.0362757453959171,0.0792343065189492,0.132142857142857,0.063978853924295,-0.077059576392698,-0.0926469493465246,0.013811566940043,-0.0733333333333333,-0.20519391383445,-0.0733333333333333,-0.0881424622740176,-0.0661904761904762,-0.141876718046141,0.019047619047619,0.0362918712305879,-0.291825396825397,-0.149046529366895
"RAS",0.124603174603175,0.14,0.14,0.144950495049505,0.461315789473684,0.324675324675325,0.435,0.2,-0.35,0.233333333333333,0.1,0.211111111111111,0.2,0.155948869223205,-0.386842105263158,-0.167084745762712,-0.15,0.204406238655618,-0.162,-0.15021645021645,-0.0234369885433715,0.446153846153846,0.446153846153846,0.361538461538462,0,-0.167647058823529,-0.15,-0.163480392156863,0.441886304909561,0.128368924889543,0.18631547585036,0.165519399249061,0.171956531521888,0.171673245402907,0.15,0.167647058823529,0.1,0.1,0.194519104084321,0.181932381208961,-0.446153846153846,0.173873737990691,0.0365612648221344,0.156338899196042,0.064,0.1,0.40382323733863,0.1,0.189402720283856,-0.341088050314465,-0.131940353460972,-0.36,-0.486805985552116,-0.14,-0.126785714285714
"AXIN2",0.15360219795817,0.168225308641975,0.159583333333333,0.171525638674979,0.160925461591064,0.179080283904968,0.137560975609756,0.0884057971014493,-0.108070175438596,0.0695652173913043,0.0666666666666667,0.0750724637681159,0.1,0.173814568408852,-0.124141604010025,-0.144853029484177,-0.133699633699634,-0.174778033469768,-0.149771062271062,-0.0503335633770416,0.0145046716987217,0.11626241911709,0.11626241911709,0.109700739327064,-0.133333333333333,-0.137773322641005,-0.142945736434109,-0.144062630817106,0.191028995286432,0.162429923142415,0.17601153629921,0.144397928319239,0.144598233541417,0.14170156255136,0.142945736434109,0.137773322641005,0.126666666666667,0.126666666666667,0.523869815356499,0.0602423019002776,-0.11626241911709,0.148879300352596,0.041865786389113,0.056682769726248,0.0644777952298216,0.1,0.121438901307322,0.138461538461538,0.147736581867017,-0.19495608334318,-0.129686926587714,-0.14,-0.160235806418651,-0.168225308641975,-0.115093011097461
"PI3K",0.203941927990708,0.205882352941176,0.2,0.218825442372071,0.267226890756303,0.288076923076923,0.214285714285714,0.207843137254902,-0.175,0.166666666666667,0.2,0.195022624434389,0.233333333333333,0.218144122383253,-0.198076923076923,-0.0980769230769231,-0.0833333333333333,-0.0670352639319128,-0.106410256410256,-0.0915246098439376,-0.0150618289606173,0.261004329004329,0.261004329004329,0.248675561881041,-0.1,-0.120289855072464,-0.133333333333333,-0.131059085841695,0.342544492544493,0.178128763166009,0.0949872402288392,0.131059085841695,0.132258922757065,0.127104283581808,0.133333333333333,0.120289855072464,0.1,0.1,0.17752380952381,0.183671895713654,-0.261004329004329,0.162270751366035,0.0809403692866512,0.100324609843938,0.0232146453457929,0,0.19485111662531,0.1,0.102105263157895,-0.272317388493859,-0.106237158576367,-0.2,-0.275423612067778,-0.209882352941176,-0.0929824561403509
"ILK",0.203941927990708,0.205882352941176,0.2,0.218825442372071,0.267226890756303,0.288076923076923,0.214285714285714,0.207843137254902,-0.175,0.166666666666667,0.2,0.195022624434389,0.233333333333333,0.218144122383253,-0.198076923076923,-0.0980769230769231,-0.0833333333333333,-0.0670352639319128,-0.106410256410256,-0.0915246098439376,-0.0150618289606173,0.261004329004329,0.261004329004329,0.248675561881041,-0.1,-0.120289855072464,-0.133333333333333,-0.131059085841695,0.342544492544493,0.178128763166009,0.0949872402288392,0.131059085841695,0.132258922757065,0.127104283581808,0.133333333333333,0.120289855072464,0.1,0.1,0.17752380952381,0.183671895713654,-0.261004329004329,0.162270751366035,0.0809403692866512,0.100324609843938,0.0232146453457929,0,0.19485111662531,0.1,0.102105263157895,-0.272317388493859,-0.106237158576367,-0.2,-0.275423612067778,-0.209882352941176,-0.0929824561403509
"TCFLEF",0.207787342095239,0.318187239117472,0.320512820512821,0.320542255519031,0.0474216027874564,0.278858283433134,0.055993031358885,-0.116072056975283,-0.037637494021999,-0.103168831168831,-0.0857142857142857,-0.103028578714413,-0.131168831168831,0.22098963333273,-0.0317551410808226,-0.164089131397661,-0.160952380952381,-0.270293266604848,-0.156113671274962,-0.0556849700007595,-0.0141645455072508,-0.0768947237593447,-0.0768947237593447,-0.0646739616042856,-0.166666666666667,-0.183715434891906,-0.174313725490196,-0.178125372780104,0.113448076501512,0.181099548112706,0.1633732876715,0.185407998709886,0.0876130388015235,0.0907917329595992,0.181666666666667,0.191068376068376,0.184313725490196,0.191666666666667,0.538042979242979,0.0978815430769942,0.0768947237593447,0.129913396131708,0.0434771465727789,0.0528169011671075,0.0171685877709974,0.166666666666667,0.0420541444030817,0.146666666666667,0.147703223773121,-0.139843871975019,-0.101469121034911,-0.0242857142857143,-0.0644284055085449,-0.322860136313733,-0.110079258976318
"AKT",0.19943064979522,0.209882352941176,0.205882352941176,0.217314868353944,0.275423612067778,0.296965811965812,0.267226890756303,0.195022624434389,-0.198076923076923,0.207843137254902,0.233333333333333,0.114214543626308,0.166666666666667,0.228921064739143,-0.19485111662531,-0.107550607287449,-0.106410256410256,-0.0677387815198525,-0.0980769230769231,-0.100324609843938,-0.0159792601532778,0.248675561881041,0.248675561881041,0.262410501640077,-0.1,-0.131059085841695,-0.120289855072464,-0.127148471316555,0.332060621576751,0.176073968645461,0.106318919302454,0.127104283581808,0.129489691987834,0.132258922757065,0.120289855072464,0.131059085841695,0.133333333333333,0.133333333333333,0.177884820354134,0.183974926016685,-0.248675561881041,0.166246286534231,0.0877072865798843,0.102008111527439,0.0141237362548838,0.1,0.20704623857653,0.0833333333333333,0.103429766469153,-0.269211798431747,-0.0987029120010244,-0.214285714285714,-0.29694259940955,-0.218825442372071,-0.104093567251462
"GSK3",0.292551707778146,0.313333333333333,0.306666666666667,0.315437326900742,0.302153095156191,0.360087316729404,0.280348583877996,0.0778735632183908,-0.19124649859944,0.0583333333333333,0.0333333333333333,0.0659077512525788,0.0708333333333333,0.200292021763205,-0.203134610487552,-0.117261042969585,-0.108267001815389,-0.00228142934649646,-0.11869644966815,-0.114892083120975,0.0757692588572738,0.198883482866077,0.198883482866077,0.193001129924901,-0.125,-0.12718315396334,-0.130451127819549,-0.130956738869,0.132674548880464,0.171621578042058,0.0806503406359767,0.131901774303308,0.131885195121605,0.129319405647921,0.130451127819549,0.127139869541403,0.119736842105263,0.119736842105263,0.18134163667394,0.206442922160183,-0.198883482866077,0.170720496231279,0.0987884097004243,0.119539759282894,0.0173362364928269,0.0909090909090909,0.200277467630409,0.114718614718615,0.113595293327899,-0.279368263315632,-0.0977514258839685,-0.272941176470588,-0.2987440042471,-0.311591173054588,-0.0852537709666243
"SNAI2",-0.0335128496524955,0.0487394957983193,0.0392156862745098,0.0509903850057303,-0.0294117647058824,0.134178498985801,-0.0509803921568628,-0.0744252873563218,-0.0758771929824561,-0.0916666666666667,-0.1,-0.0924975765129483,-0.0666666666666667,0.105557121599437,-0.0916666666666667,-0.125442740476472,-0.114117647058824,0.167617652546999,-0.132484993997599,-0.016767270288397,-0.0827675863065145,-0.0728035564417558,-0.0728035564417558,-0.079652871510249,-0.12,-0.118152551673678,-0.125194805194805,-0.124034904614855,0.105470129549552,0.115178518984686,0.0996913607834613,0.124604164576904,0.124049320496735,0.121099009937729,0.125194805194805,0.118152551673678,0.110909090909091,0.110909090909091,0.178182157521463,0.401567107893753,0.0728035564417558,0.30657677949248,0.00185352622061483,0.02394430378122,0.0611017349255853,0.1,0.0851731601731602,0.12,0.125397532200004,-0.109153846153846,-0.0951325781413887,0.0333333333333333,0.0348171701112878,-0.0478847949436185,-0.0709615384615385
"STAT",0.155154737559646,0.190909090909091,0.190909090909091,0.194722973441509,0.265098039215686,0.326067323481117,0.253333333333333,-0.0552380952380952,-0.0725490196078431,-0.06,0,-0.0501533494753834,-0.1,0.0997807379631407,-0.0752517223105458,-0.0848772038142279,-0.0816666666666667,-0.0146502064092832,-0.0839922480620155,-0.0689210950080515,-0.0114365977184568,-0.0373345740281224,-0.0373345740281224,-0.0291256188042418,-0.2,-0.118831168831169,-0.114285714285714,-0.116310160427807,0.123898531375167,0.0970414201183432,0.101741336810571,0.116267066267066,0.116925804512612,0.118475268159811,0.114285714285714,0.118831168831169,0.114285714285714,0.114285714285714,0.167274686098215,0.308896865260227,0.0373345740281224,0.272310553414685,0.0626666666666667,0.0735187961574768,-0.00342064699973399,0.1,0.0820478388154002,0.075,0.0877158401192931,-0.136965894465894,-0.0944593867670791,-0.233333333333333,-0.276925996204934,-0.196172248803828,0.00538720538720539
