"","Ecadherin","SHH","SNAI2","HEY1","IKK","TWIST1","AKT","ILK","SUFU","NFB","cateninnuc","TCFLEF","CD44","cMet","STAT","SRC","ERK","cfos","Frizzled","NOTCHic","Destcompl","NOTCH","Csl","LIV1","ZEB1","RAS","RAF","DELTA","TGF","GSK3","FOXC2","PAK1","TGFR","CDC42","SOSGRB2","PI3K","Jagged","AXIN2","DSH","EGR1","RKIP","MEK","Wnt","GLI","cateninmemb","Csn","SNAI1","TrCP","FUS","SMAD","Patched","SMO","miR200","ZEB2","KLF4"
"TCFLEF",0.179658573211144,0.204663142122077,0.333553468818804,0.0942573667015574,0.141957268537914,0.290584509419887,0.144131181581392,0.10330842257158,0.166666666666667,0.119376623376623,0.0276269249888196,0.0269396397654519,0.12315957103693,0.121901709401709,0.1125,0.1125,0.0936236933797909,0.0793379790940767,0.105882352941176,0.0234018810776343,-0.0161936438430308,0.0210762996822855,0.00967639088155588,0.1,0.0304542796384902,0.0475803865850332,0.0463977321829307,0.0463977321829307,-0.00944608488951714,0.0852387561439155,0.0144476483057706,0.0153846153846154,0.0154063497901794,0.0107334525939177,0.0263122984799632,-0.0463977321829307,0.0471595198725392,-0.0352991452991453,-0.105882352941176,-0.0671428571428571,-0.15479175276668,-0.0956645097063215,-0.115284062342886,-0.115284062342886,-0.117869582432596,-0.123376623376623,-0.27474019936363,-0.114285714285714,-0.173333333333333,-0.107323718938693,-0.20036866359447,-0.197142857142857,-0.314492167805421,-0.395346269714691,-0.292583396995162
"LIV1",0.0351533462916213,0.100380554133242,0.193327665589515,0.118836170150219,0.0633771929824561,0.170506399397704,0.0726364522417154,0.112689878818911,0.0523809523809524,0.0791666666666667,-0.0277234510030686,-0.0324131061754824,-0.0301908839532602,-0.0420720720720721,-0.07,-0.0366666666666667,0.139602063375092,0.124347826086957,-0.0366666666666667,0.0743589743589744,-0.0397799824596068,0.0820512820512821,0.0974358974358975,-0.05,0.093366911318454,-0.0598480259312397,-0.0648480259312397,-0.0648480259312397,-0.0721576559088613,0.0818262987012987,0.0630639404626443,0.0714285714285714,0.0672396231219761,0.0929971988795518,-0.0257563256325633,0.0648480259312397,-0.087627172801636,0.042309694209499,0.07,-0.12,-0.11445916882381,-0.140935396708425,0.0445614035087719,0.0323662815575524,0.0252728885354961,-0.0416666666666667,-0.193239314384899,-0.0666666666666667,-0.102380952380952,-0.104302782044718,-0.0933805541332423,-0.0798003072196621,-0.265596178480622,-0.387851710887999,-0.38575748113453
"TGF",0.082404112482982,0.21055316091954,0.0975086372278926,0.240296582849774,0.271428571428571,0.273333333333333,0.281954887218045,0.209090909090909,0.2,0.3,0.0337880292497969,0.0299602780536246,0.0194339622641509,0.01,0,0,0.138345864661654,0.185714285714286,-0.0142857142857143,0.28,0.0233088847361304,0.283448275862069,0.3,0,0.0111605760118346,0.0267857142857143,0.0214285714285714,0.0214285714285714,-0.0401587301587302,0.141213928493772,0.0372981366459627,-0.04,-0.066984126984127,-0.0622222222222222,0.0302631578947368,-0.0214285714285714,-0.197269268532155,-0.0108465608465608,0,-0.2,-0.190909090909091,-0.136123642439432,0.00428571428571428,-0.00514824797843666,-0.0297681497757026,-0.3,-0.266751430387794,-0.2,-0.22,-0.210703812316716,-0.21367816091954,-0.203333333333333,-0.301068041154248,-0.387313408686406,-0.380040681413679
"cfos",0.0342536923123825,0.0933805541332423,0.191338515499099,0.107071464267866,0.0791666666666667,0.164528138528139,0.0633771929824561,0.0965608465608466,0.0666666666666667,0.0416666666666667,-0.0324131061754824,-0.0301908839532602,-0.0420720720720721,-0.0366666666666667,-0.05,-0.07,0.124347826086957,0.12,-0.07,0.0974358974358975,-0.0403814862190053,0.0743589743589744,0.0666666666666667,-0.1,0.0911161074599331,-0.0648480259312397,-0.0660675381263617,-0.0660675381263617,-0.0672396231219761,0.0836444805194805,0.0589260094281615,0.0857142857142857,0.0929971988795518,0.0714285714285714,-0.00694444444444444,0.0660675381263617,-0.0888541666666667,0.0555172413793104,0.05,-0.28,-0.115011655011655,-0.139602063375092,0.0366666666666667,0.0445614035087719,0.0307673940300016,-0.0666666666666667,-0.187272727272727,-0.1,-0.0523809523809524,-0.112689878818911,-0.0798003072196621,-0.102380952380952,-0.269149477973007,-0.385600907029478,-0.387396825396825
"Jagged",-0.0140701754385965,0.0955128205128205,0.11289592760181,0.0166666666666667,0.0666666666666667,0.105,0.0333333333333333,0.116666666666667,0,0.1,-0.0533533133533134,-0.0390675990675991,-0.0784615384615385,-0.04,0,-0.1,0.18,0.2,-0.1,0.02,-0.0350579150579151,-0.0228571428571429,0,0,0.0963768115942029,-0.0890909090909091,-0.08,-0.08,-0.0911111111111111,0.0839080459770115,0.0757142857142857,0,0.111111111111111,0.1,0.02,0.08,-0.135584415584416,0.0785714285714286,0,-0.1,-0.0923076923076923,-0.113333333333333,0.04,0.0784615384615385,0.0470513993049204,0,-0.191666666666667,0,-0.1,-0.0928571428571429,-0.0416666666666667,-0.0666666666666667,-0.253939393939394,-0.374154589371981,-0.361111111111111
"STAT",-0.1526808715311,0.061026960279893,0.00909379140732926,0.104666666666667,0.0538095238095238,0.0460544619465159,0.0453349475383374,0.0950885668276973,0.05,0.03,-0.093699508219714,-0.0954873508895591,-0.0958028083028083,-0.101785714285714,-0.114285714285714,-0.101785714285714,0.132549019607843,0.126666666666667,-0.101785714285714,0.0688924218335983,-0.0614700997448093,0.0640380529015595,0.0607843137254902,0,0.0863815671507979,-0.131162811871165,-0.137132961124897,-0.137132961124897,-0.0750616866606569,0.104597240765465,0.0690102249488753,0.0727272727272727,0.0842404306220096,0.0789772727272727,0.0516830870279146,0.137132961124897,-0.084015948461655,0.0711139840551605,0.114285714285714,-0.166666666666667,-0.117121943371943,-0.142226438962682,0.101785714285714,0.0975840336134454,0.0786989690782134,-0.05,-0.181219614165708,-0.1,-0.05,-0.104283969126548,-0.0583720930232558,-0.07,-0.255697786609691,-0.369885242962166,-0.276084373143197
"GSK3",0.00113807679453232,0.119493767071548,0.15124967893843,0.097462697229201,-0.0138936781609195,0.136706978320791,-0.0104748747421161,0.10277173150519,0.0727272727272727,-0.00125,0.0553176185666823,0.0530149869877349,0.0539945061328819,0.0487564108947866,0.0342105263157895,0.0520676691729323,0.0409494324045408,0.0356862745098039,0.0520676691729323,-0.049909404321169,0.0176805893835661,-0.0465327809445457,-0.0352240896358543,0.05,0.0561494960191491,0.00261488387692039,-0.000326292593667841,-0.000326292593667841,0.0808840929307525,-0.0245515288881054,-0.062175621196429,-0.0863768115942029,-0.0839610160076756,-0.0682815734989648,-0.0667773595283522,0.000326292593667841,-0.0403808846702418,-0.0501640501213049,-0.0342105263157895,-0.0356862745098039,-0.0398793311951207,-0.0403812505863589,-0.0474925057742395,-0.0526811850195225,0.0317436467158129,0.0325,-0.0929973357728666,0.02,-0.125108225108225,-0.0969246550434207,-0.113273671377768,-0.108979192850161,-0.19854022877894,-0.277260906117089,-0.272757365007813
"DSH",0.000973440640432879,0.113273671377768,0.150214303614875,0.0881201366755678,-0.00125,0.134018117885452,-0.0138936781609195,0.0903189013165105,0.1,-0.0325,0.0530149869877349,0.0539945061328819,0.0487564108947866,0.0520676691729323,0.05,0.0342105263157895,0.0356862745098039,0.0356862745098039,0.0342105263157895,-0.0352240896358543,0.0168704449665179,-0.049909404321169,-0.0607142857142857,0,0.0542178466877969,-0.000326292593667841,0.00107426763042179,0.00107426763042179,0.0839610160076756,0.0761140285162207,-0.0648869449603844,-0.0733333333333333,-0.0682815734989648,-0.0863768115942029,-0.0532889874353289,-0.00107426763042179,-0.0387750452541834,-0.0430103210497676,-0.05,-0.0533333333333333,-0.0396287046287046,-0.0409494324045408,-0.0520676691729323,-0.0474925057742395,0.034661418599102,0.02,-0.0886783988957902,0,-0.0727272727272727,-0.10277173150519,-0.108979192850161,-0.125108225108225,-0.200767661369796,-0.275032079965529,-0.274284082565065
"Patched",-0.0559762675296656,0.0275,-0.326804597701149,0.058974358974359,-0.05,-0.0435185185185185,-0.0642857142857143,0.05,0,-0.1,-0.222912621359223,-0.22,-0.22,-0.2,-0.1,-0.2,-0.02,0,-0.1,0.0666666666666667,-0.0295304695304695,0.0575757575757576,0,-0.1,0.0416666666666667,-0.204807692307692,-0.192307692307692,-0.192307692307692,-0.0766666666666667,0.00769230769230769,0.13,0.0333333333333333,0.0933333333333333,0.0333333333333333,0.1,0.192307692307692,-0.189417989417989,0.0844155844155844,0,-0.1,-0.12,0.0123076923076923,0.1,0.125,-0.11578853046595,0,-0.123655913978495,0,0.1,-0.08,-0.04,0,-0.223809523809524,-0.275,-0.283333333333333
"AKT",0.0191281389610692,0.121241565452092,0.181246838953993,0.0915739049975863,0.122322775263952,0.135480939603822,0.0112116641528406,0.0943574229691877,0.1,0.0941176470588235,0.0560489999313663,0.0578951537775201,0.0506786589321593,0.056893348197696,0.0555555555555556,0.033816425120773,0.0348900215824034,0.0299719887955182,0.033816425120773,-0.0222704714640199,0.0125627431758802,-0.0381241300006052,-0.0480769230769231,0,0.0666632207220877,0.0352799406128338,0.037448615311629,0.037448615311629,0.0918212668016142,-0.0190580924451892,-0.0778675958188153,-0.0808823529411765,-0.0758091822094692,-0.0928823529411765,-0.0384188034188034,-0.037448615311629,-0.0416928081793889,-0.043444387141138,-0.0555555555555556,-0.0476190476190476,-0.0294574351479722,-0.039953312721644,-0.056893348197696,-0.0496307783652938,0.0273761499733439,-0.1,-0.0572676255857034,-0.1,-0.0833333333333333,-0.105468534080299,-0.112820512820513,-0.129487179487179,-0.201243743963127,-0.273589354788007,-0.270805218173639
