"","NOTCHic","Destcompl","Csl","TrCP","LIV1","ZEB2","ZEB1","cateninmemb","Csn","SNAI1","TWIST1","NFB","CD44","SUFU","HEY1","TCFLEF","IKK","SHH","AKT","SMAD","FUS","ILK","DSH","SNAI2","FOXC2","miR200","KLF4","RAS","GSK3","RAF","PI3K","DELTA","Frizzled","STAT","SRC","Ecadherin","Wnt","GLI","cateninnuc","Patched","cMet","SMO","Jagged","AXIN2","NOTCH","RKIP","ERK","cfos","MEK","EGR1","TGFR","TGF","CDC42","PAK1","SOSGRB2"
"ZEB2",-0.106564102564103,-0.105823178306811,-0.102564102564103,-0.1,-0.1,-0.0996176631296156,-0.0996176631296156,-0.0987943750100329,-0.0888888888888889,-0.0837126590579881,-0.0805635935367176,-0.0763888888888889,-0.0759356725146199,-0.075,-0.0749560117302053,-0.0717103204019438,-0.0697222222222222,-0.0661973392461197,-0.0631801661474559,-0.0621000109474861,-0.0607142857142857,-0.0590512304596812,-0.0545454545454545,-0.00429939119288339,-0.000826728826728826,0.00782813334261903,0.014171706156439,0.0172610936529566,0.0217249619229358,0.0221861471861472,0.0221861471861472,0.0221861471861472,0.0545454545454545,0.06,0.06,0.0647670476408123,0.0673659673659674,0.070118260943949,0.0705414892331127,0.0725609756097561,0.0731578947368421,0.075,0.101051083460301,0.102976024065854,0.113667927700715,0.114041867954911,0.178070175438596,0.178070175438596,0.181728712023962,0.183333333333333,0.191799628942486,0.191799628942486,0.197922077922078,0.214285714285714,0.238003663003663
"AXIN2",-0.0451691729323308,0.303192329062265,-0.0505263157894737,0.2,0.233333333333333,-0.097854003661214,-0.097854003661214,0.22192328503274,0.255555555555556,-0.211965013038373,-0.228416284089036,0.285990338164251,0.243044404362268,-0.15,0.0462594730343209,0.241520371536945,0.296135265700483,-0.138549060229388,0.299468599033816,0.054445594662986,-0.157692307692308,0.0516678168852082,0.24,-0.164634707985784,-0.0547850588131619,0.208773649032635,-0.11018591917834,0.30412729886717,-0.277147763500166,0.30648950359158,0.30648950359158,0.30648950359158,-0.246976744186047,-0.24,-0.246976744186047,0.0207140690572489,-0.245252606255012,-0.243365813802182,-0.241563605432319,0.142811355311355,-0.245252606255012,0.148168498168498,-0.250093778137256,0.175174025350833,0.0417907945539525,0.254777462680689,0.290523516450118,0.278373983739837,0.290523516450118,0.246666666666667,0.199988255216869,0.19140739713106,0.207067901234568,0.205833333333333,0.0865638148667602
"TWIST1",-0.0565242165242165,-0.048503198502227,-0.0437037037037037,-0.2,-0.0333333333333333,-0.0818801257397749,-0.0818801257397749,-0.0339055229916579,-0.15,-0.13992391048111,0.00634116995387018,-0.157692307692308,-0.0382423310262326,-0.1,-0.128434841994164,-0.0359452406740121,-0.143406593406593,-0.0856446753792054,-0.15188116967778,-0.118697770677969,-0.0888888888888889,-0.11968786968787,-0.0333333333333333,0.0350093264066664,-0.165122124687016,0.160220452083988,-0.0858036272670419,-0.0444310076264449,0.0319215435801743,-0.0406638843387737,-0.0406638843387737,-0.0406638843387737,0.05,0.0333333333333333,0.05,0.00746352530320259,0.0257894736842105,0.0377894736842105,0.0389929692536555,0.0752998477929985,0.0265957446808511,0.0848888888888889,0.0398597574485373,0.0528361960620025,0.0404864806751599,0.106375749854011,-0.107955758962624,-0.126376811594203,-0.112433370902922,-0.113333333333333,-0.0325718390804598,-0.0332552103788652,-0.0363218390804598,-0.0466666666666667,-0.105503725869859
"PI3K",0.0269230769230769,0.186768640247665,0.05,0,0.1,-0.0687027119139199,-0.0687027119139199,-0.01693257325876,0.0333333333333333,-0.0620088566827697,-0.0422179230447228,0.0666666666666667,0.0973169825343738,0,-0.0490633303063936,0.0933621802744868,0.0490196078431372,-0.0756410256410256,0.0413273001508296,-0.060528531412565,-0.05,-0.061328531412565,0.1,-0.00138524582836045,-0.0925760743321719,-0.0388041916730441,-0.0695175438596491,0.0826244440491016,-0.125577200577201,0.0881038961038961,0.0881038961038961,0.0881038961038961,-0.0888888888888889,-0.1,-0.0888888888888889,0.112031327767054,-0.101932367149758,-0.0973169825343738,-0.0935683658414971,0.0756410256410256,-0.101932367149758,0.0833333333333333,0.00298245614035088,-0.141904761904762,-0.0398263027295285,0.03560116354234,-0.0633053221288515,-0.080952380952381,-0.051829912292786,-0.0666666666666667,-0.0373529411764706,-0.0332879005260641,-0.0573529411764706,-0.075,-0.171923076923077
"ILK",0.0269230769230769,0.186768640247665,0.05,0,0.1,-0.0687027119139199,-0.0687027119139199,-0.01693257325876,0.0333333333333333,-0.0620088566827697,-0.0422179230447228,0.0666666666666667,0.0973169825343738,0,-0.0490633303063936,0.0933621802744868,0.0490196078431372,-0.0756410256410256,0.0413273001508296,-0.060528531412565,-0.05,-0.061328531412565,0.1,-0.00138524582836045,-0.0925760743321719,-0.0388041916730441,-0.0695175438596491,0.0826244440491016,-0.125577200577201,0.0881038961038961,0.0881038961038961,0.0881038961038961,-0.0888888888888889,-0.1,-0.0888888888888889,0.112031327767054,-0.101932367149758,-0.0973169825343738,-0.0935683658414971,0.0756410256410256,-0.101932367149758,0.0833333333333333,0.00298245614035088,-0.141904761904762,-0.0398263027295285,0.03560116354234,-0.0633053221288515,-0.080952380952381,-0.051829912292786,-0.0666666666666667,-0.0373529411764706,-0.0332879005260641,-0.0573529411764706,-0.075,-0.171923076923077
"AKT",0.0398263027295285,0.186355075317971,0.0269230769230769,0.0333333333333333,0.1,-0.0584287393111801,-0.0584287393111801,-0.0164228892628374,0.0666666666666667,-0.0612569769835216,-0.0351842839009919,0.0490196078431372,0.0933621802744868,-0.05,-0.0513189694041379,0.0935683658414971,0.0413273001508296,-0.0735357624831309,-0.0596828008592715,-0.0561514270354607,-0.0833333333333333,-0.060528531412565,0.0888888888888889,0.000323296885207393,-0.0895685555351794,-0.0420127478227768,-0.07037224471435,0.0823834801936799,-0.125173974770749,0.0826244440491016,0.0826244440491016,0.0826244440491016,-0.101932367149758,-0.0888888888888889,-0.101932367149758,0.113849509585235,-0.0973169825343738,-0.0934063680092342,-0.0940299043030356,0.0756410256410256,-0.0973169825343738,0.0756410256410256,0.0049692111072383,-0.139377686092488,-0.0422653271197724,0.028768865405694,-0.051829912292786,-0.0633053221288515,-0.0556273806472163,-0.080952380952381,-0.0332879005260641,-0.0384238521876955,-0.0373529411764706,-0.0573529411764706,-0.160811965811966
"SMAD",0.0885385878489327,0.031449347120116,0.0942857142857143,0.05,-0.02,-0.0562008684927401,-0.0562008684927401,-0.0189687252790678,0.0166666666666667,0.0223621302532593,0.0809433817159672,0.0119047619047619,-0.000195569136745609,0.0416666666666667,0.0571053101248986,-0.00168810645017845,0.0138655462184874,0.0406947523390517,0.0111988795518207,-0.0733727915919697,0.0541666666666667,0.024246256027078,-0.019047619047619,0.0666859410180239,-0.0198910513800755,-0.0528124219826978,-0.0535398396046376,-0.123335205570496,0.0242299652450028,-0.124322047675759,-0.124322047675759,-0.124322047675759,0.019047619047619,0.00571428571428572,0.00571428571428572,0.027941122603961,0.0132783882783883,0.0132783882783883,0.00290391192130306,-0.0395795107033639,-0.000168067226890754,-0.0441666666666667,-0.0602244099986036,0.00198441935636413,-0.0885385878489327,-0.0628016124475605,-0.256242632086593,-0.253917050691244,-0.250473401317362,-0.257142857142857,-0.188175233898737,-0.184191170153717,-0.192085848423877,-0.204761904761905,-0.228467908902692
"Destcompl",-0.0419937328632981,0.125423557426435,-0.0441676459067763,0.233333333333333,0.188888888888889,-0.0549108702993994,-0.0549108702993994,0.18956016372812,0.247619047619048,-0.151739841568181,-0.166780239923046,0.247619047619048,0.185575465789124,-0.122222222222222,0.0454402008248162,0.186534369898713,0.246718146718147,-0.0971427918658008,0.244033582959757,0.0501545530492899,-0.104980842911877,0.0521428571428571,0.196031746031746,-0.112737233319736,-0.0209429144028348,0.149266452340351,-0.0591246240745337,0.231020129578022,-0.19946320300377,0.23180505893438,0.23180505893438,0.23180505893438,-0.189182430963253,-0.196031746031746,-0.189182430963253,0.00976866036639941,-0.187202232943451,-0.186274589158664,-0.186177409164393,0.0984967570495532,-0.186694868774198,0.102123700054735,-0.210343328903873,-0.241520371536945,0.0405909272520756,0.195779134390123,0.235973097940311,0.243076923076923,0.230909806801071,0.243076923076923,0.136965443164562,0.133714211637468,0.146439127375088,0.158163265306122,0.0758664007946108
"NOTCH",-0.145714285714286,-0.0899159239346155,-0.16,0,0,-0.050805152979066,-0.050805152979066,-0.118864515029252,0,0.0256410256410257,0.0986949152542373,-0.0333333333333333,-0.0599533799533799,0,-0.171014492753623,-0.0654478854478854,-0.0888888888888889,-0.052790346907994,-0.1,-0.0747619047619048,-0.0333333333333333,-0.0714285714285714,-0.1,0.101280854222031,-0.0385714285714286,-0.0472727272727273,-0.0471014492753623,-0.0978656126482213,0.00439742250087077,-0.110909090909091,-0.110909090909091,-0.110909090909091,0.08,0.1,0.08,0.0865263157894737,0.0569230769230769,0.0599533799533799,0.0593254364682936,0.041025641025641,0.0569230769230769,0.0333333333333333,0.0585088985088985,0.102398921832884,0.0295852534562212,-0.0872679045092838,-0.293333333333333,-0.26,-0.286190476190476,-0.2,-0.168888888888889,-0.162437275985663,-0.188888888888889,-0.2,-0.195789473684211
"GSK3",0.0512536483124718,0.204918628334449,0.0463585434173669,-0.0466666666666667,0.1,-0.0496183636659484,-0.0496183636659484,-0.00903232063079073,-0.0591666666666667,-0.0738834320381337,-0.0478257583579377,-0.0591666666666667,0.102055967733904,-0.0772727272727273,-0.0378982460313226,0.100720259808704,-0.060316091954023,-0.063886830131479,-0.0620254936634247,-0.0439084994094827,-0.0725108225108225,-0.0461573749717016,0.105263157894737,-0.0212647635140631,-0.0847679778401933,-0.0356112457026734,-0.0513482766559525,0.0958545834036436,-0.241805488764216,0.094594079201963,0.094594079201963,0.094594079201963,-0.105263157894737,-0.105263157894737,-0.105263157894737,0.113369589022361,-0.100687994496044,-0.102574786948874,-0.100259733492914,0.0686715191266943,-0.100627396305333,0.0692850160592096,-0.00541471877249534,-0.14945899284643,-0.0509939080527316,0.025648649596018,-0.0557642472193556,-0.0505010893246187,-0.0563324290375374,-0.0690196078431373,-0.0253921123062162,-0.0279562148703188,-0.0201656314699793,-0.0249275362318841,-0.14808607916946
